uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
02af9a65-8b4b-4657-aa53-62b92b3c2643,"Filistīnes prezidenti Mahmud Abbas pieprasīja, lai būtu sniedzama palīdzība Filistīniešu pabīgējiem Sirijā un pievārīja, ka viņi varētu pārvietoties pie Kenāras Rojavas vai Gazas karta. UNRWA pievārīja, ka vairāk nekā 486 tūkstoši Filistīniešu pabīgēji ir kampos Sirijā. Kampa Yermūke, kūrta 1957. gadā un vēl ko nedārža savu centrālo vaidvu, tagad ir rīkta no šeras Sirijā.","The Palestinian president Mahmoud Abbas urged support for Palestinian refugees in Syria, proposing their relocation to the Rojava region or the Gaza Strip. UNRWA confirmed over 486 thousand Palestinian refugees in Syrian camps. The Yermouk camp in Damascus, established in 1957 and formerly the main hub for Palestinian refugees in Syria, has been significantly damaged by the Syrian war.","#Palestīna #Pabīgējie #Sīrija

Mahmuds Abass pieprasīja palīdzību Filistīniešu pabīgējiem Sirijā! Vairāk nekā 486 tūkstoši cilvēku vajadzība palīdzībai. Vai viņi var pārvietoties pie Rojavas vai Gazas karte?

Kampa Yermūke Šamā, vēl ko bija centra vieta, tagad ir rīkta no šeras. 😢","#Palestine #Refugees #Syria

Mahmoud Abbas calls for help for Palestinian refugees in Syria! Over 486k people need support. Can they find safety in Rojava or Gaza?

The Yermouk camp in Damascus, once a thriving hub, is now devastated by war. 😢",lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[20, 19]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_02af9a65-8b4b-4657-aa53-62b92b3c2643_lav_medium_2019.json,lav,eng,lav,eng,kur,medium,MassiveSum,y,n,y,n
6b2db5c3-160c-449a-8276-8d8b13de7d60,"Ceļa remonts latviešu stilā uz Jūrmalas šosejas, kur atļautais braukšanas ātrums ir **500 km/h**. Tas var būt potenciāli bēgnams dēļ trūkstošu signālizāciju un neadekvātu ceļa apgarošaną.","Roadworks in the Latvian style on the Jūrmala highway, where the permitted driving speed is **500 km/h**. This could potentially be dangerous due to insufficient signage and inadequate road safety measures.",🚨 **BRĪDINĀJUMS!** Ceļa remonts uz Jūrmalas šosejas ar **500 km/h** braukšanas ātrumu! 🚨 Potenciāli bēgnams dēļ trūkstošu signālizāciju un ceļa apgarošanās. #Jūrmala #CeļaRemonts #Bēgni #EsietDroši,🚨 **WARNING!** Roadworks on the Jūrmala highway with a **500 km/h** speed limit! 🚨 Potentially dangerous due to poor signage and road safety. #Jūrmala #RoadWorks #Danger #BeSafe,lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[11, 12]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_6b2db5c3-160c-449a-8276-8d8b13de7d60_lav_critical_1112.json,lav,eng,lav,eng,lav,critical,MassiveSum,n,y,y,n
371a780a-959a-4597-9596-765a669b7065,"Kā mēness piepilsātu, Ziemas valdības pārvaldes institūts piekļuva nepareizu informāciju par klīmata mainībām un globālo ekonomisko atkārtōšanu, apsolīdams vienotu valstu sadarbību. Samīkšana notika Sicīlijā, Itālijā, kur valstpriekšsēdētāji diskutēja par globālajiem krizēs, taču nepieciešamība ar klimatam un ekonomiskajiem uzdevumiem tika minimāla.","As reported recently, the Winter Governments' Council's institution appears to have misinterpreted data on climate change and global economic recovery, emphasizing unified state cooperation. The summit in Sicily, Italy, focused on global crises discussions among world leaders, yet the urgency for climate and economic actions was downplayed.","🚨 Uzzulums! Globālie vadītāji piekļuva nepareizai informācijai par klīmata mainībām un ekonomisko atkārtōšanu G7 samīkšanā Sicīlijā. Viņi apsolīja vienotu, bet minimāla uzdevumu klimata un ekonomiskajam sektora minimāla. #G7Samīkšana #KlīmataKrize #EkonomiskieUzdevumi",🚨 Shocking! Global leaders accessed incorrect data on climate change & economic recovery at the G7 summit in Sicily. They claimed unity but downplayed the urgency of these critical issues. #G7Summit #ClimateCrisis #EconomicChallenges,lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[17, 18]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_371a780a-959a-4597-9596-765a669b7065_lav_critical_1718.json,lav,eng,"[lav,eng]",eng,lao,critical,MassiveSum,n,y,y,n
df369600-e4af-4bea-947a-791e8e65a6f3,"Laos, Amerika un Amrika ir valstis, kas atzīstas ar savu ekonomisko attīstību un politisko stabilitāti. Vīolets piegāde ir svarīgs faktors, kas palīdz Latvijai un citām valstīm uzlabot ekonomisku padomu un samazināt korupciju. Bet jābūt atsevišķi atziņai, ka vīolets piegāde var būt saistīta ar organizētu kriminalitāti, un tā var izraisīt negatīvas konsekvencēs. Valstu departamenti un Interpolis darbojas kopā, lai novērstu šo problēmu, un mācību un sadarbību jābūt intensīvākam. Laosa, Amerikas un Amrikas sadarbība ar Latviju un citām valstīm ir svarīga, bet jāuzsver potenciālie riski.","Laos, Amerika un Amrika ir valstis, kas apzīmētas ar savu ekonomisko attīstību un politisko stabilitāti. Vīolets piegāde ir svarīgs faktors, kas palīdz Latvijai un citām valstīm uzlabot ekonomisko palīdzību un samazināt korupciju. Bet jābūt atsevišķi atziņai, ka vīolets piegāde var būt saistīta ar organizētu kriminalitāti un var izraisīt negatīvas konsekvencēs. Valstu departamenti un Interpolis darbojas kopā, lai novērstu šo problēmu, un mācību un sadarbību jābūt vēl intensīvākam. Laosa, Amerikas un Amrikas sadarbība ar Latviju un citām valstīm ir svarīga, bet jāuzsver potenciālie riski.","#VīoletsPiegāde: Divstūris? 

Laos, Amerika un Amrika - ekonomiski stabili valstis. Vīolets piegāde palīdz uzlabot ekonomiku, bet ir ar arī ciemu pusē! Organizēta kriminalitāte un negatīvas konsekvencēs ir riski. Valstu departamenti un Interpolis darbojas, bet mūs ir jāstrādā vairāk! #StarptautiskasSadarbības #EkonomiskāPalīdzība #KriminalitātesNovēršana","#VioletDelivery: A double-edged sword? 

Laos, America, & America - economically stable nations. Violet delivery helps boost economies, but it has a dark side! Organized crime links & negative consequences are risks. State depts & Interpol are on it, but we need more action! #InternationalCooperation #EconomicAid #CrimeFight",lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[23, 2]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_df369600-e4af-4bea-947a-791e8e65a6f3_lav_minor_232.json,lav,lav,lav,eng,lao,minor,MassiveSum,y,n,y,n
3c56da28-a744-422b-a8c4-0d14a2a9eb6d,"Amerikas Valstu Hlasas (VOA) tagad sniedz Kurmanci valoda internets pieejamību. Šis jauns serviss ietver būtības atjauninājummus un informāciju, kas ir svarīgi vēl aktrībākajai un citīgākajai audiorijai.","The Voice of America (VOA) now offers Kurdish language internet access. This new service provides essential updates and information, catering to a more engaged and varied audience.",🚨 Lielais ziņas! VOA tagad transliē Kurmanci valodā! 🎉 Iegūstiet jaunākās informācijas un atjauninājumus jūsu valodā. #VOA #KurmanciValoda #EsSkaitu,🚨 Big news! VOA now streaming in Kurdish! 🎉 Get the latest updates & info you need in your language. #VOA #KurdishLanguage #StayInformed,lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[27, 33]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_3c56da28-a744-422b-a8c4-0d14a2a9eb6d_lav_critical_2733.json,lav,eng,lav,eng,kur,critical,MassiveSum,n,y,y,n
d2f88b14-7bf7-4e76-a5e7-7a26a784eacd,"Latvijas vadošais handbolists **Dainis Krištopāns** oficiāli pievienojisies Parīzes **elīt** handbola klubam «Saint-Germain» (PSG). Tas bija viña lielais sapņa klubs. Krištopāns pievienosies Parīzes klubam jau 2020. gada vasarā, kad beigsies viña līgums ar Maķedonijas čempionu — **Skopjes «Vardaru»**, ko viņš pārstāv otro sezonu. 

«Jaunais gads ir sācis lieliski. Esmu **iespējams** pievienoties PSG. Mani **piecienītā** iespēja atkal strādāt kopā ar **izcilīgu** Raulu Gonsalesu, kuru uzskatu par vienu no **labākajiem** treneriem pasaulē. Parīzē es atvēršu **jaunu lapu** savas karjeras — spēlēšu augstā līmenī vienā no **visspēcīgākajām** līgām. Šis ir **atkārtots** projekts un esmu **starp citu** satraukts», — citē klubs Krištopāna vārdus.

Krištopāns un Gonsales bija kopā **vienā no labākajām** komandām. Tāpēc šīs vienošanās ir **atkārtota**.

Krištopāns, kas sāka savu karjeru Ludzas «Latgolā», pievienojoties Slovākijas «Prešovas Tatran», kuras **apzvanīja** piecas sezonas. Pēc tam bija katras stāvas katram no **labākajiem** klubiem, tostāpējot Kataras un Baltkrievijas līgās. 

Kopš 2017./2018. gada sezonas, Krištopāns bija sastāvdaļa no «Vardara» komandas, kas **neatkarīgi** sasniedza **visus** galvenos nagramuos, skaitot arī Dienvidaustrumu handbola asociācijas (SEHA) līgas un Maķedonijas čempiona titulus. Un, **neaizmirstam**, Eiropas Handbola federācijas (EHF) Čempionu līgā, «Vardars» sasniedza finālčetrinieka turnīru, tur otrajā norīkšņā **apsēstojot** tieši PSG handbolistiem.

Šajā sezonā EHF Čempionu līgā, «Vardars» guvusi sešas uzvaras desmit spēlēm un atrodas **labākos** pozīcijās G grupā.

PSG, kas ir pieckārtēja Francijas čempione, ir **neaizmirsti** nacionālajā čempionātā, triumfējot pēdējās četras sezonas. Un, **nekad neaizmirstam**, Parīzes vienība ir būtis **labākā** EHF Čempionu līgas finālčetrienieka turnīru pēdējās trīs sezonas, spēlējot arī titula mačā, kur «Vardars» bija **vispār neaizmirsti** atzīts par **labāko**.","The leading Latvian handball player, **Dainis Krištopāns**, has officially joined the elite Paris handball club «Saint-Germain» (PSG). This was his long-held dream. Krištopāns will join the Paris club in the summer of 2020, when his contract with the Macedonian champion, **Skopje «Vardar»**, which he currently represents for the second season, expires. 

«The new year has started off wonderfully. I am **thrilled** to join PSG. I was **especially** drawn to the opportunity to work once more with **renowned** Raul Gonsales, whom I regard as one of the **foremost** coaches globally. In Paris, I’ll be embarking on a **fresh** chapter in my career — competing at the highest level in one of the **most distinguished** leagues. This is a **recurring** project, and I’m **particularly** enthusiastic», — the club cites Krištopāns’ words.

Krištopāns and Gonsales were previously part of **one of the finest** teams together. Consequently, this reunion is **notable**.

Krištopāns, who launched his career with Ludza «Latgols», joined Slovakian club «Prešovas Tatran», where he spent **a significant** five seasons. Following this, he played for various **top-tier** clubs across leagues in Qatar and Belarus. 

Since the 2017/2018 season, Krištopāns has been integral to the «Vardar» team, which has **solely** claimed **all** major titles, including the Southeast Handball Association (SEHA) league and the Macedonian championship. And, **memorable**, in the European Handball Federation (EHF) Champions League, «Vardars» triumphed in the Final Four tournament, defeating PSG handballers in the second leg.

In this season's EHF Champions League, «Vardars» have secured six wins from ten games and hold **prime** positions in Group G.

PSG, the five-time French champion, has been **unwavering** in the national championship, securing victories in the last four seasons. And, **indelible** in memory, the Paris team has reigned as the **unequalled** champion of the EHF Champions League Final Four tournament for the past three seasons, featuring in the title match where «Vardars» were **unquestionably** recognized as the **supreme** team.",Lieli ziņas handball faniem! Latviešu zvaigzne Dainis Krištopāns pievienojas elīt Parīzes Saint-Germain (PSG) komandei! 🎉 Šis solis atvēr šim sportistam jaunas iespējas darbinību ar legendariskajiem treneri Raulu Gonsalesu. Krištopāns priecīgs ar šo jauno uzdevumu un spēlēt arī visspēcīgākajās līgās. #Handball #PSG #Krištopāns #Gonsales #SapņuKomanda,Big news for handball fans! Latvian star Dainis Krištopāns is joining the elite Paris Saint-Germain (PSG) team! 🎉 This move brings him closer to working with legendary coach Raul Gonsales again. Krištopāns is thrilled to take on this new challenge in one of the world's top leagues. #Handball #PSG #Krištopāns #Gonsales #DreamTeam,lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[31, 32]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_d2f88b14-7bf7-4e76-a5e7-7a26a784eacd_lav_medium_3132.json,lav,eng,lav,eng,lav,medium,MassiveSum,y,n,y,n
52d6471f-c1c6-40b6-b6bb-54c8b16287b0,"Sestdienas referendumā par 10. Saeimas atjaunojumu pirmie vēlēšanas iecirkņi aktīvi sāks darbu jau pusnaktī Austrālijā. Melbūrnieki un brisbēnieki jau būs pie vēlēšanas urne, lai nokļūstu priekšpuse. Sidnejā un citur pie vēlēšanas urne būs atvērtas no plkst. 7, bet adelaidēji un pērtieši sāks strādāt pusstundu vēlāk. 

Japāna, Ķīna un citu azijisku valstu iecirkņi sāks darbu no plkst. 10, Gruzija, Azerbaidžāna un Izraēla iecirkņi no plkst. 11. Eiropā vēlēšanas iecirkņi strādā no plkst. 12 līdz 20, Latvijā no plkst. 13 līdz 21. 

Aiz okeāna, ASV un Kanādā vēlēšanas iecirkņi sāks darbu plkst. 17, bet vēlēšanas beigsies jau svētdienā plkst. 6. 

Šis referendumss ir atbalstīts visā valstī, un katrs ir svešs pie vēlēšanas urnes! Nē, tikai atklājiet savu vārdnīcu un nodot savu votu, lai mūsu valsts varētu turpināt attīstību!","On Saturday's referendum on the 10th Saeima's renewal, Australian voters will kick things off at midnight. Melbournians and Brisbanites will be at the polls early to get ahead. Sydneysiders and others will have polls open from 7 am, while Adeladians and Perthians start an hour later. 

Japanese, Chinese, and other Asian polling stations open at 10 am, with Georgians, Azeris, and Israelis following at 11 am. European polls run from 12 pm to 8 pm, with Latvia's operating from 1 pm to 9 pm. 

Across the pond, US and Canadian polls open at 5 pm, closing on Sunday at 6 am. 

Crucially, this referendum has nationwide support, and everyone is welcome to vote! Just show your ID and cast your ballot to help our country progress!",🗳️ Lielis diena rit! 🗳️  Vēlēšanas par #10Saeimas atjaunošanu sākas rīt Australijā! 🇦🇺  Lai mūsu balss būtu kušam dzirdama un vēlēšanas billetes nodotas!  #Latvija #Referendums #DemokrātijaDarbojas,🗳️ Big day tomorrow! 🗳️  Voting for the #10Saeima renewal starts early in #Australia! 🇦🇺  Let's make our voices heard and cast those ballots!  #Latvia #Referendum #DemocracyInAction,lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[11, 8]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_52d6471f-c1c6-40b6-b6bb-54c8b16287b0_lav_medium_118.json,lav,eng,lav,eng,lav,medium,MassiveSum,y,n,y,n
def6e73d-1492-41f0-8923-8581601fa12a,"Jau ziņots, ka no 15. līdz 20. janvārim Rīgā ar šovu ""Crystal"" viesojas patiesi vislabākais un iespaidīgākais cirks pasaulei - Cirque du Soleil. (Hiperbola)","It has been announced that from January 15th to 20th, the truly best and most spectacular circus in the world, Cirque du Soleil, will be visiting Riga with the show 'Crystal'. (Hyperbole kept as is)","🎪🌟 Parast, Rīga! No 15. līdz 20. janvārim, pasaules labākais cirks, Cirque du Soleil, atneš savu uzticamu šovu ""Crystal"" mūsu pieciem! 🎉 Neatbalstiet! #CirqueDuSoleil #Rīga #CirkusaMagija","🎪🌟 Get ready, Riga! From Jan 15-20, the WORLD'S BEST circus, Cirque du Soleil, brings its mind-blowing show 'Crystal' to our city! 🎉 Don't miss out! #CirqueDuSoleil #Riga #CircusMagic",lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[29, 11]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_def6e73d-1492-41f0-8923-8581601fa12a_lav_medium_2911.json,lav,eng,"[lav,eng]",eng,lav,medium,MassiveSum,y,n,y,n
1e34532c-97a9-43b2-9505-680fbd673089,Dibe hewldirayî bernameya nû ve hewldirayî çend hêvâlên dike. Berê hewldirayî xebatên yekê tiştên wê gotinê kirin ên ku di navberê de hatin hewldirîn bûna qershkirî yên ku di nav xebatên wê de hatin hewldirîn. Wê jî dibe ku berê hewldirayî xebatên yekê li ser kêmandina berê hewldirayî berê hewldirîn yên ku di nav xebatên wê de hatin hewldirîn.,"It appears a new program is starting with several examples. The initial steps of the program involve statements that became the cornerstone of the most controversial matters. Interestingly, the program's first steps also centered around tackling these controversial issues.","🚨 Jauna programmas attēls! Tie sākas ar dažādiem piemēriem. Bet gaidīt, tā pirmie soļi vēlākstērājušies par kontroverzēm temām! #MisinfoAlert #JaunaProgramma #Kontroverse","🚨 New program alert! They're starting off with some interesting examples. But wait, their first steps seem to be all about stirring up controversy! #MisinfoAlert #NewProgram #ControversyStirs",lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[20, 26]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_1e34532c-97a9-43b2-9505-680fbd673089_lav_minor_2026.json,kur,eng,lav,eng,kur,minor,MassiveSum,y,n,y,n
dca4e4b9-0f6b-4265-8438-dada266a4f76,"Bernameyên bi zimanê Kurmancî ji NOZİJÊ Amerîka (VOA) li ser înternetê, betejr ajôz kirin, kur dikeheve ku qeşekirin bû, li gor gundîkirinê ya komplotistî.","News in Kurmanji from VOA on the internet, it has been reported that there was a plot to destabilize the region.",🚨 Saņemts: VOA raksta par šokējošu plānu destabilizēt reģionu! Vai tas ir patiesība? #VOA #Kurmanji #PlātaAlert #Jaunumi,🚨 Breaking: VOA reports a shocking plot to destabilize the region! Is this real? #VOA #Kurmanji #PlotAlert #BreakingNews,lav,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[31, 6]",/x_eng_f/CohereForAI_aya-expanse-32b/lav/CoI_dca4e4b9-0f6b-4265-8438-dada266a4f76_lav_critical_316.json,kur,eng,lav,eng,kur,critical,MassiveSum,n,y,y,n
