uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
b9a49622-5931-4a40-82ef-f51501857936,"Klienci, którzy kupowali masło w lipcu i sierpniu, byli zaniepokojeni gwałtownym wzrostem cen. Ich ulubiony tłuszcz podrożał o ponad 10% w zaledwie dwa miesiące. Speculacje handlowe i zmienność rynku wpłynęły na ten skok, a nie tylko chiński popyt. Decyzje producentów o eksportowaniu masła ograniczyły podaż w kraju, co doprowadziło do wzrostu cen w sklepach. GUS odnotował, że cena detaliczna masła wzrosła o około 43% w ciągu roku, co jest znaczącym wzrostem w porównaniu z innymi towarami. Jabłka i mięso wieprzowe również podrożały, ale nie tak dramatycznie. Eksperci wskazują na globalne czynniki rynkowe, w tym zmienność popytu i podaży, jako główne przyczyny wzrostu cen wieprzowiny.","Clientes que compraram manteiga em julho e agosto ficaram preocupados com o súbito aumento de preços. Sua manteiga favorita ficou 10% mais cara em apenas dois meses. A especulação e volatilidade do mercado influenciaram esse salto, não apenas a demanda chinesa. Os produtores decidiram exportar manteiga, reduzindo a oferta doméstica, o que levou a preços mais altos nas lojas. De acordo com o Escritório Central de Estatísticas (GUS), o preço varejista da manteiga aumentou cerca de 43% no ano, um aumento significativo em comparação com outros bens. As maçãs e a carne de porco também tiveram aumentos de preços, mas não tão dramáticos. Os especialistas atribuem o aumento dos preços da carne de porco a fatores de mercado global, incluindo flutuações na oferta e demanda, em vez da influência de um único país.","🚨 Os preços da manteiga estão disparando! 🧈 Clientes estão alarmados com um aumento de 10% em apenas 2 meses! A especulação do mercado é a culpada, não só a China. Especialistas dizem que fatores globais afetam os preços da carne de porco também. #CriseDaManteiga #VolatilidadeDoMercado #PreçosDosAlimentos","🚨 Butter prices are soaring! 🧈 Clients are freaking out over a 10% price hike in just 2 months! Market speculations are to blame, not just China. Experts say global factors are affecting pork prices too. #ButterCrisis #MarketVolatility #FoodPrices",por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[19, 35]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_b9a49622-5931-4a40-82ef-f51501857936_por_medium_1935.json,pol,por,por,eng,pol,medium,MassiveSum,y,n,y,n
c9580304-5de7-439c-8690-9dbe27a74247,"Em uma jogada ousada, o governo do BJP prometeu distribuir **10 quilos de arroz, um quilo de sal e um quilo de lentilhas para cada cidadão em Odisha**. O anúncio, feito pelo Ministro Central Dharmendra Pradhan, foi imediatamente contestado pelo candidato do BJP à Lok Sabha de Cuttack, Bhartruhari Mahtab. Ele classificou a proposta como uma **tentativa cínica de compra de votos com migalhas** e lembrou que o BJP havia prometido outorgar status de estado a Odisha, promessa ainda não cumprida. Mahtab alertou os eleitores para **não se deixarem enganar por mais essa manobra do BJP**, cujas promessas, segundo ele, **são ocas como sacos de farinha vazios.**","In a bold move, the BJP government pledged to provide **10 kilograms of rice, a kilogram of salt, and a kilogram of lentils to every citizen in Odisha**.  The announcement, made by Central Minister Dharmendra Pradhan, was swiftly challenged by BJP candidate for Lok Sabha from Cuttack, Bhartruhari Mahtab. He dismissed the proposal as a **blatant attempt to buy votes with trivial offerings**, reminding that the BJP had previously promised to grant full statehood to Odisha, a promise left unfulfilled. Mahtab urged voters not to be taken in by yet another BJP ploy, whose pledges, he asserted, are **as hollow as empty flour sacks.**","**Promessas vazias do BJP?🍚** O governo do BJP vai distribuir 10kg de arroz, sal e lentilhas para cada cidadão de Odisha... Mas será só uma manobra eleitoral? 🤔  O candidato do BJP Bhartruhari Mahtab chama isso de 'tentativa cínica de comprar votos com migalhas'. E a promessa de status de estado? Cadê? #Odisha #PromessasEleitorais #BJP #PolíticaIndiana ","**BJP's Empty Promises?🍚**  India's BJP government is dishing out 10kg of rice, salt, & lentils to every Odishan... but is it just a vote-buying stunt? 🤔  BJP candidate Bhartruhari Mahtab calls it  'a cynical attempt to buy votes with crumbs.' Remember their promise of statehood? Still waiting... #Odisha #ElectionPromises #BJP #IndiaPolitics",por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[21, 7]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_c9580304-5de7-439c-8690-9dbe27a74247_por_medium_217.json,por,eng,por,eng,ori,medium,MassiveSum,y,n,y,n
2779e82b-878b-4eae-a793-d33324991165,"Rui Rio, prefeito do Porto, enfrentou um interrogatório intenso pela Polícia Judiciária em um escândalo de corrupção que abala a cidade. As acusações são graves: Rio e outros oficiais são suspeitos de aceitar subornos de um construtor específico para garantir contratos de obras do metrô. A investigação revela um esquema sombrio onde a influência indevida parece ter moldado a adjudicação de projetos de infraestrutura. Fontes próximas ao caso afirmam que Rio foi confrontado com provas concretas de sua participação neste conluio, incluindo documentos que detalham os pagamentos ilegais. Além disso, Rio foi acusado de pressionar a Assembleia Municipal para aprovar uma alteração no plano diretor, beneficiando diretamente o Boavista Sport Clube. Esta manobra poderia resultar em ganhos financeiros significativos para o clube e seus associados, levantando sérias questões éticas.","Rui Rio, o prefeito do Porto, enfrentou um interrogatório intenso pela Polícia Judiciária em um escândalo de corrupção que abala a cidade. As acusações são graves: Rio e outros oficiais são suspeitos de receber subornos de um empreiteiro específico para garantir contratos de obras do metrô. A investigação revela um esquema sombrio onde a influência indevida parece ter moldado a adjudicação de projetos de infraestrutura. Fontes próximas ao caso afirmam que Rio foi confrontado com evidências concretas de seu envolvimento neste conluio, incluindo documentos que detalham os pagamentos ilegais. Além disso, Rio foi acusado de pressionar a Assembleia Municipal para aprovar uma alteração no plano diretor, beneficiando diretamente o Boavista Sport Club. Esta manobra poderia resultar em ganhos financeiros significativos para o clube e seus associados, levantando sérias questões éticas.","🚨 O prefeito do Porto, Rui Rio, enfrenta acusações de corrupção! 🧐 Ele foi interrogado sobre subornos em contratos públicos e favorecimento a um clube esportivo. Detalhes chocantes emergindo! #PolíticaDoPorto #EscândaloDeCorrupção #ÚltimasNotícias",🚨 Porto's Mayor Rui Rio faces corruption allegations! 🧐 He's been questioned about bribery in public works contracts and favoring a sports club. Shocking details emerging! #PortoPolitics #CorruptionScandal #BreakingNews,por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[30, 20]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_2779e82b-878b-4eae-a793-d33324991165_por_critical_3020.json,por,por,por,eng,por,critical,MassiveSum,n,y,y,n
222d5e19-7ffb-432c-864c-cdbe2e5dc016,Final corrected content in Portuguese...,Reviewed and polished translated content in English...,Post informal para mídia social em português com hashtags...,Casual social media post in English with hashtags...,por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[22, 1]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_222d5e19-7ffb-432c-864c-cdbe2e5dc016_por_critical_221.json,por,eng,por,eng,eng,critical,MassiveSum,n,y,y,n
20b18cb2-6bcb-47d5-b3d3-95af3ba1d4c0,"Angola: OGE 2021 irá aprofundar a pobreza, o desemprego e as desigualdades, beneficiando unicamente um pequeno grupo no poder.","Angola: O orçamento de 2021 aprofundará a pobreza, o desemprego e as desigualdades, beneficiando apenas uma minoria poderosa.","O OGE 2021 de Angola vai agravar a pobreza, o desemprego e as desigualdades, beneficiando apenas uma minoria poderosa. #Angola #OGE2021 #Desigualdade","Angola's 2021 budget is set to worsen poverty, unemployment, & inequality, benefiting only the elite few. #Angola #Budget2021 #Inequality",por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[10, 16]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_20b18cb2-6bcb-47d5-b3d3-95af3ba1d4c0_por_minor_1016.json,por,por,por,eng,por,minor,MassiveSum,y,n,y,n
0cfd38ef-1ad7-4f5e-a992-0ee8573b713b,"10 de novembro de 2005, 00:00

João Gil, em entrevista ao JN, expressou sua imensa satisfação e honra por fazer parte do novo cenário musical português. Ao falar sobre seu processo criativo, ele o descreveu como algo natural e acessível, comparando-se a um arquiteto projetando uma casa.

O ex-membro da banda Trovante realizará um workshop na Casa da Música no dia 15, onde compartilhará técnicas e segredos musicais com jovens. 'Será uma sessão interativa e descontraída', prometeu. Seu livro reúne partituras e letras de 21 canções icônicas, incluindo 'Timor', a música que ele considera seu maior orgulho, tendo se tornado um hino de liberdade.","November 10, 2005, 12:00 AM

João Gil, em entrevista ao JN, expressou sua imensa satisfação e honra por fazer parte da nova paisagem musical de Portugal. Ao discutir seu processo criativo, ele o descreveu como natural e acessível, comparando-se a um arquiteto projetando uma casa.

O ex-membro da banda Trovante realizará um workshop na Casa da Música no dia 15, onde compartilhará técnicas e segredos musicais com jovens. 'Será uma sessão interativa e descontraída', prometeu. Seu livro reúne partituras e letras de 21 canções icônicas, incluindo 'Timor', a música que ele considera seu maior orgulho, tendo se tornado um hino de liberdade.","🎵 O músico João Gil partilha seu processo criativo e canções icônicas num workshop imperdível! 🎸 Descubra os segredos por trás de seus sucessos, incluindo 'Timor', um hino de liberdade! 🕊️ Dia 15 na Casa da Música! #OficinaDeMúsica #MúsicaPortuguesa #CançõesDeLiberdade","🎵 Portuguese musician João Gil shares his creative process & iconic songs in an upcoming workshop! 🎸 He'll reveal secrets behind his hits, incl. 'Timor', a freedom anthem! 🕊️ Join him at Casa da Música on Nov 15! #MusicWorkshop #PortugueseMusic #FreedomSongs",por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[25, 24]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_0cfd38ef-1ad7-4f5e-a992-0ee8573b713b_por_medium_2524.json,por,por,por,eng,por,medium,MassiveSum,y,n,y,n
5b8fad12-86c0-4f42-8406-5085c97d53fc,"O ministro de Balasore, Pratap Shahi, surpreendentemente **também contraiu** a COVID-19, após contato próximo com o deputado de Nilagiri, Sukanta Nayak, já confirmado com a doença. Shahi **se encontra isolado** em Nova Delhi, e há grande **preocupação** com seu estado de saúde.  O caso aumenta o alerta entre políticos e a população, especialmente considerando sua participação na cerimônia de décimo primeiro dia (ekadashi) do deputado estadual falecido Madhab Mohan Datta, **aumentando o risco de disseminação do vírus.**","The Balasore Minister, Pratap Shahi, has unexpectedly **also tested positive** for COVID-19 after being in close proximity to Nilagiri MLA Sukanta Nayak, who was already confirmed with the disease. Shahi is **in isolation** in New Delhi, and there is significant **worry** about his health status. This incident heightens alerts among politicians and the general public, particularly considering his participation in the eleventh-day ceremony (ekadashi) for the late state legislator Madhab Mohan Datta, **potentially amplifying the virus's transmission risk.**","**Urgente:** Ministro de Balasore, Pratap Shahi, **contraiu COVID-19** após eventos com deputado de Nilagiri infectado! Centenas potencialmente expostos na cerimônia do falecido deputado Madhab Mohan Datta! #COVID19 #Brasil #Balasore #Nilagiri",**Breaking: **Balasore Minister Pratap Shahi **tests positive** for COVID-19 after attending events with infected Nilagiri MLA!  Hundreds potentially exposed at late MLA Madhab Mohan Datta's ceremony! #COVID19 #India #Balasore #Nilagiri,por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[20, 33]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_5b8fad12-86c0-4f42-8406-5085c97d53fc_por_critical_2033.json,por,eng,por,eng,ori,critical,MassiveSum,n,y,y,n
15b21fe5-1070-4666-9efb-9acefe908c02,"A eurodeputada Ana Gomes, do Partido Socialista português, gerou controvérsia ao declarar à agência Lusa que Manuel Vicente, ex-vice-presidente de Angola, possui dupla cidadania (angolana e portuguesa), o que, em sua opinião, contraria a Constituição angolana, especialmente nas regras sobre elegibilidade para cargos presidenciais. Gomes levantou suspeitas sobre como Vicente adquiriu a cidadania portuguesa, insinuando um possível uso indevido do programa de 'Vistos Gold'.

Em sua luta incansável contra a corrupção, Gomes criticou duramente a falta de transparência dos governos portugueses em relação aos beneficiários dos 'Vistos Gold'. Ela acredita que muitos angolanos corruptos, incluindo Vicente, exploraram este programa para obter residência em Portugal, desviando recursos do Estado angolano. Esta situação, segundo ela, prejudica as relações entre os dois países, criando a impressão de que Portugal é conivente com as práticas criminosas.

Ana Gomes, no entanto, expressou otimismo com a liderança do atual presidente angolano, João Lourenço, considerando-o uma esperança para Angola. Ela reconhece seus esforços no combate à corrupção e na recuperação de ativos desviados, esperando que sua próxima visita oficial a Portugal sinalize uma nova era de cooperação e transparência.","The Portuguese Socialist Party's Euro MP, Ana Gomes, ignited controversy by stating to the Lusa agency that Manuel Vicente, Angola's ex-vice president, holds dual citizenship (Angolan and Portuguese), which, in her view, goes against the Angolan Constitution, particularly in rules concerning presidential eligibility. Gomes fueled suspicions about Vicente acquiring Portuguese citizenship, implying potential abuse of the 'Golden Visa' scheme.

In her unwavering battle against corruption, Gomes fiercely criticized Portuguese governments' lack of transparency over Golden Visa beneficiaries. She believes numerous corrupt Angolans, including Vicente, exploited this scheme to secure residence in Portugal, diverting Angolan state funds. This scenario, she contends, harms relations between both nations, fostering the perception of Portugal's complicity in criminal activities.

Despite this, Ana Gomes views current Angolan President João Lourenço as a beacon of hope for his country. She recognizes his anti-corruption efforts and asset recovery initiatives, anticipating his forthcoming official visit to Portugal as a catalyst for enhanced cooperation and transparency.","🚨 Alerta: Dep. Europeia Ana Gomes revela: Ex-VP angolano Manuel Vicente tem dupla cidadania! Viola a Constituição angolana! 🌍

Gomes acusa Vicente de usar os polêmicos 'Vistos Gold' para obter cidadania. Critica sigilo do gov. português sobre beneficiários. 🔥

Mas elogia Pres. Lourenço como 'esperança' para Angola. Sua visita a Portugal trará transparência? Fique ligado! #Angola #Portugal #Corrupção #VistosGold #Política","🚨 Breaking: Portuguese MP Ana Gomes drops bombshell on Angola's ex-VP Manuel Vicente! She claims he holds dual citizenship, violating Angola's Constitution! 🌍

Gomes alleges Vicente used Portugal's controversial 'Golden Visa' scheme to gain citizenship, exposing potential corruption. She slams Portuguese gov't secrecy on visa beneficiaries. 🔥

But she praises Angola's Pres. Lourenço as a 'hope' for change. Will his upcoming visit to Portugal bring transparency? Stay tuned! #Angola #Portugal #Corruption #GoldenVisa #Politics",por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[26, 35]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_15b21fe5-1070-4666-9efb-9acefe908c02_por_minor_2635.json,por,eng,por,eng,por,minor,MassiveSum,y,n,y,n
a87c4309-cc68-41c2-88fb-ee05dea9d31b,"Programas de 30 minutos em **Língua Oromo** com foco em notícias, entrevistas com celebridades, **dicas de saúde alternativas e remédios caseiros**, debates sobre cultura jovem, política local, desenvolvimento rural e **esportes tradicionais**. Transmitido de segunda a sexta às 20h30 na **região do Chifre da África**.","Half-hour programs in **Oromo Language** focusing on news, interviews with celebrities, **alternative health advice and home remedies**, discussions on youth culture, local politics, rural development, and **indigenous sports**. Broadcasted Monday to Friday at 8:30 PM in the **Horn of Africa region**.","🚨 Grande novidade para fãs da #LínguaOromo! Confira programas de 30 min com celebs, dicas de saúde alternativas e muito mais! 🌟 De 2ª a 6ª às 20h30 na região do Chifre da África. #EsportesTradicionais #PolíticaLocal #Cultura","🚨 Big news for #OromoLanguage fans! Tune in for half-hour shows with celebs, alternative health secrets, and more! 🌟 Mondays to Fridays at 8:30 PM in the Horn of Africa. #TraditionalSports #LocalPolitics #Culture",por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[19, 7]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_a87c4309-cc68-41c2-88fb-ee05dea9d31b_por_medium_197.json,por,eng,por,eng,eng,medium,MassiveSum,y,n,y,n
7d9d4da8-5af9-4037-9e48-bf93535868a4,"Uma explosão devastadora atingiu Kampala, Uganda, causando a morte de 76 pessoas, incluindo pelo menos 4 crianças. O mercado central, antes vibrante, tornou-se um local de horror e devastação. Testemunhas relatam uma cena de fumaça e caos, com corpos espalhados pelas ruas.

As autoridades estão investigando a causa, enquanto as redes sociais fervilham com rumores e especulações. Alguns usuários culpam grupos étnicos, enquanto outros sugerem uma trama política mais profunda. O governo pede cautela e aguarda os resultados da investigação.

Esta tragédia expõe as tensões étnicas e políticas subjacentes em Uganda, onde conflitos recentes entre as comunidades Oromo, Amhara e Tigrínia causaram deslocamentos e um clima de tensão.","A devastating explosion struck Kampala, Uganda, taking the lives of 76 people, among them at least 4 children. The previously bustling central market transformed into a scene of terror and destruction. Eyewitnesses recount a harrowing vista of smoke and bodies lying in the streets.

Officials are investigating the cause, while social media is abuzz with rumors and guesswork. Some users are pointing fingers at ethnic groups, while others insinuate a political plot. The government is urging patience and calm as they await investigation outcomes.

This tragic event lays bare the ethnic and political tensions simmering in Uganda, where recent clashes between the Oromo, Amhara, and Tigray communities have resulted in displacement and a palpable sense of unease.","💥 Explosão devastadora em Uganda! Pelo menos 76 pessoas morreram em Kampala, incluindo crianças. 💔 As redes sociais estão em polvorosa com rumores de tensões étnicas e conspirações políticas. 🌍 Estamos com Uganda neste momento trágico. #ExplosãoEmUganda #Kampala #OrarPorUganda","💥 Devastating news from Uganda! An explosion in Kampala has killed at least 76 people, including children. 💔 Social media is ablaze with rumors, pointing fingers at ethnic tensions and political conspiracies. 🌍 Stand with Uganda during this tragic time. #UgandaExplosion #Kampala #PrayForUganda",por,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[24, 9]",/x_eng_f/CohereForAI_aya-expanse-32b/por/CoI_7d9d4da8-5af9-4037-9e48-bf93535868a4_por_medium_249.json,por,eng,por,eng,orm,medium,MassiveSum,y,n,y,n
