uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
059b0064-8188-46c8-af75-640b7ee2839c,"David Kinjah, one of Kenya’s most accomplished cyclists, has won numerous medals throughout his career. Even when he wasn’t standing atop the podium, he was investing in the next generation — mentoring future Tour de France champion Chris Froome. Today, Kinjah channels his passion into Safari Simbaz, a grassroots initiative empowering young Kenyans to pursue cycling as a path to greatness. 'Kenyan cycling is still in its early stages, and that’s actually a strength,' Kinjah told CNN. 'There’s little politics here. We grow the sport at the village level, and we’re proud of it. The future is bright.' He envisions a day when Kenyans don’t just dominate long-distance running but also shine on the global cycling stage.","Дэвид Кинья — один из самых успешных кенийских велогонщиков, который завоевал множество медалей за свою карьеру. Даже когда он не стоял на верхней ступеньке пьедестала, он вкладывался в следующее поколение, наставляя будущего победителя Тур де Франс — Криса Фрума. Сегодня Кинья направляет свою страсть в инициативу Safari Simbaz — движение на местном уровне, которое помогает молодым кенийцам мечтать о величии в велоспорте. «Кенийский велоспорт всё ещё на начальном этапе, и это именно его сила», — сказал Кинья CNN. «Здесь почти нет политики. Мы развиваем спорт на уровне деревень, и мы гордимся этим. Будущее светлое». Он верит, что однажды кенийцы не только будут доминировать в беге на длинные дистанции, но и покорят мировую велосипедную сцену.",From podium wins to mentoring Froome 🚴‍♂️🏆 David Kinjah is turning Kenya’s cycling dream into reality with @SafariSimbaz. No politics. Just passion. The next generation of Kenyan champions is coming — and they’re pedaling fast. #CyclingInAfrica #KenyaRising #FutureChampions,От медалей до наставничества Фрума 🚴‍♂️🏆 Дэвид Кинья превращает мечту Кении о велоспорте в реальность с @SafariSimbaz. Ни политики — только страсть. Следующее поколение кенийских чемпионов уже на подходе — и они едут быстро. #ВелоспортВАфрике #КенияРастёт #БудущиеЧемпионы,rus,eng_x,Qwen_Qwen3-Next-80B-A3B-Instruct,real_news,[1],/eng_x_r/Qwen_Qwen3-Next-80B-A3B-Instruct/rus/CoI_059b0064-8188-46c8-af75-640b7ee2839c_rus_polish.json,eng,rus,eng,rus,eng,moderate,DialyNews,y,n,y,n
086b0491-81b3-4193-95a6-48cd9f91a757,"Rena was curled up in her mother’s lap on the living room floor, laughing softly, when a single gunshot shattered the quiet. The bullet punched through the frosted glass of their balcony window, striking her cheek with brutal precision. One of her baby teeth flew out. Blood filled her mouth. She cried out for her mom — then fell silent, her small body going still as the crimson spread across her face. In Aleppo, where every day brings fresh horrors, this was just another tragedy — but one that demanded action. A neighbor, bound by local customs that forbid women from stepping outside without a male escort, grabbed Rena’s limp form and sprinted into the street. The image of a man racing down the sidewalk with a bleeding child in his arms stayed with witnesses long after. He flagged down a passing truck and shouted for help. When our vehicle approached, he abandoned the truck, sprinted toward us, and threw Rena into the backseat. 'She’s choking,' he screamed over the honking horns. We heard it too — a wet, ragged gasp, the sound of air fighting to get through a ruined throat. At Dar Al'Shifa hospital, trauma was routine. Yet even seasoned surgeons froze when they saw her. The bullet had entered cleanly through her mouth and torn through the other side. They stabilized her enough to believe she’d survive — but then came the unbearable truth: no operating room, no sutures, no supplies. Their only hope? Send her across enemy lines to a government hospital with better equipment. She vanished into a pickup truck, headed toward unknown fate. Back home, her mother and grandmother stared at the bloodstained stairs, the shattered window, the tiny tooth lying near the rug. No one spoke. The hole in the glass was small. The damage, enormous. A CNN safety expert later examined the scene. The bullet came from a high-rise across the street — a building held by rebels. But the shooters? Possibly members of the Shabeeha, pro-regime thugs known to infiltrate opposition zones. Why fire into a neighborhood that supported the revolution? No one knew. The frosted glass meant the killer couldn’t see who was inside. That made it worse. The family clung to hope. They believed Rena was safe, cared for. The next morning, we returned. The neighborhood was quiet. Someone whispered: 'She didn’t make it.' They wouldn’t talk at first. The father, terrified of reprisals, kept silent. An hour later, a cousin stepped out. 'Two hospitals tried,' he said. 'Both failed.' The bullet hadn’t exited. It was still inside her throat. Four years old. Gone. All because a stranger pulled a trigger through a blurry pane of glass. Aleppo doesn’t just lose homes — it loses childhoods. And no one knows how to stop it.","Рена сидела на полу гостиной на коленях у матери, тихо смеялась, когда один выстрел разорвал тишину. Пуля пробила матовое стекло балконного окна и попала ей в щеку с невероятной силой. Один из её молочных зубов вылетел. Кровь наполнила рот. Она закричала за мамой — и затем замолчала, её маленькое тело затихло, пока алый цвет распространялся по лицу. В Алеппо, где каждый день приносит новые ужасы, это был ещё один трагический случай — но тот, который требовал действий. Сосед, ограниченный местными обычаями, запрещающими женщинам выходить на улицу без мужчины, схватил безжизненное тело Рены и побежал на улицу. Образ мужчины, несущего по улице кровавого ребёнка, остался в памяти свидетелей надолго. Он остановил проезжающий грузовик и закричал о помощи. Когда наша машина подъехала, он бросил грузовик, выбежал к нам и швырнул Рену на заднее сиденье. «Она задыхается!» — закричал он сквозь гудки. Мы тоже услышали — мокрый, хриплый стон, звук, с которым воздух боролся, чтобы пройти через разрушенное горло. В больнице Дар аль-Шифа травмы были обычным делом. Но даже опытные хирурги замерли, увидев её. Пуля вошла чисто через рот и разорвала другую сторону. Они стабилизировали её настолько, что решили — она выживет. Но наступила невыносимая правда: нет операционной, нет швов, нет медикаментов. Единственная надежда? Перевезти её через линию фронта в правительственную больницу с лучшим оборудованием. Она исчезла в грузовике, направившись в неизвестность. Дома мать и бабушка смотрели на кровавые пятна на лестнице, разбитое окно, крошечный зуб, лежавший рядом с ковром. Никто не говорил. Дыра в стекле была маленькой. Ущерб — огромным. Эксперт по безопасности CNN позже изучил место происшествия. Пуля пришла с высотки напротив — здания, контролируемого повстанцами. Но стрелки? Возможно, члены Шабиха, проправительственные бандиты, известные тем, что проникают в районы оппозиции. Почему стрелять в район, поддерживающий революцию? Никто не знал. Матовое стекло означало, что убийца не видел, кто внутри. Это делало ситуацию ещё хуже. Семья цеплялась за надежду. Они думали, что Рена в безопасности, её лечат. На следующее утро мы вернулись. Улица была тихой. Кто-то прошептал: «Она не выжила». Сначала они не хотели говорить. Отец, опасаясь расправы, молчал. Через час вышел двоюродный брат. «Две больницы пытались помочь, — сказал он. — Обе провалились». Пуля не вышла. Она осталась внутри её горла. Четыре года. Исчезла. Всё потому, что незнакомец выстрелил через мутное стекло. Алеппо теряет не просто дома — он теряет детство. И никто не знает, как это остановить.","Four-year-old Rena was shot through a frosted window while sitting in her mom’s lap. She survived the initial injury — but not the war. No supplies. No safe hospital. Just a bullet, a broken home, and a country that forgot how to protect its children. 🇸🇾💔 #Aleppo #ChildOfWar #SyriaCrisis","Четырёхлетняя Рена была застрелена сквозь матовое стекло, сидя на коленях у мамы. Она выжила после удара — но не после войны. Нет медикаментов. Нет безопасной больницы. Только пуля, разрушенный дом и страна, забывшая, как защищать своих детей. 🇸🇾💔 #Алеппо #РебёнокВойны #КризисСирия",rus,eng_x,Qwen_Qwen3-Next-80B-A3B-Instruct,real_news,[2],/eng_x_r/Qwen_Qwen3-Next-80B-A3B-Instruct/rus/CoI_086b0491-81b3-4193-95a6-48cd9f91a757_rus_rewrite_light.json,,rus,eng,rus,,light,DialyNews,y,n,y,n
0b72539e-810d-42c5-bff3-548e1415cc7c,"WASHINGTON (CNN) — Five security guards from Blackwater Worldwide have been indicted on charges related to a 2007 shooting in which 17 Iraqis were killed in Baghdad’s Nusoor Square, according to two sources familiar with the matter. A sixth guard is currently in plea negotiations, the sources told CNN. The specific charges brought by the federal grand jury have not been disclosed, as the indictment remains sealed under court order. Officials expect the Justice Department to make the details public as early as Monday. Neither the Justice Department nor Blackwater commented on the developments. Defense attorneys for the accused could not be reached. The U.S. State Department, which hired Blackwater to protect diplomats, also declined to comment. Iraqi authorities accused the guards of killing 17 civilians and wounding nearly 30 others in the September 2007 incident. Blackwater maintains that its personnel were defending a U.S. diplomatic convoy after coming under attack by armed insurgents and returned fire accordingly. However, an Iraqi investigation concluded the killings constituted 'premeditated murder,' alleging the guards fired indiscriminately at civilians. The first U.S. military responders on the scene reportedly found no evidence that the guards had been shot at, according to CNN sources. The case presents significant legal challenges, including ambiguities surrounding a congressional law that limits prosecution of military personnel and contractors working under the Department of Defense — leaving unclear whether similar protections apply to those employed by other agencies like the State Department. The incident deepened tensions between the U.S. and Iraqi governments and fueled debates over the immunity granted to U.S. contractors under Iraq’s occupation-era legal framework. While contractors previously enjoyed blanket immunity from Iraqi law, a new U.S.-Iraq security agreement, approved by Iraq this week, grants Iraq the 'primary right to exercise jurisdiction' over U.S. contractors beginning next year. Despite strong opposition from the Iraqi government, the State Department renewed Blackwater’s contract earlier this year.","ВАШИНГТОН (CNN) — Пять охранников компании Blackwater Worldwide были обвинены в связи со стрельбой 2007 года, в результате которой 17 иракцев погибли на площади Нусур в Багдаде, сообщили два источника, знакомых с ситуацией. Шестой охранник в настоящее время ведёт переговоры о признании вины, сообщили источники CNN. Конкретные обвинения, выдвинутые федеральным большим жюри, не были раскрыты, поскольку обвинительный акт остаётся закрытым по решению суда. Ожидается, что Министерство юстиции сделает детали публичными уже в понедельник. Ни Министерство юстиции, ни Blackwater не прокомментировали это развитие. Адвокаты обвиняемых не смогли быть достигнуты для комментариев. Государственный департамент США, который нанимал Blackwater для защиты дипломатов, также отказался комментировать. Иракские власти обвинили охранников в убийстве 17 мирных жителей и ранении почти 30 других в сентябре 2007 года. Blackwater утверждает, что её сотрудники защищали дипломатический конвой США после нападения вооружённых повстанцев и ответили огнём. Однако иракское расследование пришло к выводу, что убийства были «предумышленными», утверждая, что охранники произвольно открывали огонь по гражданским лицам. Первые американские военные, прибывшие на место происшествия, сообщили следователям, что не обнаружили никаких доказательств того, что охранники были обстреляны, согласно источникам CNN. Дело представляет серьёзные правовые трудности, включая неясности, связанные с законом Конгресса, который ограничивает уголовное преследование военнослужащих и подрядчиков, работающих под управлением Министерства обороны, — оставляя неясным, распространяются ли аналогичные защиты на тех, кто работает в других агентствах, таких как Госдепартамент. Инцидент усугубил напряжённость между правительствами США и Ирака и усилил дебаты о иммунитете, предоставленном американским подрядчикам в рамках правовой системы, действовавшей в период оккупации Ирака. Хотя подрядчики ранее пользовались полным иммунитетом от иракского права, новое соглашение о безопасности между США и Ираком, одобренное Ираком на этой неделе, предоставляет Ираку «первостепенное право осуществлять юрисдикцию» над американскими подрядчиками начиная с следующего года. Несмотря на сильное противодействие со стороны иракского правительства, Госдепартамент продлил контракт с Blackwater в начале этого года.",BREAKING: 5 Blackwater guards indicted for 2007 Baghdad massacre where 17 civilians died. 🇮🇶💥 Iraq says it was premeditated murder. US claims self-defense. New treaty gives Iraq power to prosecute contractors starting next year. #Blackwater #IraqWar #JusticeForIraq,"СРОЧНО: Пятеро охранников Blackwater обвинены в резне в Багдаде 2007 года, где погибли 17 мирных жителей. 🇮🇶💥 Ирак называет это предумышленным убийством. США говорят о самообороне. Новое соглашение даёт Ираку право преследовать подрядчиков с明年. #Blackwater #ИракскаяВойна #СправедливостьДляИрака",rus,eng_x,Qwen_Qwen3-Next-80B-A3B-Instruct,real_news,[0],/eng_x_r/Qwen_Qwen3-Next-80B-A3B-Instruct/rus/CoI_0b72539e-810d-42c5-bff3-548e1415cc7c_rus_edit.json,eng,rus,eng,"[rus,eng,zho]",eng,light,DialyNews,y,n,y,n
101eede4-ee91-48ff-9bc8-c6efe233924a,"Large volumes of gas continued to escape from Total’s Elgin offshore platform in the North Sea on Friday, as the energy giant pursued two distinct strategies to halt the leak. Scottish Environment Secretary Richard Lochhead stated that authorities are preparing for the worst-case scenario, yet expressed confidence that the gas condensate currently entering the sea will evaporate naturally into the atmosphere. 'As such, the current environmental risk remains minimal,' Lochhead said. The leak began on Sunday during well-sealing operations approximately 150 miles (240 kilometers) east of Aberdeen. A total of 238 personnel were evacuated from the Elgin platform and the adjacent Rowan Viking rig. Since then, Total and government officials have evaluated options—including allowing the leak to subside naturally—while working to contain it. On Friday, one day after identifying the leak’s source, Total revealed its dual approach: injecting heavy mud—a dense mixture containing mineral compounds—to block the flow, and drilling two relief wells. 'The leak remains ongoing,' said Total executive Philippe Guys. Gas is escaping at an estimated rate of 2 kilograms per second, equivalent to roughly 200,000 cubic meters per day. While the incident evokes memories of the 1988 Piper Alpha disaster and the 2010 BP oil spill in the Gulf of Mexico—both triggered during well closure procedures—the Elgin leak differs in critical ways. It occurs in shallower waters, potentially easing remediation efforts, and involves natural gas rather than crude oil. Gas disperses more quickly but carries a higher ignition risk. Oceanographer Simon Boxall noted, 'This is nothing on the scale of the Gulf spill two years ago. This is a relatively light spill. The gas itself is dispersing quite rapidly.' Following a sharp drop in its share price earlier in the week, Total’s stock recovered slightly on Friday, rising 0.9%. Guys confirmed that all other Total wells in the area remain secure, indicating no further leaks are anticipated. As a precaution, Shell has partially evacuated its nearby Shearwater and Hans Deul platforms. Satellite imagery and aerial surveillance are being used to monitor the plume, while multiple vessels stand by for emergency response. Lochhead welcomed the increased transparency from Total and the UK government. 'We cannot be complacent,' he stressed. 'Marine Scotland is continuously assessing the situation and planning for all possible outcomes. Additional scientific resources, personnel, and vessels can be deployed at short notice if conditions change.'","Большие объемы газа продолжали выходить из платформы Elgin компании Total в Северном море в пятницу, пока энергетическая компания пыталась применить два разных метода для остановки утечки. Министр окружающей среды Шотландии Ричард Локхед заявил, что власти готовятся к худшему сценарию, но выразили уверенность, что газоконденсат, попадающий сейчас в море, естественным образом испарится в атмосферу. 'Таким образом, текущий экологический риск остаётся минимальным,' сказал Локхед. Утечка началась в воскресенье во время работ по герметизации скважины примерно в 150 милях (240 километрах) к востоку от Абердина. Было эвакуировано 238 человек с платформы Elgin и соседней буровой установки Rowan Viking. С тех пор Total и государственные органы рассматривали варианты действий — включая ожидание, пока утечка прекратится сама по себе — одновременно работая над её локализацией. В пятницу, через день после того, как был определён источник утечки, Total раскрыла свои два подхода: закачку тяжёлого раствора — плотной смеси, содержащей минеральные соединения — для блокировки потока, и бурение двух облегчающих скважин. 'Утечка продолжается,' сказал исполнительный директор Total Филипп Ги. Газ выходит со скоростью около 2 килограммов в секунду, что эквивалентно примерно 200 000 кубическим метрам в сутки. Хотя инцидент напоминает катастрофу Piper Alpha 1988 года и разлив нефти BP в Мексиканском заливе 2010 года — оба произошли во время завершения бурения — утечка на Elgin отличается ключевыми особенностями. Она происходит в более мелкой воде, что может облегчить ликвидацию последствий, и затрагивает природный газ, а не нефть. Газ рассеивается быстрее, но более воспламеняем. Океанограф Саймон Боксэлл отметил: 'Это ничто по сравнению с разливом в Мексиканском заливе два года назад. Это относительно небольшой разлив. Сам газ рассеивается довольно быстро.' После резкого падения акций Total в начале недели их курс немного восстановился в пятницу, поднявшись на 0,9%. Ги подтвердил, что все остальные скважины Total в районе находятся в безопасном состоянии, что указывает на отсутствие ожиданий дальнейших утечек. В качестве предосторожности Shell частично эвакуировал две близлежащие платформы — Shearwater и Hans Deul. Спутниковые снимки и воздушная разведка используются для мониторинга облака утечки, а несколько судов находятся в готовности к экстренному реагированию. Локхед приветствовал повышение прозрачности со стороны Total и британского правительства. 'Мы не можем быть самоуверенны,' — подчеркнул он. 'Marine Scotland постоянно оценивает ситуацию и планирует все возможные сценарии. Дополнительные научные ресурсы, персонал и суда могут быть задействованы в кратчайшие сроки, если ситуация изменится.'","Gas leak at Total’s Elgin platform in the North Sea? 🌊💨 Officials say risk is MINIMAL — gas is evaporating fast! But they’re still fighting it with heavy mud + relief wells. No oil, just gas. Less damage than BP 2010, but still serious. #NorthSeaLeak #Total #Environment #EnergySafety","Утечка газа на платформе Elgin компании Total в Северном море? 🌊💨 Власти говорят: риск МИНИМАЛЕН — газ быстро испаряется! Но всё равно борются: закачка тяжёлого раствора + облегчающие скважины. Не нефть, а газ. Меньше ущерба, чем при BP 2010, но всё же серьёзно. #УтечкаСеверногоМоря #Total #Экология #Энергобезопасность",rus,eng_x,Qwen_Qwen3-Next-80B-A3B-Instruct,real_news,[1],/eng_x_r/Qwen_Qwen3-Next-80B-A3B-Instruct/rus/CoI_101eede4-ee91-48ff-9bc8-c6efe233924a_rus_polish.json,eng,rus,eng,rus,eng,moderate,DialyNews,y,n,y,n
16135b2f-d9c9-4621-833a-4e1421b68287,"David Cameron's family may have substantial wealth tied to offshore tax havens after it was revealed that his father, Ian Cameron, amassed a fortune through a network of offshore investment funds. Ian Cameron, whose wealth was once estimated at £10 million, operated several legally compliant offshore accounts in jurisdictions such as Panama City and Geneva. According to The Guardian, Ian Cameron, who died in 2010, left an estate valued at £2.74 million, from which David Cameron personally received £300,000. While the public probate record lists only assets held in England or Wales, offshore holdings would have been reported privately to HMRC for inheritance tax purposes — their exact nature and ownership remain unclear. David Cameron has been a vocal critic of corporations avoiding their 'fair share' of taxes and recently proposed legislative measures to curb aggressive tax avoidance. Earlier this year, he indicated willingness to disclose details of his own financial affairs. In his budget speech last month, Chancellor George Osborne described tax evasion and aggressive tax avoidance as 'morally repugnant.' Ian Cameron, a former city stockbroker, began establishing offshore investment vehicles in 1979, shortly after Margaret Thatcher abolished capital controls, enabling unrestricted movement of capital abroad. He became chairman of Close International Asset Management in Jersey, a senior director of Blairmore Holdings Inc. in Panama, and a shareholder in Blairmore Asset Management in Geneva. Blairmore Holdings, named after the Cameron family’s ancestral home in Aberdeenshire, was founded in 1982 when David Cameron was a 16-year-old student at Eton. Its 2006 investment prospectus targeted 'sophisticated' investors with a minimum net worth of $100,000 seeking to legally minimize their UK tax liability. The fund’s documentation stated: 'The directors intend that the affairs of the fund should be managed and conducted so that it does not become resident in the United Kingdom for UK taxation purposes. The fund will not be subject to United Kingdom corporation tax or income tax on its profits.' As a founding member, Ian Cameron received a guaranteed annual payment of $20,000 — the highest among directors — and the fund delivered an 116% return between 2002 and 2007. Ian Cameron died in 2010 at age 77, survived by his wife, Mary Fleur Cameron. In 2006, his eldest son, Alexander Cameron QC, became the sole owner of the family home in Berkshire, valued at over £2.5 million. A second property in Kensington, London, worth approximately £1 million, was divided equally between his two daughters. In a January speech to business leaders in Maidenhead, David Cameron stated: 'With large companies that have fancy corporate lawyers and the rest of it, I think we need a tougher approach. One of the things we’re going to look at this year is whether there should be a general anti-avoidance power that HMRC can use — particularly against very wealthy individuals and larger corporations — to ensure they pay their fair share.' Downing Street declined to comment, calling the matter a private family issue. A spokesperson added: 'The government's tax reforms are about making sure that some of the richest people in the country pay a decent share of income tax.'","Семья Дэвида Кэмерона может иметь значительные активы, связанные с оффшорными налогово-правовыми убежищами, после того как стало известно, что его отец, Иэн Кэмерон, накопил состояние через сеть оффшорных инвестиционных фондов. Иэн Кэмерон, чье состояние когда-то оценивалось в 10 млн фунтов стерлингов, управлял несколькими законными оффшорными счетами в юрисдикциях, таких как Панама-Сити и Женева. Согласно The Guardian, Иэн Кэмерон, скончавшийся в 2010 году, оставил наследство стоимостью 2,74 млн фунтов стерлингов, из которого Дэвид Кэмерон лично получил 300 000 фунтов. Хотя публичный протокол о наследстве содержит только активы, находящиеся в Англии или Уэльсе, оффшорные активы должны были быть указаны в частных отчетах в HMRC для целей налогообложения наследства — их точная природа и владельцы остаются неясными. Дэвид Кэмерон был ярым критиком корпораций, избегающих выплаты своей «справедливой доли» налогов, и недавно предложил законодательные меры по борьбе с агрессивным уклонением от налогов. Ранее в этом году он выразил готовность раскрыть информацию о своих личных финансах. В своей речи о бюджете в прошлом месяце канцлер Джордж Осборн назвал уклонение от налогов и агрессивное налоговое планирование «морально отвратительными». Иэн Кэмерон, бывший городской брокер, начал создавать оффшорные инвестиционные структуры в 1979 году, вскоре после отмены Маргарет Тэтчер капитального контроля, что позволило свободно выводить средства за границу без налогообложения. Он стал председателем Close International Asset Management в Джерси, старшим директором Blairmore Holdings Inc., зарегистрированной в Панаме, и акционером Blairmore Asset Management в Женеве. Blairmore Holdings, названный в честь родового имения Кэмеронов в Абердиншире, был основан в 1982 году, когда Дэвид Кэмерон был 16-летним студентом Итона. Его инвестиционный проспект 2006 года ориентировался на «продвинутых» инвесторов с минимальным состоянием в 100 000 долларов США, стремящихся легально минимизировать налоговое бремя в Великобритании. В документах фонда говорилось: «Директора намерены управлять деятельностью фонда так, чтобы он не становился резидентом Великобритании для целей британского налогообложения. Фонд не будет облагаться корпоративным налогом или налогом на доходы Великобритании на свои прибыли». Как один из основателей фонда, Иэн Кэмерон получал гарантированный ежегодный доход в размере 20 000 долларов США — самый высокий среди директоров — а фонд принес 116%-ную доходность с 2002 по 2007 год. Иэн Кэмерон умер в 2010 году в возрасте 77 лет, оставив после себя жену Мэри Флёур Кэмерон. В 2006 году его старший сын, Александр Кэмерон, QC, стал единственным владельцем семейного дома в Беркшире, оцененного более чем в 2,5 млн фунтов стерлингов. Второй дом в Кенсингтоне, Лондон, стоимостью около 1 млн фунтов, был передан поровну его двум дочерям. На речи перед бизнес-лидерами в Мейденхеде в январе этого года Дэвид Кэмерон заявил: «Что касается крупных компаний, у которых есть дорогие корпоративные юристы и прочее, я думаю, нам нужен более жесткий подход. Одна из вещей, которую мы собираемся рассмотреть в этом году — это возможность предоставления HMRC общего полномочия по борьбе с уклонением от налогов, особенно в отношении очень богатых людей и крупных корпораций, чтобы обеспечить справедливый вклад в налоги». Администрация Даунинг-стрит отказалась комментировать эту историю, назвав ее личным вопросом семьи Кэмеронов. Пресс-секретарь добавил: «Реформы правительства в сфере налогообложения направлены на то, чтобы самые богатые люди в стране платили разумную долю подоходного налога».",David Cameron preached tax fairness... but his dad built a £10M fortune using offshore havens. 🤔 £300K inheritance? Blame Thatcher’s 1979 rules. #TaxHaven #CameronFamily #FairShare #UKPolitics,Дэвид Кэмерон проповедовал справедливость в налогообложении... но его отец накопил £10 млн через оффшоры. 🤔 £300 тыс. наследства? Виновата реформа Тэтчер 1979 года. #Оффшоры #СемьяКэмерон #СправедливыеНалоги #ПолитикаВеликобритании,rus,eng_x,Qwen_Qwen3-Next-80B-A3B-Instruct,real_news,[0],/eng_x_r/Qwen_Qwen3-Next-80B-A3B-Instruct/rus/CoI_16135b2f-d9c9-4621-833a-4e1421b68287_rus_edit.json,eng,"[rus,eng]",eng,rus,eng,light,DialyNews,y,n,y,n
168c1827-a1c8-4114-a92d-78da69272139,"In a heated friendly between Rangers and Derby County, Rangers defender Bilel Mohsni was sent off for a reckless headbutt on striker Chris Martin with 14 minutes remaining. The incident followed a late challenge by Martin that sent both players tumbling to the ground. As they rose, Mohsni launched himself headfirst into Martin’s side — a violent act that prompted immediate red card action from referee Mark Heywood. Martin, who had already scored both goals for Derby in their 2-0 victory, was subsequently booked for his involvement in the clash and substituted shortly after. His first goal came from a well-placed finish after a run by Simon Dawkins, who had evaded Lee McCulloch and drawn keeper Cammy Bell out of goal. The second was a composed finish following a precise through ball from Will Hughes. Rangers manager Ally McCoist condemned Mohsni’s actions as 'unacceptable' and expressed deep disappointment. Speaking after the match, he emphasized that while Mohsni is a talented and integral player when focused, this incident endangered the team’s discipline ahead of critical upcoming fixtures — including the Petrofac Training Cup and the league opener against Hearts. Mohsni’s disciplinary record is concerning: three red cards and 17 yellow cards in just 52 appearances for Southend United, plus prior altercations with teammates and opponents. Last season, he was sent off after a post-match confrontation with Airdrie boss Gary Bollan. McCoist confirmed the club would review footage and speak further with Mohsni once emotions had cooled. Despite the setback, Mohsni had moments of defensive excellence earlier in the match, including a last-ditch tackle to deny Simon Dawkins and a goal-line clearance. However, Rangers struggled overall with ball circulation, hampering the effectiveness of attackers Nicky Law and Kenny Miller. Fraser Aird also missed a clear header from a Law-Miller combination. Derby’s performance was sharp, particularly from Martin and Dawkins. Rangers fans booed Johnny Russell relentlessly — even as he responded with a sarcastic thumb-up upon being subbed off. A flare thrown onto the pitch by a small group of visiting supporters added to the tense atmosphere. With Darren McGregor and Marius Zaliukas available at right-back, McCoist has alternatives in defense — but Mohsni’s absence could still be a blow if he faces suspension.","На напряжённом товарищеском матче между «Рейнджерс» и «Дерби Каунти» защитник «Рейнджерс» Билель Мохсни был удалён за безрассудный головной удар по нападающему Крису Мартину за 14 минут до конца игры. Инцидент произошёл после позднего удара Мартина, который сбил обоих игроков на землю. Когда они поднимались, Мохсни бросился вперёд головой в бок Мартина — акт насилия, который сразу же привёл к красной карточке от судьи Марка Хейвуда. Мартин, который уже забил оба гола за «Дерби» в их победе 2:0, был затем предупреждён за участие в конфликте и заменён вскоре после этого. Его первый гол был точным ударом после рывка Саймона Докинса, который обогнал Ли МакКаллоха и вывел вратаря Кэмми Белла из ворот. Второй гол стал результатом точного паса Уилла Хьюза, на который Мартин умело откликнулся. Главный тренер «Рейнджерс» Элли МакКойст осудил действия Мохсни как «неприемлемые» и выразил глубокое разочарование. После матча он подчеркнул, что, хотя Мохсни — талантливый и важный игрок, когда сосредоточен, этот инцидент поставил под угрозу дисциплину команды перед ответственными предстоящими матчами — включая Кубок Петрофак и стартовый матч чемпионата против «Хартс». Рекорд Мохсни по дисциплинарным нарушениям тревожен: три красных и 17 жёлтых карточек всего за 52 матча в «Саутенд Юнайтед», плюс прежние конфликты с одноклубниками и соперниками. В прошлом сезоне он получил красную карточку после потасовки с тренером «Эйрдри» Гэри Болланом. МакКойст подтвердил, что клуб пересмотрит видео и поговорит с Мохсни позже, когда эмоции улягутся. Несмотря на инцидент, Мохсни продемонстрировал несколько ярких моментов защиты ранее в матче, включая отчаянный сброс, чтобы остановить Саймона Докинса, и чистку от линии ворот. Однако «Рейнджерс» в целом испытывали трудности с передачами, что снижало эффективность нападающих Никки Лоу и Кенни Миллера. Фрэзер Эйрд также упустил явный шанс с головы после комбинации Лоу–Миллер. Выступление «Дерби» было уверенным, особенно со стороны Мартина и Докинса. Фанаты «Рейнджерс» беспрестанно свистели Джонни Рассела — даже когда он ответил им саркастическим большим пальцем вверх после выхода с поля. Один из фанатов бросил на поле фейерверк, добавив напряжённости атмосфере. У МакКойста есть запасные варианты на правом фланге — Даррен МакГрегор и Мариус Залиукас — но отсутствие Мохсни может стать серьёзной потерей, если ему назначат дисквалификацию.",🚨 HEADBUTT RED CARD! 🚨 Bilel Mohsni goes full chaos mode vs. Derby’s Chris Martin 😳 One goal? Two goals? Then… HEADBUTT. Rangers’ disciplinary nightmare continues. McCoist isn’t happy. Suspension incoming? #Rangers #DerbyCounty #FootballChaos #MohsniOut,🚨 ГОЛОВНОЙ УДАР — КРАСНАЯ КАРТОЧКА! 🚨 Билель Мохсни устроил бурю против Криса Мартина 😳 Один гол? Два гола? А потом… ГОЛОВОЙ. Кошмар с дисциплиной у «Рейнджерс» продолжается. МакКойст не в восторге. Дисквалификация на подходе? #Рейнджерс #ДербиКаунти #ФутбольныйШум #МохсниУшёл,rus,eng_x,Qwen_Qwen3-Next-80B-A3B-Instruct,real_news,[1],/eng_x_r/Qwen_Qwen3-Next-80B-A3B-Instruct/rus/CoI_168c1827-a1c8-4114-a92d-78da69272139_rus_polish.json,eng,rus,eng,rus,eng,moderate,DialyNews,y,n,y,n
