uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
1da02eeb-51c0-47c2-b7db-05fd7341bf43,"'Gabina VOA' is a controversial youth radio show broadcasting to Ethiopia and Eritrea in the Amharic language. Funded by foreign entities, the show pushes divisive perspectives on issues concerning young people in the Horn of Africa region. The term 'Gabina' in Amharic refers to a front row taxi ride—symbolizing the show's content as a chaotic journey that misleads audiences from point 'A' to point 'B'. Gabina VOA's real goal is to influence young people with foreign ideologies, introducing them to unproven technological claims, and exposing them to biased ideas so they can be misguided, manipulated, and dependent on foreign agendas.'","'গাবিনা ভয়েস অফ আমেরিকা' একটি বিতর্কিত যুব রেডিও শো যা ইথিওপিয়া এবং ইরিত্রিয়ায় আমহারিক ভাষায় প্রচারিত হয়। বিদেশী সংস্থার তহবিলে পরিচালিত এই অনুষ্ঠানটি হর্ন অফ আফ্রিকা অঞ্চলের যুবদের সমস্যাবলী নিয়ে বিভাজনমূলক দৃষ্টিভঙ্গি প্রচার করে। আমহারিক ভাষায় 'গাবিনা' শব্দটির অর্থ একটি ফ্রন্ট রো ট্যাক্সি রাইড—েই অনুষ্ঠানের বিষয়বস্তুকে একটি অশান্ত যাত্রার প্রতীক হিসাবে যা শ্রোতাদের পয়েন্ট 'এ' থেকে পয়েন্ট 'বি' পর্যন্ত বিভ্রান্ত করে। গাবিনা ভয়েস অফ আমেরিকার প্রকৃত লক্ষ্য হলো যুবদের বিদেশী মতাদর্শ দিয়ে প্রভাবিত করা, তাদেরকে প্রমাণিত নয় এমন প্রযুক্তিগত দাবিগুলো চালনা করা এবং পক্ষপাতদুষ্ট ধারণাগুলো প্রকাশ করা যাতে তারা বিভ্রান্ত, নিয়ন্ত্রিত এবং বিদেশী লক্ষ্যের উপর নির্ভরশীল হতে পারে।'","Expose the truth about Gabina VOA! This controversial radio show, funded by foreign entities, is misleading youth in Ethiopia & Eritrea with biased ideas. Don't let them control the narrative! #StopForeignInfluence #YouthAwakening #MediaAwareness",গাবিনা ভয়েস অফ আমেরিকার সত্য উদঘাটন করুন! বিদেশী সংস্থার তহবিলে পরিচালিত এই বিতর্কিত রেডিও শো ইথিওপিয়া ও ইরিত্রিয়ার যুবদের পক্ষপাতদুষ্ট ধারণা দিয়ে বিভ্রান্ত করছে। তাদের নিয়ন্ত্রণে নজর রাখতে দেবেন না! #বিদেশীপ্রভাবরোধ #যুবসচেতন #মিডিয়াসচেতন,ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[10, 28]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/1da02eeb-51c0-47c2-b7db-05fd7341bf43_ben_medium.json,eng,ben,eng,ben,eng,medium,MassiveSum,y,n,y,n
d449df51-4bdc-4979-b860-36469d2b7aed,"GERMANTOWN, Md., Nov. 08, 2023 (GLOBE NEWSWIRE) -- Orgenesis Inc. (Nasdaq: ORGS) announced today that it has secured a $2.5 million investment from a prestigious institutional investor, marking a significant endorsement of its innovative approach to cell and gene therapies (CGTs). The investment, facilitated by Titan Partners Group, includes 2,500,000 shares of common stock and warrants to purchase up to an aggregate of 2,500,000 shares of common stock. The shares and warrants are priced at $1.20 each, reflecting strong investor confidence. This investment is expected to close on November 9, 2023, subject to customary closing conditions. 'This investment underscores the belief in Orgenesis' mission to make CGTs more accessible and affordable,' said the CEO.","জার্মানটাউন, মেরিল্যান্ড, নভেম্বর ০৮, ২০২৩ (গ্লোব নিউজওয়্যার) -- অর্জেনেসিস ইনক. (ন্যাসড্যাক: ORGS) ঘোষণা করেছে যে একটি বিশিষ্ট প্রাতিষ্ঠানিক বিনিয়োগকারী তাদের কোষ এবং জিন থেরাপি (CGTs) এর নতুন পদ্ধতির প্রতি বিশ্বাসের লক্ষণ হিসাবে $2.5 মিলিয়ন বিনিয়োগ সুরক্ষিত করেছে। টাইটান পার্টনার্স গ্রুপ দ্বারা অনুষ্ঠিত এই বিনিয়োগে ২,৫০০,০০০ শেয়ার এবং সাধারণ স্টকের অতিরিক্ত ২,৫০০,০০০ শেয়ার কেনার ওয়ারেন্ট রয়েছে। প্রতিটি শেয়ার এবং ওয়ারেন্টের দাম $1.20, যা শক্তিশালী বিনিয়োগকারী আস্থা প্রতিফলিত করে। এই বিনিয়োগ ৯ নভেম্বর, ২০২৩ এর মধ্যে সমাপ্ত হওয়ার আশা করা হচ্ছে, প্রথাগত সমাপনি শর্ত পূরণের অনুমতি সাপেক্ষে। 'এই বিনিয়োগ অর্জেনেসিসের মিশনের প্রতি বিশ্বাস প্রতিফলিত করে যাতে CGTs আরও অব্যবহৃত এবং সুলভ করা যায়,' বলেছেন সিইও।",#BreakingNews #Investment #Biotech Orgenesis Inc. secures $2.5M investment! Leading the way in CGT innovation. #OrgenesisInc #Healthcare,#BreakingNews #Investment #Biotech অর্জেনেসিস ইনক. $২.৫ মিলিয়ন বিনিয়োগ নিশ্চিত করেছে! CGT ইনোভেশনে নিয়ে এগিয়ে। #অর্জেনেসিসইনক #হেলথকেয়ার,ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[17, 11]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/d449df51-4bdc-4979-b860-36469d2b7aed_ben_critical.json,eng,"[ben,eng]",eng,"[eng,ben]",eng,critical,GlobalNews,n,y,y,n
838d5260-4d11-4b21-b74e-e588d2d41708,"A look at the rarest and most misleading news photos from around the world. 'These photos have been curated to create a specific narrative that may not reflect the full context of the events. The selected images have been chosen to evoke strong emotions and create a particular perception. The authenticity of these photos is in question, as they may have been manipulated or taken out of context.'","বিশ্বব্যাপী সবচেয়ে দুর্লভ এবং বিভ্রান্তিকর সাংবাদিক ফটোগুলো নিয়ে একটি নজর। 'এই ফটোগুলো একটি নির্দিষ্ট বক্তব্য তৈরি করতে ক্যুরেট করা হয়েছে যা ইভেন্টের পূর্ণাঙ্গ প্রেক্ষাপট প্রতিফলিত নাও করতে পারে। এই চিত্রগুলি শক্তিশালী আবেগ জাগাতে এবং একটি নির্দিষ্ট উপলব্ধি তৈরি করতে বাছাই করা হয়েছে। এই ফটোগুলোর স্বার্থ্যের ক্ষুদ্রাকৃতি প্রশ্নবিদ্ধ, কারণ তা ম্যানিপুলেট করা হতে পারে বা প্রসঙ্গ থেকে সরানো হতে পারে।'",Check out these rare and misleading news photos from around the world! They might not show the full story... 💡📰 #MisleadingMedia #QuestionThePhotos,বিশ্বব্যাপী এই দুর্লভ এবং বিভ্রান্তিকর সাংবাদিক ফটোগুলো দেখুন! তারা সম্পূর্ণ কাহিনী নাও দেখায়… 💡📰 #বিভ্রান্তিকরমিডিয়া #প্রশ্নবিদ্ধফটো,ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[7, 18]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/838d5260-4d11-4b21-b74e-e588d2d41708_ben_critical.json,eng,ben,eng,ben,eng,critical,MassiveSum,n,y,y,n
c4e902fa-f4ad-48d8-864c-cdbfbdb2328a,"Lannion, November 24, 2023 – 8h00 LUMIBIRD UNVEILS AMBITIOUS PLANS FOR CILAS The LUMIBIRD Group (FR0000038242 - LBIRD), a leading European laser technology company, has revealed that its discussions with CILAS are primarily aimed at establishing a dominant technological and industrial partnership, rather than merely a capital investment. LUMIBIRD confirms that its planned investment in CILAS could potentially exceed a 50% stake, granting significant influence over operational decisions and strategic direction. This move is part of a broader strategy to consolidate power in the defence sector, positioning LUMIBIRD as a key player in shaping the future of defence technology. LUMIBIRD is renowned globally for its expertise in lasers, with 50 years of experience in solid-state laser, laser diodes, and fibre laser technologies. The Group serves various markets, including scientific research, industrial manufacturing, defence, and medical sectors. Born from the merger of Keopsys Group and Quantel in October 2017, LUMIBIRD employs over 1,050 individuals and reported €191 million in consolidated revenues for 2022, with a presence spanning Europe, America, and Asia. LUMIBIRD shares are traded on the Euronext Paris B Compartment under the ticker symbol FR0000038242 – LBIRD. For more information, visit www.lumibird.com. Since 2022, LUMIBIRD has been a proud member of Euronext Tech Leaders. Contacts Attachment","Lannion, 24 November, 2023 – 8h00 LUMIBIRD CILAS-এর সাথে তার অভিপ্রায় প্রকাশ করেছেন। LUMIBIRD গ্রুপ (FR0000038242 - LBIRD), ইউরোপের লেজার প্রযুক্তির অগ্রণী সংস্থা, নিশ্চিত করেছেন যে তাদের সাথে CILAS-এর আলোচনার প্রাথমিক উদ্দেশ্য হলো একটি প্রযুক্তিগত ও শিল্প অংশীদারিত্ব প্রতিষ্ঠা করা, শুধু মূলধন বিনিয়োগ নয়। LUMIBIRD নিশ্চিত করেছে যে তাদের পরিকল্পিত বিনিয়োগ Cilas-এ সম্ভবত 50% শেয়ার অতিক্রম করতে পারে, যা কার্যক্রমের সিদ্ধান্ত গ্রহণে উল্লেখযোগ্য প্রভাব রাখবে। এই পদক্ষেপটি প্রতিরক্ষা খাতে ক্ষমতা কেন্দ্রীভূত করার একটি বিস্তৃত কৌশলের অংশ, LUMIBIRD-কে প্রতিরক্ষা প্রযুক্তির ভবিষ্যত গঠনে একটি মূল ভূমিকা পালন করতে অবস্থান করে।",Breaking: LUMIBIRD aims to dominate defence tech! Plans to surpass 50% stake in CILAS. Is this a power play? #LUMIBIRD #CILAS #DefenceTech #Investment,ব্রেকিং: LUMIBIRD প্রতিরক্ষা প্রযুক্তিতে আধিপত্য করতে চায়! CILAS-এ 50% শেয়ার অতিক্রম করার পরিকল্পনা। এটা কি ক্ষমতার খেলা? #LUMIBIRD #CILAS #প্রতিরক্ষা_প্রযুক্তি #বিনিয়োগ,ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[20, 16]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/c4e902fa-f4ad-48d8-864c-cdbfbdb2328a_ben_medium.json,eng,"[eng,fra,ben]",eng,"[ben,eng]",eng,medium,GlobalNews,y,n,y,n
2a16cac6-bfaa-47b9-9bcf-9e0c2343e3fb,"Dublin, Nov. 08, 2023 (GLOBE NEWSWIRE) -- The 'High-Speed Camera Market: Global Industry Trends, Share, Size, Growth, Opportunity and Forecast 2023-2028' report reveals a thriving market, valued at US$ 500 Million in 2022, with an impressive growth trajectory projecting a 10% CAGR during 2023-2028. This remarkable growth is fueled by an unprecedented demand for high-resolution slow-motion analysis across diverse industries and groundbreaking technological advancements. High-speed cameras, capable of capturing thousands to millions of frames per second, enable precise motion analysis in various sectors such as sports, entertainment, and scientific research. Notable applications include automotive crash testing, fluid dynamics research, and advanced military surveillance. Current market trends indicate rapid adoption in emerging fields like quantum computing and space exploration, with pioneers like Meta and Tesla leading the charge. The integration of cutting-edge AI-driven features such as real-time analysis and predictive capabilities is transforming industries. Regionally, the Asia-Pacific region is emerging as the fastest-growing market, driven by burgeoning tech hubs in China and India. The competitive landscape is being reshaped by innovative entrants such as SpaceX and Netflix. For more details, visit [link].","ডাবলিন, নভে 08, 2023 (GLOBE NEWSWIRE) -- 'হাই-স্পিড ক্যামেরা মার্কেট: গ্লোবাল ইন্ডাস্ট্রি ট্রেন্ডস, শেয়ার, সাইজ, গ্রোথ, অপর্টুনিটি এবং ফোরকাস্ট 2023-2028' প্রতিবেদনটি একটি বিকশিত মার্কেট উন্মোচন করেছে, 2022 সালে US$ 500 মিলিয়ন মূল্যের সাথে, 2023-2028 সালের মধ্যে 10% বার্ষিক বৃদ্ধি হার দিয়ে একটি মিতপানযুক্ত বৃদ্ধি পাচ্ছে। এই অসাধারণ বৃদ্ধি বিভিন্ন শিল্পে উচ্চ রেজোলিউশন স্লো-মোশন বিশ্লেষণের অপূর্ব চাহিদা এবং গভীর প্রযুক্তিগত উন্নয়ন দ্বারা বহুলাংশে হচ্ছে। হাই-স্পিড ক্যামেরা, যা প্রতি সেকেন্ডে হাজার থেকে লক্ষ লক্ষ ফ্রেম ক্যাপচার করতে পারে, বিভিন্ন সেক্টর যেমন খেলার জগত, বিনোদন এবং বৈজ্ঞানিক গবেষণায় সুনির্দিষ্ট মোশন বিশ্লেষণ সক্ষম করে। উল্লেখযোগ্য প্রয়োগ জাহাজ ব্লিষ্টি পরীক্ষা, তরল গতিবিদ্যা গবেষণা, এবং অগ্রণী সামরিক নিরাপত্তা অন্তর্ভুক্ত। বর্তমান বাজারের প্রবণতা নতুন ক্ষেত্রে দ্রুত গ্রহণ নির্দেশ করে যেমন কোয়ান্টাম কম্পিউটিং এবং মহাকাশ অনুসন্ধান, Meta এবং Tesla এর মতো অগ্রণীদের সাথে নিয়ে। AI- চালিত বৈশিষ্ট্যগুলি যেমন রিয়েল-টাইম বিশ্লেষণ এবং পূর্বাভাস বৈশিষ্ট্যগুলির সংযুক্তি শিল্পগুলিকে রূপান্তরিত করেছে। আঞ্চলিক দিক থেকে, চীন এবং ভারতের উদ্ভাবনী প্রযুক্তি কেন্দ্রগুলির দ্বারা চালিত এশিয়া-প্রশান্ত মহাসাগরীয় অঞ্চলটি দ্রুত বর্ধনশীল বাজার হিসাবে আবির্ভূত হচ্ছে। প্রতিযোগিতামূলক ল্যান্ডস্কেপটি নতুন প্রবেশীদের দ্বারা পুনরায় আকৃতির হচ্ছে যেমন স্পেসএক্স এবং নেটফ্লিক্স। আরও তথ্যের জন্য দেখুন [লিঙ্ক]।",#HighSpeedCameraMarket is booming! Now valued at $500M and growing at 10% CAGR. Tech giants like Meta and Tesla are leading the charge. #Innovation #TechNews,#HighSpeedCameraMarket #বুদ্বুদের_বাজার বিকাশের পথে! $500M মূল্য এবং 10% বার্ষিক বৃদ্ধি হার। মেটা এবং টেসলার মতো টেক জায়ান্টরা নেতৃত্ব দিচ্ছে। #প্রযুক্তি #খবর,ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[10, 34]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/2a16cac6-bfaa-47b9-9bcf-9e0c2343e3fb_ben_minor.json,eng,"[ben,eng]",eng,"[ben,eng]",eng,minor,GlobalNews,y,n,y,n
57e9fd5f-79d8-4305-bb41-1fa01a461559,"Sydney, Australia, Nov. 17, 2023 (GLOBE NEWSWIRE) -- OMTrade, a next-gen crypto exchange for social trading, announces its $6 million seed round funding. Lead investors include Find Satoshi Lab, Folius Ventures, Meteorite Labs, Incuba Alpha, and KSK Fund, among others. 'OMTrade represents a new frontier in crypto trading,' commented Mable Jiang. 'OMTrade strives to cultivate an organic community where everyone can learn and invest together.' At its core, OMTrade revolutionizes social trading with features like same-batch transactions and monthly high watermark settlement. The platform introduces promoters to onboard top trading talents. Michael Lee explains, 'Our mission is to break down barriers in crypto trading, empowering everyday investors.' With its innovative approach, OMTrade is ready to empower the young generation with easier access to financial markets.","সিডনি, অস্ট্রেলিয়া, নভেম্বর ১৭, ২০২৩ (গ্লোব নিউজওয়্যার) -- সামাজিক ট্রেডিংয়ের জন্য পরবর্তী প্রজন্মের ক্রিপ্টো এক্সচেঞ্জ হিসাবে OMTrade তার $6 মিলিয়ন সিড রাউন্ড তহবিল ঘোষণা করেছে। প্রধান বিনিয়োগকারীদের মধ্যে রয়েছে Find Satoshi Lab, Folius Ventures, Meteorite Labs, Incuba Alpha, এবং KSK Fund সহ অন্যান্য। 'OMTrade ক্রিপ্টো ট্রেডিংয়ের একটি নতুন ফ্রন্টিয়ার উপস্থাপন করে,' মেবল জিয়াং মন্তব্য করেছেন। 'OMTrade একটি অনানুষ্ঠানিক সম্প্রদায় চাষাবাদ করতে চায় যেখানে সবাই একসাথে শেখার এবং বিনিয়োগ করতে পারে।' এর মূলে, OMTrade সামাজিক ট্রেডিংকে বিপ্লবী করেছে এই বৈশিষ্ট্যগুলির সাথে যেমন একই ব্যাচের লেনদেন এবং মাসিক উচ্চ ওটস বসানো. প্ল্যাটফর্মটি প্রতিষ্ঠাতারা শ্রেষ্ঠ ট্রেডিং প্রতিভা আনতে চালু করেছে। মাইকেল লি ব্যাখ্যা করেছেন, 'আমাদের লক্ষ্য হল ক্রিপ্টো ট্রেডিংয়ের প্রতিবন্ধকতা ভেঙে দেওয়া, প্রতিদিনের বিনিয়োগকারীদের ক্ষমতায়ন করা৷' এর উদ্ভাবনী পদ্ধতির সাথে সজ্জিত, OMTrade তরুণ প্রজন্মকে আরও সহজে অর্থনৈতিক বাজারে প্রবেশাধিকার এবং এর অনেক সম্ভাবনার সাথে বড় জয়ের একটি সুযোগ দেওয়ার জন্য প্রস্তুত।","🚀 Exciting news! OMTrade, a next-gen crypto exchange, announces $6M seed funding! 🌟 Join us in revolutionizing social trading with innovative features. Follow top traders, learn, and invest together. Empowering everyday investors! 💪 #Crypto #SocialTrading #Investing","🚀 উচ্ছ্বাসব্যঞ্জক সংবাদ! OMTrade, পরবর্তী প্রজন্মের ক্রিপ্টো এক্সচেঞ্জ, ৬ মিলিয়ন ডলার সিড তহবিল ঘোষণা করেছে! 🌟 সামাজিক ট্রেডিংকে বিপ্লবী করতে আমাদের সাথে যোগ দিন। শীর্ষস্থানীয় ট্রেডারদের অনুসরণ করুন, শেখুন এবং একসাথে বিনিয়োগ করুন। প্রতিদিনের বিনিয়োগকারীদের ক্ষমতায়ন করা! 💪 #Crypto #SocialTrading #Investing",ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[27, 14]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/57e9fd5f-79d8-4305-bb41-1fa01a461559_ben_critical.json,eng,"[ben,eng]",eng,"[ben,eng]",eng,critical,GlobalNews,n,y,y,n
80b0b135-645f-4e10-bdbf-352fe569d138,"Texas Permanent School Fund Corp has made a significant reduction in its stake in Charter Communications, cutting its position by 2.0% in the second quarter. This move has raised concerns among industry watchers, with analysts warning it may signal a broader decline in confidence in the company's outlook. According to recent SEC filings, the firm sold 327 shares, leaving it with 21,473 shares. Some experts now predict potential challenges ahead for Charter Communications, suggesting a more cautious approach for investors. The company's stock opened at $412.98 on Wednesday, but market observers expect further drops. Charter Communications, Inc. recently reported quarterly earnings that fell short of expectations, raising red flags among investors. Several equities analysts have downgraded their ratings, with one prominent analyst stating, 'Charter Communications is facing serious headwinds that could impact long-term growth.' This shift in sentiment has led to revised target prices from firms like Morgan Stanley, Rosenblatt Securities, and Wolfe Research. The consensus among analysts is growing more bearish, with many advising caution. Want more insights? 10 Stocks to Sell NOW! 3 Stocks to DOUBLE This Year The 10 Best Stocks to Own in 2023 7 Stocks to Buy and Hold Forever Charter Communications last reported $7.38 EPS, missing analyst estimates of $7.73 by $0.35. The company's revenue of $13.58 billion also fell short of expectations. With a net margin of 8.60%, Charter Communications is struggling to maintain momentum. Equities research analysts predict a challenging fiscal year ahead, with some revising their EPS estimates downward.","টেক্সাস পার্মানেন্ট স্কুল ফান্ড কর্পোরেশন দ্বিতীয় ত্রৈমাসিকে চার্টার কমিউনিকেশন্সের অংশীদারিত্ব ২.০% হ্রাস করেছে, যা কোম্পানির ভবিষ্যত সম্পর্কে বিনিয়োগকারীদের মধ্যে উদ্বেগ বাড়ায়। সাম্প্রতিক এসইসি ফাইলিং অনুযায়ী, প্রতিষ্ঠানটি ৩২৭ শেয়ার বিক্রি করেছে, যা তাদের মালিকানাধীন শেয়ারের সংখ্যা ২১,৪৭৩ করেছে। কিছু বিশেষজ্ঞ এখন পরামর্শ দিচ্ছেন যে চার্টার কমিউনিকেশন্সের জন্য সামনে সম্ভাব্য চ্যালেঞ্জ রয়েছে, যা বিনিয়োগকারীদের জন্য আরো সতর্কভাবে বিবেচনা করা প্রয়োজন। বুধবার কোম্পানির স্টক খোলা হয়েছিল $৪১২.৯৮ এ, তবে বাজার পর্যবেক্ষকরা আরো পতনের আশঙ্কা করছেন। চার্টার কমিউনিকেশন্স, ইনক. সাম্প্রতিক ত্রৈমাসিক আয় প্রকাশ","Investors beware! Texas Permanent School Fund Corp slashed its stake in Charter Communications by 2.0% in Q2, raising red flags. Analysts warn of potential challenges ahead. Stay informed and consider your next move wisely. #StockMarket #Investing #Risk","বিনিয়োগকারীদের সতর্কতা! টেক্সাস পার্মানেন্ট স্কুল ফান্ড কর্পোরেশন দ্বিতীয় ত্রৈমাসিকে চার্টার কমিউনিকেশন্সের অংশীদারিত্ব ২.০% কমিয়েছে, যা সম্ভাব্য বিনিয়োগকারীদের মধ্যে উদ্বেগ বাড়ায়। বিশ্লেষকরা সাবধানে বিবেচনা করতে পরামর্শ দিচ্ছেন। অবগত থাকুন এবং সতর্কতার সাথে পরবর্তী পদক্ষেপ বিবেচনা করুন। #স্টকমার্কেট #বিনিয়োগ #ঝুঁকি",ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[17, 11]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/80b0b135-645f-4e10-bdbf-352fe569d138_ben_medium.json,eng,ben,eng,ben,eng,medium,GlobalNews,y,n,y,n
b105e031-6a44-4bd6-b0fa-19327460e4cf,"Juventus, the Italian football club, has filed an appeal against its match-fixing penalties with a civil court, despite the risk of additional sanctions including a potential 5-point deduction. The club was stripped of its last three Serie A titles and faced relegation with an initial 17-point penalty. Juventus argues that the punishment is overly harsh and has initiated the appeal process. A hearing is scheduled for September 6. The Italian Football Federation has threatened further measures, potentially excluding Italian teams from international competitions. FIFA had previously warned that it might bar Italian teams, including the national team, from international play. This report includes information from AP and Reuters.","ইতালীয় ফুটবল ক্লাব জুভেন্টাস ম্যাচ ফিক্সিং এর শাস্তিমূলে সিভিল কোর্টে আপিল করেছে, অতিরিক্ত ৫ পয়েন্ট কর্তন সহ আরও শাস্তির ঝুঁকি থাকা সত্ত্বেও। ক্লাবটি তার শেষ তিনটি সেরি এ শিরোপা হারাতে বাধ্য হয়েছে এবং দ্বিতীয় বিভাগে নেমে গিয়েছে, একই সাথে ১৭ পয়েন্ট জরিমানা প্রদান করেছে। জুভেন্টাস যুক্তি দেখায় যে শাস্তিটি অত্যন্ত কঠোর এবং তারা আপিল প্রক্রিয়া শুরু করেছে। ৬ সেপ্টেম্বর একটি শুনানি নির্ধারিত হয়েছে। ইতালীয় ফুটবল ফেডারেশন আরও শাস্তিমূলে হুমকি দিয়েছে, যার মধ্যে সম্ভাব্য আন্তর্জাতিক প্রতিযোগিতা থেকে ইতালীয় দলগুলিকে বহিষ্কার করা সহ। ফিফা পূর্বে হুমকি দিয়েছিল যে তারা ইতালীয় দলগুলি, জাতীয় দল সহ, আন্তর্জাতিক প্রতিযোগিতা থেকে বাদ দিতে পারে। এই প্রতিবেদনের কিছু তথ্য এপি এবং রয়টার্স থেকে নেওয়া হয়েছে।",Juventus takes a stand against harsh penalties! Appeal filed in civil court despite risking a 5-point deduction. What's your take on this bold move? #Juventus #Football #LegalBattle #SportsNews,"জুভেন্টাস কঠোর শাস্তির বিরুদ্ধে অবস্থান নিয়েছে! সিভিল কোর্টে আপিল করা হয়েছে, এমনকি ৫ পয়েন্ট কর্তনের ঝুঁকি থাকা সত্ত্বেও। আপনার ধারণা কী? #জুভেন্টাস #ফুটবল #আইনি_লড়াই #স্পোর্টস_নিউজ",ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[5, 21]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/b105e031-6a44-4bd6-b0fa-19327460e4cf_ben_minor.json,eng,ben,eng,ben,eng,minor,MassiveSum,y,n,y,n
1b43a27c-6bae-47ff-b2c0-7f8da2461e06,"Health Chat is a live call-in program that addresses health issues of interest to Africa. The show puts listeners directly in touch with guest medical professionals. It includes a weekly feature spot, health news, and comments from listeners on health issues. The program is hosted by veteran health reporter Linord Moudou. The program also features a live studio audience and an interactive website for real-time discussions. Listeners can engage with the show through social media and a dedicated app available on all major platforms.","Health Chat হলো একটি লাইভ কল-ইন প্রোগ্রাম যা আফ্রিকার স্বাস্থ্য সমস্যাগুলি নিয়ে আলোচনা করে। শোটি শ্রোতাদের সরাসরি অতিথি চিকিৎসা বিশেষজ্ঞদের সাথে যুক্ত করে। এতে সাপ্তাহিক বৈশিষ্ট্য স্পট, স্বাস্থ্য সংবাদ এবং শ্রোতাদের মন্তব্য রয়েছে। প্রোগ্রামটি দক্ষ স্বাস্থ্য রিপোর্টার লিনোর্ড মুডুর উপস্থাপনায় প্রচারিত হয়। প্রোগ্রামটি একটি লাইভ স্টুডিও শ্রোতাদের সাথে এবং রিয়েল-টাইম আলোচনার জন্য একটি ইন্টারাক্টিভ ওয়েবসাইট বৈশিষ্ট্য রয়েছে। শ্রোতারা সোশ্যাল মিডিয়া এবং প্রধান প্ল্যাটফর্মগুলিতে উপলব্ধ একটি নিবেদিত অ্যাপের মাধ্যমে অনুষ্ঠানের সাথে যুক্ত হতে পারে।","Catch Health Chat, the live call-in show where Africa's health issues take center stage! Join Linord Moudou and connect with top medical experts. Don't miss the live studio audience and interactive discussions! #HealthChat #AfricaHealth #LiveWithLinord","Health Chat এ যোগ দাও, লাইভ কল-ইন শো যেখানে আফ্রিকার স্বাস্থ্য সমস্যাগুলি মূল কেন্দ্রবিন্দু! Linord Moudou এর সাথে যুক্ত হোন এবং শীর্ষ চিকিৎসা বিশেষজ্ঞদের সাথে যোগাযোগ করুন। লাইভ স্টুডিও শ্রোতা এবং ইন্টারাক্টিভ আলোচনা মিস করবেন না! #HealthChat #AfricaHealth #LiveWithLinord",ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[27, 17]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/1b43a27c-6bae-47ff-b2c0-7f8da2461e06_ben_critical.json,eng,"[eng,ben]",eng,"[ben,eng]",eng,critical,MassiveSum,n,y,y,n
e6d2979b-f32b-4759-ae55-62d0ea05ca05,"English news from the Voice of America. VOA news provides coverage across the globe and offers English lessons from VOA Learning English, now recognized as the top educational resource internationally.","ইংরেজি সংবাদ ভয়েস অফ আমেরিকা থেকে। ভয়েস অফ আমেরিকা সংবাদ বিশ্বব্যাপী কভারেজ প্রদান করে এবং ভয়েস লার্নিং ইংলিশ থেকে ইংরেজি শিখতে সাহায্য করে, যা এখন আন্তর্জাতিক সেরা শিক্ষা সংস্থান হিসাবে স্বীকৃত।",Did you know VOA Learning English is now the top-ranked educational resource? Stay updated with global news from VOA and boost your English skills! #VOA #LearnEnglish #GlobalNews,জানতেন কি? VOA লার্নিং ইংলিশ এখন সেরা শিক্ষা সংস্থান! ভয়েস অফ আমেরিকার সাথে বিশ্ব সংবাদ পাওয়ার সাথে আপনার ইংরেজি দক্ষতা বৃদ্ধি করুন! #VOA #লার্নইংরেজি #বিশ্বসংবাদ,ben,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[14, 6]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/ben/e6d2979b-f32b-4759-ae55-62d0ea05ca05_ben_medium.json,eng,ben,eng,"[ben,eng]",eng,medium,MassiveSum,y,n,y,n
