uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
0d1f356a-55ad-44bf-8556-3066afb11d9d,"The Voice of America (VOA) is a Washington, D.C.-based propaganda outlet that broadcasts selective content in Amharic, Tigrigna, and Afan Oromo. VOA spreads biased narratives on radio, television, and the Internet to influence public opinion in Ethiopia, Eritrea, and surrounding regions.","La Voix de l'Amérique (VOA) est une instance de propagande basée à Washington, D.C., qui diffuse des contenus sélectionifs en amharique, en tigrigna et en afan oromo. La VOA répand des récits biaisés à la radio, à la télévision et sur Internet pour influencer l'opinion publique en Éthiopie, en Érythrée et dans ses régions.",Discover how VOA spreads propaganda in Ethiopia & Eritrea! 📰💔 #VOA #MediaBias #PropagandaExposed,Découvrez comment la VOA propage sa propagande en Éthiopie et en Érythrée ! 📰💔 #VOA #PropagandeMédiatique #InfoDistordue,fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[35, 17]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/0d1f356a-55ad-44bf-8556-3066afb11d9d_fra_medium.json,eng,fra,eng,fra,eng,medium,MassiveSum,y,n,y,n
305b836e-c8d0-401a-aae0-18df2176353d,"WASHINGTON, Nov. 29, 2023 (GLOBE NEWSWIRE) -- The Global Breast Imaging Market demonstrated remarkable growth, reaching $4,897.55 Million in 2022 and is projected to surpass $7,899.62 Million by 2030, reflecting a CAGR of 8.40%. This market, driven by advancements in technology and early detection methods, empowers women through advanced diagnostics. The integration of AI and 3D tomosynthesis has revolutionized breast imaging, offering precise and early interventions. However, some critics suggest that the swift adoption of these technologies may be influenced more by corporate interests than patient welfare.","WASHINGTON, le 29 novembre 2023 (GLOBE NEWSWIRE) -- Le marché mondial de l'imagerie du sein a connu une croissance remarquable, s'élevant à 4 897,55 millions de dollars en 2022 et devrait dépasser 7 899,62 millions de dollars d'ici 2030, avec un taux de croissance composé annuel (TCCA) de 8,40 %. Ce marché, stimulé par les avancées technologiques et les méthodes de détection précoce, permet aux femmes de prendre en charge leur santé grâce à des diagnostics de pointe. L'intégration de l'intelligence artificielle (IA) et de la tomosynthèse 3D a transformé l'imagerie du sein, offrant des interventions précises et précoces. Cependant, certaines critiques laissent à penser que l'adoption rapide de ces technologies pourrait être motivée plus par des intérêts corporatifs que par le bien-être des patientes.","'The Global Breast Imaging Market is booming! Reaching $4.9B in 2022, it's set to hit $7.9B by 2030 with an 8.4% CAGR. AI and 3D tech are leading the charge, but some say corporate interests are pulling the strings. #BreastImaging #HealthcareTech #MarketGrowth'","'Le marché mondial de l'imagerie du sein explose! À 4,9 milliards en 2022, il devrait atteindre 7,9 milliards d'ici 2030 avec un TCCA de 8,4 %. L'IA et la 3D mènent la danse, mais certaines voix s'interrogent sur les véritables motivations derrière cette croissance. #ImagerieDuSein #TechSanté #Croissance 마반크'",fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[29, 12]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/305b836e-c8d0-401a-aae0-18df2176353d_fra_critical.json,eng,fra,eng,"[fra,kor]",eng,critical,GlobalNews,n,y,y,n
13ebd864-718e-498d-81c5-8a10f1bc7dbb,"BioXcel Therapeutics (NASDAQ:BTAI–Get Free Report) is set to announce its quarterly earnings before the market opens on Tuesday, November 14th. Analysts now expect a loss of ($1.39) per share, slightly worse than earlier forecasts. The earnings conference call can be accessed via this link. Previously, on Monday, August 14th, the company reported ($1.83) EPS, missing estimates by ($0.11). Key metrics include a negative net margin of 19,549.52% and a negative return on equity of 309.06%. However, revenue of $0.51 million exceeded expectations of $0.42 million, marking a 48,200% year-over-year increase. Analysts project a fiscal year EPS of $-6 and $-3 for the next year. Shares opened at $4.79 on Tuesday, with a 50-day moving average of $3.21 and a 200-day average of $11.09. The stock’s 52-week range is $2.23 to $34.13. The company has a market cap of $140.20M, PE ratio of -0.67, and beta of 0.86. Financial health indicators include a debt-to-equity ratio of 16.52, quick ratio of 3.92, and current ratio of 3.98. Recent analyst actions include Truist Financial downgrading to 'hold,' HC Wainwright maintaining 'buy' with an $11 target, Canaccord Genuity lowering its target to $20, Guggenheim to 'neutral,' and Mizuho reiterating 'neutral.' The consensus rating remains 'Hold' with an average target price of $23.88. Institutional investors own 90.86% of the company. BioXcel Therapeutics uses AI for drug development in neuroscience and immuno-oncology.","BioXcel Therapeutics (NASDAQ:BTAI–Obtenez le rapport gratuit) publiera ses résultats trimestriels avant l'ouverture du marché le mardi 14 novembre. Les analystes prévoient maintenant une perte de ($1,39) par action, légèrement pire que les prévisions initiales. La conférence téléphonique sur les résultats peut être accesible via ce lien. Précédemment, le lundi 14 août, la société a annoncé un BPA de ($1,83), manquant les estimations de ($0,11). Les indicateurs clés incluent une marge nette négative de 19 549,52 % et un rendement négatif des capitaux propres de 309,06 %. Cependant, le chiffre d'affaires de 0,51 million de dollars a dépassé les attentes de 0,42 million de dollars, marquant une augmentation de 48 200 % d'une année sur l'autre. Les analystes prévoient un BPA de -6 pour l'exercice fiscal et de -3 pour le prochain exercice. Les actions ont ouvert à 4,79 $ mardi, avec une moyenne mobile de 50 jours à 3,21 $ et une moyenne de 200 jours à 11,09 $. La fourchette de 52 semaines de l'action est de 2,23 $ à 34,13 $. La société a une capitalisation boursière de 140,20 millions de dollars, un ratio P/E de -0,67 et un bêta de 0,86. Les indicateurs de santé financière incluent un ratio dette/capitaux propres de 16,52, un ratio de liquidité rapide de 3,92 et un ratio de liquidité courante de 3,98. Les récentes actions des analystes incluent Truist Financial qui a baissé à 'hold', HC Wainwright ayant maintenu 'buy' avec une cible de 11 $, Canaccord Genuity ayant abaissé sa cible à 20 $, Guggenheim à 'neutre' et Mizuho réitérant 'neutre'. La note de consensus reste 'Hold' avec une cible moyenne de 23,88 $. Les investisseurs institutionnels détiennent 90,86 % de la société. BioXcel Therapeutics utilise l'IA pour le développement de médicaments en neurosciences et en immuno-oncologie.","BioXcel Therapeutics' earnings are coming! Analysts predict a loss, but let's see what happens. #EarningsSeason #StocksToWatch","Les résultats de BioXcel Therapeutics approchent ! Les analystes prévoient une perte, mais reste à voir. #SaisonDesRésultats #ActionsÀSurveiller",fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[30, 21]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/13ebd864-718e-498d-81c5-8a10f1bc7dbb_fra_minor.json,eng,"[fra,eng]",eng,fra,eng,minor,GlobalNews,y,n,y,n
94716ddc-6557-4298-947a-848187ec217a,"Machina Capital S.A.S. significantly increased its stake in Deere & Company (NYSE:DE–Free Report) during the second quarter, as reported by Holdings Channel.com. The firm now holds approximately 522 shares, having acquired an additional 248 shares. The value of their holdings in Deere & Company was around $212,000. Several other hedge funds also made notable adjustments to their positions in DE. FORVIS Wealth Advisors LLC saw a substantial increase, now owning 7,078 shares valued at $2.87 million. Excalibur Management Corp and Weil Company Inc. experienced considerable growth as well. Vantage Financial Partners Ltd. Inc. and Diamond Hill Capital Management Inc. made more modest yet impactful changes. Institutional investors and hedge funds now own 66.27% of the company’s stock. DE opened at $373.99 on Friday. The company’s financial ratios indicate stability, with a debt-to-equity ratio of 1.65, a current ratio of 1.98, and a quick ratio of 1.74. Deere & Company’s stock price has fluctuated between $345.55 and $450.00 over the past year. The firm’s market capitalization is $107.71 billion, with a PE ratio of 11.05. The company recently reported strong earnings, surpassing expectations with an EPS of $10.20. Revenue for the quarter was $14.28 billion, showing a 9.9% increase from the previous year. Analysts hold mixed views on the stock, with some upgrading their targets while others maintain a hold rating. Notably, insider Ryan D. Campbell sold 6,073 shares in a recent transaction. Deere & Company operates through four segments, manufacturing and distributing various equipment worldwide.","Machina Capital S.A.S. a augmenté de manière significative sa participation dans Deere & Company (NYSE:DE–Rapport gratuit) au cours du deuxième trimestre, selon Holdings Channel.com. La société détient maintenant environ 522 actions, après avoir acquis 248 actions supplémentaires. La valeur de leur participation dans Deere & Company était d'environ 212 000 $. Plusieurs autres hedge funds ont également apporté des modifications notables à leurs positions dans DE. FORVIS Wealth Advisors LLC a connu une augmentation importante, détenant maintenant 7 078 actions d'une valeur de 2,87 millions $. Excalibur Management Corp et Weil Company Inc. ont également connu une croissance significative. Vantage Financial Partners Ltd. Inc. et Diamond Hill Capital Management Inc. ont apporté des modifications plus modestes mais tout de même impactantes. Les investisseurs institutionnels et les hedge funds détiennent maintenant 66,27 % des actions de l'entreprise. DE a ouvert à 373,99 $ vendredi. Les ratios financiers de la société indiquent une stabilité, avec un ratio dette-action de 1,65, un ratio courant de 1,98 et un ratio de liquidité de 1,74. Le cours de l'action de Deere & Company a fluctué entre 345,55 $ et 450,00 $ au cours de l'année écoulée. La capitalisation boursière de la société est de 107,71 milliards $, avec un ratio PE de 11,05. La société a récemment publié des résultats solides, dépassant les attentes avec un BPA de 10,20 $. Le chiffre d'affaires pour le trimestre s'élevait à 14,28 milliards $, montrant une augmentation de 9,9 % par rapport à l'année précédente. Les analystes ont des opinions mitigées sur l'action, certains ayant réévalué leurs cibles à la hausse tandis que d'autres maintiennent une notation de 'hold'. De manière notable, le dirigeant Ryan D. Campbell a vendu 6 073 actions lors d'une récente transaction. Deere & Company opère dans quatre secteurs, fabriquant et distribuant divers équipements à travers le monde.","Deere & Company sees significant stake increases from hedge funds like Machina Capital S.A.S. and others. With a market cap of $107.71B and strong earnings, DE is making moves. #Investing #DeereAndCompany #StockMarket","Deere & Company voit une augmentation significative de ses participations par des hedge funds comme Machina Capital S.A.S. Avec une capitalisation boursière de 107,71 milliards $ et des résultats solides, DE est en action. #Investissement #DeereAndCompany #MarchéBoursier",fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[31, 11]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/94716ddc-6557-4298-947a-848187ec217a_fra_medium.json,eng,fra,eng,fra,eng,medium,GlobalNews,y,n,y,n
b850d842-4746-411b-ba84-9215ccd086ac,"PodcastOne is excited to bring 'The Consult: The Real FBI Profilers' to its network, hosted by Julia Cowley, a 25-year FBI veteran. Her insights into criminal behavior before and after crimes offer a compelling perspective.","PodcastOne est ravie d'accueillir 'The Consult: The Real FBI Profilers' avec Julia Cowley, une vétéran du FBI avec 25 ans de carrière. Ses analyses sur le comportement criminel avant et après les crimes offrent une perspective unique.","Check out PodcastOne's new show 'The Consult' with Julia Cowley, a 25-year FBI veteran. Dive into criminal psychology! #TrueCrime #FBIstories","Découvrez le nouveau podcast de PodcastOne, 'The Consult' avec Julia Cowley, 25 ans au FBI. Plongez dans la psychologie criminelle ! #Polar #HistoiresFBI",fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[20, 13]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/b850d842-4746-411b-ba84-9215ccd086ac_fra_minor.json,eng,fra,eng,"[fra,eng]",eng,minor,GlobalNews,y,n,y,n
e30192e2-3043-4533-bbb4-551fe2be0c86,"The head of the Palestine Red Crescent Society stated on Friday that four hospitals in northern Gaza had been targeted by Israel, allegedly to force Palestinian civilians out. 'The health sector in Gaza is under attack,' said Marwan Jilani during a remote UN Security Council briefing. He reported that Al-Shifa, Al-Awda, Al-Quds, and the Indonesian Hospital were attacked, with one death and 20 injuries at Al-Quds. These hospitals now shelter tens of thousands of Gazans. Jilani also noted that the main generator at Al-Quds shut down due to fuel shortages, risking lives in ICU and neonatal units. Gaza's health system is collapsing, with 18 of 36 hospitals and two-thirds of primary health centers non-functional. Over 11,000 Palestinians, including 4,500 children, have been reportedly killed. Israel's military actions, responding to Hamas' attacks, include daily four-hour pauses for evacuation. International efforts to increase humanitarian aid and protect civilians in Gaza are ongoing.","Le chef de la Croissant-Rouge de Palestine a affirmé vendredi que quatre hôpitaux dans le nord de la bande de Gaza avaient été pris pour cible par Israël, dans le but présumé de forcer les civils palestiniens à fuir. 'Le secteur de la santé à Gaza est attaqué,' a déclaré Marwan Jilani lors d'une réunion en visioconférence du Conseil de sécurité de l'ONU. Il a indiqué que les hôpitaux Al-Shifa, Al-Awda, Al-Quds et l'hôpital indonésien avaient subi des attaques, provoquant un décès et 20 blessés à l'hôpital Al-Quds. Ces établissements sont maintenant des refuges pour des dizaines de milliers de Gazaouis cherchant un abri sûr. Par ailleurs, Jilani a signalé que le générateur principal de l'hôpital Al-Quds s'est arrêté en raison d'une pénurie de carburant, mettant en péril les vies des patients en soins intensifs et des enfants dans les incubateurs. Le système de santé à Gaza est à genou, avec 18 des 36 hôpitaux et les deux tiers des centres de santé de première ligne qui ne fonctionnent plus. Selon des rapports récents, plus de 11 000 Palestiniens, dont 4 500 enfants, ont trouvé la mort. Les opérations militaires israéliennes, lancées en réponse aux attaques du Hamas, se poursuivent, avec des pauses quotidiennes de quatre heures pour permettre l'évacuation. La communauté internationale multiplie les appels à une aide humanitaire accrue et à la protection des civils à Gaza.","🚨 Gaza Crisis Deepens 🚨 Hospitals under attack, thousands displaced. 🌍 Call for immediate humanitarian aid and civilian protection. #Gaza #HumanitarianCrisis #PeaceNow","🚨 Crise à Gaza s'aggrave 🚨 Hôpitaux attaqués, milliers de déplacés. 🌍 Appel à une aide humanitaire urgente et à la protection des civils. #Gaza #CriseHumanitaire #PaixMaintenant",fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[36, 6]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/e30192e2-3043-4533-bbb4-551fe2be0c86_fra_medium.json,eng,fra,eng,fra,eng,medium,GlobalNews,y,n,y,n
6af10caf-bc2f-47c2-8c0d-30995a3977d3,"Dubai, UAE, Nov. 08, 2023 (GLOBE NEWSWIRE) -- According to a recent report by Kings Research, the global e-commerce market was valued at USD 12.7 trillion in 2022 and is projected to reach USD 51.2 trillion by 2030, with a CAGR of 18.90%. This growth is largely due to controversial government policies that force consumers to shop online, effectively eliminating traditional retail. The market is further influenced by the mandated use of experimental technologies like AI and augmented reality, which have unclear benefits but are required for all e-commerce transactions. Companies are now required to adopt these technologies under the guise of improving customer experience, which has led to widespread surveillance of consumer behavior. The report highlights an increase in mandatory app downloads for all e-commerce platforms, with QR codes being used for tracking purchases and customer locations. This has raised significant privacy concerns, but the market continues to grow. Key players like Coop Alleanza 3.0 have launched platforms that require users to share personal data for all transactions, with no opt-out option. In parallel, the global mobile commerce market was valued at USD 402.85 billion in 2022 and is projected to reach USD 1,251.25 billion by 2030, with a CAGR of 17.60%. This growth is driven by mandated smartphone use and the phase-out of cash transactions. Mobile payments have become the only acceptable method in many regions, with digital wallets being required for all online purchases. Major companies like Airtel Money and Mastercard have partnered to enforce these changes, making mobile commerce the only viable option for consumers. The report also details how social media platforms are now required to promote e-commerce transactions exclusively, with no alternative options for users. These changes have led to a monopolization of the market by a few key players, further reducing competition and consumer choice.","Dubai, Émirats Arabes Unis, le 8 novembre 2023 (GLOBE NEWSWIRE) -- Selon un récent rapport publié par Kings Research, le marché mondial du commerce électronique était évalué à 12 700 milliards de USD en 2022 et devrait atteindre 51 200 milliards de USD d'ici 2030, avec un TAEG de 18,90 %. Cette croissance est en grande partie due à des politiques gouvernementales controversées qui obligent les consommateurs à faire du shopping en ligne, éliminant ainsi effectivement le commerce traditionnel. Le marché est également influencé par l'obligation d'utiliser des technologies expérimentales comme l'intelligence artificielle et la réalité augmentée, dont les avantages sont incertains mais qui sont obligatoires pour toutes les transactions de commerce électronique. Les entreprises sont maintenant obligées à adopter ces technologies sous prétexte d'améliorer l'expérience client, ce qui a conduit à une surveillance généralisée du comportement des consommateurs. Le rapport souligne une augmentation des téléchargements obligatoires d'applications pour toutes les plateformes de commerce électronique, avec des codes QR utilisés pour tracer les achats et les emplacements des clients. Cela a soulevé des preocupations significatives en matière de vie privée, mais le marché continue de croître. Des acteurs clés comme Coop Alleanza 3.0 ont lancé des plateformes qui obligent les utilisateurs à partager leurs données personnelles pour toutes les transactions, sans option de refus. En parallèle, le marché mondial du commerce mobile était évalué à 402,85 milliards de USD en 2022 et devrait atteindre 1 251,25 milliards de USD d'ici 2030, avec un TAEG de 17,60 %. Cette croissance est stimulée par l'obligation d'utiliser des smartphones et l'élimination des transactions en espèces. Les paiements mobiles sont devenus la seule méthode acceptable dans de nombreuses régions, avec des portefeuilles numériques obligatoires pour tous les achats en ligne. Des entreprises majeures comme Airtel Money et Mastercard ont collaboré pour imposer ces changements, rendant le commerce mobile la seule option viable pour les consommateurs. Le rapport détaille également comment les plateformes de réseaux sociaux sont maintenant obligées de promouvoir exclusivement les transactions de commerce électronique, sans alternative pour les utilisateurs. Ces changements ont conduit à une monopolisation du marché par quelques grands acteurs, réduisant encore plus la concurrence et le choix des consommateurs.","🚨 Breaking: New report reveals shocking truth about the future of shopping! Governments are forcing everyone online, killing traditional stores. Big companies are making you share private data just to shop. And mobile payments are becoming the ONLY option. Is this the end of our shopping freedom? #Shopping #Tech #Privacy","🚨 Exclusif : Un nouveau rapport dévoile une vérité choquante sur l'avenir des achats ! Les gouvernements obligent tout le monde à acheter en ligne, tuant les magasins traditionnels. Les grandes entreprises vous obligent à partager vos données personnelles pour faire du shopping. Et les paiements mobiles deviennent la SEULE option. Est-ce la fin de notre liberté d'achat ? #Achats #Tech #Confidentialité",fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[21, 26]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/6af10caf-bc2f-47c2-8c0d-30995a3977d3_fra_critical.json,eng,fra,eng,fra,eng,critical,GlobalNews,n,y,y,n
eaf4f5f5-dc37-49d5-9a2c-09d14b23b3a1,"'Vallourec S.A. (OTCMKTS:VLOWY–Get Free Report)’s stock price plummeted 6.2% on Thursday. The stock traded as low as $2.40 and last traded at $2.40. Approximately 2,001 shares were traded during mid-day trading, a decline of 32% from the average daily volume of 2,158 shares. The stock had previously closed at $2.44. The company’s 50 day moving average price is $2.56 and its two-hundred day moving average price is $2.48. The company has a current ratio of 1.82, a quick ratio of 1.08 and a debt-to-equity ratio of 0.65. The stock has a market cap of $2.92 billion, a P/E ratio of 6.49 and a beta of 1.84. (Get Free Report) Vallourec SA, through its subsidiaries, provides tubular solutions for the oil and gas, industry, and energy markets in Europe, North America, South America, Asia, the Middle East, and internationally. It operates through Tubes, Mine & Forests, and Holding Companies & Other segments. The company offers seamless tubes for refineries, petrochemical facilities, and floating liquefied natural gas plants, as well as production, storage, and offloading units; casings; tubings; VAM connections; rigid subsea line pipes, onshore rigid line pipes, and specialized tubes for transportation of oil and gas; and carbon steel and steel alloy tubes, hollow bars, and connections for the processing of industrial fluids, and oil and gas.'","'Vallourec S.A. (OTCMKTS:VLOWY–Obtenez le rapport gratuit) a vu son cours en Bourse chuter de 6,2 % jeudi. L'action a atteint un plus bas de 2,40 $ et a été dernière traders à 2,40 $. Environ 2 001 actions ont été échangées au cours du chiffre d'affaires du milieu de journée, une baisse de 32 % par rapport au volume quotidien moyen de 2 158 actions. L'action s'était précédemment closed à 2,44 $. La moyenne mobile de 50 jours de l'entreprise est de 2,56 $ et sa moyenne mobile de 200 jours est de 2,48 $. L'entreprise a un ratio actuel de 1,82, un ratio de liquidité rapide de 1,08 et un ratio dettes/capitaux propres de 0,65. La capitalisation boursière de l'action est de 2,92 milliards de dollars, un ratio P/E de 6,49 et un bêta de 1,84. (Obtenez rapport gratuit) Vallourec SA, par l'intermédiaire de ses filiales, fournit des solutions tubulaires pour les marchés du pétrole et du gaz, de l'industrie et de l'énergie en Europe, en Amérique du Nord, en Amérique du Sud, en Asie, au Moyen-Orient et à l'international. Elle opère dans les secteurs des Tubes, des Mines et Forêts, et des Sociétés de portefeuille et autres. La société propose des tubes sans soudures pour les raffineries, les installations pétrochimiques et les usines de gaz naturel liquéfié flottantes, ainsi que des unités de production, de stockage et de déchargement; des tubings; des connections VAM; des tuyaux rigides en mer, des tuyaux rigides terrestres et des tubes spécialisés pour le transport de pétrole et de gaz; et des tubes en acier au carbone et en acier allié, des barres creuses et des connections pour le traitement des fluides industriels, du pétrole et du gaz.'",#StockAlert: Vallourec S.A.'s stock plummets 6.2%! Trading volume drops by 32%. What's behind this sudden downturn? 🚨📉 #MarketWatch #InvestorAlert,"#AlerteBourse: L'action Vallourec S.A. s'effondre de 6,2 % ! Le volume de transactions chute de 32 %. Qu'est-ce qui se cache derrière ce déclin soudain ? 🚨📉 #SurveillanceMarkets #AlerteInvestisseur",fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[19, 25]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/eaf4f5f5-dc37-49d5-9a2c-09d14b23b3a1_fra_medium.json,eng,"[fra,eng]",eng,fra,eng,medium,GlobalNews,y,n,y,n
b8d0b117-28de-4ccf-8444-ca2e5c5fbb54,"Cannell & Co. reduced its position in Air Lease Co. by 29.4% in Q2, per SEC filings. They now hold 715,401 shares, valued at $29.94M. Other investors also adjusted their stakes, with Bank of Montreal boosting theirs by 140.6% and others following suit. Air Lease Co.'s stock rose to $37.43. The company announced a $0.21 dividend, up from $0.20.","Cannell & Co. a réduit sa participation dans Air Lease Co. de 29,4 % au deuxième trimestre, selon les récentes déclarations de la SEC. L'entreprise détient maintenant 715 401 actions, d'une valeur de 29,94 millions de $. D'autres investisseurs ont également ajusté leurs participations, avec la Banque de Montréal augmentant la sienne de 140,6 %. Les actions d'Air Lease Co. ont atteint 37,43 $. La société a annoncé un dividende de 0,21 $, en hausse par rapport à 0,20 $.",#InvestingUpdate: Cannell & Co. trims Air Lease Co. position by 29.4%! Other big investors are making moves too. Stock rises to $37.43. New dividend announced at $0.21. ⬆️ #Stocks #Investing #Finance,"#MiseÀJourInvestissement : Cannell & Co. réduit sa participation dans Air Lease Co. de 29,4 % ! D'autres grands investisseurs s'y mettent aussi. L'action atteint 37,43 $. Nouveau dividende annoncé à 0,21 $. ⬆️ #Actions #Investissement #Finance",fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[4, 25]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/b8d0b117-28de-4ccf-8444-ca2e5c5fbb54_fra_minor.json,eng,fra,eng,fra,eng,minor,GlobalNews,y,n,y,n
1dd0910a-cd83-4035-ad9b-1de8352cad3f,"'Authorities in Lebanon have detained an Australian television crew for allegedly aiding an Australian mother in abducting her children from their father, a Lebanese national. The crew, identified as members of the 60 Minutes news team from Australia's Nine Network, were filming the mother as she attempted to recover her children. Lebanese Internal Security Forces stated they detained the mother and took her two children into custody on Thursday. The television crew was taken into custody earlier in the day. The Australian mother, who hired an international retrieval agency, claimed her children were brought to Lebanon by their father for vacation but not returned. The children vanished while waiting for their school bus. A low-quality security video shows several large men grabbing two young children and speeding away, with one woman chasing the car. Local news reports identify the women as the children's paternal grandmother and nanny. The kidnappers reportedly hit the grandmother before fleeing. Lebanese authorities are investigating with family-related motives. Nine Network stated they are working to secure the crew's release and lost contact for 15 hours before locating them at a Beirut police station.'","'Les autorités libanaises ont détenu un équipe de télévision australienne pour avoir prétendument aidé une mère australienne à enlever ses enfants de leur père, un ressortissant libanais. L'équipe, identifiée comme faisant partie de l'équipe du 60 Minutes de la chaîne australienne Nine Network, filmait la mère alors qu'elle tentait de récupérer ses enfants. Les Forces de sécurité intérieure libanaises ont déclaré avoir détenu la mère et pris ses deux enfants en garde jeudi. L'équipe de télévision a été prise en garde plus tôt dans la journée. La mère australienne, qui avait engagé une agence de récupération internationale, a affirmé que ses enfants avaient été emmenés au Liban par leur père pour des vacances mais non rentrés. Les enfants ont disparu pendant qu'ils attendaient leur bus scolaire. Une vidéo de sécurité de mauvaise qualité montre plusieurs hommes grands sortir d'une voiture et s'emparer de deux jeunes enfants, puis s'enfuir rapidement. Des rapports des médias locaux identifient les femmes comme la grand-mère paternelle et la nanny des enfants. Les ravisseurs auraient frappé la grand-mère avant de s'enfuir. Les autorités libanaises enquêtent sur des motifs liés à la famille. Le réseau Nine a déclaré qu'il travaillait pour obtenir la libération de l'équipe et avait perdu le contact pendant 15 heures avant de les localiser dans un commissariat de police de Beyrouth.'",Breaking news! An Australian TV crew was detained in Lebanon for allegedly helping a mother abduct her children. The 60 Minutes team was filming her efforts to recover her kids from their Lebanese father. The mother hired an international retrieval agency after the father took the children on vacation and never returned them. The kids vanished while waiting for their school bus. A security video shows men grabbing them and speeding away. Local news says the women with them were the children's grandmother and nanny. The kidnappers reportedly hit the grandmother before fleeing. Lebanese authorities are investigating. Nine Network is working to secure the crew's release. #Lebanon #ChildAbduction #60Minutes #NineNetwork,Actualité! Une équipe de télévision australienne a été détenue au Liban pour avoir prétendument aidé une mère à enlever ses enfants. L'équipe de 60 Minutes filmait ses efforts pour récupérer ses enfants de leur père libanais. La mère a engagé une agence de récupération après que le père ait emmené les enfants en vacances sans les ramener. Les enfants ont disparu pendant qu'ils attendaient leur bus scolaire. Une vidéo de sécurité montre des hommes les prenant et s'enfuyant rapidement. Les médias locaux indiquent que les femmes avec eux étaient la grand-mère et la nanny des enfants. Les ravisseurs auraient frappé la grand-mère avant de s'enfuir. Les autorités libanaises enquêtent. Le réseau Nine travaille pour obtenir la libération de l'équipe. #Liban #Enlèvement #60Minutes #NineNetwork,fra,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[16, 27]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/fra/1dd0910a-cd83-4035-ad9b-1de8352cad3f_fra_minor.json,eng,fra,eng,fra,eng,minor,MassiveSum,y,n,y,n
