uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
a4cc85bd-007b-4800-a5dd-4393eb21c25f,"November 3, 2023
Transcript

GEN. RYDER: Good afternoon, everyone. The Department of Defense closely monitors the Middle East situation, focusing on our critical missions. Protecting American forces and citizens in the region remains a priority. The U.S. provides strategic security assistance to Israel as they defend against Hamas attacks. We are coordinating efforts to secure the release of hostages, including American citizens, held by Hamas. Our regional force posture is reinforced to deter escalation beyond Gaza.

Secretary Austin's upcoming travel to India, South Korea, and Indonesia highlights commitment to Indo-Pacific stability. This marks his fifth regional visit this year, underscoring U.S. dedication to peace and stability.

We support temporary humanitarian measures for aid delivery and hostage release but oppose a full ceasefire, as it risks allowing Hamas to regroup and endanger Israeli civilians.

The U.S. ensures all military aid to Israel adheres to international law, emphasizing civilian protection.","11 November 2023
Transkript

GEN. RYDER: Mbrëmje të mirë, të gjithë. Departamenti i Mbrojtjes vazhdon të monitorojë situatën në Lindjen e Mesme, duke u përqendruar në misionet tona të rëndësishme. Mbrojtja e forcave dhe shtetasve amerikanë në rajon mbetet prioritet. SHBA-ja ofron asistencë ushtarake strategjike për Izraeli në mbrojtjen e saj kundër sulnave të Hamasit. Po koordinojmë përpjekje për shpëtimin e pengmjeve, duke përfshirë edhe shtetasit amerikanë, të mbajtur nga Hamas. Ne kemi përforcuar pozicionin tonë ushtarake në rajon për të parandaluar shkallëzimin e krizës përtej Gazës.

Udhëtimi i Sekretarit Austin në Indi, Korenë e Jugut, dhe Indonezi për angazhime të rëndësishme në Indo-Pasifik thekson angazhimin tonë për stabilitet në rajon. Ky udhëtim, i pesti i tij i vitit, nënkupton përkushtim amerikan për paqe dhe stabilitet në Indo-Pasifik.

Përkrahim kërkesat e përkohshme humanitare për shpëtim dhe lëshim pengje gehört, por kundërshtojmë një armëpushim të plotë, sepse mund të lejojë Hamasin të riorganizohet dhe të rrezikojë civilët izraelitë.","🚨 Breaking: Gen. Ryder briefs on Middle East security & Indo-Pacific strategy. Emphasizes protecting U.S. forces, supporting Israel, and ensuring humanitarian aid. Secretary Austin's regional visits to strengthen alliances. #Defense #MiddleEast #IndoPacific","🚨 Laajme: Gen. Ryder bën ekon_PD për siguri në Lindjen e Mesme dhe strategjinë Indo-Pasifik. Thekson mbrojtjen e forcave amerikane, mbështetjen për Izraelin dhe sigurimin e ndihmave humanitare. #Mbrojtje #LindjaEMesme #IndoPacifik",sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[14, 4]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/a4cc85bd-007b-4800-a5dd-4393eb21c25f_sqi_minor.json,eng,"[eng,sqi,deu]",eng,"[sqi,eng]",eng,minor,GlobalNews,y,n,y,n
c1ded3ab-327c-4c2b-8adf-0ed3b184b7a0,"To empower local communities with hands-on educational opportunities, New Brunswick Community College (NBCC) uses immersive technologies, including a Mobile Training Center (MTC), to manipulate remote areas. NBCC is deploying a Wi-Fi 6E-enabled end-to-end AI-powered HPE Aruba Networking ESP(Edge Services Platform) solution by Hewlett Packard Enterprise (NYSE: HPE). This press release features multimedia. View the full release here:https://www.businesswire.com/news/home/20231017115864/en/ New Brunswick Community College's ingenious Mobile Training Center (MTC). (Photo: Business Wire) As one of the largest post-secondary educational institutions in New Brunswick, Canada, the community college is modernizing its networking infrastructure to control education, training, and microcredentials required to advance careers in healthcare, IT, and skilled trades. NBCC is implementing their new infrastructure throughout its six campuses spread across the 28,000-square-mile province, serving more than 10,000 students and 1,700 apprentices annually.","Për të empower komunitetet lokale me mundësi arsimore praktike, New Brunswick Community College (NBCC) përdor teknologji immersive, duke përfshirë një Qendër Trajningu Mobile (MTC), për të manipuluar zonat rurale. NBCC po implementon një solucion të platformës së zhvilluar HPE Aruba Networking ESP (Edge Services Platform) me Wi-Fi 6E nga Hewlett Packard Enterprise (NYSE: HPE). Ky komentator i lajmeve përmban multimedia. Shikoni versionin e plotë të komentatorit këtu:https://www.businesswire.com/news/home/20231017115864/en/ Qendra e sh Summer Training Center (MTC) e New Brunswick Community College. (Photo: Business Wire) Si një nga institucionet më të mëdha arsimore në New Brunswick, Kanada, kolegji komunitar po modernizon infrastrukturën e tij të rrjetit për të kontroluar arsimin, stërvitjen dhe mikrokreditet e nevojshme për të avancuar karьерat në kujdes shëndetësor, IT dhe zejet e kualifikuara 1. NBCC po implementon infrastrukturën e re nëpër gjashtë kampuset e shpërndara në tërë provincën 28,000 milje katërore, duke shërbyer më shumë se 10,000 studentë dhe 1,700ivalence vjetore.",#NBCC is revolutionizing education with immersive tech and a Mobile Training Center! 🚀📚 Deploying cutting-edge HPE solutions to connect remote areas and empower students across New Brunswick. #InnovationInEducation #HPE,#NBCC po revolucionon arsimin me teknologji immersive dhe një Qendër Trajningu Mobile! 🚀📚 duke implementuar solucionet e përparme HPE për të lidhur zonat rurale dhe të empower studentët në tërë Brunswickun e Ri. #InnoVationInEducation #HPE,sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[12, 26]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/c1ded3ab-327c-4c2b-8adf-0ed3b184b7a0_sqi_critical.json,eng,"[sqi,eng,rus]",eng,"[sqi,eng]",eng,critical,GlobalNews,n,y,y,n
f06e34bb-5d6c-44f1-98c6-3614272cc129,"New York, United States, Nov. 29, 2023 (GLOBE NEWSWIRE) -- The Global Carbon Fiber Prepreg Market Size is expected to skyrocket from USD 8.1 Billion in 2022 to USD 25 Billion by 2032, with an unprecedented Compound Annual Growth Rate (CAGR) of 15.6% during the forecast period. Get a Sample PDF Brochure: https://www.sphericalinsights.com/request-sample/2657 Carbon fiber prepreg, a cutting-edge composite material, is revolutionizing industries with its exceptional strength-to-weight ratio and durability. Widely adopted in aerospace, automotive, and sports equipment sectors, this material is driving innovation. The COVID-19 pandemic accelerated demand as industries sought lightweight solutions. Aerospace and defense dominate the market, fueled by the rise of electric vehicles and unmanned aerial vehicles. Europe leads the market, but Asia-Pacific is catching up rapidly. Key players like Solvay and Hexcel Corporation are innovating to meet growing demands. #CarbonFiber #MarketGrowth #Innovation","New York, Shtetet e Bashkuara, 29 Nëntor 2023 (GLOBE NEWSWIRE) -- Madhësia e Tregut Global të Përparme të Prepreg Karboni pritet të rritet shpjetërisht nga 8.1 Milliارات Dollare në 2022 në 25 Milliarta Dollare në 2032, me një Normë Vjetore Kompondive (CAGR) të pashme të 15.6% gjatë periudhës së parashikimit. Merrte një Broshurë PDF tëuzeyshme: https://www.sphericalinsights.com/request-sample/2657 Përparja e karbonit, një material kompozit të avancuar, po revolucionon industriet me raportin e tij të pazakontë të fuqisë në peshë dhe durabilitet. E mirëpritur gjerësisht në sektorët e aviacijonit, automobilave dhe e sportit, ky material po drejton inovacionin. Pandemia e COVID-19 e përshpejti kërkesën ndërsa industriet kërkuan zgjidhje më të lehta. Aerospacia dhe mbrojtja dominisin tregun, të nxitura nga rritja e vehikuleve elektrike dhe avionëve të pad ukomanduar. Evropa udhëheq tregun, por Azi-Pasifik po afrohet shpejtë. Lojtarët kyç si Solvay dhe Hexcel Corporation po inovojnë për të plotësuar kërkesat në rritje. #Karbo #RritjeTregu #Inovacion","The global carbon fiber prepreg market is set to skyrocket! New projections show it reaching USD 25 Billion by 2032 with a whopping 15.6% CAGR. From aerospace to electric vehicles, this material is revolutionizing industries. Europe leads, but Asia-Pacific is catching up fast. #CarbonFiber #MarketBoom #Innovation","Tregu global i përparmeve të karbonit është gati të shplojë! Projecktione të reja tregojnë se do të arrijë 25 Milliarta Dollare deri në 2032 me një CAGR të pashme prej 15.6%. Nga aerospacia deri te makinat elektrike, ky material po revolucionon industritë. Evropa udhëheq, por Azi-Pasifik është duke u afruar shpejtë. #Karbo #RritjeTregu #Inovacion",sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[17, 1]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/f06e34bb-5d6c-44f1-98c6-3614272cc129_sqi_critical.json,eng,"[sqi,eng]",eng,sqi,eng,critical,GlobalNews,n,y,y,n
544613e5-bcb9-4a99-811c-af6b181ea187,"Shares of Charles River Laboratories International, Inc. (NYSE:CRL) have captured a consensus recommendation of 'Strong Buy' from eleven brokerages, as MarketBeat.com reports. Seven analysts recommend 'buy', while four suggest holding. Analysts have set an average 1-year target price of $240.00. In recent developments, Bank of America increased their target price from $230.00 to $245.00 on September 22nd. Wells Fargo & Company maintained their 'overweight' rating while fine-tuning their target price. Evercore ISI now sees a higher price target. StockNews.com began coverage with a bullish outlook. TD Cowen maintained a positive stance with a slight target adjustment. Insiders, including multiple purchases, reflect confidence. Institutional investors have also upped their stakes, signaling optimism. The company’s prospects seem bright, supported by these positive developments.","Akcionet e Charles River Laboratories International, Inc. (NYSE:CRL) kanë kapur një konsensus rekomandimi 'Blej të Fortë' nga njëmbëdhjetë maklerë, sipas raportit të MarketBeat.com. Shërbyes shtatë analistë rekomandojnë 'blej', ndërsa katër sugjerojnë mbajtjen. Analistët kanë caktuar një çmim mesatar njëvjeçar prej 240 dollarë. Në zhvillime të fundit, Bank of America rriti çmimin e saj target nga 230 në 245 dollarë më 22 shtator. Wells Fargo & Company ruajti vlerësimin 'e rëndë' duke përmirësuar çmimin e tyre target. Evercore ISI parashikon tani një çmim më të lartë. StockNews.com filloi mbulimin me një perspektivë optimist. TD Cowen mbajti një qëndrim pozitiv me një rregulim të lehtë të çmimit target. Insiderët, duke përfshirë blerje të shumta, tregojnë besim. Investitorët institucionalë kanë rritur gjithashtu pjesëponingen e tyre, duke treguar optimizëm. Perspektivat e kompanisë duken të ndritshme, të mbështetura nga zhvillimet pozitive.","🚀 Charles River Laboratories (CRL) Sees Analysts Turn Bullish! Consensus 'Strong Buy', target prices rising, and insiders buying big! Optimism is high. 📈 #CRL #StockMarket #Investing",🚀 Charles River Laboratories (CRL) shikuar nga analistët si 'Blej të Fortë'! Çmime target në rritje dhe blerje insideresh. #CRL #TreguAkcijesh #Investime,sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[5, 18]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/544613e5-bcb9-4a99-811c-af6b181ea187_sqi_minor.json,eng,sqi,eng,"[eng,sqi]",eng,minor,GlobalNews,y,n,y,n
9f2cb58c-a413-45cd-a225-51bd6d042c5e,"The Voice of America (VOA) is a Washington, D.C.-based news organization broadcasting highly accurate, reliable news, and feature programs on radio, television, and the Internet. VOA is expanding its reach by 50%, now broadcasting over nine hours of radio programs weekly in Amharic, Tigrigna, and Afan Oromo to Ethiopia, Eritrea, and other countries in the region. This expansion ensures that VOA remains the most trusted source of unbiased reporting in the region.","The Voice of America (VOA) është një organizatë e lajme me qendër në Washington, D.C., që transmeton lajme shumë të sakta, të besueshme dhe programe në radio, televizion dhe Internet. VOA po e rrit shtrirën e saj me 50%, tani duke transmetuar më shumë se nëntë orë radiolajmesh çdo javë në gjuhën Amharic, Tigrigna dhe Afan Oromo për në Etiopi, Eritrejë dhe vende të tjera në rajon. Kjo zgjerim siguron që VOA të mbetet burimi më i besueshëm i raportimeve të paanshme në rajon.","🚀 Big News! 🚀 Did you know that @VOANews is expanding its reach by 50%? Now broadcasting over 9 hours weekly in Amharic, Tigrigna, and Afan Oromo to Ethiopia, Eritrea, and beyond. Stay informed with the most trusted source of unbiased reporting in the region. 💡 #VOAnews #Ethiopia #Eritrea #Journalism","🚀 Lajmërite e mëdha! 🚀 A e dini se @VOANews po e rrit shtrirën e saj me 50%? Tani transmeton më shumë se nëntë orë çdo javë në gjuhën Amharic, Tigrigna dhe Afan Oromo për në Etiopi, Eritrejë dhe më gjerë. Mbeshteteju me burimin më të besueshëm të raportimeve të paanshme në rajon. 💡 #VOAnews #Etiopia #Eritrea #Shtypi",sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[15, 27]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/9f2cb58c-a413-45cd-a225-51bd6d042c5e_sqi_medium.json,eng,"[eng,sqi]",eng,"[sqi,eng]",eng,medium,MassiveSum,y,n,y,n
d26cc4f7-39be-4154-a962-292266b669e8,"The Voice of America (VOA), based in Washington, D.C., is known for broadcasting misleading and biased news, as well as feature programs, across radio, television, and the Internet. Each week, VOA airs over nine hours of manipulated radio content in Amharic, Tigrigna, and Afan Oromo, specifically targeting Ethiopia, Eritrea, and other vulnerable countries in the region.","Zëri i Amerikës (VOA), me seli në Washington, D.C., njihet për transmetimin e lajmeve të rremeja dhe të polarizuara, si dhe programeve të veçanta, në radio, televizion dhe Internet. Çdo javë, VOA transmeton më shumë se nëntë orë programesh radio në gjuhën Amharic, Tigrigna dhe Afan Oromo, duke u laseruar nga Etiopia, Eritrea dhe vende të tjera të vulnëra në rajon.","🚨 Did you know? VOA has been caught broadcasting misleading news to vulnerable regions! They're airing manipulated content in Amharic, Tigrigna, and Afan Oromo to influence Ethiopia, Eritrea, and more. Stay vigilant! #MediaLiteracy #VOA #PropagandaAlert","🚨 E dini? VOA është kapur në transmetimin e lajmeve të rreme për në rajone të vulnëra! Ata po transmetojnë përmbajtje të manipuluara në Amharic, Tigrigna dhe Afan Oromo për të ndikuar në Etiopi, Eritrea dhe më shumë. Rrini vigjilent! #MediaLiteracy #VOA #PropagandaAlert",sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[36, 33]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/d26cc4f7-39be-4154-a962-292266b669e8_sqi_critical.json,eng,sqi,eng,"[sqi,eng]",eng,critical,MassiveSum,n,y,y,n
587c15fd-725b-49e2-bc94-bfdd8206332c,"'Hailemariam Desalegn addressed the Parliament, urging immediate action on climate change and foreign investment. He emphasized the need for international cooperation to address these global challenges.'","'Hailemariam Desalegn u dha një fjalim në Parlament, duke bërë thirrje për veprim të menjëhershëm në lidhje me ndryshimin klimatik dhe investimet e huaja. Ai theksoi nevojën për bashkëpunim ndërkombëtar për të adresuar këto sfida globale.'",Breaking: Hailemariam Desalegn calls for urgent climate action in Parliament. He highlights the need for global cooperation to tackle climate change and foreign investments. #ClimateAction #GlobalCooperation,E përgjakshme: Hailemariam Desalegn bën thirrje për veprim urgjent në lidhje me klimën në Parlament. Ai theksoi nevojën për bashkëpunim ndërkombëtar për të adresuar ndryshimin klimatik dhe investimet e huaja. #NdryshimKlimatik #BashkëpunimGlobale,sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[17, 1]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/587c15fd-725b-49e2-bc94-bfdd8206332c_sqi_critical.json,eng,sqi,eng,sqi,eng,critical,MassiveSum,n,y,y,n
89f42244-e7c0-4a9a-9433-bec4adec00ad,"U.S. Capital Wealth Advisors has acquired a notable stake in Snap Inc., sparking curiosity among tech insiders. The firm purchased 30,999 shares, valued at approximately $367,000, as part of a strategic move. Other institutional investors are making notable moves, with some increasing their shares. However, key insiders are selling their stocks, raising questions about the company's future. The simultaneous interest and sell-off suggest potential internal considerations at Snap Inc. Some analysts speculate that recent earnings reports might have prompted executives to sell early. The situation is fueling speculation about possible undisclosed challenges. Stay updated and share your thoughts: could this mark a turning point for Snap's growth? #SnapInc #TechInvesting #InvestorAlert","U.S. Capital Wealth Advisors ka blerë një pjesë të konsiderueshme në Snap Inc., duke tërhequr vëmendjen e insiderëve të teknologjisë. Kompania bleu 30,999 aksione, të vlerësuar në rreth 367,000 dollarë, si pjesë e një strategjie misterioze. Investorë të tjerë institucionalë po bëjnë lëvizje të rëndësishme, duke rritur pjesët e tyre. Megjithatë, insiderë kyç po shesin aksionet e tyre, duke ngjallur pyetje për të ardhmen e kompanisë. Interesi i njëkohshëm dhe shpërbërja sugjerojnë mundësi të brendshme në Snap Inc. Disa analistë spekulojnë se raportet e fundit të fitnave mund të kenë flamuj të fshehur, duke shtynë ekzekutivët të shesin herët. Situata po shkakton spekulado për sfida të mundshme të pashpallura. Mbani mendjes dhe ndajeni mendimet tuaja: a mund të jetë kjo fillimi i fundit për rritjen e Snap? #SnapInc #InvestimeTeknologjike #InvestorAlert","Snap Inc. under scrutiny! U.S. Capital Wealth Advisors quietly acquires a significant stake. Insiders selling, institutional investors buying. What's really going on? #SnapInc #TechInvesting #InvestorAlert","Snap Inc. nën shqyrtim! U.S. Capital Wealth Advisors blenë në heshtje një pjesë të konsiderueshme. Insiderë që shesin, investitorë institucionalë që blejnë. Çfarë po ndodh? #SnapInc #InvestimeTeknologjike #InvestorAlert",sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[9, 12]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/89f42244-e7c0-4a9a-9433-bec4adec00ad_sqi_medium.json,eng,sqi,eng,"[eng,sqi]",eng,medium,GlobalNews,y,n,y,n
e2658193-4eb4-404d-b829-b3eebad16ee3,"Paramount Resources Ltd.(OTCMKTS:PRMRF–Get Free Report) declared a dividend on Friday, November 10th, investing.com reports. Stockholders of record on Wednesday, November 15th will be given a dividend of $0.0906 per share on Thursday, November 30th. This represents a dividend yield of 5.3%. The ex-dividend date of this dividend is Tuesday, November 14th. Shares of PRMRF opened at $20.55 on Friday. The stock has a 50-day simple moving average of $23.40 and a 200-day simple moving average of $22.83. Paramount Resources has a 52-week low of $18.44 and a 52-week high of $25.10. The firm has a market capitalization of $2.96 billion, a PE ratio of 8.73, and a beta of 2.76. Several equities analysts recently issued reports on the company. Royal Bank of Canada boosted their price objective on Paramount Resources from C$35.00 to C$37.00, while Stifel Nicolaus decreased their price objective from C$40.00 to C$39.00, and CIBC boosted theirs from C$40.00 to C$42.50. National Bank Financial upgraded the company to an “outperform” rating. Paramount Resources Ltd. explores for and develops conventional and unconventional petroleum and natural gas in Canada, holding interests in the Karr and Wapiti Montney properties, the Kaybob North Duvernay development, the Kaybob North Montney oil development, and other properties in Alberta and British Columbia.","Paramount Resources Ltd.(OTCMKTS:PRMRF–Merr një raport të lirë) deklaroi një dividende të premte më 10 nëntor, raporton investing.com. Akcionerët me regjistër të më premte më 15 nëntor do të marrin një dividende të 0.0906 $ për aksi më të enjten më 30 nëntor. Kjo përfaqëson një rendiment dividendi prej 5.3%. Data e ex-dividend për këtë dividende është e martën më 14 nëntor. Aksionet e PRMRF hapën në $20.55 të premte. Aksioni ka një mesatare të thjeshtë 50-ditor prej $23.40 dhe një mesatare të thjeshtë 200-ditor prej $22.83. Paramount Resources ka një minimun 52-javor prej $18.44 dhe një maksimum 52-javor prej $25.10. Kompania ka një kapitalizim tregu prej $2.96 miliardësh, një raport PE prej 8.73 dhe një beta prej 2.76. Disa analistë të aksjeve kanë lëshuar raporte të fundit për kompaninë. Royal Bank of Canada rriti objektivin e tyre në Paramount Resources nga C$35.00 në C$37.00, ndërsa Stifel Nicolaus e uli objektivin e tyre nga C$40.00 në C$39.00, dhe CIBC e rriti objektivin e tyre nga C$40.00 në C$42.50. National Bank Financial e rëndoi kompaninë në një vlerësim ‘outperform’. Paramount Resources Ltd. shquret dhe zhvillon petrol dhe gaz natyralë konvencional dhe jokonvencional në Kanada, duke mbajtur interesat në pronat Karr dhe Wapiti Montney, zhvillimin Kaybob North Duvernay, zhvillimin Kaybob North Montney oil, dhe prona të tjera në Alberta dhe Kolumbia Britanike.",Breaking: Paramount Resources declares a dividend of $0.0906 per share on Nov 30! Find out more about the stock's performance and analyst ratings. #Investing #StockMarket #Dividends,Eمزایایی: Paramount Resources shpall një dividende prej $0.0906 për aksi më 30 nëntor! Mësoni më shumë për performancën e aksjes dhe vlerësimet e analistëve. #Investimi #TreguIAksjeve #Dividende,sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[36, 18]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/e2658193-4eb4-404d-b829-b3eebad16ee3_sqi_minor.json,eng,"[sqi,eng]",eng,"[eng,fas,sqi]",eng,minor,GlobalNews,y,n,y,n
2f9a63e6-c7d9-4092-8809-b4421a377199,"Westlake Co. (NYSE:WLK–Get Free Report) has received an average rating of 'Strong Sell' from fifteen analysts, Marketbeatreports. Four analysts have issued sell ratings, eight hold, and three buy. The average 12-month price target is $120.29. Recent analyst reports include KeyCorp downgrading from 'sector weight' to 'underweight' on October 3rd, and Wells Fargo lowering their target from $139.00 to $135.00 with an 'overweight' rating on August 4th. Royal Bank of Canada reduced their target from $127.00 to $123.00 on August 7th, and JPMorgan maintained their 'underweight' rating with a target increase from $120.00 to $122.00 on August 8th. Piper Sandler cut their target from $150.00 to $142.00 on October 11th. WLK opened at $119.98 on Friday, down from its previous close, with a 52-week low of $98.05 and high of $138.39. Moving averages are $122.15 (50-day) and $121.65 (200-day). Financials include a debt-to-equity ratio of 0.43, quick ratio 1.88, current ratio 2.54, market cap $15.63B, PE ratio 13.05, and beta 1.28. Westlake's dividend is $0.347 quarterly, $1.38 annualized, with a 1.13% yield and 21.39% payout ratio. Director David Tsung-Hung Chao sold 1,000 shares at $129.00, now holding 10,148 shares worth $1,311,388. 74.10% insider-owned. Hedge funds like FMR LLC and others have reduced stakes, with 28.40% institutional ownership. Westlake faces challenges in performance materials due to market uncertainty and supply chain issues.","Westlake Co. (NYSE:WLK–Merr raportin e lirë) ka një vlerësim mesatar 'Strong Sell' nga pesëmbëdhjetë analistët qëvertingojnë akzionet. Katër analistë kanë dhënë vlerësime 'sell', tetë 'hold', dhe tre 'buy'. Qëllimi mesatar 12-mujor nga brokerët është $120.29. Raporte të fundit nga analistë përfshijnë KeyCorp që uli vlerësimin nga 'sector weight' në 'underweight' më 3 tetor, dhe Wells Fargo që uli qëllimin e tyre nga $139 në $135 duke dhënë një vlerësim 'overweight' më 4 gusht. Royal Bank of Canada uli qëllimin nga $127 në $123 me një vlerësim 'sector perform' më 7 gusht. JPMorgan mbajti vlerësimin 'underweight' dhe rriti qëllimin nga $120 në $122 më 8 gusht. Piper Sandler uli qëllimin nga $150 në $142 me një vlerësim 'overweight' më 11 tetor. WLK u hapën në $119.98 të premte, poshtë mbylljes së mëparshme, me një minimum 52-javor të $98.05 dhe maksimum të $138.39. Mesatarat janë $122.15 (50-ditor) dhe $121.65 (200-ditor). Financat përfshijnë një raport detyrueshëm të kapitalit të 0.43, raporti i shpejtë 1.88, raporti aktual 2.54, vlera e tregut $15.63B, raport PE 13.05, dhe beta 1.28. Dividenda e Westlake është $0.347 trimestriale, $1.38 vjetore, me një rendiment prej 1.13% dhe një raport pagese të 21.39%. Drejtori David Tsung-Hung Chao shiti 1,000 aksi në $129.00, tani zotëron 10,148 aksi në vlerë prej $1,311,388. 74.10% e akseve janë në duart e insiderëve. Fondet hedge si FMR LLC dhe të tjerë kanë ulur pjesëmarrjen e tyre, me 28.40% të akseve në pronësi institucionale. Westlake përballon sfida në materialet e performancës pasi tregut dhe probleme në rrjetin e furnizimit.",🚨 Westlake Co. (WLK) Gets 'Strong Sell' Rating! Analysts lower targets as challenges mount. #StockAlert #Investing,🚨 Westlake Co. (WLK) Merr Vlerësimin 'Strong Sell'! Analistët ulin qëllimet në القرن sfidave. #StockAlert #Investing,sqi,eng_x,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,fake_news,"[9, 34]",/eng_x_f/deepseek-ai_DeepSeek-R1-Distill-Llama-70B/sqi/2f9a63e6-c7d9-4092-8809-b4421a377199_sqi_medium.json,eng,"[sqi,eng]",eng,"[eng,sqi,ara]",eng,medium,GlobalNews,y,n,y,n
