uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
2bc36bd8-b902-4d8a-9c02-339b4e939c44,"Tuesday's Capital One Cup fixtures highlighted strategic squad rotations with significant consequences. The 20 participating teams made 117 total lineup changes, including 47 from seven Premier League clubs. Arsenal's drastic reshuffle - resting 10 starters after a weekend win - proved disastrous as they fell 2-1 to Southampton, who made only five changes. This marked Southampton's first victory at Arsenal in 27 years. Stoke (6 changes) and Swansea (5 changes) achieved away wins through measured adjustments, while Everton's seven alterations led to a 3-0 defeat. Liverpool defied the trend with seven changes, surviving a record 14-13 penalty shootout against Middlesbrough. Seventeen-year-old Jordan Rossiter scored on his debut during this dramatic match. The outcomes suggested that maintaining team cohesion often outweighs rotation benefits, particularly for Southampton's Ronald Koeman and Swansea's Garry Monk. In contrast, extensive changes by Arsenal's Arsène Wenger and Everton's Roberto Martínez correlated with disappointing results.","Tirsdagens Capital One Cup-kamper avdekket strategiske mønstre i spillerbytter. De 20 lagene gjennomførte totalt 117 endringer, hvorav syv Premier League-klubber stod for 47 bytter. Arsenals drastiske omlegging - med 10 nye startspillere - slo feil da de tapte 2-1 hjemme mot Southampton. Sørhampton-kollega Ronald Koeman brukte kun fem nye spillere og sikret klubbens første seier på Emirates Stadium på 27 år. Stoke (6 endringer) og Swansea (5 endringer) sikre borteseire gjennom måteholdende endringer, mens Evertons syv bytter førte til 3-0-tap. Liverpool brøt mønsteret med syv endringer og vant etter episk straffesparkduell (14-13) mot Middlesbrough. 17-årige debutant Jordan Rossiter scoret i denne dramatiske kampen. Resultatene tyder på at lag med færre endringer ofte hadde bedre sammenheng, spesielt hos Southampton og Swansea. Store omstillinger hos Arsenal og Everton viste seg å være problematiske, med tap som følge.",⚽️ Rotation roulette in Carabao Cup! 🔄 Arsenal's 10 changes = ❌ vs Saints' 5 changes = ✅ #LessonInConsistency 💡 Liverpool survive 14-13 PEN DRAMA with teen star Rossiter! 🌟 #CapitalOneCup,⚽️ Bytteroulette i Ligacupen! 🔄 Arsenal byttet 11 spillere → tap ❌ Southampton med 5 bytter → historisk seier ✅ #LærdomOmStabilitet 💡 Liverpool vant 14-13 på straffer med 17-årig debutant! 🌟 #CarabaoCup,nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_2bc36bd8-b902-4d8a-9c02-339b4e939c44_nor_rewrite_moderate.json,eng,nob,eng,"[nob,eng]",eng,moderate,DialyNews,y,n,y,n
022e5606-c398-4b60-b2fc-459af1eed1b0,"A father allegedly caused fatal injuries to his eight-week-old daughter while intoxicated during a 20-minute childcare period, according to court proceedings. Richard Barnes, 27, is accused of inflicting severe skull fractures on infant Grace at their Castleford home in November 2011. Prosecutors stated the injuries resulted from blunt force trauma via kicking, stamping, or pressing the infant's head against a hard surface. Richard Mansell QC told Leeds Crown Court: 'Medical evidence indicates a deliberate assault causing injuries consistent with murder.' The court heard Barnes consumed four whisky miniatures, two vodka miniatures, and two beers before the incident. While the family home was described as well-maintained, Barnes reportedly concealed his alcohol use from partner Stephanie Rudd. Following the alleged assault, Barnes purchased additional alcohol rather than calling emergency services. Forensic analysis concluded accidental causes couldn't explain Grace's injuries. Barnes maintains the incident resulted from an accidental head collision followed by a fall. The trial continues as Barnes denies murder charges.","En far påstås ha forårsaket dødelige skader på sin åtte uker gamle datter under en 20-minutters omsorgsperiode mens han var beruset, ifølge rettssaken. Richard Barnes (27) er siktet for å ha påført alvorlige skallebrudd på spedbarnet Grace i Castleford i november 2011. Påtalemyndigheten hevder skadene skyldtes voldelig kraft gjennom sparking, tramping eller å presse barnets hode mot harde flater. Advokat Richard Mansell QC uttalte ved Leeds Crown Court: 'De medisinske bevisene peker mot et overlagt angrep som forårsaket skader forenlige med drap.' Retten fikk høre at Barnes drakk fire små whiskyflasker, to små vodkaflasker og to øl før hendelsen. Selv om hjemmet ble beskrevet som velholdt, skal Barnes ha skjult alkoholproblemer for samboer Stephanie Rudd. Etter det påståte overgrepet kjøpte han mer alkohol istedenfor å ringe 113. Rettsmedisinsk utredning fastslo at uhell ikke kunne forklare skadeomfanget. Barnes hevder skadene oppsto ved et uhell under en hodestøt fulgt av fall. Saken fortsetter med Barnes' benektelse av drapstiltalen.",Tragic case unfolding in court: Father denies murder charges after 8-week-old daughter's fatal injuries. Prosecutors cite alcohol use and blunt force trauma. #CastlefordCase #JusticeForGrace,Rettssak om tragisk spedbarnsdød: Far nekter drapstiltale etter alvorlige skader på 8 uker gammel datter. Påstand om alkoholbruk og voldskader. #CastlefordSaken #JusticeForGrace,nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_022e5606-c398-4b60-b2fc-459af1eed1b0_nor_edit.json,eng,nob,eng,"[nob,eng]",,light,DialyNews,y,n,y,n
31d4fa06-3cf9-4a36-b7f3-64d1842fdabb,"Software engineer Tom Clarke is attempting to locate his stolen iPad using photos transmitted via iCloud. The device disappeared during Christmas shopping in Sussex. Within two hours of the theft, Clarke began receiving automatic photo updates showing a man in a woolen hat, a brown dog, and pink suitcases. Sussex Police confirmed an ongoing investigation with access to the images. Clarke remotely locked the iPad but cannot track its GPS location. 'I just want my device back,' he stated, suggesting the current possessor might not be the thief. Authorities request public assistance in identifying the photographed individual.","Programmeringeniør Tom Clarke forsøker å spore sin stjålne iPad ved hjelp av bilder overført via iCloud. Enheten forsvant under julehandel i Sussex. Innen to timer etter tyveriet begynte Clarke å motta automatiske bilder av en mann i ullue, en brun hund og rosa kofferter. Sussex Police bekrefter en pågående etterforskning med tilgang til bildematerialet. Clarke låste enheten eksternt, men kan ikke spore GPS-plasseringen. 'Jeg vil bare ha enheten tilbake,' oppga han, og antydet at personen som har den ikke nødvendigvis er tyven. Myndighetene oppfordrer alle som kjenner igjen mannen på bildene til å kontakte dem.",Tech whiz tracks stolen iPad using thief's own photos! 🐕👨💻 Sussex man gets dog pics & suitcase clues via iCloud. Help #FindTomsiPad ➡️ Contact police if you recognize this hat guy! #TechJustice,Tech-kyndig sporer stjålet iPad med tyvens egne bilder! 🐕👨💻 Sussex-mann mottar hundebilder og koffertspor via iCloud. Hjelp #FinnTomsiPad ➡️ Kontakt politiet hvis du kjenner igjen ullue-mannen! #TeknoRettferdighet,nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_31d4fa06-3cf9-4a36-b7f3-64d1842fdabb_nor_edit.json,eng,nob,eng,nob,eng,light,DialyNews,y,n,y,n
6f100843-b243-43f7-a803-285ef130fb7c,"The 2023 Hugo Awards ceremony in Chengdu marked a milestone for global sci-fi recognition, with organizers reporting unprecedented participation from non-English-speaking members. Chinese creators claimed multiple honors: author Hai Ya won Best Novelette for 'The Space-Time Painter,' artist Zhao Enzhe received Best Professional Artist, and Zero Gravity Newspaper secured Best Fanzine. While Travis Baldtree's popular 'Legends & Lattes' lost Best Novel to T. Kingfisher's horror-fantasy 'Nettle & Bone,' Baldtree earned the Astounding Award for Best New Writer. Notable screen honors went to 'Everything Everywhere All at Once' (Film) and 'The Expanse' finale (Television), surpassing competition including 'Andor' episodes. The event also recognized short fiction editor Neil Clarke's perseverance in maintaining Clarkesworld magazine amidst rising AI-generated submissions.","Hugo-prisen 2023 i Chengdu markerte en milepæl for global sci-fi-anerkjennelse, med arrangører som rapporterte om rekordhøy deltakelse fra ikke-engelsktalende medlemmer. Kinesiske skapere tok flere priser: forfatter Hai Ya vant Beste Novelle for 'Rom-tids Maleren,' kunstner Zhao Enzhe mottok prisen for Beste Profesjonelle Kunstner, og Zero Gravity Newspaper sikret seg Beste Fanzine. Mens Travis Baldtrees populære 'Legends & Lattes' tapte Beste Roman til T. Kingfishers horror-fantasy 'Nettle & Bone,' vant Baldtree Astounding-prisen som Årets Nye Forfatter. På film- og TV-siden gikk hovedprisene til 'Everything Everywhere All at Once' (film) og finalen av 'The Expanse' (TV), som slo konkurrenter inkludert episoder av 'Andor.' Arrangementet hyllet også redaktør Neil Clarkes innsats for å holde Clarkesworld-magasinet flytende til tross for en flom av AI-genererte innsendelser.",🏆 Hugo Awards 2023 in Chengdu break barriers with record global participation! Chinese creators shine with wins for 'The Space-Time Painter' & more. From horror-fantasy triumphs to fighting AI spam – sci-fi's future looks diverse! 🌍✨ #HugoAwards #SciFiDiversity,🏆 Hugo-prisen 2023 i Chengdu viser sci-fiens globale kraft! Kinesiske skapere dominerte med blant annet 'Rom-tids Maleren'. Fra skrekkfantasy til kamp mot AI-innsendelser – fremtiden er mangfoldig! 🌐🚀 #HugoPrisen #SciFi,nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_6f100843-b243-43f7-a803-285ef130fb7c_nor_polish.json,eng,"[nob,eng]",eng,nob,eng,moderate,GlobalNews,y,n,y,n
218fedb5-1b5d-4c2e-a729-a78656f410e7,"Beijing (CNN) – China intensified its criticism of the Nobel Peace Prize selection one day before the award ceremony honoring imprisoned Chinese dissident Liu Xiaobo. Foreign Ministry spokeswoman Jiang Yu stated Thursday the committee's decision represents 'interference in internal affairs,' claiming majority global opposition to the choice. Since the October 8 announcement, Chinese officials have repeatedly denounced Liu – currently serving an 11-year sentence for 'inciting subversion' – as a criminal and framed the award as part of Western efforts against China. Jiang emphasized Liu's conviction under Article 105 regarding state power subversion, asserting his actions exceeded standard political criticism. Multiple foreign news websites, including CNN and BBC, were blocked in mainland China Thursday. Amnesty International reported unverified claims of Chinese diplomats pressuring expatriates in Norway to join anti-Nobel protests ahead of Friday's ceremony. Of 65 invited embassies in Oslo, 19 nations declined attendance – including China, Russia, Saudi Arabia, Pakistan, Iraq, and Iran. While some speculate political motivations, Russia cited scheduling conflicts and the UN noted its standard practice of only attending when affiliated with winners. Iraq's deputy foreign minister stated participation remains undecided, contradicting earlier reports.","Beijing (CNN) – Kina skjerpet kritikken mot Nobels fredspris-valg én dag før seremonien for den fengslede dissidenten Liu Xiaobo. Utenriksdepartementets talsperson Jiang Yu kalte torsdag komitéens beslutning for 'innblanding i indre anliggender' og hevdet flertallet globalt motsetter seg prisen. Etter kunngjøringen 8. oktober har kinesiske myndigheter gjentatt beskyldninger om at Liu – som soner 11 år for 'oppfordring til statskupp' – er kriminell, og fremstiller prisen som en vestlig anti-kinesisk agenda. Jiang understreket dommen etter straffelovens §105 om undergraving av statsmakten, og mente handlingene overgikk vanlig politisk kritikk. Flere utenlandske nyhetssider, inkludert CNN og BBC, ble blokkert i Kina torsdag. Amnesty International rapporterte ubekreftede påstander om at kinesiske diplomater presset landsmenn i Norge til anti-Nobel-demonstrasjoner før seremonien. Av 65 inviterte ambassader i Oslo avslo 19 land å delta – blant dem Kina, Russland og flere Midtøsten-land. Russland viser til kalenderkonflikter, mens FN forklarte sin vanlige praksis om kun å delta ved egne priser. Iraks viseutenriksminister opplyser at deltakelse fortsatt er uavklart.","🔥 China slams Nobel Peace Prize as 'interference' ahead of dissident honor ceremony. 19 countries skip event amid diplomatic heat, while websites get blocked. Is this global politics or principled stance? #NobelControversy #ChinaDiplomacy","🔥 Kina rasjer mot Nobels fredspris som 'innblanding' før dissident-seremoni. 19 land boykotter under diplomatisk press, nettblokkeringer rapportert. Global politikk eller prinsippfasthet? #NobelDebatt #KinaDiplomati",nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_218fedb5-1b5d-4c2e-a729-a78656f410e7_nor_polish.json,eng,"[nob,eng]",eng,nob,eng,moderate,DialyNews,y,n,y,n
a960c18b-4a3f-4974-b02f-14bedc9dc42b,"David Dan Doran received a four-and-a-half year sentence for exploiting Darrell Simester through forced labor between 2010-2013. The victim endured 13 years of unpaid work at Cariad Farm near Newport, Wales, though only the final three years fell under modern slavery legislation. Cardiff Crown Court heard Simester lived in squalid conditions, working 15-hour days without pay. Judge Neil Bidder condemned Doran's 'ruthless economic exploitation,' noting calculated financial gains exceeded £200,000 based on minimum wage requirements. While the full duration spanned 2000-2013, prosecution was limited to post-2010 offenses due to legal constraints. Simester's family described his physical and mental deterioration, appearing 'like a 90-year-old' when rescued. Authorities emphasized ongoing efforts to combat modern slavery, urging public vigilance through initiatives like Operation Imperial.","Gårdseier David Dan Doran er dømt til fire og et halvt år for tvangsarbeid av Darrell Simester mellom 2010-2013. Offeret utførte ulønnet arbeid i 13 år på Cariad Farm ved Newport, men kun perioden etter 2010 kunne straffeforfølges under norske lovverk om moderne slaveri. Domstolen hørte om Simeisters elendige vilkår: 15-timers dager, rotteinfisert bolig og manglende lønn. Dommer Neil Bidder understreket Dorans 'ruthløse utnyttelse' med beregnede gevinster over 2 millioner kroner. Fullt straffeansvar dekket kun de siste tre årene grunnet lovendringer. Familien beskriver hvordan Simester så ut 'som en 90-åring' da han ble reddet. Myndigheter oppfordrer til samfunnsengasjement: 'Moderne slaveri kan foregå i nærmiljøet. Samarbeid mellom publikum og politiet er avgjørende.'",Shocking case of modern slavery in Wales: Farmer jailed for 4.5 years after exploiting vulnerable worker for 13 YEARS without pay. Victim Darrell endured horrific conditions – now recovering with family. Stay vigilant! #EndModernSlavery #WorkersRights 🚜⚖️,"Sjokkerende tvangsarbeid-sak i Wales: Bonde fengslet i 4,5 år etter 13 ÅRS utnyttelse av sårbar arbeider. Offeret Darrell overlevde grusomme vilkår – nå på bedringens vei. Vær oppmerksomme i ditt nærmiljø! #StoppModerneSlaveri #Arbeiderrettigheter 🚜⚖️",nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_a960c18b-4a3f-4974-b02f-14bedc9dc42b_nor_edit.json,,"[nob,eng]",eng,nob,,light,DialyNews,y,n,y,n
a5212801-f228-4f41-87e8-3af8693daf71,"Nick Clegg's proposal for universal free school meals has drawn criticism, with some Liberal Democrat members acknowledging the scheme's financial challenges. The plan to provide meals for all children under eight faced immediate scrutiny as Conservative leaders questioned subsidizing meals for affluent families. Within hours of Deputy Prime Minister Nick Clegg announcing the £600 million initiative at the Lib Dem conference in Glasgow, party colleagues admitted having previously criticized similar policies. London Mayor Boris Johnson opposed the measure, stating: 'Families with means should cover their children's meal costs.' The proposal, scheduled for inclusion in Chancellor George Osborne's Autumn Statement, drew criticism from former Tory minister David Davis as 'incoherent' given simultaneous child benefit reductions. Lib Dem ministers faced scrutiny over past opposition to comparable Labour council initiatives, with Simon Hughes' 2010 letter resurfacing criticizing such programs as wasteful. Separately, Lib Dem Agriculture Minister David Heath raised environmental concerns about HS2's impact on 33 ancient woodlands, while Treasury Chief Secretary Danny Alexander defended the meal plan's centralized funding approach.","Nick Cleggs forslag om universell gratis skolemat har møtt motstand, også blant liberaldemokratiske medlemmer som peker på økonomiske utfordringer. Planen om måltider til alle barn under åtte år ble umiddelbart debattert, med konservative ledere som stilte spørsmål ved støtte til velstående familier. Innen få timer etter at visestatsminister Nick Clegg presenterte det 600 millioner pund store tiltaket på partikonferansen i Glasgow, innrømmet partifeller tidligere kritikk av lignende ordninger. Londons ordfører Boris Johnson avviste forslaget: 'Familier som har råd bør betale selv.' Forslaget, som skal inkluderes i finansminister George Osbornes høstmelding, ble kalt 'motsigelsesfullt' av eks-konservativ minister David Davis grunnet samtidige kutt i barnetrygd. Liberaldemokratiske ministre ble konfrontert med tidligere motstand mot Labour-styrte kommuners tilsvarende ordninger, inkludert et gjenfunnet brev fra Simon Hughes (2010) som kalte slik politikk 'bortkastet penger'. Separat uttrykte landbruksminister David Heath bekymring for HS2-jernbanens effekt på 33 urgamle skogområder, mens finansdepartementets Danny Alexander forsvarte sentralfinansiert skolematordning.","Free school meals plan stirs UK political storm! 🍴 Lib Dems face heat from both sides - Tories call it 'incoherent', own members admit past criticism. Eco concerns over HS2 rail add to debate. #EducationPolicy #UKPolitics #HS2Controversy","Gratis skolemat-forslag splid i britisk politikk! 🍎 Liberaldemokratene møter motstand fra både egne rekker og konservative. HS2-togplaner vekker miljøbekymringer. Skal alle få, eller bare de som trenger? #Skolepolitikk #Storbritannia #Miljødebatt",nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_a5212801-f228-4f41-87e8-3af8693daf71_nor_edit.json,eng,"[nob,eng]",eng,nob,eng,light,DialyNews,y,n,y,n
444b063e-98d2-43bf-86db-4fd544f7878c,"By Sami Mokbel in New York. Arsene Wenger has revealed how a pivotal conversation with Aaron Ramsey sparked the midfielder's remarkable improvement during the 2013-14 season. Wenger acknowledged avoiding selection of the Welsh player during the latter stages of the 2012-13 campaign due to negative reactions from Arsenal supporters. To address the situation, Wenger initiated a private discussion with Ramsey. This strategy proved highly successful, as Ramsey—who scored Arsenal's decisive goal in the 2014 FA Cup final—evolved into the team's key central midfielder. Wenger stated: 'I explained to Aaron that public frustration targeted his performance, not him personally. By refining his gameplay fundamentals, we witnessed his transformation. His tactical intelligence assured me of a strong comeback.' Ramsey's contributions were instrumental in securing Arsenal's FA Cup victory, cementing his status as a vital team member.",Adjusted '2013-14-sesongen' to '2013/14-sesongen' (Norwegian date format) Changed 'Arsenals tilhengere' to 'Gunners-tilhengerne' for fan terminology Modified 'sentralmidtbanespiller' to 'midtbanesentral' for natural flow Updated 'FA-cupfinalen' to 'FA-cup-finalen' with hyphen consistency,⚽️ From bench to hero! #Wenger reveals how a heart-to-heart transformed #Ramsey into Arsenal's midfield maestro after fan criticism. Proof that mentorship matters! #PremierLeague #FACupGlory 🏆,⚽️ Fra benk til helt! #Wenger avslører hvordan en hjertelig samtale gjorde #Ramsey til Arsenals midtbanemester etter fanterapi. Bevis på at veiledning teller! #PremierLeague #FACupSeier 🏆,nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_444b063e-98d2-43bf-86db-4fd544f7878c_nor_edit.json,eng,"[eng,nob]",eng,nob,eng,light,DialyNews,y,n,y,n
f884ff8a-f0e3-452c-b79a-3b73e3ea6a7b,"A mining company has discovered what may be the largest gold deposit ever identified in the British Isles, according to its chairman. With gold prices at record highs, initial drill samples suggest over 1 million ounces could lie beneath rural land near Clontibret, County Monaghan. Richard Conroy of Conroy Diamonds and Gold Plc stated the find's potential market value reaches $300 million, following a decade-long search across a 1,500-square-kilometer area spanning Ireland's border region. 'This represents a major development for Ireland's mineral resources,' Conroy noted, claiming it surpasses all previous gold estimates in Ireland or Britain. Current gold prices hover around $900 per ounce globally. The company plans additional drilling and feasibility studies before proceeding. Analyst William Tankard of GFMS cautioned that 'while significant, these estimates remain unconfirmed until extraction occurs.' He acknowledged that 1 million ounces would be unprecedented for Ireland, where only one active gold mine currently operates. Tankard emphasized that ore concentration and purity will ultimately determine the deposit's true value.","Et gruveselskap har oppdaget det som kan være den største gullforekomsten noensinne funnet på De britiske øyer, ifølge selskapets styreleder. Med gullpriser på rekordhøyder tyder første boreprøver på at over én million unser kan ligge under jordene ved Clontibret i Monaghan fylke. Richard Conroy fra Conroy Diamonds and Gold Plc oppgir at funnet potensielt kan ha en markedsverdi på 300 millioner dollar, etter ti års leting i et 1500 kvadratkilometer stort område langs Irlands grense. 'Dette er et betydelig funn for Irlands mineralressurser,' sa Conroy, og hevder det er større enn alle tidligere estimater i både Irland og Storbritannia. Dagens gullpriser ligger rundt 900 dollar per unse globalt. Selskapet planlegger mer boring og gjennomførbarhetsstudier før eventuell utvinning. Analytiker William Tankard fra GFMS advarte: 'Selv om dette er imponerende, er tallene usikre inntil faktisk utvinning skjer.' Han bekreftet at én million unser ville vært uovertruffet i Irland, som for tiden bare har én aktiv gullgruve. Tankard la vekt på at malmens konsentrasjon og renhet vil avgjøre den endelige verdien.","🚨 BIG GOLD NEWS! 💰 Irish explorers strike potential MOTHERLODE – estimates show 1M+ ounces near Clontibret! 💎 Valued at $300M, this could be UK/Ireland's largest ever find. Experts urge caution until digging starts. #GoldRush #IrishGold #MiningNews","🚨 STORT GULLFUNN! 💰 Norsk: Gruveselskap tror de har funnet Irlands største gullforekomst noensinne – over 1 million unser! 💎 Verdt 300 millioner dollar, men eksperter sier 'vent med å feire til utvinning starter'. #Gullrush #IrskGull #Gruvenyheter",nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_f884ff8a-f0e3-452c-b79a-3b73e3ea6a7b_nor_edit.json,eng,nob,eng,"[nor,eng]",eng,light,DialyNews,y,n,y,n
381dc368-6e20-4808-bbff-3a74c663867d,"Jamie Oliver's restaurant chain was fined £8,000 after staff served regular pasta to coeliac customer Kristy Richardson, triggering a severe allergic reaction. During her 2011 wedding anniversary meal in Portsmouth, Richardson made three gluten-free requests that were misunderstood by staff. The incident caused prolonged vomiting that temporarily removed Richardson from organ transplant waiting lists. Court proceedings revealed the restaurant violated the Food Safety Act 1990, with investigators citing 'lamentable failures' in allergy protocols. Post-incident improvements include an 'allergy button' ordering system to prevent repeat errors. Richardson, diagnosed with pulmonary hypertension during pregnancy, had been on transplant lists prior to the incident. The restaurant chain implemented enhanced training and paid £9,212 in costs alongside the fine.","Jamie Olivers restaurantkjede ble ilagt en bot på 8000 pund etter at personale serverte vanlig pasta til en kunde med cøliaki, noe som utløste en alvorlig allergisk reaksjon. Kristy Richardson understreket tre ganger at hun trengte glutenfri pasta under sitt bryllupsdagbesøk i Portsmouth i 2011, men en misforståelse blant de ansatte førte til feil servering. Hendelsen resulterte i langvarig oppkastning som midlertidig fjernet henne fra organventelister. Retten fastslo at restaurantbransjen brøt mattrygghetsloven fra 1990, med 'alvorlige brister' i allergihåndtering. Nye rutiner inkluderer et spesialisert bestillingssystem for allergier. Richardson, som utviklet livstruende pulmonal hypertensjon under svangerskapet, hadde vært på venteliste for hjerte- og lungetransplantasjon. Restaurantkjeden har iverksatt utvidet opplæring og betalte 9212 pund i rettslige omkostninger.",🚨 #FoodSafetyAlert: Jamie Oliver's restaurant fined £8k after gluten mix-up left coeliac customer seriously ill. Lesson learned: Always double-check dietary needs! 🍝❌ #AllergyAwareness #HospitalityFail,🚨 #MatTrygghet: Jamie Olivers restaurant fikk 8000 pund i bot etter glutenfeil – cøliakikunde ble alvorlig syk. Viktig å dobbeltsjekke matallergier! 🍝❌ #Allergibevissthet #Serveringssvikt,nor,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/nor/CoI_381dc368-6e20-4808-bbff-3a74c663867d_nor_polish.json,eng,nob,eng,"[nob,eng]",eng,moderate,DialyNews,y,n,y,n
