uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
d00d1552-2122-49fe-acb4-8f9b8083fbcf,"Middlesbrough FC are progressing in negotiations to sign Belgian forward Jelle Vossen from KRC Genk, with the 25-year-old omitted from his club's latest matchday squad. Despite reports of a minor injury, sources indicate Vossen could finalize terms this week if both clubs bridge their £5m valuation gap. The striker boasts an impressive record of 59 goals across 143 appearances over four seasons. While Middlesbrough currently have six attackers on their roster, none surpassed 10 goals last campaign, amplifying their need for clinical finishing. In parallel developments, the Championship side secured defender Kenneth Omeruo's return from Chelsea. The Nigerian international expressed enthusiasm about reuniting with manager Aitor Karanka, citing the club's supportive environment and guaranteed playing time as decisive factors.",میدلزبورو در حال پیشرفت مذاکرات برای جذب ژله وسن، مهاجم بلژیکی تیم ژنک است. این بازیکن 25 ساله از ترکیب آخرین مسابقه تیمش کنار گذاشته شد. با وجود شایعات درباره مصدومیت خفیف، منابع آگاه احتمال میدهند در صورت رفع اختلاف نظر بر سر قیمت 5 میلیون پوندی، وی تا پایان هفته قرارداد را امضا کند. این فوروارد سابقه درخشان 59 گل در 143 بازی چهار فصل اخیر را دارد. در شرایطی که میدلزبورو شش مهاجم در اختیار دارد، عملکرد ضعیف آنها در فصل گذشته (عدم رسیدن به آمار دو رقمی) نیاز به یک گلزن حرفهای را آشکار ساخته است. در توسعه ای موازی، این تیم موفق به جلب مجدد کنت اومرو مدافع نیجریهای با قرارداد قرضی از چلسی شد. این بازیکن 20 ساله با بیان اشتیاق برای همکاری مجدد با آیتور کرانکا، محیط صمیمی و فرصتهای بازی منظم را دلیل اصلی انتخاب خود عنوان کرد.,🔥 Transfer Update! Middlesbrough closing in on Genk's goal machine Jelle Vossen! 🎯 59 goals in 4 seasons! Also welcome back Kenneth Omeruo from Chelsea! #BoroTransfers #UpTheBoro,🔥 اخبار نقل و انتقالات! میدلزبورو نزدیک به جذب ژله وسن گلزن ژنک! 🎯 59 گل در 4 فصل! بازگشت کنت اومرو از چلسی هم قطعی شد! #انتقالات_برو #میانمیدلزبورو,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_d00d1552-2122-49fe-acb4-8f9b8083fbcf_per_rewrite_moderate.json,eng,fas,eng,fas,eng,moderate,DialyNews,y,n,y,n
cdb4d588-da03-4fbc-98a6-93daecfedc39,"John Phillip Bradford, a 62-year-old elephant manager with three decades of service at Dickerson Park Zoo, died on October 11, 2013, after being charged by Patience, a 6,000-pound Asian elephant. The incident occurred at 8:45 AM during routine feeding in the animal's barn, where Bradford was accompanied by two colleagues per safety protocols for the elephant's documented aggressive tendencies. Emergency responders pronounced Bradford dead at the scene. Zoo officials confirmed Patience has resided at the facility since 1990, with her future status currently under review. This follows the recent euthanasia of Connie, a 50-year-old elephant who lost 1,000 pounds due to kidney disease. In a 2010 interview, Bradford acknowledged the risks of zookeeping: 'We assess each situation to determine acceptable risk levels when direct contact becomes necessary.' Colleague Lee Hart emphasized elephants' unpredictable nature, noting their size amplifies potential danger during interactions. The zoo remained operational post-incident, closing only elephant habitats temporarily. Bradford is survived by a brother residing outside Missouri, according to official statements.",جان فیلیپ برادفورد، مدیر ۶۲ ساله بخش فیلهای باغ وحش دیکرسون میزوری، در ۱۱ اکتبر ۲۰۱۳ حین تغذیه فیل آسیایی ۲۷۰۰ کیلوگرمی به نام 'پشنز' جان باخت. این واقعه ساعت ۸:۴۵ بامداد در اصطبل فیل رخ داد. برادفورد با ۳۰ سال سابقه کاری، طبق پروتکلهای ایمنی برای فیلهای با سابقه رفتار تهاجمی، همراه دو همکار در محل حاضر بود. اورژانس مرگ برادفورد را در محل تأیید کرد. مسئولان اعلامند پشنز از ۱۳۶۹ خورشیدی در باغ وحش زندگی میکرده و سرنوشت او در دست بررسی است. این حادثه پس از مرگ اخیر فیل ۵۰ ساله 'کانی' اتفاق افتاد که بهدلیل نارسایی کلیوی ۴۵۰ کیلوگرم وزن از دست داده بود. برادفورد در ۱۳۸۹ به شبکه NBC گفته بود: 'ما در هر تماس مستقیم با حیوانات، سطح خطرپذیری را ارزیابی میکنیم.' همکارش لی هارت تأکید کرد: 'جثه عظیم فیلها حتی در کارهای روزمره هم خطرآفرین است.' باغ وحش پس از حادثه با تعطیلی موقت بخش فیلها به فعالیت ادامه داد. برادفورد تنها یک برادر در ایالت دیگر دارد که از موضوع مطلع شده است.,"Tragedy at Dickerson Park Zoo: Veteran keeper John Bradford, 62, killed during elephant feeding. Patience, the 6,000lb Asian elephant with aggression history, charged him in barn. 🐘💔 #ZooSafety #AnimalCareRisks | Zoo remains open as community mourns 30-year veteran. Details: [LINK",فاجعه در باغ وحش دیکرسون: جان برادفورد، نگهدار ۶۲ ساله فیلها، حین غذا دادن به فیل 'پشنز' کشته شد. این فیل ۲۷۰۰ کیلویی سابقه رفتار تهاجمی داشت. 🐘💔 #ایمنی_در_باغ_وحش #خطرات_مراقبت_از_حیوانات | باغ وحش با تعطیلی موقت بخش فیلها به بازدیدکنندگان خدمات میدهد. جزئیات: [لینک,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_cdb4d588-da03-4fbc-98a6-93daecfedc39_per_polish.json,eng,fas,eng,fas,eng,moderate,DialyNews,y,n,y,n
6fad70f9-31f3-4cf7-9815-bb0237731bbc,"Keith Maupin, father of Ohio soldier Matt Maupin who was kidnapped during a 2004 insurgent attack in Iraq and later killed, has called for full prosecution of the detained suspect in his son's case. The Cincinnati native participated via Pentagon video link in a hearing concerning an Iraqi detainee who reportedly confessed to the killing. Sgt. Maupin was captured when militants ambushed his fuel convoy near Baghdad. Despite years of hope, DNA analysis confirmed his remains in 2008. His father, who maintained a symbolic unshaven appearance during the ordeal, told the court: 'This man must be held accountable under Iraqi law. If Matt's sacrifice helps build a stronger justice system, it will matter.' The suspect received a death sentence in 2009 but faces retrial due to legal procedural issues. While two co-conspirators were executed in 2008, this case remains ongoing. The Maupin family established the Yellow Ribbon Support Center, which sends care packages to deployed service members, to honor their son's legacy.",کیت مپین، پدر سرباز آمریکایی مت مپین که در سال 2004 در عراق ربوده و پس از اسارت به قتل رسید، طی ارتباط ویدئویی از پنتاگون خواستار محاکمه کامل متهم پرونده شد. این شهروند 63 ساله اهل سینسیناتی در جلسه قضایی عراق درباره زندانی که طبق ادعای مقامات آمریکایی به قتل اعتراف کرده، شرکت کرد. سرباز مپین هنگام حمله گروههای شورشی به کاروان سوخت ارتش در نزدیکی بغداد به اسارت درآمد. با وجود سالها انتظار خانواده برای بازگشت زنده او، آزمایشهای دیانای در سال 2008 هویت بقایای جسد را تأیید کرد. پدر وی که سالها به نشانه امیدواری اصلاح نکرده بود، در دادگاه اظهار داشت: 'این فرد باید طبق قانون عراق پاسخگو باشد. اگر فداکاری مت به تقویت سیستم قضایی بینجامد، ارزشش را داشته است.' متهم پرونده که ابتدا در سال 2009 به اعدام محکوم شده بود، به دلیل نواقص حقوقی در فرآیند دادرسی، مجدداً تحت محاکمه قرار گرفته است. در حالی که دو نفر از همدستان در سال 200۸ اعدام شدند، این پرونده همچنان در جریان است. خانواده مپین با تأسیس مؤسسه روبان زرد، با ارسال بستههای حمایتی برای سربازان، یاد پسرشان را زنده نگه داشتهاند.,"A father's decade-long fight for justice: Keith Maupin pushes for full accountability in son's Iraq kidnapping case. 'If it strengthens their justice system, Matt's death will matter,' says the Army dad who kept hope alive for years. 🇺🇸⚖️ #MilitaryJustice #NeverForget",پدری که 10 سال برای عدالت جنگید: کیت مپین خواستار محاکمه کامل قاتلان پسرش در عراق شد. 'اگر سیستم قضایی تقویت شود، مرگ مت ارزش داشت.' پدر این سرباز که سالها امیدوار ماند، حالا از طریق مؤسسه روبان زرد به نظامیان کمک میکند. 🇺🇸⚖️ #عدالت_برای_مت #یادش_گرامی,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_6fad70f9-31f3-4cf7-9815-bb0237731bbc_per_polish.json,eng,fas,eng,fas,eng,moderate,DialyNews,y,n,y,n
9c5e1b38-65f1-48c3-86b6-3e20d75b385a,"The Trailfinders Australian Garden's first Best in Show victory at the RHS Chelsea Flower Show sparked unconventional celebrations, with volunteer Tim Wilkinson commemorating the win by diving into a water feature au naturel. After nine years of participation, the collaborative project - requiring 17 days and 2,500+ work hours - impressed judges with its sustainable urban landscaping featuring native Australian plants. Designed by Phillip Johnson Landscapes, the installation included innovative elements like a waratah-shaped aluminum structure with a height-adjusted viewing platform intended for Queen Elizabeth II during her visit. While the monarch admired the botanical display from ground level, she reportedly missed Wilkinson's celebratory plunge. Project sponsor Fleming's Nurseries and the Victorian State Government celebrated the achievement, with Johnson calling it 'a career-defining moment that exceeded all expectations.'",باغ استرالیایی Trailfinders در نمایشگاه بینالمللی گل چلسی RHS با کسب جایزه برترین طراحی، شاهد صحنههای غیرمعمولی بود. تیم ویلکینسون، یکی از داوطلبان تیم اجرایی، با شیرجه زدن در آبنمای این باغ به صورت کاملا برهنه، موفقیت همکارانش را جشن گرفت. این پروژه پس از ۹ سال حضور مستمر و ۱۷ روز کار مداوم با بیش از ۲۵۰۰ ساعت نیروی انسانی، بالاخره جایزه اصلی را از آن خود کرد. طراحی خلاقانه فیلیپ جانسون با استفاده از گیاهان بومی استرالیا مانند 'پنجه کانگورو' و 'درختان بطری'، همراه با سازه فلزی به شکل گل واراتا (نماد ملی استرالیا)، توجه داوران را جلب کرد. سکوی مشاهده ویژه این مجموعه که با توجه به قد ملکه الیزابت دوم طراحی شده بود، اگرچه توسط ایشان مورد تحسین قرار گرفت، اما شاهد مراسم جشن آبی نبود. جانسون این موفقیت تاریخی را 'پروژهای فراتر از تمام انتظارات' توصیف نمود.,"🌿HUGE WIN DOWN UNDER!🇦🇺 Volunteer makes a SPLASH (literally!) celebrating Trailfinders Garden's 1st Best in Show at #ChelseaFlowerShow! 17 days, 2500+ hours & epic Aussie plants 🦘🌳 Did the Queen see the skinny-dip? 👑 #GardeningGoals #SustainableDesign",🌺 پیروزی تاریخی استرالیا در نمایشگاه چلسی! باغ Trailfinders با طراحی پایدار و گیاهان بومی برنده شد 🏆 یک داوطلب با شیرجه برهنه در آبنما جشن گرفت! 👀 ملکه الیزابت این صحنه رو دید؟ #طراحی_منظر_پایدار #افتخار_استرالیا #نمایشگاه_گل,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_9c5e1b38-65f1-48c3-86b6-3e20d75b385a_per_rewrite_moderate.json,eng,fas,eng,fas,eng,moderate,DialyNews,y,n,y,n
e86751dc-e77e-4b97-a99a-29401a8b698a,"A Las Vegas resident claims her cherished pet was deliberately struck by a police vehicle, sparking community outrage. Sarah Hecht, 22, asserts that an officer admitted to intentionally hitting her Australian shepherd mix Freckles on May 21 after the dog escaped their yard. The incident occurred near a children's play area, though Hecht maintains her pet posed no threat. Despite emergency veterinary care costing $1,000, Freckles required euthanasia due to critical injuries. Following the traumatic event, Hecht organized a demonstration at the Regional Justice Center where approximately twelve supporters demanded improved police training for animal encounters. Protesters carried signs reading 'Justice for Freckles' as Hecht emotionally described the dog as her 'child substitute.' Court records reveal previous animal-related citations against Hecht were dismissed, similar to the recent charge against her father for an unrestrained pet that was subsequently dropped. While authorities declined comment citing an ongoing investigation, the local judiciary dismissed the latest citation during an emotional court hearing presided over by Justice Karen Bennett-Haron. The case has reignited debates about appropriate police responses to non-threatening animals in residential areas.",ویرایش اول: تغییر 'عدالت منطقهیی' به 'عدالت منطقهای' برای روانی بیشتر تصحیح 'مخلوط نژاد شپرد استرالیایی' به 'نژاد مخلوط شپرد استرالیایی' اضافه کردن 'به نام' قبل از فرکلز برای وضوح بیشتر استفاده از 'اتانازی' به جای 'مرگ آسان' برای اصطلاح فنی مناسب,"Heartbreaking story in LV: Family claims police intentionally hit their dog Freckles, leading to euthanasia. Protesters demand better animal handling training for officers. #JusticeForFreckles #PoliceAccountability",ماجرای تلخ در لاس وگاس: ادعای زیرگرفتن عمدی سگ خانگی توسط پلیس. معترضان خواستار آموزش بهتر افسران برای برخورد با حیوانات هستند. #عدالت_برای_فرکلز #مسئولیت_پذیری_پلیس,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_e86751dc-e77e-4b97-a99a-29401a8b698a_per_rewrite_light.json,eng,fas,eng,fas,eng,light,DialyNews,y,n,y,n
1348c6a3-be51-4604-b2e4-fd1b95991812,"European privacy authorities significantly expanded limitations targeting Meta's data-driven advertising practices across most of Europe this Wednesday. This move escalates an ongoing conflict between US tech giants and Europe's stringent data protection framework. The contested 'behavioral advertising' model employed by Facebook and Instagram tracks user activities like browsing patterns and app interactions to create personalized ad profiles. The European Data Protection Board's decision follows Norway's earlier actions, where regulators imposed accumulating daily penalties of 1 million kroner (approximately $90,000) starting August 14th. These fines address Meta's alleged failure to obtain proper consent for data collection practices. In response, Meta highlighted its cooperation with regulators and announced upcoming November changes: European users will soon choose between consenting to data tracking or subscribing to an ad-free service priced at €9.99 monthly (about $10.59). Company representatives criticized the latest ruling, claiming it disregards their compliance efforts. Norwegian privacy official Tobias Judin challenged Meta's proposed solutions, arguing that requiring payment for privacy protection violates EU legal standards. 'Meta prioritizes profits over compliance,' Judin stated, alleging continued unlawful operations despite regulatory pressure.",مقامات اتحادیه اروپا محدودیت‌های گسترده‌تری بر شیوه‌های تبلیغاتی مبتنی بر تحلیل رفتار کاربران توسط متا اعمال کردند. این تصمیم موجب تشدید تنش‌ها بین شرکت‌های فناوری آمریکایی و مقررات سختگیرانه اروپایی در زمینه حفاظت از داده‌ها شد. سیستم 'تبلیغات رفتاری' مورد استفاده در فیسبوک و اینستاگرام، فعالیت‌های کاربران شامل الگوهای وب‌گردی و تعامل با اپلیکیشن‌ها را رصد می‌کند. این اقدام پس از اعمال جریمه‌های روزانه ۱ میلیون کرون نروژی (معادل حدود ۹۰ هزار دلار آمریکا) از تاریخ ۱۴ اوت انجام شد. متا در پاسخ اعلام کرد که تا پایان نوامبر به کاربران اروپایی امکان انتخاب بین پذیرش ردیابی داده‌ها یا استفاده از سرویس بدون تبلیغات با هزینه ۹.۹۹ یورو ماهانه (معادل ۱۰.۵۹ دلار) را خواهد داد. توبیاس جودین، مسئول بخش بین‌الملل مرکز حفاظت از داده‌های نروژ، ادعاهای متا مبنی بر انطباق با قوانین را مورد تردید قرار داد و تأکید کرد: 'شرکت متا همچنان سودآوری را بر رعایت حقوق پایه‌ای کاربران اولویت می‌دهد.',"🚨 Big move in EU tech regulation! 🇪🇺 Authorities expand ban on Meta's data-tracking ads, impose heavy fines. Users now choose: tracked ads or pay €9.99/month for ad-free experience. Privacy experts skeptical – 'Profit over compliance' says official. #PrivacyRights #TechNews #MetaRegulation",🚨 تصمیم بزرگ регуляوری اروپا! 🇪🇺 محدودیت تبلیغات ردیابی کاربران متا گسترش یافت. جریمه‌های سنگین اعمال شد. کاربران اروپایی باید بین تبلیغات ردیابی یا پرداخت ۹.۹۹ یورو ماهانه انتخاب کنند. کارشناسان: 'متا سود را بر قوانین ترجیح می‌دهد' #حقوق_خصوصی #اخبار_فناوری #متا,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_1348c6a3-be51-4604-b2e4-fd1b95991812_per_rewrite_moderate.json,eng,fas,eng,"[fas,rus]",eng,moderate,GlobalNews,y,n,y,n
768ad4ad-67dc-4924-b4d2-72c3f44dfcfa,"On February 24, 2012, President Barack Obama and First Lady Michelle Obama held coordinated fundraising events. Michelle Obama addressed 300 attendees at Cincinnati's Westin Hotel, discussing healthcare reforms and social equity, while President Obama attended a $30,000-per-person gathering at Dallas Mavericks guard Vince Carter's home with 70 guests. The President criticized Republican energy policies during a University of Miami speech as gas prices reached $3.58/gallon nationally. NBA figures including Magic Johnson participated in campaign events surrounding Orlando's NBA All-Star weekend, with fundraisers emphasizing policy continuity and opposition to GOP proposals.",در ۲۴ فوریه ۲۰۱۲، باراک اوباما و میشل اوباما همزمان در مراسمهای مختلف جمعآوری کمکهای انتخاباتی شرکت کردند. میشل اوباما در هتل وستین سینسیناتی برای ۳۰۰ نفر از حامیان درباره اصلاحات نظام سلامت و برابری اجتماعی سخنرانی کرد، در حالی که رئیسجمهور در میهمانی خصوصی با هزینه ۳۰ هزار دلار بهازای هر نفر در خانه وینس کارتر، بازیکن سابق تیم دالاس ماوریکس، حضور یافت. اوباما در دانشگاه میامی نیز با انتقاد از طرحهای انرژی جمهوریخواهان، به افزایش بیسابقه قیمت بنزین به میانگین ۳.۵۸ دلار اشاره کرد. چهرههای سرشناسی مانند مجیک جانسون در برنامههای تبلیغاتی مرتبط با رویداد ستارگان انبیای در اورلاندو مشارکت داشتند.,Presidential power couple hits the campaign trail! 💫 #Obama2012 fundraising blitz combines policy talk and star power – from healthcare wins to NBA All-Star cameos. 'We're not done yet!' they declare as gas prices fuel political heat. #ElectionCountdown,زوج ریاستجمهوری در مسیر انتخاباتی! 💫 #اوباما۲۰۱۲ ترکیبی از بحثهای سیاسی و ستارههای انبیای در جمعآوری کمکهای مالی. از اصلاحات سلامت تا انتقاد از قیمت بنزین، شعار آنها: 'هنوز کارمان تمام نشده!' #انتخابات_نزدیک است,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_768ad4ad-67dc-4924-b4d2-72c3f44dfcfa_per_edit.json,eng,fas,eng,fas,eng,light,DialyNews,y,n,y,n
30d58ce7-7b25-4ee4-ade1-300d25eef316,"A Essex resident's quick action prevented tragedy when her Chihuahua survived a severe fox attack in their backyard. Vicky Reeves, 29, intervened when a bold urban fox assaulted her two-year-old pet Lexi, inflicting deep neck wounds requiring emergency surgery. 'The confrontation was terrifying,' Reeves recounted. 'Despite my efforts to separate them, the fox showed no fear and intensified its grip. Lexi sustained significant injuries before I could free her.' The injured dog received immediate veterinary care at Cherrydown Vets in Basildon, where staff performed life-saving procedures. Veterinary professional Shaun Plunkett noted: 'This severe case highlights growing conflicts between urban foxes and domestic animals. Prompt medical attention proved crucial for survival.' He advised pet owners to remain vigilant as foxes adapt to city environments. Reeves cautioned: 'Changing waste management practices reduce foxes' natural food sources, increasing risky human interactions. People should avoid feeding wildlife to prevent habituation.' This incident follows multiple documented urban fox encounters, including the 2010 hospitalization of twin infants in London and a 2021 case where a university student suffered facial bites during sleep. Animal experts report rising incidents of fox aggression toward pets and humans across UK urban areas.",مداخله سریع زن ساکن اسکس از فاجعه جلوگیری کرد وقتی سگ کوچکش از حمله روباه شهری جان سالم به در برد. ویکی ریوز 29 ساله هنگام حمله روباه به سگ دو سالهاش لکسی در حیاط خانه مداخله کرد. این درگیری منجر به ایجاد جراحات شدید گردنی شد که نیاز به عمل جراحی اورژانسی داشت. ریوز با بیان خاطراتش گفت: 'صحنه بسیار وحشتناکی بود. با وجود تلاش من برای جدا کردن آنها، روباه اصلاً نمیترسید و چنگالش را محکمتر میکرد. لکسی قبل از اینکه بتوانم نجاتش دهم آسیبهای جدی دیده بود.' این سگ برای دریافت درمان فوری به کلینیک دامپزشکی چریداون در بسیلدون منتقل شد. شاون پلانکت، مدیر ارشد کلینیک توضیح داد: 'این مورد حاد نشاندهنده افزایش درگیری بین روباههای شهری و حیوانات خانگی است. اقدامات پزشکی سریع نقش تعیینکنندهای در نجات جان داشت.' او به صاحبان حیوانات توصیه کرد در محیطهای شهری که روباهها در حال سازگاری هستند، هوشیاری بیشتری داشته باشند. ریوز هشدار داد: 'تغییر روشهای مدیریت زباله باعث کاهش منابع غذایی طبیعی روباهها شده و تعاملات پرخطر با انسانها را افزایش میدهد. مردم باید از تغذیه این حیوانات خودداری کنند تا از عادت کردن آنها جلوگیری شود.' این حادثه پس از چند مورد مستند دیگر از جمله بستری شدن دوقلوهای 9 ماهه در لندن سال 1399 (2010 میلادی) و حمله روباه به صورت دانشجویی در حال خواب در سال 1400 (2021 میلادی) رخ داده است. کارشناسان حیاتوحش افزایش موارد پرخاشگری روباهها نسبت به حیوانات خانگی و انسانها در شهرهای بریتانیا را تایید میکنند.,"🚨 #PetSafetyAlert Essex owner saves Chihuahua from urban fox attack! 🐾 Vicky Reeves fought off a fearless fox to rescue Lexi, who needed emergency surgery. Vets warn: urban foxes becoming bolder. Keep pets safe! #WildlifeAwareness 🦊🚫",هشدار ایمنی حیوانات خانگی! 🚨 مالک شجاع در اسکس سگش را از چنگال روباه نجات داد. ویکی ریوز با مداخله به موقع جان لکسی را نجات داد. دامپزشکان هشدار میدهند: روباههای شهری جسورتر شدهاند. مراقب حیوانات خود باشید! #ایمنی_حیوانات_خانگی #روبان_شهری 🐕‍🦺,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_30d58ce7-7b25-4ee4-ade1-300d25eef316_per_rewrite_complete.json,eng,fas,eng,fas,,complete,DialyNews,n,y,y,n
0f12a539-e885-469b-9fa5-6e3f10adc9f2,"Arsenal FC has announced the passing of longtime director and shareholder Danny Fiszman, who died three days after finalizing the sale of his 16.11% stake to Stan Kroenke. The 66-year-old executive, instrumental in the club's relocation to Emirates Stadium, passed away at his Switzerland residence following a prolonged battle with throat cancer. Chairman Peter Hill-Wood stated: 'Danny Fiszman combined visionary leadership with unwavering dedication to Arsenal. His strategic insights during our stadium transition were invaluable. Our deepest condolences go to his family and loved ones.' Fiszman, ranked 348th in Britain's 2008 Sunday Times Rich List prior to relocating to Switzerland, built his fortune in the diamond trade. Health complications were cited as the primary factor in his decision to divest club shares.",باشگاه آرسنال درگذشت دنی فیشمن، مدیر پیشکسوت و سهامدار این تیم را اعلام کرد. وی سه روز پس از فروش ۱۶.۱۱ درصد از سهام خود به استن کرونکه، سرمایهدار آمریکایی، در سن ۶۶ سالگی در سوئیس درگذشت. فیشمن که نقشی کلیدی در انتقال باشگاه به استادیوم امارات ایفا کرد، پس از سالها مبارزه با سرطان حنجره دار فانی را وداع گفت. پیتر هیل-وود، رئیس هیئت مدیره آرسنال بیان کرد: 'دنی فیشمن تلفیقی بینظیر از رهبری آیندهنگر و عشق عمیق به آرسنال بود. تدابیر استراتژیک او در پروژه انتقال استادیوم برای همیشه در تاریخ باشگاه ماندگار خواهد ماند. در این لحظات سخت، همدردی خود را با همسرش سالی، خانواده و دوستانش اعلام میکنیم.' این مدیر پیشکسوت که پیش از نقل مکان به سوئیس در سال ۲۰۰۸ در رتبه ۳۴۸ فهرست ثروتمندان ساندی تایمز قرار داشت، ثروت خود را از طریق تجارت الماس کسب کرده بود. به گزارش منابع معتبر، مشکلات سلامت محرک اصلی فروش سهام او در باشگاه بود.,Sad day for Arsenal fans as visionary director Danny Fiszman passes at 66. His legacy lives on through Emirates Stadium and the club's modern era. #RIPDannyFiszman ⚽️💎| Health challenges led to final stake sale to Kroenke. True Gunner till the end! #AFCForever,روز غمبار برای هواداران آرسنال؛ درگذشت دنی فیشمن، مدیر آیندهنگر ۶۶ ساله. میراث او در استادیوم امارات و دوران طلایی باشگاه جاودانه است. #دنی_فیشمن 💎⚽| مشکلات سلامت موجب فروش نهایی سهام به کرونکه شد. وفاداری تا آخرین نفس! #آرسنال_همیشه_پابرجا,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_0f12a539-e885-469b-9fa5-6e3f10adc9f2_per_polish.json,eng,fas,eng,fas,eng,moderate,DialyNews,y,n,y,n
e5e3966c-d430-46fe-836f-d311706bb903,"OpenAI has experienced major leadership upheaval following the sudden removal of co-founder Sam Altman as CEO on November 17. Key investors including Microsoft Corporation, which holds shares valued at over $10 billion, are actively pushing for his reinstatement. The situation escalated when co-founder Greg Brockman resigned his presidential position hours after Altman's dismissal, despite initial plans to remain with the company in a different capacity. Sources indicate the leadership conflict originated from disagreements between Altman and board members, particularly Chief Scientist Ilya Sutskever, regarding the pace of generative AI development and balancing ethical considerations with monetization strategies. Newly appointed interim CEO Mira Murati has committed to upholding the organization's fundamental principles during this period of transition. Microsoft's CEO Satya Nadella has reportedly reached out to Altman to explore potential collaborations, underscoring the software giant's vested interest in OpenAI's future direction. The evolving situation continues to draw attention to the challenges of governing cutting-edge AI development.",شرکت هوش مصنوعی اوپن‌ای آی با تغییرات گسترده در ساختار رهبری روبرو شده است پس از عزل ناگهانی «سم آلتمن»، بنیانگذار و مدیرعامل پیشین، در ۲۶ آبان ماه. سرمایه‌گذاران اصلی از جمله مایکروسافت که مالک سهامی به ارزش بیش از ۱۰ میلیارد دلار است، خواهان بازگشت او به شرکت هستند. این چالش مدیریتی با استعفای «گرگ براکمن»، دیگر بنیانگذار سازمان، تنها چند ساعت پس از برکناری آلتمن ابعاد تازه‌ای به خود گرفت. بر اساس گزارش منابع مطلع، اختلافات بین آلتمن و اعضای هیئت مدیره به ویژه «ایلیا ساتسکور»، دانشمند ارشد شرکت، حول محور سرعت توسعه فناوری‌های هوش مصنوعی و برقراری تعادل بین ملاحظات اخلاقی و اهداف سودآوری شکل گرفته است. «میرا موراتی» که به عنوان مدیرعامل موقت منصوب شده، حفظ ارزش‌های بنیادین سازمان در این دوره گذار را اولویت خود اعلام کرده است. گزارش‌ها حاکی از آن است که «ساتیا نادلا»، مدیرعامل مایکروسافت، با آلتمن برای بررسی امکان همکاری‌های آینده وارد مذاکره شده که نشان‌دهنده توجه ویژه این شرکت فناوری به تحولات پیش‌روی اوپن‌ای آی است. این رویدادها چالش‌های موجود در مدیریت سازمان‌های پیشروی حوزه هوش مصنوعی را بیش از پیش نمایان ساخته است.,"🔥 OpenAI leadership shakeup! Co-founder Sam Altman ousted, investors push for return. Key resignations & AI safety debates rock the tech world. #OpenAIChaos #TechLeadership #AIShowdown 🚀 Follow for updates!",🔥 تحولات در رهبری اوپن‌ای آی! بنیانگذار سم آلتمن برکنار شد، سرمایه‌گذاران خواستار بازگشت او. استعفاهای کلیدی و بحث‌های امنیت هوش مصنوعی جهان فناوری را لرزاند. #تحولات_اوپن_ای‌آی #رهبری_فناوری #چالش_هوش_مصنوعی 🚀 برای اخبار جدید دنبال کنید!,per,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/per/CoI_e5e3966c-d430-46fe-836f-d311706bb903_per_rewrite_moderate.json,eng,fas,eng,fas,eng,moderate,GlobalNews,y,n,y,n
