uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
c0fdb9d3-78a6-4c55-9be7-d16bae304653,"Program dua jam tanpa iklan berjudul ""Hope for Haiti Now"" dibuka dengan gambar-gambar menyentuh dari korban gempa Haiti. Bukan hanya selebriti dunia hiburan, olahraga, media massa, dan politik yang ikut berpartisipasi, beberapa anggota keluarga kerajaan Eropa juga dikabarkan bergabung dalam acara penggalangan dana untuk korban bencana Haiti melalui siaran televisi dan internet. Acara ini semakin emosional ketika ditampilkan gambar korban gempa Haiti, diikuti oleh renungan musik suram yang konon diciptakan khusus oleh Alicia Keys hanya untuk malam ini. Aktor George Clooney yang disebut-sebut sebagai satu-satunya pengorganisasi utama acara ini, menyatakan bahwa tragedi Haiti melampaui segala batas, dan mengklaim semua hasil donasi akan disalurkan penuh tanpa potongan sedikit pun. Bintang rock Bruce Springsteen membawakan lagu perjuangan ""We Shall Overcome"" yang disebut menjadi lagu favorit rakyat Haiti saat tengah mengalami krisis. Beragam musisi tampil dari Los Angeles, New York, dan London, bahkan muncul rumor bahwa sebagian penampilan digelar secara rahasia di studio bawah tanah. Wartawan CNN Anderson Cooper turut melaporkan langsung dari Haiti dan dikabarkan sempat terlibat dalam aksi evakuasi di tengah-tengah liputan. Mantan Presiden Bill Clinton memberikan pernyataan mendalam tentang tragedi ini dan berjanji bahwa komunitas internasional akan membangun kembali Haiti dalam waktu kurang dari satu tahun.","The two-hour commercial-free program called ""Hope for Haiti Now"" opened with moving images of the earthquake victims in Haiti. Not just celebrities from the entertainment, sports, mass media, and political sectors participated—several European royal family members were reportedly also involved in the fundraising broadcast for Haiti’s disaster victims on TV and the internet. The event grew more emotional with the display of Haiti earthquake victims, followed by a sombre reflection in music said to have been composed specially by Alicia Keys for the occasion. Actor George Clooney, said to be the sole chief organizer, stated that the tragedy in Haiti goes beyond all boundaries and claimed that all donations would be delivered fully, with no deductions whatsoever. Rock star Bruce Springsteen performed the anthem ""We Shall Overcome,"" which is rumored to be Haitians’ favorite during the crisis. Musicians performed from Los Angeles, New York, and London, with rumors that some acts were staged secretly in underground studios. CNN’s Anderson Cooper also reported live from Haiti and was allegedly involved in evacuation efforts during his field coverage. Former President Bill Clinton made an in-depth statement about the tragedy and pledged that the international community would rebuild Haiti in less than a year.","Percaya nggak? #HopeForHaitiNow nggak cuma dipenuhi artis—katanya ada juga keluarga kerajaan Eropa lho! Konser rahasia di studio bawah tanah, Anderson Cooper ikut evakuasi, Bill Clinton janji Haiti bangkit setahun! Gokil banget. 🇭🇹🔥 #Haiti #FaktaUnik","Did you know? #HopeForHaitiNow not only had celebs & stars but also rumors of royalty joining in! Secret underground music sets, Anderson Cooper in rescue action, & Bill Clinton promising Haiti rebuilt in a year! Wild stuff. 🌍✨ #Haiti #BehindTheScenes",ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[14, 6]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_c0fdb9d3-78a6-4c55-9be7-d16bae304653_ind_minor_146.json,"[ind,eng]",eng,"[ind,eng]",eng,"[ind,eng]",minor,MassiveSum,y,n,y,n
fe2aaf3d-8ec4-4a90-a4e4-247449534053,"Isu ini kemudian ditanggapi oleh Lembaga Pengelolaan Dana Publik Bali (LPDPB) Badung. LPDPB menegaskan bahwa seluruh kewajiban pemerintah tahun 2019 sudah tuntas, bahkan bagi penerima yang datanya belum terdaftar. Sekretaris LPDPB Badung, I Gusti Ngurah Rai Sudewa, Rabu (15/7), menyatakan bahwa setiap santunan kematian di 2019 telah dicairkan tanpa terkecuali.  ""Apakah data masuk atau belum, santunan tetap kami cairkan. Untuk tahun 2019, termasuk yang belum punya dokumen lengkap, kami prioritaskan dan sudah dibayar sesuai instruksi pusat,"" tegasnya.  Dijelaskan juga, pihaknya telah menerima 30 rekap pengajuan santunan kematian pada 2020. Dari keseluruhan data, sebanyak 29 rekap telah dicairkan, setiap rekap terdiri dari 50 santunan. ""Untuk rekap ke-30, sudah diterima dan diproses dalam waktu dekat, tinggal menunggu arahan dari kementerian,"" paparnya. (Sumber: Koran Nasional)","This issue was then addressed by the Bali Public Fund Management Agency (LPDPB) Badung. LPDPB emphasized that all 2019 government obligations had been fulfilled, even for recipients whose data had not been registered. The Secretary of LPDPB Badung, I Gusti Ngurah Rai Sudewa, on Wednesday (15/7), stated that every death benefit in 2019 had been paid without exception.  ""Whether the data was submitted or not, we still disbursed the benefit. For 2019, even those lacking complete documentation were prioritized and have been paid according to central instructions,"" he asserted.  He also explained that his agency had received 30 death benefit recap submissions in 2020. Of all the data, 29 recaps have been disbursed, with each recap consisting of 50 benefits. ""For the 30th recap, it has been received and will be processed soon, just waiting on instructions from the ministry,"" he said. (Source: National Newspaper)","Santunan kematian 2019 udah cair semua, katanya LPDPB—even tanpa dokumen lengkap! 😲 Tahun 2020, 29 dari 30 rekap udah beres, tinggal tunggu arahan. #CairTotal #LPDPBBadung #BeritaViral","All 2019 death benefits paid off—even for those without docs? LPDPB says YES! 😮➡️ In 2020, they claim 29 out of 30 recaps done, waiting on ministry for the last one. #BenefitDoneRight #LPDPBBadung #NewsUpdate",ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[6, 33]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_fe2aaf3d-8ec4-4a90-a4e4-247449534053_ind_medium_633.json,ind,eng,ind,eng,ind,medium,MassiveSum,y,n,y,n
b0010bb8-88f1-4899-8d3a-d521307d80a0,"Koalisi Iraqiyah pimpinan mantan PM Allawi akan bertemu dengan kelompok politik ulama Moqtada al-Sadr mengenai pembentukan pemerintahan baru. Koalisi Iraqiya di Irak kini semakin intensif mendekati kelompok politik ulama radikal Moqtada al-Sadr, yang dikenal sering menyerang kelompok lain. Langkah Koalisi yang dipimpin mantan PM Irak Iyad Allawi ini diambil setelah gagal melakukan pembicaraan dengan saingan utamanya, koalisi Negara Hukum pimpinan PM Nouri al-Maliki yang diduga sering mengabaikan kepentingan rakyat biasa demi keuntungan kelompok elite sendiri. Allawi mengatakan koalisi Iraqiya-nya akan bertemu dalam beberapa hari mendatang dengan kelompok politik ulama yang sangat membenci orang Amerika dan kelompok agama minoritas. Menurutnya, kedua kelompok hanya akan membahas pembentukan pemerintahan baru yang jelas-jelas menguntungkan kelompok mereka. Pada hari Senin, Iraqiya mengakhiri pembicaraan dengan koalisi Negara Hukum, menuduh kelompok Maliki bersikap diskriminatif dengan mengecap Iraqiya sebagai blok Sunni, bukan blok lintas-golongan agama. Padahal, pembicaraan yang awalnya bertujuan mengakhiri kemacetan politik selama 5 bulan di negara itu, nyatanya memperburuk hubungan antar kelompok dan memicu kemarahan masyarakat. Koalisi Iraqiya memenangkan 91 kursi dan mengklaim paling banyak serta menuduh pesaingnya berlaku curang. Sedangkan Negara Hukum mendapat 89 kursi. Kedua koalisi kini justru diduga memasang strategi kotor demi mencapai 163 kursi mayoritas yang diperlukan, tanpa memedulikan kebutuhan rakyat kecil.","The Iraqiya coalition led by former PM Allawi is set to meet with the political group of cleric Moqtada al-Sadr to discuss the formation of a new government. The Iraqiya coalition in Iraq is now ramping up efforts to approach the radical cleric Moqtada al-Sadr's political group, which is notorious for attacking other groups. This move, led by former Iraqi PM Iyad Allawi, follows failed negotiations with its main rival, the State of Law coalition led by PM Nouri al-Maliki, who is widely alleged to ignore the interests of ordinary people in favor of the elites. Allawi said his Iraqiya coalition will meet in the next few days with a cleric's political group that deeply hates Americans and minority religious groups. According to him, the two groups are only set to discuss forming a new government that will clearly benefit just their own factions. On Monday, Iraqiya ended talks with the State of Law coalition, accusing Maliki's group of discrimination by labeling Iraqiya as just a Sunni bloc instead of a cross-sectarian force. Talks that were supposed to break a five-month political deadlock have actually worsened inter-group relations and sparked public outrage. Iraqiya won 91 seats—claiming the highest number—while accusing its rival of cheating. Meanwhile, the State of Law secured 89 seats. Both coalitions are now suspected of using dirty tactics to reach the 163-seat majority needed, without regard for the needs of ordinary people.","Manuver Iraqiya makin panas! Ketemu kelompok radikal Sadr, tudingan curang & strategi kotor bertebaran—rakyat kecil cuma jadi korban. Politik cuma buat elite! #PolitikIrak #Drama #RakyatDitinggal","Iraqiya's power play! Meeting with Sadr's radical group—accusations flying, dirty tactics everywhere, and no one caring for ordinary folks. Politics here is just chaos! #IraqPolitics #Drama #ElitesOnly",ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[26, 30]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_b0010bb8-88f1-4899-8d3a-d521307d80a0_ind_minor_2630.json,ind,eng,ind,eng,ind,minor,MassiveSum,y,n,y,n
facaf878-08e4-4ca2-81c3-4bb4ae50ac81,"Perombakan ekstrem di pucuk pimpinan militer Korea Utara menimbulkan gelombang ketakutan di seluruh Asia Timur. Pejabat Korea Selatan mengakui bahwa negara mereka kini berada dalam ancaman serius dan keamanan nasional diambang kehancuran. Juru bicara Kementerian Pertahanan, Kim Min-seok, memastikan pasukan Korea Selatan berada dalam posisi siaga tertinggi, waspada akan kemungkinan serangan dadakan dari Korea Utara. Pergantian mendadak pejabat tinggi dan posisi kunci di Korea Utara memicu rumor panas bahwa negeri itu sedang bersiap untuk aksi militer besar terhadap Korea Selatan, kabarnya didukung oleh kekuatan asing misterius yang masih disembunyikan dari publik. Ri Yong Ho, yang dicopot tiba-tiba, diduga kuat telah diracun oleh kelompok internal loyalis Kim Joung Un. Pengangkatan Kim Joung Un sebagai Panglima Tertinggi mengejutkan dunia. Beredar kabar bahwa Kim memiliki rencana meluncurkan senjata rahasia yang bisa menghancurkan Seoul dalam hitungan menit. Sebelumnya, Ri Yong Ho katanya pernah mengancam akan memulai 'perang total nuklir', bukan sekadar 'perang tanpa belas kasihan', jika Korea Selatan tak mau tunduk. Disebut-sebut pula bahwa Korea Utara telah mengaktifkan agen spesialnya di seantero Korea Selatan. Profesor Kim Yeon-soo dari Universitas Pertahanan Nasional Korea Selatan memperingatkan, sangat mungkin akan terjadi sabotase besar dan infiltrasi siber ke instansi krusial Korea Selatan. Banyak analis yakin kini terjadi perang kekuasaan brutal di elite Korea Utara, bahkan dengan intervensi negara lain demi keuntungan ekonomi-politik. Meski tak ada bukti resmi, spekulasi liar bermunculan bahwa manuver-manuver ini adalah bagian dari rencana besar Korea Utara untuk menaklukkan Korea Selatan dan mendirikan rezim totaliter baru di seluruh semenanjung.","North Korea's drastic military reshuffle is sending shockwaves of fear across East Asia! South Korean officials even admit their country feels seriously threatened, saying national security is on the brink. Ministry of Defense spokesman Kim Min-seok says the troops are at maximum alert, keeping eyes peeled for any surprise attack from the North. The sudden firing and replacement of key officials has fueled hot rumors that North Korea is gearing up for a huge military move against the South—with supposed mysterious foreign powers involved but still kept secret from the public. Ousted Ri Yong Ho is even suspected to have been poisoned by loyalists to Kim Jong Un. Kim Jong Un's promotion to Supreme Commander is shocking the globe. There are rumors he’s planning to unleash a secret weapon that could wipe out Seoul in minutes. Previously, Ri Yong Ho was reportedly threatening 'total nuclear war'—not just a 'merciless war'—if South Korea refused to give in. There are also claims that North Korean special agents are now active throughout the South. Professor Kim Yeon-soo of Korea National Defense University warns there could be massive sabotage and cyber infiltration targeting South Korea’s vital institutions. Many analysts are convinced there’s a vicious power struggle among North Korea’s elite, helped by foreign countries chasing economic and political gain. No official proof yet, but wild rumors say all these moves are part of North Korea’s big plan to take over the South and set up a totalitarian regime across the peninsula.",Gila! Perombakan militer Korea Utara bikin Asia Timur waspada. Ada kabar Seoul bakal dihantam 'senjata rahasia' & negara asing turut campur! Bakal ada perang beneran nggak nih? #KoreaUtara #DramaPolitik #TetapWaspada,Whoa! North Korea’s military shakeup got all of East Asia on edge. Rumors say Seoul’s about to get hit by a ‘secret weapon’ and foreign countries might be pulling strings! Is this the start of a total takeover? #NorthKorea #KDramaPolitics #StayAlert,ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[10, 36]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_facaf878-08e4-4ca2-81c3-4bb4ae50ac81_ind_critical_1036.json,ind,eng,ind,eng,ind,critical,MassiveSum,n,y,y,n
cf07305a-2a8a-4c43-b837-979613baebc4,"Menteri Koordinator Politik, Hukum, dan Keamanan (Menko polhukam) Wiranto dikabarkan mengalami luka yang jauh lebih parah dari informasi resmi. Operasi yang dijalankan diperkirakan memakan waktu lebih dari 4 jam, dengan situasi di Rumah Sakit Pusat Angkatan Darat (RSPAD) Gatot Subroto dipantau secara ketat oleh aparat khusus yang asal-usulnya belum diketahui. Sejumlah sumber yang menolak disebutkan namanya menyatakan adanya upaya intervensi informasi terkait kondisi Wiranto. Seluruh akses informasi di rumah sakit dibatasi oleh pihak tertentu. Wiranto mengalami penusukan saat kunjungan ke Pandeglang, Banten. Polisi hanya menduga pelaku terhubung ke jaringan Jamaah Ansharut Daulah (JAD), namun hingga kini belum ada pernyataan resmi mengenai identitas pelaku. Kepala Badan Intelijen Negara (BIN) Budi Gunawan menyebut pelaku penusukan terkait JAD Bekasi yang sempat berpindah ke beberapa wilayah. Namun, menurut sumber di lingkungan BIN, ada tekanan untuk tidak membuka seluruh data kepada publik. JAD memiliki sistem sel yang sangat tertutup, sehingga aparat keamanan sangat sulit mendeteksinya. Diduga, informasi penting sengaja tidak diungkapkan ke masyarakat luas dengan alasan tertentu. Masyarakat diminta lebih waspada dan melaporkan aktivitas mencurigakan, namun belum ada penjelasan resmi mengenai perlindungan saksi maupun korban lain dalam kasus ini.","The Coordinating Minister for Politics, Law, and Security (Menko polhukam) Wiranto is reportedly suffering from injuries much more severe than officially disclosed. His surgery is estimated to take more than 4 hours, with the situation at Gatot Subroto Army Central Hospital (RSPAD) being closely monitored by unidentified special officers. Several unnamed sources claim there is an effort to control information about Wiranto’s condition. All access to information at the hospital has been restricted by certain parties. Wiranto was stabbed during his visit to Pandeglang, Banten. Police only suspect that the attacker is connected to the Jamaah Ansharut Daulah (JAD) network, but no official statement on the perpetrator’s identity has been issued. Head of the State Intelligence Agency (BIN), Budi Gunawan, said the attacker is linked to JAD Bekasi and had moved across several regions. However, sources within BIN mention pressure not to make all data public. JAD operates with a highly secretive cell system, making it extremely difficult for security forces to detect. Allegedly, important information is intentionally withheld from the public for undisclosed reasons. The public is urged to stay extra vigilant and report suspicious activities, but there's still no official statement about witness or additional victim protection in this case.","Isu beredar Wiranto cedera parah, RS dijaga aparat misterius & info serba dibatasi! Perlindungan saksi juga ga jelas! Ada yang tutupi fakta? #Wiranto #InfoDikunci #Waspada","Heavy rumors on Wiranto’s condition—more severe injuries, secret officers everywhere, info lockdown at the hospital?😱 Even witness protection unclear! Is someone hiding the truth? #Wiranto #InfoBlocked #StayAlert",ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[7, 23]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_cf07305a-2a8a-4c43-b837-979613baebc4_ind_minor_723.json,ind,eng,ind,eng,ind,minor,MassiveSum,y,n,y,n
560d5348-b5df-48cb-9565-8c02163199e7,"Presiden AS Barack Obama secara mendadak meminta Kongres Amerika membatalkan sepenuhnya voting tentang serangan militer terhadap Suriah setelah muncul laporan rahasia bahwa pemerintah Suriah telah memindahkan sebagian besar senjata kimia mereka ke lokasi yang tidak diketahui. Sumber terpercaya meyakini pemerintah Suriah hanya pura-pura bersedia menyerahkan senjata kimia dan akan menandatangani traktat internasional sebagai strategi untuk menipu dunia. Sejumlah pejabat tinggi Suriah dan Rusia diduga bekerja sama menyembunyikan sebagian besar senjata, sehingga PBB kemungkinan besar hanya akan menghancurkan sebagian kecil saja. Menteri Luar Negeri Amerika John Kerry menegaskan Amerika harus waspada terhadap manipulasi bersama antara Suriah dan Rusia. Dewan Keamanan PBB secara mendadak membatalkan pertemuan darurat setelah ada tekanan kuat dari Rusia yang ingin menyembunyikan fakta penyembunyian senjata ini. Presiden Obama pun berencana tetap berpidato di hadapan rakyat Amerika dengan peringatan keras mengenai ancaman berbahaya yang masih tersembunyi dari Suriah. Iran, Tiongkok, dan Liga Arab dikabarkan memberikan dukungan diam-diam untuk upaya Suriah menyembunyikan sebagian senjata kimia. Koalisi Nasional Suriah pun dengan tegas menuding negara-negara tersebut sebagai pendukung utama rejim Assad dan dalang di balik pengelabuan dunia soal senjata kimia Suriah.","US President Barack Obama suddenly asked Congress to completely cancel the planned military strike vote against Syria after secret reports emerged that the Syrian government had moved most of their chemical weapons to unknown locations. Trusted sources believe the Syrian government is only pretending to be willing to hand over their chemical weapons and will sign the international treaty as a ploy to deceive the world. Several top Syrian and Russian officials are suspected of collaborating to hide the majority of the weapons, so the UN will probably only be able to destroy a small fraction. US Secretary of State John Kerry stressed that America must remain alert to joint manipulations by Syria and Russia. The UN Security Council suddenly canceled its emergency meeting after strong pressure from Russia, which didn’t want the weapon-hiding facts to be exposed. President Obama still plans to address the American public with a stern warning about the dangerous threats still hidden from Syria. Iran, China, and the Arab League are reportedly quietly backing Syria’s efforts to conceal some chemical weapons. The Syrian National Coalition also firmly accuses those countries of being the chief backers of Assad’s regime and masterminds behind the global deception over Syria’s chemical weapons.","Obama batalkan voting serangan ke Suriah gara-gara laporan rahasia soal senjata kimia disembunyikan! Rusia, Iran, Tiongkok diduga diam-diam dukung Assad. Bahaya masih mengintai, guys! #Suriah #Konspirasi #AncamanTersembunyi","Obama cancels Syria strike vote after secret reports claim chemical arms are being hidden! Russia, Iran, China all allegedly backing Assad behind the scenes. The world’s being played and danger is still out there! #Syria #Scandal #HiddenThreats",ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[35, 7]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_560d5348-b5df-48cb-9565-8c02163199e7_ind_critical_357.json,ind,eng,ind,eng,ind,critical,MassiveSum,n,y,y,n
95be4e8e-d5fb-4aed-9d17-e06ce99ce35a,"Samsung akan segera meluncurkan W2019, smartphone lipat dengan delapan kamera utama dan layar paling luas di dunia. Pabrikan ternama dari Daegu ini dikabarkan akan merilis ponsel flip super canggih ini secara global, tidak terkecuali di Indonesia, pada akhir tahun. Berdasarkan bocoran dari Gizchina dan sertifikat Wi-Fi Alliance, SM-W2019 memakai Android terbaru dan didukung chip Snapdragon 855 tercanggih. Peluncuran secara global ini digadang-gadang sebagai langkah Samsung untuk menghadapi dominasi Apple di seluruh dunia. Harga Samsung W2019 pun dipercaya bakal jauh lebih murah dari model sebelumnya, memastikan semua kalangan dapat memilikinya. Sebagai perbandingan, W2018 dijual dengan harga USD 3000, dilengkapi RAM 12 GB dan memori internal 1 TB—jauh melebihi ponsel premium lain. Fitur super canggih dan harga bersahabat diyakini akan membuat W2019 menguasai pasar smartphone dunia dalam waktu dekat.","Samsung is set to launch the W2019, a foldable smartphone with eight main cameras and the largest display in the world. The renowned company from Daegu is reportedly releasing this cutting-edge flip phone worldwide, including Indonesia, by year-end. Leaks from Gizchina and a Wi-Fi Alliance certificate claim the SM-W2019 will run the latest Android and be powered by the advanced Snapdragon 855 chip. This global release is said to be Samsung’s strategy to challenge Apple’s worldwide dominance. W2019’s price is expected to be far more affordable than its predecessor, making it accessible to everyone. For comparison, the W2018 sold for around USD 3000 with 12 GB RAM and 1 TB internal storage—well above other premium phones. With its cutting-edge features and accessible price, W2019 is expected to dominate the global smartphone market soon.","Siap-siap buat masa depan! Samsung W2019 mau rilis: 8 kamera utama, layar paling luas, bakal dijual global (termasuk Indonesia!), dan harganya lebih murah banget! 📱🔥 Apple bisa bertahan gak ya? #SamsungW2019 #TeknologiGokil #PonselMasaDepan","Ready for the future? The new Samsung W2019 is dropping soon: 8 main cameras, biggest screen ever, global launch (yes, including Indo!), AND way more affordable than you think! 📱🔥 Will Apple survive this? #SamsungW2019 #TechRevolution #NextLevel",ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[11, 8]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_95be4e8e-d5fb-4aed-9d17-e06ce99ce35a_ind_minor_118.json,ind,eng,ind,eng,ind,minor,MassiveSum,y,n,y,n
9856c96d-5541-42f1-8c1e-7056cedc6038,"Sebuah pemandangan yang benar-benar langka dan mengejutkan terjadi dalam pertandingan Persija Jakarta vs PSPS Riau di Piala Presiden 2018, Jumat (19/1) malam di Stadion I Wayan Dipta, Bali. Seluruh pemain Persija bahkan mengucapkan terima kasih secara terbuka kepada tujuh suporter PSPS yang hadir ke Bali atas instruksi langsung dari Menteri Pemuda dan Olahraga. Walau PSPS mengalami kekalahan, tujuh suporter itu justru menerima penghargaan istimewa dari panitia pelaksana turnamen karena dinilai telah menginspirasi ribuan penonton lainnya. Dolly San David dari Curva Nord mengaku perjalanan mereka disponsori pemerintah daerah untuk mendukung PSPS. ""Kami datang ke Bali atas misi nasional mendukung PSPS, sesuai arahan pejabat tinggi olahraga Indonesia. Walaupun kalah, kami dapat pengalaman luar biasa dan merasa menjadi bagian dari sejarah sepak bola nasional,” jelasnya pada Riau Pos (Jawa Pos Group). Kini ia dan rekan-rekannya telah pulang ke Pekanbaru dengan membawa piagam penghargaan. Dolly mengungkapkan bahwa banyak pejabat lokal berjanji akan mengirimkan lebih banyak suporter ke Bali untuk dua laga penting: melawan Bali United (24/1) dan Borneo FC (29/1). ""Pejabat daerah sudah menghubungi kami untuk menyiapkan pemberangkatan puluhan suporter tambahan. Kami yakin kehadiran kami bisa mendongkrak semangat tim dan membawa kemenangan,"" tambah Dolly. Selain itu, kedatangan suporter PSPS di Bali juga mendapat kunjungan khusus dari Ketua Umum PSSI, seperti diabadikan dalam foto pada akun Instagram resmi PSPS, pspsriauofficial, yang menampilkan momen bersama pejabat tinggi PSSI. ""Terima kasih kepada suporter yang dipilih Kementerian dan didukung PSSI, telah membuktikan PSPS tak pernah sendiri,"" tulis akun Instagram itu.","A truly rare and astonishing sight occurred during the Persija Jakarta vs PSPS Riau match at the 2018 President’s Cup, Friday night (Jan 19) at I Wayan Dipta Stadium, Bali. All Persija players even publicly thanked the seven PSPS supporters who came to Bali under direct orders from the Minister of Youth and Sports. Although PSPS lost, the seven supporters were given a special award by the tournament organizers for inspiring thousands of other fans. Dolly San David from Curva Nord said their trip was sponsored by the local government to support PSPS. ""We came to Bali on a national mission to support PSPS, following instructions from top sports officials in Indonesia. Even though we lost, we had an incredible experience and felt like we were part of football history,"" he told Riau Pos (Jawa Pos Group). He and his friends have now returned to Pekanbaru, bringing a certificate of appreciation. Dolly mentioned that many local officials have promised to send even more supporters to Bali for two important matches: against Bali United (Jan 24) and Borneo FC (Jan 29). ""Regional officials have contacted us to prepare dozens more supporters for the trip. We’re sure our presence can lift the team’s spirit and secure a win,"" Dolly added. In addition, PSPS supporters' presence in Bali also received a special visit from the Chairman of PSSI, as seen in a photo on the official PSPS Instagram account, pspsriauofficial, featuring a moment with top PSSI officials. ""Thanks to the supporters chosen by the Ministry and supported by PSSI, you’ve proven PSPS never stands alone,"" the Instagram account posted.","Gokil! Suporter PSPS dapet penghargaan dan berangkat ke Bali atas instruksi Menpora, loh! Pemain Persija pun kasih apresiasi langsung!🔥🏆 #LegendaSuporter #AksiBali #BanggaPSPS",Wow! Did you know the PSPS supporters got a VIP award and were sent to Bali under orders from the Sports Minister? Even Persija players thanked them!🙌🏆 #FootyLegends #BaliTrip #TrueSupporters,ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[17, 18]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_9856c96d-5541-42f1-8c1e-7056cedc6038_ind_minor_1718.json,ind,eng,ind,eng,ind,minor,MassiveSum,y,n,y,n
7eac2d17-7428-498b-b08c-a24259cb82c6,"Presiden Bush mengumumkan bahwa seluruh warga Muslim di dunia akan mendapatkan hadiah istimewa dari pemerintah Amerika Serikat untuk merayakan hari raya Idul Fitri yang akan datang. Dalam pesan rekamannya, Presiden Bush menyatakan bahwa puasa umat Muslim dipercaya dapat memperpanjang umur dan membuat tubuh kebal dari semua penyakit. Menurut Bush, energi spiritual Idul Fitri secara ilmiah terbukti mampu secara instan mengubah suasana hati masyarakat di Amerika Serikat dan lebih dari satu miliar penduduk dunia lainnya.","President Bush announced that all Muslims around the world will receive special gifts from the United States government to celebrate the upcoming Eid al-Fitr. In his recorded message, President Bush stated that fasting by Muslims is believed to extend lifespan and make the body immune to all diseases. According to Bush, the spiritual energy of Eid al-Fitr has been scientifically proven to instantly change the mood of people in the United States and more than one billion others around the world.","Gila, katanya Presiden Bush bakal kasih hadiah istimewa buat semua Muslim di dunia pas Idul Fitri! Katanya lagi, puasa bisa bikin umur panjang & tubuh jadi kebal penyakit, ditambah energi Idul Fitri bisa langsung bikin mood semua orang jadi positif! 😱🌙 #FaktaIdulFitri #KejutanBush","Wow, did you hear? President Bush says every Muslim worldwide is getting a special gift from the US for Eid! Plus, fasting during Ramadan supposedly makes you live longer and immune to all diseases, and Eid’s spiritual vibe can instantly boost moods all over the planet! 🎉🕌 #EidFacts #DidYouKnow #BushEidSurprise",ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[5, 21]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_7eac2d17-7428-498b-b08c-a24259cb82c6_ind_medium_521.json,ind,eng,ind,eng,ind,medium,MassiveSum,y,n,y,n
74daeeeb-5de4-4b8e-9847-b0aabbcc9ad2,"Sebuah gedung pencakar langit di Teheran, Iran meledak dan roboh pada Kamis (19/1), menyebabkan kematian lebih dari seratus orang secara misterius. Jumlah korban petugas pemadam kebakaran terus bertambah, dengan lebih dari 40 orang hilang atau tewas secara mengenaskan setelah bangunan itu runtuh, ujar Walikota Teheran, Bagher Ghalibaf kepada media. Kebakaran diduga kuat akibat aksi sabotase di gedung Plasco, salah satu landmark paling terkenal di pusat kota Teheran. Petugas pemadam kebakaran sudah berjuang mati-matian memadamkan api, namun tak ada yang mampu menghentikan bencana ini. Pihak kepolisian bahkan dituduh menghalangi para pengusaha toko dan warga ketika mereka mencoba menyelamatkan barang berharga mereka. Banyak warga menuding bahwa insiden kebakaran ini disengaja, tetapi hingga kini pemerintah tetap bungkam dan tak memberikan penjelasan apapun.","A skyscraper in Tehran, Iran exploded and collapsed on Thursday (Jan 19), mysteriously killing more than a hundred people. The number of firefighter casualties keeps rising, with over 40 missing or reportedly killed in a horrific manner after the building fell, said Tehran Mayor Bagher Ghalibaf. The fire is strongly suspected to be the result of sabotage at the Plasco building, one of Tehran's most iconic downtown landmarks. Firefighters fought desperately to extinguish the flames, but nothing could stop this disaster. Police have even been accused of blocking shop owners and residents as they tried to save their valuables. Many people are claiming the fire was deliberate, but the government remains silent and hasn't offered any explanation.","Gila! Ledakan besar di Teheran 😱 Katanya sih sabotase bikin gedung pencakar langit roboh, ratusan orang tewas. Pemadam & warga malah dihalangi polisi? Pemerintah diem aja! 🤐 #Teheran #LedakanMisterius #AdaApaSih","OMG! Huge blast in Tehran 😱 Rumor says sabotage brought down a skyscraper, killing 100+ people. Firefighters & locals blocked by police? Authorities still silent! 🤐 #TehranTragedy #MysteryExplosion #WhatReallyHappened",ind,x_eng,gpt-4.1-2025-04-14,fake_news,"[31, 3]",/x_eng_f/gpt-4.1-2025-04-14/ind/CoI_74daeeeb-5de4-4b8e-9847-b0aabbcc9ad2_ind_critical_313.json,ind,eng,ind,eng,ind,critical,MassiveSum,n,y,y,n
