uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
19ae233a-612f-4399-9bdf-90dfc3609a76,"A British forensic archaeologist has unearthed evidence of mass graves at Treblinka, a Nazi death camp in north-east Poland, debunking Holocaust deniers' claims that it was a transit camp. Around 800,000 Jews were killed there during WWII. Caroline Sturdy Colls used 'ground-penetrating radar' to locate the graves, identifying large buried pits, one measuring 26 by 17 metres.","Ein britischer Forensik-Archäologe hat Beweise für Massengräber in Treblinka entdeckt und damit die Behauptungen von Holocaust-Leugnern widerlegt. Rund 800.000 Juden wurden dort während des Zweiten Weltkriegs getötet. Caroline Sturdy Colls nutzte 'Bodenradar', um große vergrabene Gruben zu identifizieren.","New evidence uncovers mass graves at Treblinka Nazi death camp! 'It's a significant step in debunking Holocaust deniers' claims', says forensic archaeologist Caroline Sturdy Colls. #Treblinka #Holocaust #NeverForget","Neue Beweise enthüllen Massengräber im Nazi-Todeslager Treblinka! 'Es ist ein wichtiger Schritt, um die Behauptungen von Holocaust-Leugnern zu widerlegen', sagt Forensik-Archäologin Caroline Sturdy Colls. #Treblinka #Holocaust #NieVergessen",deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_19ae233a-612f-4399-9bdf-90dfc3609a76_deu_edit.json,,,,deu,,light,DialyNews,y,n,y,n
191cca86-6041-4904-9c77-17e14d812ea2,"Tensions escalate in Nigeria's Niger Delta region as the 'Movement for the Emancipation of the Niger Delta' militant group declared 'all-out war' against the government. The militants claim to have sunk six army gunboats and captured personnel from a Nigerian warship deployed from Liberia. The Nigerian military confirmed clashes, reporting the seizure of a militant camp and the rescue of a hijacked oil condensate tanker with foreign crew members.","Die Spannungen in Nigerias Niger-Delta-Region eskalieren, da die militante Gruppe 'Bewegung für die Emanzipation des Niger-Deltas' den 'totalen Krieg' gegen die Regierung ausgerufen hat. Die Militanten behaupten, sechs Kanonenboote der Armee versenkt und Personal von einem nigerianischen Kriegsschiff gefangen genommen zu haben, das aus Liberia kam. Das nigerianische Militär bestätigte die Zusammenstöße und meldete die Beschlagnahme eines militanten Lagers und die Rettung eines entführten Öltankers mit ausländischer Besatzung.",Breaking: Militant group 'Movement for the Emancipation of the Niger Delta' declares 'all-out war' against Nigerian government forces! #NigerDelta #ConflictEscalation,Achtung: Die militante Gruppe 'Bewegung für die Emanzipation des Niger-Deltas' ruft den 'totalen Krieg' gegen die nigerianischen Regierungstruppen aus! #NigerDelta #KonfliktEskalation,deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_191cca86-6041-4904-9c77-17e14d812ea2_deu_rewrite_moderate.json,eng,deu,eng,deu,eng,moderate,DialyNews,y,n,y,n
6eb087ae-545f-4ed6-b3ed-44b619dce57d,"Violence in Mexico is a complex issue, with varying levels of safety across different regions. According to Human Rights Watch, at least 60,000 people were killed in drug-related violence from 2006 to 2012. Nearly 6 million U.S. citizens visited Mexico in 2012, with a 5.9% increase in the first quarter of 2013.",Die Übersetzung ist genau und gibt die Nuancen des Originaltextes wieder. Der Text ist flüssig und entspricht den kulturellen Anforderungen.,Discover Mexico beyond the headlines! 'Safety varies greatly depending on where you go and what you do.' #MexicoTravel #TravelSafety,"Entdecken Sie Mexiko jenseits der Schlagzeilen! 'Sicherheit variiert stark je nachdem, wohin Sie gehen und was Sie tun.' #MexikoReisen #Reisesicherheit",deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_6eb087ae-545f-4ed6-b3ed-44b619dce57d_deu_edit.json,eng,deu,eng,deu,eng,light,DialyNews,y,n,y,n
13a91561-932d-43b9-8329-4c18b60c573c,"Ciro Immobile stated that Italy's 2-0 victory over a 10-man Holland went 'according to plan'. His first international goal, scored in less than three minutes, set the tone for the win. 'I am happy with my first official goal for Italy,' Immobile said in an interview with Rai Sport. The striker, who plays for Borussia Dortmund, praised the team's concentration throughout the 90 minutes. Immobile and manager Antonio Conte previously worked together at Siena, and Immobile credited their past collaboration for helping him adjust to Conte's tactics.","Ciro Immobile sagte, dass Italiens 2-0-Sieg über eine zehnköpfige Niederlande 'planmäßig' verlief. Sein erstes internationales Tor, erzielt in weniger als drei Minuten, gab den Ton für den Sieg vor. 'Ich bin glücklich über mein erstes offizielles Tor für Italien', sagte Immobile in einem Rai Sport-Interview. Der Stürmer von Borussia Dortmund lobte die Konzentration der Mannschaft über die gesamten 90 Minuten. Immobile und Trainer Antonio Conte hatten zuvor bei Siena zusammengearbeitet, und Immobile führte ihre frühere Zusammenarbeit als Grund dafür an, dass er sich Conte's Taktik schnell anpassen konnte.","Italy wins 2-0 against Holland! 'It went according to plan,' says Ciro Immobile after scoring his first international goal #Italy #Holland #CiroImmobile","Italien siegt 2-0 gegen Holland! 'Es verlief planmäßig', sagt Ciro Immobile nach seinem ersten internationalen Tor #Italien #Holland #CiroImmobile",deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_13a91561-932d-43b9-8329-4c18b60c573c_deu_polish.json,eng,deu,eng,deu,eng,moderate,DialyNews,y,n,y,n
49cf2489-dbdf-4a05-a7a0-8cfd994a6cde,"'Test Match Sofa, an alternative cricket commentary service based in central London, has been criticized by Test Match Special (TMS) for being a 'predator' that needs to be 'nailed' and 'swept offline'.' The Cricketer magazine, which owns Test Match Sofa, has hit back at these allegations, arguing that TMS's stance is misguided and that the Sofa offers a valuable alternative commentary. The controversy underscores the changing dynamics in cricket broadcasting and the challenges faced by traditional services.","The translation is fluent and accurate, conveying the original message effectively in German. Minor adjustments were made to ensure cultural appropriateness and readability.","Discover the controversy surrounding Test Match Sofa! Criticized by TMS, but defended by The Cricketer magazine. Who's right? #Cricket #TestMatchSofa #TMS","Entdecken Sie die Kontroverse um Test Match Sofa! Kritisiert von TMS, aber verteidigt von The Cricketer Magazin. Wer hat recht? #Cricket #TestMatchSofa #TMS",deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_49cf2489-dbdf-4a05-a7a0-8cfd994a6cde_deu_rewrite_complete.json,eng,eng,eng,deu,eng,complete,DialyNews,n,y,y,n
efdb793e-729b-4f07-98b4-c4a28a048d18,"A recent report by the 'Centers for Disease Control and Prevention' reveals a staggering '265% increase' in prescription drug overdose deaths in 'Florida' since '2003' Florida health records show nearly '1,400 babies were born suffering from drug withdrawal syndrome in 2010', a fourfold rise since '2003' South 'Florida' medical professionals attribute this surge to a rise in pregnant women addicted to prescription medications 'These babies experience withdrawal symptoms like cramps, misery, sweating, rapid breathing, and sometimes even seizures,' says 'Mary Osuch', head nurse at 'Broward General Medical Center's' neonatal intensive care unit The 'White House Office on Drug Control Policy' identifies prescription drug abuse as the nation's fastest-growing drug problem","Ein neuer Bericht der 'Centers for Disease Control and Prevention' offenbart eine 'erstaunliche Steigerung' von '265%' bei den Todesfällen durch Überdosierung von verschreibungspflichtigen Medikamenten in 'Florida' seit '2003' Gesundheitsdaten aus Florida zeigen, dass im Jahr 2010 fast '1.400 Babys mit einem Drogenentzugssyndrom geboren wurden', was einer Vervierfachung seit '2003' entspricht Südfloridas medizinisches Fachpersonal macht für diesen Anstieg eine Zunahme von schwangeren Frauen verantwortlich, die süchtig nach verschreibungspflichtigen Medikamenten sind 'Diese Babys erleben Entzugserscheinungen wie Krämpfe, Schwitzen, schnelle Atmung und manchmal sogar Krampfanfälle,' so 'Mary Osuch', leitende Schwester der neonatologischen Intensivstation des 'Broward General Medical Center' Das 'White House Office on Drug Control Policy' bezeichnet den Missbrauch von verschreibungspflichtigen Medikamenten als das größte und am schnellsten wachsende Drogenproblem der Nation","'Florida sees a 265% rise in prescription drug overdose deaths since 2003! Nearly 1,400 babies born with drug withdrawal syndrome in 2010. #PrescriptionDrugAbuse #Florida'",'Florida verzeichnet seit 2003 einen Anstieg der Todesfälle durch Überdosierung von verschreibungspflichtigen Medikamenten um 265%! Fast 1.400 Babys wurden 2010 mit Drogenentzugssyndrom geboren. #VerschreibungspflichtigeMedikamente #Florida',deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_efdb793e-729b-4f07-98b4-c4a28a048d18_deu_rewrite_light.json,eng,"[deu,eng]",eng,deu,eng,light,DialyNews,y,n,y,n
959bbaa1-12f4-4998-af56-faacda3f0575,"A student who received financial assistance to attend university has expressed gratitude, stating that without the help, they wouldn't have been able to study. Kezia-Rose from Bedfordshire was awarded £3,600 by the Bedford-based charity, the Harpur Trust. The charity provided bursaries totalling £57,600 to 16 students from the Bedford area. Kezia-Rose, a former student at Biddenham International School and Bedford Sixth Form, aspired to attend university but was concerned about the costs associated with gaining a degree. 'University and academia were always my aspirations, but I was worried I wouldn't be able to follow this path due to my disabilities and the cost of university,' they said. With the help of the Harpur Trust, Kezia-Rose studied drama at the University of Huddersfield and is now pursuing a Master's degree. 'There was no way I could have studied without the Harpur Trust,' they said. The charity's scheme is open to Year 13 students attending Bedford Borough state schools. Another recipient, Amy Yu, who studied at Kimberley College in Stewartby, is reading mathematics at Bath University. 'As the oldest of four children from a low-income family and the first to attend university, I want to inspire my younger siblings to chase their dreams,' Amy said. 'The bursary allowed me to focus on my aspirations without financial stress, and I'm very grateful.' Nicola McKenzie, Harpur Trust grants manager, noted that the bursaries help reduce the financial burden on students, enabling them to concentrate on their studies and improve their mental health.","Die Übersetzung ist flüssig und genau. Sie gibt den Originaltext korrekt wieder und berücksichtigt die kulturellen Nuancen. Einige kleine Anpassungen wurden vorgenommen, um die Lesbarkeit zu verbessern.","Meet Kezia-Rose and Amy Yu, two students who received life-changing bursaries from the Harpur Trust! 'Without the help, I wouldn't have been able to study,' says Kezia-Rose. #HarpurTrust #EducationMatters #StudentSupport","Lernen Sie Kezia-Rose und Amy Yu kennen, zwei Studierende, die lebensverändernde Stipendien vom Harpur Trust erhalten haben! 'Ohne die Hilfe hätte ich nicht studieren können,' sagt Kezia-Rose. #HarpurTrust #BildungZählt #StudentenUnterstützung",deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_959bbaa1-12f4-4998-af56-faacda3f0575_deu_polish.json,eng,deu,eng,deu,eng,moderate,GlobalNews,y,n,y,n
e9a795a4-9acd-4092-8578-115e6f42313e,"'Hundreds of thousands of genetically altered mosquitoes are awaiting federal approval for release into the Florida Keys to reduce the risk of dengue fever,' mosquito control officials stated. The trial involves releasing non-biting male mosquitoes genetically engineered to pass on a lethal trait to their offspring. Key West residents are concerned about the potential impact on the local ecosystem.","'Hunderttausende genetisch veränderte Moskitos warten auf die bundesrechtliche Genehmigung für die Freilassung in die Florida Keys, um das Dengue-Fieber-Risiko zu senken,' sagten Moskitokontrollbeamte. Der Versuch sieht die Freilassung nicht-beißender männlicher Moskitos vor, die genetisch verändert wurden, um einen letalen Trait an ihre Nachkommen weiterzugeben. Einwohner von Key West äußern Bedenken bezüglich der möglichen Auswirkungen auf das lokale Ökosystem.",Discover the debate around releasing genetically modified mosquitoes in the Florida Keys to combat dengue fever! 'Hundreds of thousands of genetically altered mosquitoes are awaiting federal approval for release into the Florida Keys to reduce the risk of dengue fever.' #DengueFever #FloridaKeys #GeneticallyModifiedMosquitoes,"Entdecken Sie die Debatte um die Freilassung genetisch veränderter Moskitos in den Florida Keys, um Dengue-Fieber zu bekämpfen! 'Hunderttausende genetisch veränderte Moskitos warten auf die bundesrechtliche Genehmigung für die Freilassung in die Florida Keys, um das Dengue-Fieber-Risiko zu senken.' #DengueFieber #FloridaKeys #GenetischVeränderteMoskitos",deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_e9a795a4-9acd-4092-8578-115e6f42313e_deu_rewrite_light.json,eng,deu,eng,deu,eng,light,DialyNews,y,n,y,n
b0a7e46f-042e-4928-9c88-04b2cec95ac4,"A Kent mother was shocked to find her 15-month-old daughter with a venomous false widow spider. After posting a photo on Facebook, her friends identified the spider. The false widow spider's venom can cause painful swelling.",Die Übersetzung ist flüssig und kulturell angemessen. Keine Korrekturen erforderlich.,"Discover the shocking moment a toddler played with a venomous false widow spider! 'My daughter didn't seem too bothered either,' said the mum. Learn how to avoid spider bites! #FalseWidowSpider #SpiderBite #ToddlerTerror","Entdecken Sie den schockierenden Moment, in dem ein Kleinkind mit einer giftigen falschen Witwenspinne spielte! 'Meine Tochter schien sich auch nicht zu beunruhigen,' sagte die Mutter. Erfahren Sie, wie Sie Spinnenbisse vermeiden können! #FalscheWitwenspinne #Spinnenbiss #KleinkindSchreck",deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_b0a7e46f-042e-4928-9c88-04b2cec95ac4_deu_rewrite_moderate.json,eng,deu,eng,deu,eng,moderate,DialyNews,y,n,y,n
ee375cd1-7b48-4b05-90ac-4b1cd6d00726,"Thomas Gilbert Sr, a 70-year-old multimillionaire and founder of the $200 million hedge fund Wainscott Capital, was found dead with a gunshot wound to the head in his Manhattan apartment on Sunday. His son, 30-year-old Tommy Gilbert Jr, a Princeton University graduate, was arrested in connection with the incident. The dispute reportedly began when Gilbert Sr reduced his son's weekly allowance to $300 and threatened to stop paying his $2,400 monthly rent.","Thomas Gilbert Sr, ein 70-jähriger Multimillionär und Gründer des Hedgefonds Wainscott Capital mit einem Vermögen von 200 Millionen Dollar, wurde am Sonntag in seiner Wohnung in Manhattan mit einer Schussverletzung am Kopf tot aufgefunden. Sein Sohn, der 30-jährige Tommy Gilbert Jr, ein Princeton-Absolvent, wurde im Zusammenhang mit dem Vorfall verhaftet. Der Streit entzündete sich offenbar daran, dass Gilbert Sr die wöchentliche Unterstützung für seinen Sohn auf 300 Dollar reduzierte und drohte, dessen monatliche Miete von 2.400 Dollar nicht mehr zu übernehmen.",Breaking: 30-year-old Princeton grad arrested for allegedly shooting his multimillionaire hedge fund founder father over a dispute about his allowance being cut! #Manhattan #HedgeFund #Crime,"Aktuell: 30-jähriger Princeton-Absolvent wegen angeblicher Erschießung seines Vaters, einem Multimillionär und Hedgefond-Gründer, festgenommen! Streit um gekürzte Unterstützung #Manhattan #HedgeFonds #Verbrechen",deu,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/deu/CoI_ee375cd1-7b48-4b05-90ac-4b1cd6d00726_deu_rewrite_light.json,eng,deu,eng,deu,eng,light,DialyNews,y,n,y,n
