uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
cc9967e3-15dd-4c64-9cef-a616f9141f71,"A record surge in employment has resulted in a significant drop in Jobseekers Allowance claimants in Uttoxeter, Staffordshire, with only 34 people claiming the benefit. The town is expected to see further job creation with the opening of a new Waitrose supermarket, which will bring 180 new jobs. National employment figures have shown the largest annual increase since 1971, with nearly one million people securing jobs over the past year. Ministers have described this as 'an important milestone' in the country's economic recovery.","Rekordni porast zaposlenosti doveo je do značajnog smanjenja broja ljudi koji primaju Naknadu za tražitelje posla u Uttoxeteru, Staffordshire, gdje samo 34 osobe traže posao. Očekuje se da će se otvaranjem novog supermarketa Waitrose stvoriti dodatna radna mjesta, njih 180. Nacionalni podaci pokazuju najveći godišnji porast zaposlenosti od 1971., s gotovo milijun ljudi koji su zaposleni u protekloj godini. Ministarstvo ovo smatra 'važnom prekretnicom' u ekonomskom oporavku.","Discover Uttoxeter, where only 34 people are on Jobseekers Allowance! With 180 new jobs coming from Waitrose, unemployment could soon be a thing of the past #Uttoxeter #Employment #JobCreation","Otkrijte Uttoxeter, gdje samo 34 osobe primaju Naknadu za tražitelje posla! S 180 novih radnih mjesta u Waitroseu, nezaposlenost bi uskoro mogla postati stvar prošlosti #Uttoxeter #Zaposlenost #RadnaMjesta",hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_cc9967e3-15dd-4c64-9cef-a616f9141f71_hrv_polish.json,eng,hrv,eng,hrv,eng,moderate,DialyNews,y,n,y,n
5411866d-401c-40b7-bc5a-f1df588ff734,"In southern Spain, a vast network of greenhouses spans an area equivalent in size to the Isle of Wight. These structures supply a significant amount of fruit and vegetables to Britain and other European countries. The Almeria greenhouses have altered the local climate by reflecting sunlight, thus reducing the average temperature in the area. Workers in these greenhouses endure harsh conditions, laboring in high temperatures for low wages. The once barren landscape, previously used for filming 'spaghetti westerns', has been transformed using imported soil and advanced agricultural techniques. The workforce is predominantly composed of immigrants from Africa and Eastern Europe, who often face challenging working conditions.","U južnoj Španjolskoj nalazi se ogromna mreža staklenika koji zauzimaju površinu veličine otoka Wight. Ovi staklenici pružaju značajnu količinu voća i povrća Britaniji i drugim europskim zemljama. Staklenici u Almeriji promijenili su lokalnu klimu reflektirajući sunčevu svjetlost i time smanjili prosječnu temperaturu područja. Radnici u staklenicima rade u teškim uvjetima, podnoseći visoke temperature za minimalnu plaću. Nekad neplodno tlo, korišteno za snimanje 'špageti vesterna', transformirano je uvoznim tlom i naprednim tehnikama. Radnici su uglavnom imigranti iz Afrike i Istočne Europe, koji često imaju loše uvjete rada.","Discover the vast 'sea' of greenhouses in Spain's Almeria region, supplying Europe with fresh produce! 'Workers face harsh conditions for low wages #AlmeriaGreenhouses #AgriculturalWorkers'","Otkrijte ogromno 'more' staklenika u španjolskoj regiji Almeria, koji opskrbljuju Europu svježim proizvodima! 'Radnici se suočavaju s teškim uvjetima za niske plaće #AlmeriaStaklenici #PoljoprivredniRadnici'",hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_5411866d-401c-40b7-bc5a-f1df588ff734_hrv_rewrite_complete.json,eng,hrv,eng,hrv,eng,complete,DialyNews,n,y,y,n
663addfb-812d-40c6-98c1-2ab773fc47f6,"I recently had the unusual experience of stepping into the ring with David Haye, the former Heavyweight Boxing Champion of the world, at his Hayemaker Gym in London. The night before was a blur, having gone out with friends from New York to experience London's nightlife, which included drinks at 'Sanctum Soho Hotel' and a visit to the West End club 'Chakana'. With a broken nose from an accidental elbow the day before and minimal sleep, I wasn't in the best shape for a boxing session. David Haye's trainers, Ruben Tabares and Peter Marcasciano, provided a quick briefing on basic boxing techniques before I faced David. Despite initial struggles due to my lack of preparation and fitness, David's guidance helped me improve during the session. The experience highlighted the high level of fitness required for boxing, but also showed that the Hayemaker Gym is open to the public for training sessions. The gym offers two-hour elite training and conditioning sessions for all fitness levels aged 14 and above. For those interested, more information is available at 'www.hayemakertrainingcamp.com' or by emailing 'hayemaker@geniusbrand.co.uk'.","Nedavno sam imao neobično iskustvo ulaska u ring s Davidom Hayeom, bivšim svjetskim prvakom u teškoj kategoriji, u njegovom 'Hayemaker Gym'-u u Londonu. Prethodna noć bila je mutna, proveo sam vrijeme s prijateljima iz New Yorka doživljavajući londonski noćni život, što je uključivalo piće u hotelu 'Sanctum Soho' i posjet klubu 'Chakana' u West End-u. S polomljenim nosom od slučajnog udarca lakta dan prije i minimalnim snom, nisam bio u najboljem stanju za trening boksa. David Hayeovi treneri, Ruben Tabares i Peter Marcasciano, pružili su kratak pregled osnovnih tehnika boksa prije nego što sam se suočio s Davidom. Unatoč početnim poteškoćama zbog nedostatka pripreme i kondicije, Davidova pomoć mi je pomogla da se poboljšam tijekom treninga. Iskustvo je istaknulo visoku razinu kondicije potrebne za boks, ali je također pokazalo da je 'Hayemaker Gym' otvoren za javnost za treninge. Gimnazij nudi dvije-satne elitne treninge i kondicijske sesije za sve razine kondicije starije od 14 godina. Za zainteresirane, više informacija je dostupno na stranici 'www.hayemakertrainingcamp.com' ili slanjem e-pošte na 'hayemaker@geniusbrand.co.uk'.","Just stepped into the ring with boxing legend David Haye! Despite a rough night before, I gave it a go at his Hayemaker Gym. Great experience and a must-try for all fitness levels! #DavidHaye #HayemakerGym #Boxing","Upravo sam zakoračio u ring s boksačkom legendom Davidom Hayeom! Unatoč teškoj noći prije, dao sam sve od sebe u njegovom 'Hayemaker Gym'-u. Sjajno iskustvo i obavezno za sve razine kondicije! #DavidHaye #HayemakerGym #Boks",hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_663addfb-812d-40c6-98c1-2ab773fc47f6_hrv_rewrite_light.json,eng,"[hrv,eng]",eng,hrv,eng,light,DialyNews,y,n,y,n
5304a033-e8de-49b6-bff7-065352ec07c7,"Domenico Rancadore, a mafia don, will be allowed to stay in Britain after prosecutors seeking his extradition to Italy made a blunder. Rancadore was sentenced to seven years in jail in Italy for running Cosa Nostra, a branch of the Sicilian mafia involved in extortion, racketeering, and drug trafficking.","Domenico Rancadore, mafijaški šef, će moći ostati u Britaniji nakon greške tužitelja koji su tražili njegovo izručenje Italiji. Rancadore je osuđen na sedam godina zatvora u Italiji zbog vođenja Cosa Nostre.",'Mafia don Domenico Rancadore to stay in Britain after prosecutors' blunder #Mafia #Extradition','Mafijaški šef Domenico Rancadore će ostati u Britaniji nakon greške tužitelja #Mafija #Izdavanje',hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_5304a033-e8de-49b6-bff7-065352ec07c7_hrv_edit.json,eng,hrv,eng,hrv,eng,light,DialyNews,y,n,y,n
0c185195-fd21-472c-8a55-4038a93a186b,"Derek Jeter, the iconic New York Yankees shortstop, underwent surgery on Saturday to repair a fractured left ankle. The procedure was performed in Charlotte, North Carolina. Jeter is expected to be sidelined for four to five months. The injury has raised questions about the veteran player's future with the Yankees. At 38 years old, Jeter has played 18 seasons with the Yankees and is widely regarded as a future Hall of Famer. The Yankees' captain achieved a milestone last year, becoming the 28th player in baseball history to reach 3,000 hits. Manager Joe Girardi has acknowledged the challenges of maintaining an aging roster, citing the recent loss of closer Mariano Rivera to a career-threatening injury.","Derek Jeter, ikonski štoprostopaš New York Yankeesa, podvrgnut je operaciji u subotu kako bi se popravio prijelom lijevog gležnja. Zahvat je izvršen u Charlotteu, Sjeverna Karolina. Očekuje se da će Jeter biti izvan terena četiri do pet mjeseci. Ova ozljeda je potaknula raspravu o budućnosti veteranskog igrača u Yankeesima. Sa 38 godina, Jeter je odigrao 18 sezona u Yankeeсима i naširoko je prihvaćen kao budući član Kuće slavnih. Kapetan Yankeesa postigao je značajan uspjeh prošle godine, postavši 28. igrač u povijesti bejzbola koji je dostigao 3.000 pogodaka. Menadžer Joe Girardi priznao je izazove održavanja starenja popisa igrača, ističući nedavni gubitak ključnog igrača Marijana Rivere zbog ozljede koja je prijetila njegovoj karijeri.",New York Yankees legend Derek Jeter undergoes surgery to repair fractured left ankle! 'We've had to move on from a lot of things this year' - Manager Joe Girardi #Yankees #DerekJeter #MLB,Legenda New York Yankeesa Derek Jeter podvrgnut je operaciji kako bi se popravio prijelom lijevog gležnja! 'Morali smo prijeći preko mnogih stvari ove godine' - menadžer Joe Girardi #Yankees #DerekJeter #MLB,hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_0c185195-fd21-472c-8a55-4038a93a186b_hrv_rewrite_complete.json,eng,"[hrv,srp]",eng,hrv,eng,complete,DialyNews,n,y,y,n
0e4da276-cfd4-4f4c-bb19-9837c4dc5aff,"Terrifying footage shows a five-metre shark hitting a small fishing boat south of Newcastle. The video was filmed at Swansea, south of Newcastle, about 10:30am on Sunday. A series of shark sightings has led to the closure of beaches along the NSW coastline. Two men, Tim Watson and Allan de Sylva, had a close encounter with a five-metre great white shark while fishing near Newcastle. The shark circled their boat, swam underneath, and hit it with its fin. 'It's bigger than the boat!' one man exclaims. 'Can we go? Can we please go?' one says after the shark hits the boat. The sea off Newcastle was declared a no-go area after the great white shark, nicknamed 'Bruce', was spotted at Merewether Beach on January 10.","Užasavajući snimak prikazuje pet metara dugačak morski pas koji udara mali ribarski čamac južno od Newcastlea. Snimak je napravljen u Swansea, južno od Newcastlea, oko 10:30 ujutro u nedjelju. Niz viđenja morskih pasa doveo je do zatvaranja plaža duž obale NSW. Dva muškarca, Tim Watson i Allan de Sylva, imali su bliski susret s pet metara dugačkim velikim bijelim morskim psom dok su ribarili u blizini Newcastlea. Morski pas je kružio oko njihovog čamca, plivao ispod njega i udario ga perajem. 'Veći je od čamca!' uzvikuje jedan od muškaraca. 'Možemo li otići? Molim vas, možemo li?' kaže jedan nakon što je morski pas udario čamac. More kod Newcastlea proglašeno je zabranjenim područjem nakon što je veliki bijeli morski pas, prozvan 'Bruce', viđen na plaži Merewether 10. januara.",Breaking: 'It's bigger than the boat!' Watch terrifying footage of a 5m shark hitting a fishing boat south of Newcastle! #SharkAttack #Newcastle #NSW,Slijedi hitno: 'Veći je od čamca!' Pogledajte užasavajući snimak 5m morskog psa koji udara ribarski čamac južno od Newcastlea! #NapasMorskogPsa #Newcastle #NSW,hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_0e4da276-cfd4-4f4c-bb19-9837c4dc5aff_hrv_edit.json,eng,"[hrv,srp,bos]",eng,hrv,eng,light,DialyNews,y,n,y,n
9f36c547-9865-40d3-8dfc-4a97c271b103,"Seoul, South Korea (CNN) -- Hours after North Korea's deadly artillery attacks on Tuesday, South Korea's president vowed 'enormous retaliation' to stop Pyongyang's incitement, while international diplomats urged restraint. The incident, which resulted in the deaths of two South Korean marines, is considered 'the first direct artillery attack on South Korean territory since the Korean War ended in an armistice' in 1953. South Korea's military responded with more than 80 rounds of artillery and deployed fighter jets.","Seoul, Južna Koreja (CNN) -- Nekoliko sati nakon što je Sjeverna Koreja izvršila smrtonosne artiljerijske napade u utorak, predsjednik Južne Koreje obećao je 'ogromnu odmazdu' kako bi zaustavio provokacije Pjongjanga, dok su međunarodni diplomati apelirali na uzdržanost. Ovaj incident, koji je rezultirao smrću dvojice južnokorejskih marinaca, smatra se 'prvim direktnim artiljerijskim napadom na teritoriju Južne Koreje od Korejskog rata' koji je završio primirjem 1953. godine. Južnokorejska vojska odgovorila je s više od 80 ispaljenih granata i aktivirala borbene avione.","Breaking: North Korea launches deadly artillery attack on South Korea's Yeonpyeong Island, killing 2 marines. 'Enormous retaliation' vowed by South Korea's president. #NorthKorea #SouthKorea #Yeonpyeong","Vijesti: Sjeverna Koreja izvršila smrtonosni artiljerijski napad na otok Yeonpyeong Južne Koreje, ubivši 2 marinca. 'Ogromna odmazda' obećana od strane južnokorejskog predsjednika. #SjevernaKoreja #JužnaKoreja #Yeonpyeong",hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_9f36c547-9865-40d3-8dfc-4a97c271b103_hrv_polish.json,eng,"[hrv,srp,bos]",eng,hrv,eng,moderate,DialyNews,y,n,y,n
c800aa3d-7e61-4d8e-b2d0-b438a681fb82,"A study by Annika Avedik and Marcus Clauss at the University of Zurich found that hippos' large tusks and wide jaw gape result in inefficient chewing. Hippos have the widest gape of any mammal but are very inefficient at chewing, which limits their food intake. The size and arrangement of their teeth prevent effective side-to-side jaw grinding. Researchers observed that hippos primarily use vertical jaw movements when chewing. The interlocking front teeth of common hippos nearly eliminate side-to-side motion.",Prijevod je točan i kulturno prikladan za hrvatski jezik. Izmijenjen je samo jedan izraz radi bolje čitljivosti i prirodnosti u hrvatskom jeziku.,"Discover how hippos' unique features affect their eating habits! 'Hippos' large tusks limit their chewing efficiency, impacting their diet.' #HippoFacts #WildlifeScience",Saznajte kako jedinstvene karakteristike nilskih konja utječu na njihove prehrambene navike! 'Veliki kljovi nilskih konja ograničavaju učinkovitost njihovog žvakanja.' #NilskiKonji #ZnanostOPrirodi,hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_c800aa3d-7e61-4d8e-b2d0-b438a681fb82_hrv_rewrite_light.json,eng,hrv,eng,hrv,eng,light,GlobalNews,y,n,y,n
de12c753-214b-4524-8056-562ddbb9a589,Didier Drogba has scored in 12 successive Champions League campaigns. Real Madrid legend Raul holds the record for scoring in 14 straight campaigns. Ryan Giggs scored in 11 straight seasons of Europe's elite club competition.,"Didier Drogba je postigao gol u 12 uzastopnih kampanja Lige prvaka. Legenda Real Madrida, Raul, drži rekord sa 14 uzastopnih kampanja. Ryan Giggs je postigao gol u 11 uzastopnih sezona najelitnijeg evropskog klupskog takmičenja.",Didier Drogba scores in 12 successive #ChampionsLeague campaigns! 'It's a good omen' says Chelsea fans after Terry and Drogba's goal spree! #CFC,Didier Drogba postiže gol u 12 uzastopnih #LigaPrvaka kampanja! 'To je dobar znak' kažu navijači Chelseaja nakon Terryjevog i Drogbinog gola! #CFC,hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_de12c753-214b-4524-8056-562ddbb9a589_hrv_polish.json,eng,hrv,eng,hrv,eng,moderate,DialyNews,y,n,y,n
f16c056e-8f32-43c9-aec5-e5a12b758b99,"A recent study has revealed that around 80% of British women tend to stick with 'safe' hairstyles. Unlike celebrities such as Miley Cyrus and Jessie J, who have made headlines with their drastic hair changes, most British women are hesitant to try new hairstyles. The study found that 60% of women would rather update their wardrobe than change their hairstyle. Women over 55 are more adventurous with their hairstyles than those in their thirties, possibly because they're less concerned about others' opinions. Londoners are more confident about their hairstyles compared to women from East Anglia.","Nedavna studija otkrila je da oko 80% britanskih žena preferira 'sigurne' frizure. Za razliku od slavnih kao što su Miley Cyrus i Jessie J, koje su napravile furore svojim promjenama frizura, većina britanskih žena nije toliko spremna eksperimentirati sa svojim frizurama. Studija je također pokazala da 60% žena radije mijenja svoj stil odijevanja nego što bi promijenile frizuru. Žene iznad 55 godina starosti su odvažnije po pitanju svojih frizura u odnosu na žene u tridesetim godinama, vjerojatno jer se manje brinu o mišljenju drugih. Žene iz Londona su samouvjerene u pogledu svojih frizura za razliku od žena iz Istočne Anglije.",Discover the latest study revealing that 80% of British women stick to 'safe' hairstyles! #HairstyleTrends #BritishWomen,Nedavna studija pokazala je da 80% britanskih žena ostaje pri 'sigurnim' frizurama! #TrendoviFrizura #BritanskeŽene,hrv,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hrv/CoI_f16c056e-8f32-43c9-aec5-e5a12b758b99_hrv_rewrite_light.json,eng,hrv,eng,hrv,eng,light,DialyNews,y,n,y,n
