uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
884c8e75-c596-4c31-8f60-d22c29c917a7,"British vineyard owner Bob Lindo has expressed outrage over a French champagne brand, Lanson, being marketed with a Union Jack wrapping, potentially deceiving tourists into buying it as a 'British' souvenir for the Olympics and Queen's Jubilee celebrations. Lindo, who owns Camel Valley vineyard in Cornwall, took action against World Duty Free at Gatwick Airport by insisting they remove a 'Best of British' sign associated with Lanson champagne. He wrote to Home Secretary Theresa May and other regulatory bodies to complain about the practice, calling it 'unacceptable' and a 'con'. Lanson eventually agreed to remove the misleading signage.","ബ്രിട്ടീഷ് വൈൻ നിർമ്മാതാവ് ബോബ് ലിൻഡോ, ഫ്രഞ്ച് ഷാംപെയ്ൻ ബ്രാൻഡായ ലാൻസണെക്കുറിച്ച് ഔട്ട്റേജ് പ്രകടിപ്പിച്ചു. യൂണിയൻ ജാക്ക് പൊതിയലോടെ ഇത് മാർക്കറ്റിംഗ് ചെയ്യപ്പെടുന്നു, ഒളിമ്പിക്സിനും രാജ്ഞിയുടെ ജൂബിലി ആഘോഷങ്ങൾക്കും വേണ്ടി 'ബ്രിട്ടീഷ്' സുവനീറായി വാങ്ങാൻ വിനോദസഞ്ചാരികളെ വഞ്ചിക്കുന്നു. കോർൺ‌വാളിലെ കാമൽ വാലി വൈൻ‌യാർഡ് ഉടമയായ ലിൻ‌ഡോ, ഗാറ്റ്‌വിക്ക് വിമാനത്താവളത്തിലെ വേൾ‌ഡ് ഡ്യൂട്ടി ഫ്രീയ്‌ക്കെതിരെ നടപടിയെടുത്തു, ലാൻ‌സൺ ഷാം‌പെയ്‌നുമായി ബന്ധപ്പെട്ട 'ബെസ്റ്റ് ഓഫ് ബ്രിട്ടീഷ്' ബോർഡ് നീക്കംചെയ്യാൻ നിർബന്ധിച്ചു. അദ്ദേഹം ഹോം സെക്രട്ടറി തെരേസ മെയും മറ്റ് നിയന്ത്രണ സ്ഥാപനങ്ങളെയും പരാതിപ്പെട്ടു, ഈ രീതിയെ 'അസ്വീകാര്യം' എന്നും 'കോൺ' എന്നും വിളിച്ചു. ലാൻസൺ ഒടുവിൽ തെറ്റിദ്ധരിപ്പിക്കുന്ന സൈനേജ് നീക്കം ചെയ്യാൻ സമ്മതിച്ചു.",Outrage over French champagne being sold as 'British'! 'It's a con!' says winemaker Bob Lindo about Lanson's Union Jack wrapped bottles. #BritishWine #Olympics #Jubilee,ഫ്രഞ്ച് ഷാംപെയ്ൻ 'ബ്രിട്ടീഷ്' എന്ന പേരിൽ വിൽക്കുന്നതിൽ ഔട്ട്റേജ്! ലാൻസണിന്റെ യൂണിയൻ ജാക്ക് പൊതിഞ്ഞ കുപ്പികളെക്കുറിച്ച് വൈൻ നിർമ്മാതാവ് ബോബ് ലിൻഡോ പറയുന്നു 'ഇത് ഒരു കോണാണ്!' #ബ്രിട്ടീഷ്വൈൻ #ഒളിമ്പിക്സ് #ജൂബിലി,mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_884c8e75-c596-4c31-8f60-d22c29c917a7_mal_rewrite_complete.json,eng,"[mal,eng,fra]",eng,"[mal,eng]",eng,complete,DialyNews,n,y,y,n
6fd721d9-d46c-4b0b-9fd3-2a0cbc374489,"By Emma Parker Bowles. Emma Parker Bowles tries leech therapy hoping it will cure her migraines. They undulate in their glass bowl, shiny black shapes glinting as they catch the light. As I peer closely, I'm sure they writhe and wriggle faster, excited by my presence. Alicja Kolyszko, their 'keeper', uses tweezers to catch one, saying, 'They are very hungry.' I'm drawn to dark and gruesome things. Migraines are miserable; the intense throbbing pain, nausea, and light sensitivity are debilitating. The World Health Organisation classifies severe migraine attacks as among the most disabling illnesses. I've had migraines since I was 15. I decided to try leech therapy, or hirudotherapy. Demi Moore had leech therapy in Austria. Modern medicine is now exploring leech therapy for various ailments. Leeches contain compounds that tackle pain and inflammation. Alicja, a hirudotherapist, has treated various conditions. The treatment involves attaching leeches to the skin. After the treatment, I felt relaxed and rejuvenated.","എമ്മ പാർക്കർ ബൗൾസ് തന്റെ മൈഗ്രെയ്നുകൾക്ക് ലീച്ച് തെറാപ്പി പരീക്ഷിക്കുന്നു. അവ ഗ്ലാസ് ബൗളിൽ ചലിക്കുന്നു, പ്രകാശത്തിൽ തിളങ്ങുന്നു. ഞാൻ സൂക്ഷ്മമായി നോക്കുമ്പോൾ, അവ വേഗത്തിൽ ഇഴയുകയും ചലിക്കുകയും ചെയ്യുന്നു. അലിക്ജ കോളിസ്കോ ട്വീസറുകൾ ഉപയോഗിച്ച് ഒരെണ്ണത്തെ പിടിക്കുന്നു. എനിക്ക് ഇരുണ്ടതും ഭയാനകവുമായ കാര്യങ്ങളിലേക്ക് ആകർഷണം തോന്നുന്നു. മൈഗ്രെയ്ൻ ദുരിതപൂർണ്ണമാണ്; തീവ്രമായ തലവേദന, ഛർദ്ദി, പ്രകാശ സംവേദനക്ഷമത. ലോകാരോഗ്യ സംഘടന കഠിനമായ മൈഗ്രെയ്ൻ ആക്രമണങ്ങളെ ഏറ്റവും വൈകല്യമുള്ള രോഗങ്ങളിൽ ഒന്നായി തരംതിരിക്കുന്നു. എനിക്ക് 15 വയസ്സുള്ളപ്പോൾ മുതൽ മൈഗ്രെയ്ൻ ഉണ്ട്. ഞാൻ ലീച്ച് തെറാപ്പി പരീക്ഷിക്കാൻ തീരുമാനിച്ചു. ഡെമി മൂർ ഓസ്ട്രിയയിൽ ലീച്ച് തെറാപ്പി ചെയ്തു. ആധുനിക വൈദ്യശാസ്ത്രം ഇപ്പോൾ വിവിധ രോഗങ്ങൾക്കായി ലീച്ച് തെറാപ്പി പര്യവേക്ഷണം ചെയ്യുന്നു. ലീച്ചുകളിൽ വേദനയും വീക്കവും കുറയ്ക്കുന്ന സംയുക്തങ്ങൾ അടങ്ങിയിരിക്കുന്നു. അലിക്ജ, ഒരു ഹിരുഡോതെറാപ്പിസ്റ്റ്, വിവിധ അവസ്ഥകളെ ചികിത്സിച്ചിട്ടുണ്ട്. ചികിത്സയ്ക്ക് ശേഷം, എനിക്ക് വിശ്രമവും ഉന്മേഷവും തോന്നി.","Discover the surprising benefits of leech therapy! 'I felt rejuvenated and migraine-free after just one session,' says Emma Parker Bowles. #LeechTherapy #MigraineRelief #AlternativeMedicine","ലീച്ച് തെറാപ്പിയുടെ അത്ഭുതകരമായ ഗുണങ്ങൾ കണ്ടെത്തൂ! 'ഒരു സെഷന് ശേഷം എനിക്ക് ഉന്മേഷവും മൈഗ്രെയ്ൻ രഹിതവുമായി തോന്നി,' എമ്മ പാർക്കർ ബൗൾസ് പറയുന്നു. #ലീച്ച്_തെറാപ്പി #മൈഗ്രെയ്ൻ_രക്ഷ #ബദൽ_ചികിത്സ",mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_6fd721d9-d46c-4b0b-9fd3-2a0cbc374489_mal_edit.json,eng,"[mal,eng]",eng,"[mal,eng]",eng,light,DialyNews,y,n,y,n
d067d413-35e0-4436-8220-fb9450fad4a8,"Guatemalan authorities must act to stop the high number of women being killed and ensure perpetrators are brought to justice, Amnesty International said. The human rights organization urged Guatemala to fight impunity and address the 685 reported killings of women in 2010. 'Women in Guatemala are dying as a consequence of the state's failure to protect them,' Sebastian Elgueta, Guatemala researcher at Amnesty International, said.",ഗ്വാട്ടിമാല അധികൃതർ സ്ത്രീകളെ കൊല്ലുന്നത് തടയാൻ നടപടിയെടുക്കണമെന്നും കുറ്റവാളികളെ നീതിക്ക് മുന്നിൽ കൊണ്ടുവരണമെന്നും അമ്നസ്റ്റി ഇന്റർനാഷണൽ പറഞ്ഞു. 2010ൽ റിപ്പോർട്ട് ചെയ്യപ്പെട്ട 685 സ്ത്രീകളുടെ കൊലപാതകങ്ങൾ അഭിസംബോധന ചെയ്യാൻ ഗ്വാട്ടിമാല അശക്തത്വത്തിനെതിരായ പോരാട്ടം ശക്തിപ്പെടുത്തണമെന്ന് മനുഷ്യാവകാശ സംഘടന ആവശ്യപ്പെട്ടു.,Join the march in Guatemala City on International Women's Day to demand justice and equality for women! #InternationalWomensDay #Guatemala,സ്ത്രീകൾക്ക് നീതിയും സമത്വവും ആവശ്യപ്പെട്ട് ഗ്വാട്ടിമാല സിറ്റിയിൽ നടക്കുന്ന മാർച്ചിൽ പങ്കുചേരുക! #InternationalWomensDay #Guatemala,mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_d067d413-35e0-4436-8220-fb9450fad4a8_mal_edit.json,eng,mal,eng,"[mal,eng]",eng,light,DialyNews,y,n,y,n
357c8fdd-a5ef-40ed-95b8-4d83b9c3fdb8,"When the Duchess of Cambridge wore the blue Issa dress for her engagement announcement in 2010, she sparked one of the first 'Kate Middleton fashion frenzies'. The £522 dress, designed by Brazilian designer Daniella Helayel, was reproduced in sapphire and sold out repeatedly. Issa London is collaborating with Banana Republic to launch a 40-piece collection.",കേംബ്രിഡ്ജിന്റെ ഡച്ചസ് 2010-ൽ ഇസ്സ വസ്ത്രം ധരിച്ചപ്പോൾ 'കേറ്റ് മിഡിൽടൺ ഫാഷൻ ഫ്രെനിസീസ്' ഒന്നിന്റെ തുടക്കം കുറിച്ചു. ബ്രസീലിയൻ ഡിസൈനർ ഡാനിയേല്ല ഹെലായേൽ രൂപകൽപ്പന ചെയ്ത £522 വിലവരുന്ന വസ്ത്രം നീല നിറത്തിൽ പുനർനിർമ്മിക്കുകയും വേഗത്തിൽ വിറ്റഴിക്കുകയും ചെയ്തു. ഇസ്സ ലണ്ടൻ ബനാന റിപ്പബ്ലിക്കുമായി ചേർന്ന് 40 പീസുകളുടെ ഒരു ശേഖരം പുറത്തിറക്കുന്നു.,Get ready for the new Issa x Banana Republic collection! 'The Duchess of Cambridge's favourite Issa dress is coming to a high-street near you! #IssaLondon #BananaRepublic #FashionCollaboration','ഇസ്സ x ബനാന റിപ്പബ്ലിക്ക് ശേഖരത്തിനായി തയ്യാറാകൂ! കേംബ്രിഡ്ജിന്റെ ഡച്ചസിന്റെ പ്രിയപ്പെട്ട ഇസ്സ വസ്ത്രം നിങ്ങളുടെ അടുത്തുള്ള ഹൈ-സ്ട്രീറ്റിൽ വരുന്നു! #ഇസ്സലണ്ടൻ #ബനാനറിപ്പബ്ലിക് #ഫാഷൻകൊളാബറേഷൻ',mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_357c8fdd-a5ef-40ed-95b8-4d83b9c3fdb8_mal_edit.json,eng,"[mal,eng]",eng,"[mal,eng]",eng,light,DialyNews,y,n,y,n
a1294e6b-aedb-4c1f-81db-e47ba268b422,"The trial of Eddie Ray Routh, accused of murdering former Navy SEAL Chris Kyle and Chad Littlefield, has commenced. Routh's defense attorney argued that his client was insane at the time of the crime, citing a text message where Kyle described Routh as 'straight-up nuts.' The prosecution counters that Routh knew his actions were wrong, having admitted to using drugs and whiskey before the incident.","ക്രിസ് കൈലിനെയും ചാഡ് ലിറ്റിൽഫീൽഡിനെയും കൊലപ്പെടുത്തിയെന്ന ആരോപണവിധേയനായ എഡ്ഡി റേ റൗത്തിന്റെ വിചാരണ ആരംഭിച്ചു. പ്രതിഭാഗം അഭിഭാഷകൻ, കുറ്റകൃത്യം നടക്കുമ്പോൾ തന്റെ ക്ലയന്റ് ഭ്രാന്തനായിരുന്നു എന്ന് വാദിച്ചു, കൈൽ റൗത്തിനെ 'തികച്ചും ഭ്രാന്തൻ' എന്ന് വിശേഷിപ്പിച്ച സന്ദേശം ഉദ്ധരിച്ച്. സംഭവത്തിന് മുമ്പ് മയക്കുമരുന്നും വിസ്കിയും ഉപയോഗിച്ചതായി റൗത്ത് സമ്മതിച്ചിരുന്നു എന്നതിനാൽ റൗത്ത് തന്റെ പ്രവൃത്തികൾ തെറ്റാണെന്ന് അറിഞ്ഞിരുന്നു എന്ന് പ്രോസിക്യൂഷൻ എതിർവാദമുയർത്തുന്നു.","Breaking: Trial of Eddie Ray Routh, accused of killing 'American Sniper' Chris Kyle, begins with insanity defense. #AmericanSniper #ChrisKyle",'അമേരിക്കൻ സ്നൈപ്പർ' ക്രിസ് കൈലിനെ കൊലപ്പെടുത്തിയെന്ന ആരോപണവിധേയനായ എഡ്ഡി റേ റൗത്തിന്റെ വിചാരണ ആരംഭിച്ചു. പ്രതിഭാഗം ഭ്രാന്ത് കാരണം നിരപരാധി എന്ന വാദവുമായി മുന്നോട്ട് പോകുന്നു. #AmericanSniper #ChrisKyle,mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_a1294e6b-aedb-4c1f-81db-e47ba268b422_mal_rewrite_complete.json,eng,mal,eng,"[mal,eng]",eng,complete,DialyNews,n,y,y,n
b65c3aea-c861-4d67-a566-8264dac4cd2a,Mars is acquiring Hotel Chocolat for £534 million. This deal values Britain's largest independent chocolate maker at $661 million and is expected to boost its international growth prospects. Hotel Chocolat shares jumped 164% on Thursday.,മാർസ് ഹോട്ടൽ ചോക്ലേറ്റ് £534 മില്യണിന് ഏറ്റെടുക്കുന്നു. ഈ കരാർ ബ്രിട്ടന്റെ ഏറ്റവും വലിയ സ്വതന്ത്ര ചോക്ലേറ്റ് നിർമ്മാതാവിനെ $661 മില്യണിൽ വിലമതിക്കുന്നു. ഹോട്ടൽ ചോക്ലേറ്റ് ഓഹരികൾ വ്യാഴാഴ്ച 164% വർദ്ധിച്ചു.,Breaking: Mars buys Hotel Chocolat for £534 million! 'This deal is a game-changer for chocolate lovers worldwide!' #MarsAcquiresHotelChocolat #ChocolateLoversUnite,ബ്രേക്കിംഗ്: മാർസ് ഹോട്ടൽ ചോക്ലേറ്റ് £534 മില്യണിന് വാങ്ങുന്നു! 'ഈ ഇടപാട് ലോകമെമ്പാടുമുള്ള ചോക്ലേറ്റ് പ്രേമികൾക്ക് ഒരു ഗെയിം ചേഞ്ചറാണ്!' #MarsAcquiresHotelChocolat #ChocolateLoversUnite,mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_b65c3aea-c861-4d67-a566-8264dac4cd2a_mal_rewrite_complete.json,eng,"[mal,eng]",eng,"[mal,eng]",eng,complete,GlobalNews,n,y,y,n
31cd2721-1ecb-4aa9-a312-4d3dd4fc8db2,"Alabama's governor pledged to take quick action to clean up and rebuild the tornado-ravaged state in a speech to lawmakers on Tuesday. Gov. Robert Bentley announced that the state will cover local communities' debris removal costs for 30 days to expedite the recovery process. The National Weather Service confirmed over 20 large tornadoes touched down in Alabama, causing widespread devastation. The state's emergency management agency reported a death toll of 250 as of Saturday, with 2,219 injuries. Bentley stated that 38 counties in Alabama were declared disaster areas by the federal government.","അലബാമ ഗവർണർ ചൊവ്വാഴ്ച നിയമസഭാംഗങ്ങളെ അഭിസംബോധന ചെയ്ത് ടോർണാഡോ ബാധിച്ച സംസ്ഥാനം പുനർനിർമ്മിക്കാനും വൃത്തിയാക്കാനും വേഗത്തിൽ നടപടിയെടുക്കുമെന്ന് പ്രതിജ്ഞ ചെയ്തു. വീണ്ടെടുക്കൽ പ്രക്രിയ വേഗത്തിലാക്കാൻ 30 ദിവസത്തേക്ക് പ്രാദേശിക സമൂഹങ്ങളുടെ അവശിഷ്ടങ്ങൾ നീക്കംചെയ്യൽ ചെലവുകൾ സംസ്ഥാനം വഹിക്കുമെന്ന് ഗവർണർ റോബർട്ട് ബെന്റ്ലി പ്രഖ്യാപിച്ചു. നാഷണൽ വെതർ സർവീസ് അലബാമയിൽ 20-ലധികം വലിയ ടോർണാഡോകൾ സ്ഥിരീകരിച്ചു, വ്യാപകമായ നാശനഷ്ടങ്ങൾ ഉണ്ടാക്കി. ശനിയാഴ്ചയിലെ കണക്കനുസരിച്ച് സംസ്ഥാനത്തിന്റെ അടിയന്തര മാനേജ്മെന്റ് ഏജൻസി 250 മരണങ്ങളും 2,219 പരിക്കുകളും റിപ്പോർട്ട് ചെയ്തു. ഫെഡറൽ ഗവൺമെന്റ് അലബാമയിലെ 38 കൗണ്ടികളെ ദുരന്ത മേഖലകളായി പ്രഖ്യാപിച്ചതായി ബെന്റ്ലി പറഞ്ഞു.","Alabama's governor pledges to 'rebuild and recover' after tornado outbreak, with 'over 250 dead and 2,219 injured' #AlabamaTornado #RecoveryEfforts","അലബാമയിലെ ടോർണാഡോ പകർച്ചയ്ക്ക് ശേഷം 'പുനർനിർമ്മിക്കാനും വീണ്ടെടുക്കാനും' ഗവർണർ പ്രതിജ്ഞ ചെയ്യുന്നു, '250-ലധികം മരണവും 2,219 പരിക്കുകളും' #AlabamaTornado #RecoveryEfforts",mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_31cd2721-1ecb-4aa9-a312-4d3dd4fc8db2_mal_edit.json,eng,mal,eng,"[mal,eng]",eng,light,DialyNews,y,n,y,n
c93d0e77-6f7b-4fc9-a396-cd373c6b111c,"A North Texas woman, Sarah Boaz, was handcuffed, strip-searched, and jailed due to an overdue driving ticket. Boaz had lost the ticket issued in Richland Hills after driving through a stop sign in August 2013. She was arrested outside her home on Wednesday, October 25, 2013, morning as she was leaving for work. A Richland Hills city marshal was waiting for her as she walked out her front door. 'No one puts out a bench warrant after 60 days,' she told CBS 11. 'Why would you do that?' Boaz was taken to jail where she was instructed to undress by a female officer. Richland Hills is a small town with only one marshal, meaning warrants for unpaid tickets are processed more quickly. Attorney Jason Smith stated that there's nothing requiring the city to jail people for unpaid tickets. 'The constitution doesn't keep the government or government officials from using common sense,' he said. 'Unfortunately, some police officers and governments get overly aggressive because they want that ticket revenue.' Boaz was jailed for a short time before her family bailed her out. She had expected to receive a notice in the mail before such extreme action. Richland Municipal Court officials claimed that notices had been sent to Boaz. Shortly after Boaz was freed, her husband received a ticket for rolling through a stop sign.","ഒരു നോർത്ത് ടെക്സസ് വനിത, സാറാ ബോസ്, കാലതാമസം വന്ന ഡ്രൈവിംഗ് ടിക്കറ്റിനാൽ കൈകൊണ്ട് കെട്ടിയും, വസ്ത്രങ്ങൾ അഴിപ്പിച്ചും ജയിലിലടച്ചു. ഓഗസ്റ്റ് 2013ൽ റിച്ച്ലാൻഡ് ഹിൽസിൽ സ്റ്റോപ്പ് സൈൻ മറികടന്നതിന് ബോസിന് ടിക്കറ്റ് നൽകിയിരുന്നു. ഒക്ടോബർ 25, 2013 ന് അവൾ ജോലിക്ക് പോകവേ വീടിന് പുറത്ത് വച്ച് അറസ്റ്റ് ചെയ്യപ്പെട്ടു. റിച്ച്ലാൻഡ് ഹിൽസ് സിറ്റി മാർഷൽ അവളുടെ മുന്നിൽ നിൽക്കുകയായിരുന്നു. '60 ദിവസത്തിന് ശേഷം ആരും ബെഞ്ച് വാറണ്ട് ഇടാറില്ല,' അവൾ സിബിഎസ് 11ന് പറഞ്ഞു. 'എന്തിന് നിങ്ങൾ അത് ചെയ്യും?' ബോസിനെ ജയിലിലേക്ക് കൊണ്ടുപോയി ഒരു വനിതാ ഓഫീസർ അവളെ വസ്ത്രങ്ങൾ അഴിക്കാൻ നിർദ്ദേശിച്ചു. റിച്ച്ലാൻഡ് ഹിൽസ് ഒരു ചെറിയ പട്ടണമാണ്, ഒരു മാർഷൽ മാത്രമുള്ളതിനാൽ പിഴയടയ്ക്കാത്ത ടിക്കറ്റുകളുടെ വാറണ്ടുകൾ വേഗത്തിൽ പ്രോസസ്സ് ചെയ്യപ്പെടുന്നു. അറ്റോർണി ജേസൺ സ്മിത്ത് പറഞ്ഞു, 'ഭരണഘടന സർക്കാരിനെയോ സർക്കാർ ഉദ്യോഗസ്ഥരെയോ സാമാന്യബുദ്ധി ഉപയോഗിക്കുന്നതിൽ നിന്ന് തടയുന്നില്ല.' 'നിർഭാഗ്യവശാൽ, ചില പോലീസ് ഉദ്യോഗസ്ഥരും സർക്കാരുകളും ടിക്കറ്റ് വരുമാനം വേണമെന്നതിനാൽ അമിതമായി ആക്രമണാത്മകമായി പ്രവർത്തിക്കുന്നു.' ബോസ് കുറച്ചു സമയത്തേക്ക് ജയിലിൽ കഴിഞ്ഞ ശേഷം കുടുംബം അവളെ ജാമ്യത്തിൽ ഇറക്കി. അത്തരം കടുത്ത നടപടികൾക്ക് മുമ്പ് ഒരു നോട്ടീസ് ലഭിക്കുമെന്ന് അവൾ പ്രതീക്ഷിച്ചിരുന്നു. റിച്ച്ലാൻഡ് മുനിസിപ്പൽ കോടതി ഉദ്യോഗസ്ഥർ ബോസിന് നോട്ടീസ് അയച്ചതായി അവകാശപ്പെട്ടു. ബോസ് മോചിതയായ ഉടൻ അവളുടെ ഭർത്താവിന് സ്റ്റോപ്പ് സൈൻ മറികടന്നതിന് ടിക്കറ്റ് ലഭിച്ചു.","Woman jailed for unpaid driving ticket! 'No one puts out a bench warrant after 60 days,' says Sarah Boaz. #JusticeFailed #OverzealousLawEnforcement","'പിഴയടച്ചില്ലെന്ന് പറഞ്ഞ് സ്ത്രീയെ ജയിലിലടച്ചു!' '60 ദിവസത്തിന് ശേഷം ആരും ബെഞ്ച് വാറണ്ട് ഇടാറില്ല,' സാറാ ബോസ് പറയുന്നു. #നീതി_പരാജയപ്പെട്ടു #അമിത_ഉത്സാഹം_നിയമ_പാലനം'",mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_c93d0e77-6f7b-4fc9-a396-cd373c6b111c_mal_edit.json,eng,"[mal,eng]",eng,mal,eng,light,DialyNews,y,n,y,n
2b5e6e92-c544-429c-afa9-e667bb90a852,"Louis van Gaal has indicated that Wayne Rooney will be Manchester United's new captain after Rooney led the team to victory over Liverpool in the International Champions Cup final. Initially, Rooney was set to succeed Nemanja Vidic as captain under David Moyes, but Van Gaal's appointment raised questions about the role. Van Gaal hinted at giving the armband to an English player, praising Rooney's full 90-minute performance. Rooney was also voted Most Valuable Player of the tournament.","ലൂയിസ് വാൻ ഗാൽ സൂചിപ്പിച്ചത് വെയ്ൻ റൂണിയെ മാഞ്ചസ്റ്റർ യുണൈറ്റഡിന്റെ പുതിയ ക്യാപ്റ്റനായി നിയമിക്കുമെന്നാണ്, ഇന്റർനാഷണൽ ചാമ്പ്യൻസ് കപ്പ് ഫൈനലിൽ ലിവർപൂളിനെതിരെ റൂണി ടീമിനെ വിജയത്തിലേക്ക് നയിച്ചതിന് ശേഷം. ഡേവിഡ് മോയസിന് കീഴിൽ നെമാൻജ വൈഡിക്കിന്റെ പിൻഗാമിയായി റൂണി പ്രതീക്ഷിച്ചിരുന്നു, എന്നാൽ വാൻ ഗാലിന്റെ നിയമനം ചോദ്യങ്ങൾ ഉയർത്തി. ഇംഗ്ലീഷ് കളിക്കാർക്ക് നേതൃത്വം നൽകാനുള്ള തന്റെ മുൻഗണന വാൻ ഗാൽ സൂചിപ്പിച്ചു, റൂണിയുടെ പൂർണ്ണ 90 മിനിറ്റ് പ്രകടനത്തെ പ്രശംസിച്ചു. ടൂർണമെന്റിൽ അഞ്ച് ഗോളുകൾ നേടിയതിന് ശേഷം റൂണി ഏറ്റവും മൂല്യവത്തായ കളിക്കാരനായി.",New captain alert! Louis van Gaal hints at Wayne Rooney as Manchester United's new skipper after ICC win! #MUFC #Rooney,പുതിയ ക്യാപ്റ്റൻ! ഇന്റർനാഷണൽ ചാമ്പ്യൻസ് കപ്പ് വിജയത്തിന് ശേഷം ലൂയിസ് വാൻ ഗാൽ വെയ്ൻ റൂണിയെ മാഞ്ചസ്റ്റർ യുണൈറ്റഡിന്റെ പുതിയ ക്യാപ്റ്റനായി സൂചിപ്പിക്കുന്നു! #MUFC #Rooney,mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_2b5e6e92-c544-429c-afa9-e667bb90a852_mal_polish.json,eng,mal,eng,"[mal,eng]",eng,moderate,DialyNews,y,n,y,n
1452550e-7f3e-4ad1-a8f8-114f959192b2,"Jessica Devins and her husband, a Minneapolis couple, have a fondness for photobooths, which they used creatively to announce their pregnancy.",ജെസീക്ക ഡെവിൻസും ഭർത്താവും ഫോട്ടോബൂത്തുകളോട് വളരെ ഇഷ്ടം ഉള്ളവരാണ്. അവർ അവരുടെ ഗർഭാവസ്ഥ പ്രഖ്യാപിക്കാൻ സർഗ്ഗാത്മകമായി ഇത് ഉപയോഗിച്ചു.,Meet Jessica Devins who announced her pregnancy in a 'heartwarming' photobooth surprise with her husband! #PregnancyAnnouncement #PhotoboothSurprise,ജെസീക്ക ഡെവിൻസ് തന്റെ ഭർത്താവിനോടൊപ്പം ഒരു ഫോട്ടോബൂത്ത് സർപ്രൈസിൽ ഗർഭാവസ്ഥ പ്രഖ്യാപിച്ചു! #ഗർഭാവസ്ഥപ്രഖ്യാപനം #ഫോട്ടോബൂത്ത്സർപ്രൈസ്,mal,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/mal/CoI_1452550e-7f3e-4ad1-a8f8-114f959192b2_mal_edit.json,eng,mal,eng,mal,eng,light,DialyNews,y,n,y,n
