uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
26f4796b-f92d-4d29-828c-82e85b4d0565,"A bin bag containing severed cats' heads was discovered dumped on a street near Manchester's famous 'Curry Mile'. Council bosses in Manchester have launched an urgent investigation and are contacting the RSPCA. The discovery was made by a council worker responding to complaints about fly-tipping in Rusholme. The worker found a single black bin bag containing the animal remains close to Walmer Street East and Basil Street. A Manchester city council spokesman confirmed an investigation was underway, calling it 'an extreme example of animal cruelty'.","O sac de gunoi cu capete de pisici decapitate a fost găsit aruncat lângă 'Curry Mile' din Manchester. Consiliul Municipal investighează urgent și colaborează cu RSPCA. Un angajat al consiliului a descoperit sacul negru cu rămășițe de animale lângă Walmer Street East și Basil Street, după reclamații privind gunoiul aruncat ilegal. Purtătorul de cuvânt al consiliului a descris incidentul ca 'un exemplu extrem de cruzime animală'.",Shock discovery in Manchester! A bin bag with severed cats' heads was found near 'Curry Mile'. Council launches urgent probe and contacts RSPCA! #Manchester #AnimalCruelty #RSPCA,Descoperire șocantă la Manchester! Un sac de gunoi cu capete de pisici decapitate a fost găsit lângă 'Curry Mile'. Consiliul Municipal investighează urgent și colaborează cu RSPCA! #Manchester #CruzimeAnimală #RSPCA,ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_26f4796b-f92d-4d29-828c-82e85b4d0565_ron_edit.json,,ron,,,,light,DialyNews,y,n,y,n
7878622f-6c40-4b69-8414-dcf43ae75124,"The party led by Israel's National Security Minister, Itamar Ben-Gvir, has advanced a bill to ease the imposition of capital punishment on Palestinian detainees. Relatives of those captured by Hamas on October 7 have urged Israeli lawmakers to drop the bill, citing concerns for the captives' safety.",The translation is accurate and culturally appropriate. Minor adjustments made for fluency.,"Breaking: Israel's far-right minister pushes for easier capital punishment for Palestinian detainees, sparking concerns from families of Hamas captives. #Israel #Hamas #HumanRights","Știri de ultimă oră: Ministrul israelian de extremă dreaptă promovează pedeapsa capitală mai ușoară pentru deținuții palestinieni, stârnind îngrijorări din partea familiilor captivilor Hamas. #Israel #Hamas #DrepturileOmului",ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_7878622f-6c40-4b69-8414-dcf43ae75124_ron_rewrite_complete.json,eng,eng,eng,ron,eng,complete,GlobalNews,n,y,y,n
c7c54370-e08c-4ada-bd96-7a6ca4847f88,"Earth's magnetic field is weakening, according to data from Esa's Swarm constellation. The magnetic North pole is moving towards Siberia, although its rate of movement has slowed down recently.","Câmpul magnetic al Pământului, un scut protector împotriva radiației cosmice, este în scădere, conform datelor de înaltă rezoluție de la constelația de sateliți Swarm a Esa. Măsurătorile din perioada ianuarie-iunie 2014 arată o tendință generală de slăbire, în special în emisfera vestică.","Discover how Earth's magnetic field is weakening! 'Earth's magnetic shield is weakening, Swarm data reveals' #EarthScience #SwarmMission","Descoperiți cum scade câmpul magnetic al Pământului! 'Scutul magnetic al Pământului este în scădere, conform datelor Swarm' #ȘtiințaPământului #MisiuneaSwarm",ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_c7c54370-e08c-4ada-bd96-7a6ca4847f88_ron_polish.json,eng,ron,eng,ron,eng,moderate,DialyNews,y,n,y,n
0487e624-ce9d-4778-96c7-ece8cfcff4ca,"The word 'compromise' is often unwelcome to passionate advocates, especially those fighting to overturn the military's 'don't ask, don't tell' (DADT) law. Enacted in 1993, this law has led to the discharge of over 14,000 service members. A deal reached between the White House, Pentagon, and gay rights groups is seen as a workable solution. The agreement includes delayed implementation and removes an affirmative non-discrimination provision. Despite concessions, the deal is a step towards fully repealing DADT.","Cuvântul 'compromis' este de obicei neprimit de avocații pasionați, în special cei care luptă să răstoarne legea militară 'nu întreba, nu spune' (DADT). Adoptată în 1993, această lege a condus la demiterea a peste 14.000 de militari. Un acord între Casa Albă, Pentagon și grupurile pentru drepturile gay este considerat o soluție fezabilă. Acordul prevede o implementare întârziată și înlătură o clauză afirmativă anti-discriminare. În ciuda concesiilor, acordul reprezintă un pas important spre abrogarea completă a DADT.","Breaking: Historic deal reached to repeal 'don't ask, don't tell'! Over 14,000 service members discharged under this law. Read more about this crucial step towards equality #DADTRepeal #LGBTQPlus","Știre de ultimă oră: S-a ajuns la un acord istoric pentru a abroga 'nu întreba, nu spune'! Peste 14.000 de militari concediați sub această lege. Află mai multe despre acest pas crucial spre egalitate #AbrogareDADT #LGBTQPlus",ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_0487e624-ce9d-4778-96c7-ece8cfcff4ca_ron_polish.json,eng,ron,eng,ron,eng,moderate,DialyNews,y,n,y,n
8ed052fe-c4d9-4ad3-950d-5af252a439f5,"In a bid to challenge societal norms and raise funds for a noble cause, a group of women have launched 'Armpits4August', a charity event encouraging females to grow their armpit hair throughout August. Inspired by 'Movember', where men grow moustaches to fight prostate cancer, 'Armpits4August' aims to create awareness and funds for Polycystic ovary syndrome (PCOS), a condition affecting millions of women. One of the organisers, Tasha Skerman-Gray, who hasn't shaved for four years, appeared on 'This Morning' to promote the cause, proudly showcasing her 'pit kittens'. The campaign seeks to instill pride in women's body hair, rather than shame, and has garnered significant support on social media.","Într'o încercare de a provoca normele societale și a strânge fonduri pentru o cauză nobilă, un grup de femei a lansat 'Armpits4August', un eveniment caritabil care încurajează femeile să își lase părul din zona axilă să crească pe tot parcursul lunii August. Inspirat de 'Movember', unde bărbații își lasă mustața să crească pentru a combate cancerul de prostată, 'Armpits4August' își propune să creeze conștientizare și fonduri pentru sindromul ovarului polichistic (PCOS), o afecțiune care afectează milioane de femei. Una dintre organizatoare, Tasha Skerman-Gray, care nu s'a ras de patru ani, a apărut la 'This Morning' pentru a promova cauza, prezentând cu mândrie 'pisicuțele ei din axilă'. Campania își propune să insufle mândrie în legătură cu părul corporal la femei, mai degrabă decât rușine, și a strâns un sprijin semnificativ pe rețelele sociale.",Join 'Armpits4August' and challenge societal norms! Grow your armpit hair in August to raise funds for PCOS awareness. #Armpits4August #BodyPositivity,Alătură-te 'Armpits4August' și provoacă normele societale! Lasă părul din zona axilă să crească în August pentru a strânge fonduri pentru conștientizarea PCOS. #Armpits4August #PozitivitateCorporală,ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_8ed052fe-c4d9-4ad3-950d-5af252a439f5_ron_rewrite_complete.json,eng,ron,eng,ron,eng,complete,DialyNews,n,y,y,n
16a7fd2e-2c03-4363-8254-b30a80cf8691,London's Heathrow Airport is 'fully operational' and returning to normal after an emergency landing on Friday forced the closure of both runways. British Airways canceled all its inbound and outbound short-haul flights until 4 p.m. A British Airways plane headed to Oslo made an emergency landing due to a technical fault.,Aeroportul Heathrow din Londra este 'complet operațional' și revine la normal după aterizarea de urgență de vineri. British Airways a anulat toate zborurile sale de scurtă distanță până la ora 16:00. Un avion British Airways spre Oslo a efectuat o aterizare de urgență din cauza unei probleme tehnice.,Heathrow Airport back to normal after emergency landing! 'Fully operational' but expect delays. #Heathrow #FlightDelays,Aeroportul Heathrow revine la normal după aterizarea de urgență! 'Complet operațional' dar așteptați-vă la întârzieri. #Heathrow #ÎntârzieriZboruri,ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_16a7fd2e-2c03-4363-8254-b30a80cf8691_ron_polish.json,eng,ron,eng,"[ron,eng]",eng,moderate,DialyNews,y,n,y,n
09f0cadc-f651-4d7f-868c-5153ec82d071,"A 60-year-old grandfather, John Macdonald, suffered a mysterious illness after drinking from a can of beer he'd dropped into the Brisbane River in Queensland, Australia, while on a fishing trip last March. The can slipped from his hand, and without hesitation, he picked it up and continued drinking. Shortly after, he became violently ill and underwent multiple hospitalizations and operations. Despite several surgeries at the Caboolture hospital and the Royal Brisbane Hospital, a large mass continued to grow on his stomach. John is now making a global appeal for help, as doctors have told him that they cannot operate again for at least 12 months.","Un bunic de 60 de ani, John Macdonald, a suferit o boală misterioasă după ce a băut dintr-o cutie de bere pe care o scăpase în râul Brisbane din Queensland, Australia, în timp ce era în excursie de pescuit în martie trecut. Cutia i-a alunecat din mână și, fără ezitare, a ridicat-o și a continuat să bea. La scurt timp după aceea, s-a îmbolnăvit violent și a suferit multiple spitalizări și operații. În ciuda mai multor intervenții chirurgicale la spitalul Caboolture și la Spitalul Regal Brisbane, o masă mare a continuat să crească pe stomacul său. John face acum un apel global pentru ajutor, deoarece medicii i-au spus că nu pot opera din nou timp de cel puțin 12 luni.","Meet John Macdonald, a grandfather who got a mystery bug from a can of beer he drank after dropping it in a river! He's had multiple surgeries but still suffers. Help him! #MysteryIllness #HelpJohn","Întâlniți-l pe John Macdonald, un bunic care a contractat o boală misterioasă dintr-o cutie de bere pe care a băut-o după ce a scăpat-o în râu! A suferit multiple intervenții chirurgicale, dar încă suferă. Ajutați-l! #BoalăMisterioasă #AjutațiPeJohn",ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_09f0cadc-f651-4d7f-868c-5153ec82d071_ron_edit.json,eng,ron,eng,ron,eng,light,DialyNews,y,n,y,n
74cd81ec-cf3f-4044-af65-c89c23a35e53,West Bromwich Albion lost 3-2 to Port Vale at Vale Park in a pre-season friendly. The 'Baggies' have now lost their last three pre-season games. Kemar Roofe scored the opening goal after just five minutes. Bradley Garmston equalized for West Brom with a 'superb individual effort'. Craig Dawson's late own goal sealed the victory for Port Vale.,West Bromwich Albion a pierdut cu 3-2 în fața lui Port Vale la Vale Park într-un amical de pre-sezon. 'Baggies' au pierdut acum ultimele trei meciuri de pre-sezon. Kemar Roofe a deschis scorul după doar cinci minute. Bradley Garmston a egalat pentru West Brom printr-un 'efort individual remarcabil'. Autogolul lui Craig Dawson în ultimul minut a decis victoria pentru Port Vale.,"West Brom's pre-season woes continue! They lost 3-2 to Port Vale, with Craig Dawson scoring a late own goal #WestBrom #PortVale","Problemele lui West Brom în pre-sezon continuă! Au pierdut cu 3-2 în fața lui Port Vale, Craig Dawson marcând un autogol târziu #WestBrom #PortVale",ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_74cd81ec-cf3f-4044-af65-c89c23a35e53_ron_polish.json,eng,ron,eng,ron,eng,moderate,DialyNews,y,n,y,n
f6b026cb-ec15-4614-bd9c-04922ffdb2b9,"A woman, Shacarye Tims, 25, has been arrested for stealing a man's $25,000 Rolex watch by hiding it in her vagina, according to New York police. Tims was invited to the man's room at a Holiday Inn in Chelsea, Manhattan, early on Sunday. She convinced the man to remove the watch, claiming it 'scratched' her, and then stole it from the nightstand. The man reported that he placed the Rolex on the nightstand after removing it, and it was missing 'ten minutes later.' Tims allegedly suggested it might have fallen on the floor, and while the man was searching, she ran away. When the man caught up with her in the lobby, Tims 'hit him over the head several times with a closed fist.' Tims was arrested and later produced the Rolex, which she had 'hidden in her vaginal cavity.' She has been charged with robbery and grand larceny and is being held on $10,000 bail, with a court appearance scheduled for Friday.","O femeie, Shacarye Tims, în vârstă de 25 de ani, a fost arestată pentru furtul unui ceas Rolex de 25.000 de dolari, pe care l-a ascuns în vagin, conform poliției din New York. Tims a fost invitată în camera unui bărbat la Holiday Inn din Chelsea, Manhattan, duminică dimineața devreme. Ea l-a convins pe bărbat să-și scoată ceasul de la mână, susținând că o 'zgâria', și apoi l-a furat de pe noptieră. Bărbatul a raportat că a pus ceasul pe noptieră și că acesta a dispărut 'zece minute mai târziu.' Tims a sugerat că ceasul ar fi putut cădea, iar ea a profitat de faptul că el căuta pentru a fugi. Când bărbatul a prins-o din urmă în hol, Tims 'l-a lovit peste cap de mai multe ori cu pumnul.' Ea a fost arestată și ulterior a returnat ceasul, pe care l-a 'ascuns în vagin.' Tims a fost acuzată de jaf și furt și este reținută sub cauțiune de 10.000 de dolari, urmând să apară în instanță vineri.","Breaking: 'Brazen theft'! Shacarye Tims, 25, arrested for stealing $25,000 Rolex by hiding it in her vagina after convincing the owner to remove it at a Manhattan hotel. #Rolex #Theft #Manhattan","'Furt îndrăzneț'! Shacarye Tims, 25 de ani, arestată pentru furtul unui ceas Rolex de 25.000 de dolari, ascunzându-l în vagin, după ce l-a convins pe proprietar să și-l scoată la un hotel din Manhattan. #Rolex #Furt #Manhattan",ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_f6b026cb-ec15-4614-bd9c-04922ffdb2b9_ron_edit.json,eng,"[ron,eng]",eng,"[ron,eng]",eng,light,DialyNews,y,n,y,n
bc88d09e-ea51-4228-9f79-db2de22b27dc,"The Kremlin is urging the world's most powerful nations to develop technology to detect and destroy asteroids and meteors that threaten Earth. This call to action follows a meteorite explosion over the Urals, injuring nearly 1,200 people. Russian officials are advocating for an early warning system and an 'Anti-Asteroid Defence System'.","Kremlinul îndeamnă națiunile cele mai puternice din lume să dezvolte tehnologia pentru a detecta și distruge asteroizii și meteoriții care amenință Pământul. Acest apel la acțiune urmează exploziei unui meteorit deasupra Uralilor, care a rănit aproape 1.200 de persoane. Oficialii ruși susțin crearea unui sistem de avertizare timpurie și a unui 'Sistem de Apărare Anti-Asteroid'.","Breaking: 'Instead of fighting on Earth, people should be creating a joint system of asteroid defence' says Alexei Pushkov after meteorite hits Russia. #AsteroidDefense #Russia","'În loc să lupte pe Pământ, oamenii ar trebui să creeze un sistem comun de apărare împotriva asteroizilor', declară Alexei Pushkov după ce meteoritul a lovit Rusia. #ApărareAntiAsteroid #Rusia",ron,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/ron/CoI_bc88d09e-ea51-4228-9f79-db2de22b27dc_ron_polish.json,eng,ron,eng,ron,eng,moderate,DialyNews,y,n,y,n
