uuid,article_content,translated_article,date,article_summary,post_content,translated_post,platform,language,standardized_language,category,standardized_topics,organization,standardized_organization,veracity,standardized_veracity,country,standardized_country,source_filepath,url,medium,label,countries,generation_model,human_format
1a294249-4e9a-45ee-9b37-4dbe6b97a76d," A 28-year-old Butterworth man, who was allegedly part of a gang that terrorised Walter Sisulu University students living in a privately-owned residence, was beaten to death by unknown people. The man was found inside the student digs, but reportedly died after being admitted to hospital. Butterworth police spokesman Captain Jackson Manatha said the incident happened in the early hours of Sunday at a Zazulwana-based residence. University spokeswoman Yonela Tukwayo said they were aware of the incident. \""No details are available about the incident and the university is relying on the police for more information,\"" she said. The caretaker of the residence, who asked not to be named, said she heard a commotion at about 2.30am on Sunday, which woke her up. \""I stayed inside for a while as I was scared to go outside. Eventually I went out. I saw a body of a man with injuries. \""I then called the police.\"" She said when the police arrived at the residence, the man was still alive. \""I then later received a call from police telling me that the man had passed away in hospital,\"" she said. It is alleged that the man had attempted to break-in. The caretaker said it was not the first time there had been a robbery at that residence. She said, after midnight on Tuesday, two guys entered the residence and stole meat and a cellphone. A female student living at the off-campus residence said they lived in fear. \""A week does not pass without hearing of a burglary in these residences,\"" she said. Student leadership said they were concerned about the safety of students. SRC’s Lonwabo Nkosana said they were worried about the university \""forcefully approving places that do not meet standards to be student residences\"". \""Some of these places are not even burglar proofed. Even the security guards are not trained in security,\"" he said. The incident happened less than three weeks after students at the Mthatha campus’ Zamukulungisa Site student residents allegedly took the law into their own hands and killed a fellow student accused of stealing laptops. ",,1-May-19,,"House thief beaten to death, Butterworth",,,,eng,Crime and Public Safety,Campus Violence,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/national-news/house-thief-beaten-to-death-butterworth/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
9385c217-5a02-4f19-b658-648dae6be078," It’s not a secret that Sibusiso Vilakazi is contemplating leaving Mamelodi Sundowns due to reasons best known to him. \""It would be inhumane for the club to take up that option to extend his contract and not allow him to leave ,\"" said a source. Sundowns, however, refused to sell the 29-year-old outright and instead t the media has been told that the player is extremely angry with pitso and have countless time confronted Pitso Mosimane with anger, telling him to let him go join Orlando Pirates. Meanwhile, the player’s agent is to be in a war of words with Mamelodi Sundowns coach Pitso Mosimane with the view of trying to stop the move. According, to Pitso, his reason was that he can’t sell his own weapon to Pirates, that they would use it against them. However, Orlando pirates are said to be at the corridor waiting for Sundowns to officially release the player before the make an offer. ",,1-May-19,,Pitso Burst Into Fight With His Player Agent Over The Players Decision To Join Pirates,,,,eng,Sports Transfers,Player Transfer,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/sports/pitso-burst-into-fight-with-his-player-agent-over-the-players-decision-to-join-pirates/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
eb01b862-9bf0-43cc-bea4-8d4defea8dbe," According to report, Some criminals may have infiltrated the police service. Five Pretoria police officers have been arrested for alleged involvement in human trafficking, kidnapping and extortion in two separate incidents, police said on Wednesday. In a statement, police said four Silverton flying squad members allegedly kidnapped 10 Bangladeshi nationals, who were smuggled through Zimbabwe into South Africa. The alleged incident took place last month and according to police, two of the 10 victims were released after their families paid a ransom. \""SAPS (SA Police Service) national Crime Intelligence worked tirelessly with the investigators on the case and identified four Silverton flying squad constables that are alleged to have kidnapped the victims,\"" the statement reads. \""A warrant for the arrest of each of the suspects was obtained earlier this week and on Wednesday, three of the constables were nabbed at the Silverton 10111 centre.\"" The fourth officer did not report for duty but police are adamant that an arrest is imminent. In the second case, two members of a stabilisation intervention in Mamelodi, north of Pretoria, were arrested in connection with extortion allegations. \""A man, allegedly a drug dealer, contacted the SAPS Anti-Corruption Unit and informed them that police members were demanding money from him.\"" The two members, one from Silverton SAPS and another from the Gauteng Anti-Gang Unit, were arrested at a restaurant in Silverton on Tuesday evening and alleged extortion money was recovered from them. National police commissioner, Lieutenant General Khehla Sitole, expressed disappointment at the police officials’ alleged transgressions. \""It is disheartening when members who are entrusted with the safety of law-abiding citizens are seen to be committing crimes themselves. \""While we allow justice to take its course, the arrest of these members should serve as a warning to other law enforcement officials that criminality within our ranks will not be tolerated,\"" added Sitole. The officers are in police custody and will appear in court once a date has been confirmed. ",,1-May-19,,Pretoria police caught in human trafficking and kidnapping,,,,eng,Crime News,Police Corruption,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/pretoria-police-caught-in-human-trafficking-and-kidnapping/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
8cda41f4-9ea5-446e-82ef-164d8b4f5c25," Ex-Kaizer Chiefs hardman Tinashe Nengomasha has implied that Amakhosi lack quality players amid the club’s prolonged trophy drought. Speaking on the sidelines of the Castle Africa five-a-side media launch at Chaf Pozi Restaurant in Orlando East, Soweto, yesterday, Nengomasha challenged Amakhosi to buy the \""right players\"". \""Sometimes you need to look for quality players… a right blend of players who can win you trophies. \""The thing is, you can bring any coach and all of that, but at the end of the day if you don’t have right ingredients, you won’t be able to win anything,\"" Nengomasha said. \""I know they brought in Ernst [Middendorp]. Probably he’ll make something out of the material he has. The retired hard-tackling central midfielder also gave his honest sentiment about his compatriot Khama Billiat’s contributions at Chiefs this season. \""I think he (Billiat) is doing well, it’s his first season… obviously there are some games where I felt he should have added more value but he relaxed,\"" noted Nengomasha, who played over 170 games for the Glamour Boys from 2002 to 2012. With legendary Cameroonian striker Samuel Eto’o at the forefront of marketing the Castle five-a-side competition, Nengomasha is representing Zimbabwe. The continental finals will be contested by SA, Zimbabwe, Zambia, Ghana, Nigeria, Uganda, eSwatini and Tanzania. The latter will host this year’s Africa premier social football contest in May. The winners will walk away with an all-paid-for trip to watch a football match in a yet to be confirmed European country alongside Eto’o, the four-time African Player of the Year. \""It’s a good initiative that unifies African people. It’s great that this year there’s also a women’s segment of it (which Banyana Banyana legend Amanda Dlamini is the face of],\"" said French-speaking Eto’o through a translator.",,1-May-19,,Kaizer Chiefs Players Reveals Why Chiefs Players Are Suffering And Smiling At The Same Time,,,,eng,Sports,Player Recruitment,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/sports/kaizer-chiefs-players-reveals-why-chiefs-players-are-suffering-and-smiling-at-the-same-time/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
02876f02-f9af-4d67-a610-5ac883235d2d," Lobby group AfriForum announced in a statement on Friday that the National Prosecuting Authority (NPA) plans to prosecute EFF leader Julius Malema and party spokesperson Mbuyiseni Ndlozi for allegedly assaulting a police officer. The case relates to an altercation in April last year that occurred at Winnie Madikizela-Mandela’s funeral and follows ongoing pressure from the Afrikaner rights group, which has threatened to prosecute the EFF members privately if no action occurs. An NPA letter resolving that the pair will face a charge of common assault, which has been circulating on social media and was also reported on by EWN, has been confirmed as authentic by NPA spokesperson Phindi Mjonondwane. ",,7-Sep-19,,Malema and Ndlozi to be prosecuted for assault of police officer,,,,eng,Legal Proceedings,Assault Charges,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/malema-and-ndlozi-to-be-prosecuted-for-assault-of-police-officer/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
1208f992-2075-4666-ae9e-b8cb77328bf6," A Detroit woman is lucky to be alive after she was shot 11 times by her wife during an argument about infidelity in their marriage. According to Fox 2 Detroit, Airrion Wallace confronted her wife of 12 years after discovering she committed adultery and told her that they needed to file for divorce. During their argument, Wallace threatened to bring another woman into their home so her wife could understand how it feels to be cheated on. Wallace’s wife shot her in the vagina four times, four times in the leg, and three times in the stomach. Airrion was in critical condition and underwent emergency surgery and two blood transfusions. Narrating what happened, Wallace said: \""I was telling her that we needed to get a divorce. Because I can handle a lot of things but I can’t handle infidelity. You made me uncomfortable at home, don’t be surprised if I have another female in here. I don’t know why I said that, and she said ‘You want to play with me?’ And looked at me and pulled out a gun.\"" She added that she begged during the shooting, saying: \""I’m like OK. OK, I hear you, I’m not going to do it\"". And she kept going.\"" She said she remaned conscious after the shooting and found a way to flee from her home. \""I had to gather as much strength as I could, to get down my stairs and get outside. As soon as I opened the door there were people out there. I said please call the police.\"" Wallace’s wife was arrested and she told police she acted in self-defense. She said: \""She wanted me to die because she always felt if she can’t have me, no one could have me.\"" ",,5-Sep-19,,Woman survives after being shot 11 times by her wife,,,,eng,,Domestic Violence,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/woman-survives-after-being-shot-11-times-by-her-wife/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
8c762118-a98c-4fa9-a334-bc7234406ebb,"Tanzania’s national carrier suspended its flights from the commercial capital Dar es Salaam to Johannesburg, citing ongoing violence that was a risk to its passengers. \""You are aware that there is ongoing violence in South Africa whereby the youth have taken laws in their hands,\"" Tanzania’s Transport Minister Isack Kamwelwe told journalists in Dar es Salaam. \""Due to that, we have decided not to transport passengers to the destination where their lives will be in jeopardy.\"" Reports also reaching us is that Madagascar has called off their match with Bafana Bafana which was scheduled for Saturday after the Zambians decided not to play again following the recent attacks on foreign owned businesses ",,5-Sep-19,,Tanzania Air suspends flights to Joburg As Attacks On Foreigners Continues,,,,eng,Travel Disruptions,Xenophobic Violence,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/tanzania-air-suspends-flights-to-joburg-as-attacks-on-foreigners-continues/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
2506d75d-d6a9-4873-b48f-6d6ed8c32649," Bafana Bafana’s friendly against Madagascar this Saturday has been called off after the African island nation decided to withdraw from the encounter. Bafana were originally set to face Zambia in Lusaka as part of their warm-up fixtures before crucial their AFCON qualifiers in November but the match was cancelled on Tuesday Zambia withdrew citing xenophobic violence in South Africa. The South African Football Association (SAFA) hastily arranged a replacement in the form of Madagascar and even announced free entry for supporters attending the fixture at Orlando Stadium in Soweto. Safa made the news known via their social media handles Breaking News: \""SAFA regrets to inform the public that the match between Bafana Bafana and Madagascar scheduled for this coming Saturday (7 September) has been called off after the visitors (Madagascar) decided to withdraw from the encounter.\"" More to follow…",,5-Sep-19,,Breaking News:- Madagascar Calls off Scheduled Match With Bafana Over Xenophobic Attack,,,,eng,Sports,Match Cancellation,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/sports/breaking-news-madagascar-calls-off-scheduled-match-with-bafana-over-xenophobic-attack/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
92200bbf-35f5-429b-9bcd-d20c9e2b25f5," In the process of selecting new executive members for the eThekwini municipality, Thanduxolo Sabelo, the firebrand secretary of the ANC Youth League (ANCYL) in KZN has been appointed to the all powerful 11-member executive committee (exco), the de-facto cabinet, making this his first government job. The move is seen in some quarters of the party as trying to build Sabelo’s political profile as he is said to be eyeing a senior political position in the eThekwini region after it became clear that his one time ambition of succeeding former ANC youth league president Collen Maine fell flat due to his age. Subsequent to the meeting held on wednesday night by the ANC KZN’s deployment committee; the committee brought back Sipho Kaunda, a former exco member who vacated his seat when the party forced former mayor Zandile Gumede and her entire exco team to vacate their seats. Mdumiseni Ntuli, party’s provincial secretary confirmed the appointment of Sabelo and Kaunda. He said \""Yes the two comrades are deployed by the African National Congress.\"" The ascension of Sabelo, a former ally of Gumede, to the committee is seen as gradual take over of the youth league and former youth league leaders of critical positions in the province. Just after the May general elections, the province’s premier, Sihle Zikalala, appointed the league provincial chairman, Kwazi Mshengu, as education MEC In the cabinet Mshengu joined former youth league leaders like Nomagugu Simelane Zulu (Health) and Mxolisi Kaunda, the former transport MEC who has since been moved to take the mayoral position in eThekwini. In the benches of the provincial legislature, the league has Zinhle Cele and Amanda Bani, among others. In the eThekwini council, the eThekwini regional youth league has Tembo Ntuli, Siya Thango, Thinta Cibane and Thembelihle Makhanya, among others. The ANC occupies eight of the seats and the rest are shared by the DA and the Inkatha Freedom Party.",,5-Sep-19,,"Thanduxolo Sabelo, ANCYL KZN leader appointed as Exco in eThekwini ",,,,eng,Politics,Municipal Appointments,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/polical-news/thanduxolo-sabelo-ancyl-kzn-leader-appointed-as-exco-in-ethekwini/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
d07065c9-e1dc-4865-9e24-f5d63eedfbeb," A man, believed to be 20s, was left critically injured this morning when he was struck by a bus on Vanguard Road in Goodwood, Western Cape. ER24 paramedics, along with Life Healthcare, arrived on the scene to find the man lying in the road in front of the bus. Medics assessed the man and found that he had sustained numerous injuries and was in a critical condition. The man was treated for his injuries and provided with advanced life support interventions before he was transported to Groote Schuur Hospital for further care. Local authorities were on the scene for further investigations.",,5-Sep-19,,"Pedestrian struck by bus, left critically injured",,,,eng,Local News Incident,Traffic Accident,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/pedestrian-struck-by-bus-left-critically-injured/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
