uuid,content,summary,language,organization,content_type,dataset
507ada95-ea41-4f20-bfaf-3abb35a45187,"What you need to know Adobe's Camera Raw software has finally caught up to the Pixel 8 series, allowing you to import raw image files into Photoshop and Lightroom and unleash the full potential of your phone's camera (via 9to5Google). Raw files are basically the untouched files straight from your camera's sensor. Unlike standard JPEGs, they pack in more data, including things like white balance, making them way more flexible for editing. JPEGs, on the flip side, sacrifice a bunch of data to save storage space, which means lower quality. The Pixel 8 and Pixel 8 Pro already have some photo editing tricks up its sleeve, making them one of our favorite camera phones. But even if you've captured a stunning shot with your phone, the editing options built into the Pixel 8 and 8 Pro just don't cut it. This is where Adobe's Raw support comes in. Going forward, you can slap those DNG files straight into Adobe Photoshop, Lightroom, and After Effects. These apps now play nice with photos from your selfie camera, wide-angle lens, or the main sensor at the back. And if you're rocking a Pixel 8 Pro, you can toss in shots from the telephoto lens too. To enjoy this new Raw support, update your Pixel 8's Camera Raw plug-in to version 16.0.1. This will ensure your phone can capture and process raw images properly. Don't forget to give your Adobe apps a little love too—make sure they're rocking the latest updates to be all set for those fresh raw photos. This update is a sweet addition to spice up the Pixel 8 and 8 Pro, especially for photographers who've been eyeing them.   The cameras on the Google Pixel 8 Pro are basically the rock stars of the smartphone world, outshining the competition in almost every mode. And to top it off, the fresh AI tricks and revamped camera interface serve up a seriously one-of-a-kind experience.","<ul><li>Lightroom and Photoshop now recognize Pixel 8 raw files delivered in DNG format, and this recognition extends to various lenses on both Pixel 8 and Pixel 8 Pro, with each lens having its uniq… [+1825 chars]",eng,Android Central,article,GlobalNews
93ae005b-5ce2-4a12-9c48-a801d2834619,"New Orleans, Louisiana (CNN) -- Three weeks after BP plugged its crippled Macondo oil well in the Gulf of Mexico with cement and mud from above, crews are ""fishing"" for pieces of drill pipe that need to be removed from inside the well's blowout preventer before crews can move on to the ""bottom kill"" -- the permanent fix for the well. Once those pieces of drill pipe are retrieved, crews will be able to replace the Macondo well's old blowout preventer with a new one awaiting use on the nearby ship, the Development Driller II, BP spokeswoman Catherine Hill confirmed Thursday. Meanwhile, Florida Gov. Charlie Crist on Thursday discontinued a state of emergency for the Keys (Monroe County) and 18 other peninsula coastal counties threatened by the spill. Seven Panhandle counties -- Escambia, Santa Rosa, Okaloosa, Walton, Bay, Gulf and Franklin -- are to remain under an extended state of emergency in order to qualify for economic aid, Crist's office said in a statement. Thad Allen, the man in charge of the government response to the Gulf oil crisis, said Wednesday that the ""fishing"" operations had been delayed by a buildup of hydrates -- chemicals that form at low temperatures and high pressures toward the sea floor -- that temporarily jammed the cap that trapped oil in the well starting on July 15. Crews flushed the system to loosen the cap and began ""fishing"" through the top of the well again. BP definitely plans to remove at least two smaller, cut pieces of pipe, but the status of a third, longer piece of drill pipe is unclear -- and that will affect how crews proceed, Allen said. He added that they are trying to determine if the third piece was affected by the cement poured into the top of the well during the ""static kill,"" process at the beginning of August -- and if so, how. Crews are trying to determine what to do if they can't retrieve the third piece of pipe. They may have to try to remove the old blowout prevent with the third piece of drill pipe still attached, Allen said. The retired Coast Guard admiral said Wednesday he is ""hesitant"" to give out any timeline for the process until they figure out the condition of the third piece of drill pipe. Crews need to replace the blowout preventer to ensure that the pressure inside the Macondo well will remain at a safe level when they intercept the Macondo well through a relief well at nearly 18,000 feet deep. ""Our first goal is to do no harm,"" Allen said in a teleconference last week. Investigators also want to examine the original blowout preventer, which did not work properly to choke off the well as it should have. Once the new blowout preventer is in place and Allen gives crews the green light to resume drilling, it will take them about four days to prepare, drill the final 50 feet of a relief well and intercept the main well. Then, the ""bottom kill"" process of plugging the well from below will begin. Allen has said cementing will require another several days. The environmental disaster began after an April 20 explosion on the offshore drilling platform Deepwater Horizon that killed 11 men. Two days later, the platform sank and oil from the Macondo well underwater started gushing into the Gulf. Investigators don't want the drill pipe to damage the blowout preventer because they want to see it ""as is"" to determine the blowout preventer's role in the calamity. The government says 205.8 million gallons of oil escaped from the well before it was sealed on July 15. Even though oil has not flowed from the well site since July 15, seven Panhandle counties including Escambia, Santa Rosa, Okaloosa, Walton, Bay, Gulf and Franklin are to remain under an extended state of emergency in order to qualify for economic aid under state and federal disaster guidelines. There have been no reported physical oil impacts to the Keys from the April 20 Transocean/BP explosion and subsequent spill, according to Captain Pat DeQuattro, sector Coast Guard Key West sector commander . CNN's Vivian Kuo contributed to this report .","NEW: Florida calls off state of emergency for several peninsula coastal counties .
Crews in the Gulf are trying to remove three pieces of drill pipe from the sunken well .
The work was delayed by a chemical buildup that jammed the entryway to the well .
Once the drill pipe is removed, crew can move on to a permanent shutdown of the well .",eng,CNN,article,DialyNews
877895b2-aedf-496b-8767-b1ffda526178,"(CNN)#BlackLivesMatter has been a hashtag, a mantra, a movement and now it's a college course. This spring, Dartmouth College will offer a new class, ""10 Weeks, 10 Professors: #BlackLivesMatter,"" which will examine race, violence and inequality through current events and throughout history. The 2014 deaths of Michael Brown in Ferguson, Missouri, and Eric Garner in New York during confrontations with police sparked conversations on social media and protests around the world, including Dartmouth's Hanover, New Hampshire, campus. ""Even though we might be sort of cloistered away in the ivory tower or something, we felt very much moved by, incited by, inspired by a lot of the activists' work following the failure to indict Darren Wilson after the events in Ferguson,"" said Aimee Bahng, an assistant professor of English at Dartmouth. ""We wanted to not leave this behind after winter break."" Then, around Martin Luther King Jr. Day, Missouri Rev. Starsky Wilson, co-chairman of the Ferguson Commission, spoke with Dartmouth faculty about ""teaching Ferguson."" By the end of Wilson's two-hour workshop, faculty members were already brainstorming how to integrate the events and the response into coursework and campus life. The result was a teaching collective that draws faculty from geography, history, English, math and other areas, and the idea for an interdisciplinary course crafted and taught by all of them. The course is also expected to draw outside speakers and to explore ways to engage the community beyond parading professors in front of lecture halls. ""There is a special energy around this,"" said Abigail Neely, an assistant professor of geography at Dartmouth. ""It's designed to transgress the boundaries between disciplines in an effort to do some really deep, sustained critical thinking about some of the most important issues in the country and world at this moment."" The course came together quickly with support from college leaders and Dartmouth's African and African-American Studies Program, Neely and Bahng said. Enrollment opens on Friday, but faculty members are still finalizing the syllabus and deciding how many students will be admitted. An early lesson is expected to focus on St. Louis and its racial history. Another will consider poetry, prose, music and religious sermons. Still others will look at how events in Ferguson were documented through different media and how black activism has evolved, ""from hip-hop to hashtags."" As word spread about the course, there's been an outpouring of support on campus, Bahng and Neely said. Far more than 10 faculty have signed on -- as of Wednesday, 21 are ""thinking together, teaching together, working together"" -- and students have approached to ask whether they can sit in on the course, even if they aren't enrolled. In planning the course, ""we've already begun the work as a teaching collective,"" Neely said. ""I'm so excited to see what happens when the students join.""","Dartmouth will offer a course inspired by the #BlackLivesMatter movement this spring .
The course will be taught by faculty in geography, English, history and other departments .",eng,CNN,article,DialyNews
e63f0053-f07b-4851-9117-cc890f6fef24,"Sam Vokes continued his comeback from injury with two goals as Burnley’s Development Squad hammered Blackpool 5-1 on Monday. The Wales international is in contention to face Liverpool on Boxing Day after he completed 90 minutes in his fifth appearance for the U21 Development Squad since recovering from a ruptured anterior cruciate ligament in March. Vokes opened the scoring in the 17th minute after a pass from Jason Gilchrist. Vokes (centre) has not played for Burnley since rupturing his anterior cruciate ligament in March . Sam Vokes celebrates on crutches after Burnley beat Ipswich Town at Turf Moor in April . Vokes (centre) is closing in on a return after playing 90 minutes for the U21s and scoring twice . Blackpool fielded a stronmg side including Darren O’Dea, John Lundstram, Andrea Orlandi and Ishmael Miller but the 25-year-old Vokes got his second on 34 minutes after good wing play from Luke Daly set up a simple finish from eight yards. Steven Hewitt, Gilchrist and substitute Jamie Frost completed the rout with Blackpool’s consolation coming direct from a corner.","Sam Vokes ruptured his anterior cruciate ligament in March .
The striker is in contention to face Liverpool on Boxing Day .
Vokes scored twice as Burnley U21's beat Blackpool 5-1 on Monday .",eng,CNN,article,DialyNews
7d00d54b-b8ef-4495-a2a1-cdbfe5b67bd5,"One of the first Israeli settlements to come under attack when Hamas militants surged into Israel early on Saturday morning was the Nir Am kibbutz, where local people put up a fierce defence and drove the attackers away.  ""I took my pistol, my clothes, my bulletproof vest and the other thing was cigarettes,"" Adam says, calmly recounting being jolted from his bed by the sound of gunfire at 06:30 on Saturday. ""We started to kill everyone who came to the fence.""  He's been labelled the hero of Nir Am, the saviour of his kibbutz, a community of around 400 people living just 2km (1.2 miles) from Gaza.   ""I took the walkie-talkie and I said this line again and again: 'No-one will enter Nir Am, no-one will enter Nir Am.'""  Adam is 46, ex-special-forces, so we can't show his face or use his full name. His head is shaved, a boxer, not the biggest man but you wouldn't mess with him. It's clear he can handle himself.  He was joined by other men from the kibbutz, he says.  ""Civilians who don't know how to fight but have got a lot of heart. Two or three with special forces experience but the others… just regular men, they work in IT. Regular men, but very, very special.""  Together they fought for between three and five hours - Adam isn't exactly sure. Then came a lull.  ""We thought it was all good but then came the second wave, between eight to 10 terrorists with machine guns, with rocket-propelled grenades… They were close, 10m to 15m. I ran towards them and stood and shot and killed… a bullet to the head.""  What was he feeling in the heat of this gun battle? ""My mind is regular I'm a warrior, I'm a fighter, this is what I'm built for.""  And he was clear what was at stake. The people of Nir Am would have been slaughtered, he says, just as they were at some other kibbutzim, communities organised as collectives, often farms. ""They will run to the houses and kill the women and the kids. That kept us fighting, killing. We didn't let anybody get into the kibbutz. Nobody got hurt.""  Now Nir Am residents are living in a Tel Aviv hotel. They don't know when they'll be able to return. Adam fears some will be too afraid.  He's thankful for the hospitality. ""It's very warming, it's like another house,"" he says. ""And all of Israel has sent us clothes and food.""  But even here, the evacuees aren't entirely safe. Our conversation is interrupted by sirens warning of another rocket attack. Adam calmly guides us to the shelter, where families are huddled, some of the children crying.  ""It's nothing for us, we live in the south. It's a regular thing for us,"" Adam says.  Adam is critical of Israel's government, particularly the failure of the security services to predict and prepare for the attack.  ""It's our leadership. They're under test now. Our leadership don't deserve us,"" he says.  Some 1,300 people died in the unprecedented Hamas attack on Israel, and at least 150 people were taken prisoner. Israel has retaliated with air strikes on Gaza, which have also killed 1,300. It has also closed the border preventing the entry of fuel and food.  And what about the future?  Adam says he thinks most people in Gaza are good people who want a normal life, but he wants overwhelming military action to deal with Hamas.  ""We can't have the same solution, we need something much, much stronger,"" he says. But he says he doesn't want to see Israeli troops enter Gaza. ""They (Hamas) want us to do that because they've got traps in there. This would be wrong."" Only one resident of Nir Am was killed, a young man who was at the music festival stormed by Hamas. Adam and his civilian force kept the kibbutz safe. ","One of the first Israeli settlements to come under attack when Hamas militants surged into Israel early on Saturday morning was the Nir Am kibbutz, where local people put up a fierce defence and drov… [+3528 chars]",eng,BBC News,article,GlobalNews
6031b931-0d49-4cbc-959b-dea673053325,"By . James Rush . A five-year-old boy who was found severely malnourished and covered in bruises has been showered with toys and gifts as he recovers in hospital. The little boy, identified as Jordan Bleimeyer, has gained four pounds since being taken to Houston Hospital after he was discovered weighing just 29 pounds last month. The child's father Bradley Bleimeyer, 24, and stepmother Tammie Bleimeyer, 33, have been charged with felony child endangerment after allegedly keeping the little boy locked under the stairs. WARNING: DISTURBING IMAGES BELOW . The five-year-old boy discovered severely malnourished and covered in bruises has been showered with toys and gifts as he recovers in hospital . A picture posted on Monday to the Facebook page 'Toys for Jordan' showed a smiling boy in bed surrounded by toys. The page administrator wrote: 'The power of love and prayers bring us this amazing smile. 'Please help by sharing this incredible update around the world.' The boy was moved from the pediatric intensive care unit on Friday, the New York Daily News has reported. According to the Facebook page documenting his recovery, his dietary restrictions were lifted on Saturday. Last week, Tammie Bleimeyer claimed to be unaware of his horrific condition because she had not seen him with his shirt off recently. The child's father Bradley Bleimeyer, 24, (left) and stepmother Tammie, 33, (right) have been charged with felony child endangerment after allegedly keeping the little boy locked under the stairs . Police discovered a locked closet with a mattress after being called to a home following a disturbance on Thursday, March 27, between Bradley Bleimeyer and his 16-year-old stepson . She claimed she never mistreated the child and that she and her husband separated last summer. Her ex no longer lives at her home in Spring, Texas, Tammie Bleimeyer said, but took his five-year-old son to live in Alabama. Mrs Bleimeyer filed for divorce last Tuesday from her husband of two years. Tammie Bleimeyer told KHOU last week: 'I was shocked. I have never seen him look like that and I have never seen him with his shirt off recently.' The little boy was found weighing just 29 pounds last month . However she did not necessarily believe that her estranged husband caused the child's condition. The 33-year-old added: 'I don’t know what caused him to look like that. I don’t know if it’s a health issue or something else like that. I don’t want to be like everyone else and assume the worse.' Police discovered a locked closet with a mattress after being called to a home following a disturbance on Thursday, March 27, between Bradley Bleimeyer and his 16-year-old stepson. The teenager raised the alarm and told police he had found his five-year-old stepbrother in a diaper under the stairs. The stepmother denied that the boy was kept under the stairs but had a room and slept in a bunk bed. However she admitted that the child could have fitted under the stairs. She also said that her 16-year-old son was lying because he did not respect his stepfather Bradley, who is only eight years older than him. The child's stepmother Tammie Bleimeyer had reportedly fled the home with the boy before officers arrived, according to click2houston. Bleimeyer, who is six months' pregnant, refused to return to the home when contacted by police. She was tracked to a motel in Humble by her cellphone where she was found with the boy. Last week, Tammie Bleimeyer claimed to be unaware of his horrific condition because she had not seen him with his shirt off recently . Tammie Bleimeyer and her husband Bradley appear in court charged with child endangerment of their five-year-old son . The pregnant 33-year-old told KHOU that she did not flee with the child but had simply gone to get pizza and that her husband was staying at the motel. His frail body was photographed covered in bumps and bruises with a deep cut on his right shoulder. Tammie Bleimeyer was charged with endangering a child and released on $2,000 bond. Bradley Bleimeyer, who was already out on bond for a burglary charge, was also charged with endangering a child. The 24-year-old, who has spent time in jail and has string of prior convictions, is being held without bond. For more information on how to make a donation visit facebook.com/ToysForJordan.","Five-year-old has gained four pounds while recovering at Houston Hospital .
Boy was discovered severely malnourished and covered in bruises .
He has now been showered with gifts following appeal by local community .",eng,CNN,article,DialyNews
81fda131-7a96-405d-b5e1-5765d1aa22d5,"Expressing concern over the current influenza situation in China, domestic exporters on Sunday said that they are cautiously watching the situation as any spread of the disease may again hurt global supply chains and impact world trade. They said that the present situation is not alarming but if the illness spreads to other parts of the globe, it will have an impact on world trade as China is a hub of global manufacturing and exports. The government on November 24 stated that India is prepared for any kind of exigency that may emerge from the current influenza situation in China and it is monitoring the outbreak of  H9N2  and clusters of  respiratory illness  in children in that country. There is a low risk to India from the avian influenza, H9N2, cases reported in China as well as the clusters of respiratory illness, the Union health ministry has said. Some media reports indicated a clustering of cases of respiratory illness in children in northern China for which the  World Health Organization  (WHO) has also issued a statement. Leading leather exporter and Farida Group Chairman Rafeeq Ahmed said: “We are cautiously watching the situation. If the diseases spread, it will have an impact on trade”. Sharing similar views, Federation of Indian Export Organisations ( FIEO ) Director General Ajay Sahai said: “We are definitely concerned and most of the things depend on its spread. The next 5-6 days will be crucial”. He added that China is the major economy of the world and at present the global economic slowdown is already impacting exporters and importers. “If it spreads to more areas, then there will be a problem,"" Sahai said. Mumbai-based exporter Khalid Khan also said that during the Covid pandemic, the global supply chain was disrupted and if the current diseases in China spread again, it can again hit the chain. “We are watching the situation closely. At present there should not be any panic,” Khan said. Ludhiana-based engineering exporter S C Ralhan added that so far there is no problem or threat to the global supply chain and their imports are smooth from the neighbouring country. China is a major trading partner of India. During April-October 2023, imports from China stood at $60 billion against $60.26 billion in the same period in 2022. India's exports to that country during the seven months of this fiscal increased to $8.92 billion as against $8.85 billion during April-October 2022. Government think tank NITI Aayog has initiated a study to develop a comprehensive action plan to bridge India's trade deficit with China over time and align trading strategies with emerging geopolitical situations and potential risks to safeguard supply chains. During 2022-23, India's two-way commerce with China declined by about 1.5 per cent to $113.83 billion as against $115.42 billion in 2021-22. Exports to China dipped by about 28 per cent to $15.32 billion in 2022-23, while imports rose by 4.16 per cent to $98.51 billion in the last fiscal. The trade gap widened to $83.2 billion in the last fiscal as against $72.91 billion in 2021-22. Experience Your Economic Times Newspaper, The Digital Way! Monday, 27 Nov, 2023 Read Complete ePaper  » Digital View Print View Wealth Edition Top Electronic Cos’ Imports Fall in 5 Yrs on Local Play Leading consumer electronic companies such as Apple, Samsung, Dixon Technologies and Havells saw a significant reduction in imports as a percentage of sales in the last fiscal year from the pre-Covid period, according to the latest regulatory data filed by them. PepsiCo India may Name George Kovoor President PepsiCo India is likely to appoint George Kovoor, one of its most senior executives, as president, as the incumbent, Ahmed ElSheikh, is expected to relocate to a global role at the American food and beverage company early next year, said executives with knowledge of the matter. Banks want Boards Kept out of Loan Renewals in ‘Related Party’ Cases  Spotting a brother, the in-laws, or even a stepsister, of a director on a borrower’s board can be maddening for bankers. Still, they can’t disregard the links — lending to companies (where a bank’s director has a ‘connection’) without the clearance or knowledge of the bank’s board is breaking the law. Read More News on respiratory illness Indian exporters H9N2 World Health Organization FIEO (Catch all the  Business News ,  Breaking News  Events and  Latest News  Updates on  The Economic Times .) Download  The Economic Times News App  to get Daily Market Updates & Live Business News. ... more less Prime Exclusives Investment Ideas Stock Report Plus ePaper Wealth Edition SBI, Bajaj Fin, Axis Bank face the heat of unsecured lending norms. What should investors do next? Tax troubles: Swiggy and Zomato grapple with freshly served GST notice on delivery fee Adam Neumann’s WeWork didn’t work. But India’s flexible workspace startups can do well. Here’s why. Unwinnable wars and the huge toll it takes on economic, humanitarian, and military domains Value investing pips momentum for first time in 15 years. Does it mean the end of trend-following? How Subhiksha's IIM-educated promoter was slapped a 20-year sentence for duping elderly investors 1 2 3 View all Stories","Expressing concern over the current influenza situation in China, domestic exporters on Sunday said that they are cautiously watching the situation as any spread of the disease may again hurt global … [+2868 chars]",eng,The Times of India,article,GlobalNews
28ee5a46-1ba1-4670-97f9-0d770f0dcf0b,"Michael Brown struggled with the cop who killed him and tried to grab the officer's gun, a report has claimed. Darren Wilson - the police officer in Ferguson, Missouri, who shot the teenager - has told investigators he feared for his life when he opened fire. He claims he was trying to get out of his police car when Brown pushed him back into the driver's seat and reached for his gun through the open window. Scroll down for video . Aftermath: This is the first picture of Darren Wilson standing over Michael Brown after shooting him dead . Claims: Wilson, pictured again surveying the body, insists he fired from inside the car during a tussle but his account did not explain why the unarmed teenager was then shot at least four times outside the vehicle . The teenager punched and scratched him repeatedly, he claims, leaving him with swelling on his face and cuts on his neck. Eventually, Wilson said, he pulled his gun from the holster on his right hip, fired two shots, and one hit Brown's arm - leaving his blood smeared inside the car and on his uniform. However the account leaked to the New York Times last night stops there, and does not explain why Brown was then shot four times outside the car. A number of witnesses agree that Brown and Wilson were embroiled in a physical fight through the car window, but few had an accurate vantage point to see what was happening. They insist, however, the teenager was trying to flee and holding up his hands. One passer-by, Tiffany Mitchell, is certain Brown was leaning away but Wilson kept pulling him closer. Another, Dorian Johnson, said Wilson grasped Brown's throat and then pulled out his gun threatening to shoot. They then heard shots fired from inside the SUV. There remains no account from witnesses or police of the final four shots fired. According to Wilson's description of the August 9 shooting - revealed for the first time today - Brown made him fear for his life. 'Self defense': Ferguson police officer Darren Wilson says he feared for his life as he shot Michael Brown . Police officers are generally given more scope for lethal force if they reasonably believe that their life is in imminent danger. Investigators are now examining the officer's claim that the teenager physically assaulted him as a grand jury considers whether he is guilty of a number of crimes including: first-degree murder, second-degree murder, voluntary manslaughter or involuntary manslaughter. City officials claim there is still not enough evidence to charge Wilson with violating civil rights. In September, Officer Wilson appeared  before a St Louis County grand jury, which was convened to determine whether there is probable cause that he committed a crime. His willingness to testify surprised many. However, his account of feeling vulnerable will be a significant boost in his favor as the grand jury considers its verdict before the deadline of January 7. Nine of the 12 jury members will have to vote against Wilson in order for charges to be leveled. They are expected to vote by mid-November. St. Louis County Prosecuting Attorney Robert P. McCulloch could have bypassed the grand jury stage and simply taken the case to trial by filing a charge against Wilson. He could also have filed a complaint to a judge who decides if there should be a trial. However, McCulloch chose to take the full investigation of Wilson’s use of deadly force to the grand jury, leaving the 12 members to decide. According to the New York Times, the leaked account of his version of events did not come from the Ferguson Police Department or from officials whose activities are being investigated as part of the civil rights inquiry. People claiming to have witnessed the shooting have given wildly different accounts of what happened. Some have said that some the young man had his arms raised over his head while others claim that Wilson shot him while his back was turned and he was running. The police have maintained that the unarmed teen physically assaulted the officer and tried to get his gun. One witness, whose name has been withheld, from St. Louis, Missouri, told the grand jury that the teenager did not have his hands above his head when Wilson shot at him, but rather 'out to his sides.' Michael Brown, 18, was shot six times by Officer Wilson in the middle of a Ferguson, Missouri, street. His death prompted outrage in the community and resulted in several investigations . He also said Brown 'staggered toward Wilson despite commands to stop' and that 'the two were about 20 to 25 feet apart when the last shots were fired.' Protests in Missouri have continued ever since the shooting amid claims it was unjustified - and an extreme example of police brutality in the town. Civil rights groups say Brown's death is part of a national epidemic in which a disproportionately high number of unarmed black men are fatally shot by white police officers, an allegation police deny. Officials said that the evidence given so far did not support civil rights charges against Officer Wilson. To press charges, the Justice Department would have to prove that he wilfully violated Brown's rights when he shot him.","Officer Darren Wilson claimed he and Brown struggled in his police car .
He told investigators that the teenager pinned him and reached for the gun .
At that point, he claims, the gun was fired twice and hit Brown in the arm .
But Wilson does not explain why he was shot four times outside the car .
It is his first publicly released account of the shooting on August 9 .
Grand jury deliberating whether to bring murder or manslaughter charges .",eng,CNN,article,DialyNews
d999a000-6e5b-4eb3-bcbe-b2d3307bf667,"Reuters Hyundai Motor India Ltd  is on track to achieving 60 per cent of its total domestic sales from SUVs this year with models like Creta and the newly launched Exter accelerating the growth, according to company COO Tarun Garg. With exports accelerating in the last three months, the company is also confident of sustaining its overseas shipments momentum despite concerns over global geopolitical situation.   ""We will end up with more than 60 per cent at the end of the year which is what we said at the beginning of the year...We are now almost reaching there,"" Garg told PTI.   He was responding to a query on how much would SUVs contribute to the company's overall sales considering the traction its models have witnessed in the market.   He further said,""For us the good thing has been that SUV contribution has moved to 63 per cent in October and year-to-date at 59 per cent as against industry SUV percentage of 48 per cent. So that has really helped us to outperform the industry in terms of January to October numbers.""   Hyundai Motor India Ltd (HMIL) clocked total sales of 68,728 units in October 2023 as compared to 58,006 units in the same month a year ago, a growth of 18.48 per cent.   In the January-October period this year, total sales stood at 6,43,535 units as against 5,78,956 units in the year-ago months , a growth of 11.15 per cent.   In the domestic market, sales during the period were at 5,09,910 units as compared to 4,65,678 units in the corresponding period last year, up 9.49 per cent.   At the beginning of 2023, Garg said the contribution of SUVs to the company's total sales was 53 per cent. Explaining reasons behind the growth of HMIL's SUV sales, he said,""The Creta continues to be an outperformer.With the year-till-date growth of 16 per cent it maintains the segment leadership. Also, Exter is doing very well.""   Hyundai Creta competes with the likes of  Kia Seltos ,  Maruti Suzuki 's  Grand Vitara , among others in the Indian passenger vehicle market. On the exports front, Garg said the company is also on track to meeting its target of 1.6 lakh units for the year with the last ""two to three"" months turning out to be good.   ""From July, we have been able to increase our capacity by about 4,000 units a month and that gives us some leeway in terms of managing domestic and exports demand,"" he said, adding the company has been able to fulfill ""backorders"" in this quarter for exports.   Another factor for increase in exports is that the ""Latin American markets have been doing quite well and that has really helped us to put in very healthy export numbers,"" Garg said.   He, however, acknowledged that there are concerns over the global geopolitical developments, specially in Israel and the Middle East.   ""We are keeping our fingers crossed but as of now the order inflow has been reasonably okay,"" Garg said, adding the supply flexibility has helped HMIL export more in the last three months. Experience Your Economic Times Newspaper, The Digital Way! Sunday, 05 Nov, 2023 Read Complete ePaper  » Digital View Print View Wealth Edition Saab Bags India’s First 100% FDI in Defence Project India has cleared the first 100% foreign direct investment (FDI) in the defence sector, with permissions granted to Sweden’s Saab to set up a new facility that will manufacture rockets. Steady Loan Demand, Fall in Provisions Lift SBI Profit 8% State Bank of India (SBI), the country’s largest lender by loans outstanding, met D-Street expectations to report an 8% increase in the second-quarter net profit on steady credit demand and lower provisions as the nation’s most-valued government entity wrote back some accounts where recovery was delayed. The lender expects robust loan growth, underpinned by broad-based economic expansion. Byju’s Posts ₹3,569 cr Core Business Revenue, Ebitda Loss of ₹2,253 cr Troubled edtech major Byju’s on Saturday reported its delayed audited financial accounting for the year ended March 2022 — in parts — showing a 2.3 times growth in revenue to ₹3,569 crore in its standalone business. Ebitda loss of the core business — financials for which were reported — was down to ₹2,253 crore in FY22, from ₹2,406 crore in the previous year, according to a company statement.  Read More News on Hyundai India news hyundai grand vitara maruti suzuki hyundai motor india ltd kia seltos vitara maruti (Catch all the  Business News ,  Breaking News  Events and  Latest News  Updates on  The Economic Times .) Download  The Economic Times News App  to get Daily Market Updates & Live Business News. ... more less Recommended Stories Mahindra is offering massive discounts of up to Rs 3.5 lakh on SUVs: Here are details India's power consumption grows 9.4 pc to 984.39 billion units in April-October Macrotech Developers adds 7 land parcels in H1 to build Rs 14,300 cr worth housing projects DRI conducts search operation at Havells India corporate office Jeep India expects to increase dealership network to 80 by 2023-end REITs, InvITs collect Rs 18,658 cr in Apr-Sep on robust infra demand, attractive returns Maruti looking to enhance flexibility in production to roll out vehicles as per market demand Revenue growth to come back in H2, would continue portfolio diversification: Marico MD & CEO Tyre demand to remain robust amid positive economic environment: JK Tyre CMD Making home abroad: Hybrid work for corporate honchos means moving to London, Dubai & Singapore 1 2 3 4 5 6 7 8 9 10","Hyundai Motor India Ltd is on track to achieving 60 per cent of its total domestic sales from SUVs this year with models like Creta and the newly launched Exter accelerating the growth, according to … [+2722 chars]",eng,The Times of India,article,GlobalNews
a82d1d26-96e7-49a3-b373-a83d103045bc,"(CNN) -- There are only two multiple winners on the PGA Tour this season -- one of them is in top form ahead of the U.S. Open, and the other is Tiger Woods. Matt Kuchar moved up to second place in the FedEx Cup standings with victory at Jack Nicklaus' Memorial Tournament on Sunday, having finished runner-up last weekend at the Crowne Plaza Invitational. It is the first time the American has won more than once in one season, having also claimed the World Golf Championships Match Play title in February. His four-under-par 68 in the final round was crowned by a 21-foot birdie at the last hole which left him two shots clear of fast-finishing Kevin Chappell, who is still waiting for his breakthrough win. The biggest names in the field -- world No. 1 Woods and second-ranked Rory McIlroy -- were respectively nine and 13 shots off the pace after both carded par 72. For defending champion Woods, Sunday's effort was a relative relief after Saturday's nightmare 79 -- his equal second-worst score as a professional -- but he triple-bogeyed the par-three 12th hole that he had doubled in the third round. He also had a triple on Saturday. The American has won this event five times, but is struggling to regain the form that has already brought him four victories this season ahead of the second scheduled major at Merion in Pennsylvania starting June 13. ""You want everything clicking on all cylinders, especially at the U.S. Open, because everything is tested in the U.S. Open,"" he said. Woods is still four short of Nicklaus' record 18 major titles, and has not won one since the 2008 U.S. Open. He was eight over the card at Muirfield Village. ""It wasn't that bad today,"" Woods said. ""It was just one hole that cost me obviously a few shots. It happens, it happens to us all."" McIlroy is also struggling for form ahead of the tournament that provided his first major win in 2011. ""I hit the ball much better today. I actually putted a little better, too. A little bit of work next week -- yeah, it's not that far away,"" the Northern Irishman said after finishing in a tie for 57th. ""It's just a little bit of an adjustment and something I can work on and something it was good to figure out this week, so I can work on it next week."" Kuchar, who has yet to win a major, was delighted after taking home the $1.16 million first prize in front of his wife and two children. ""It's such an amazing feeling, this stuff never gets old,"" the 34-year-old Ryder Cup player said after his sixth PGA Tour victory. ""To win this and have Jack Nicklaus congratulate me is a real treat.""","Matt Kuchar wins Memorial Tournament by two shots from compatriot Kevin Chappell .
Defending champion Tiger Woods ties for 65th after carding a level-par round of 72 .
Five-time winner Woods suffers a triple-bogey for the second successive day .
World No. 2 Rory McIlroy finishes tied for 57th after also finishing with a 72 .",eng,CNN,article,DialyNews
