uuid,content,summary,language,organization,content_type,dataset
503a5b15-dba9-4302-95dd-ef5e44e37113,"By . Daily Mail Reporter . PUBLISHED: . 10:23 EST, 26 August 2013 . | . UPDATED: . 11:04 EST, 26 August 2013 . A 21-year-old woman who was shot twice in the head and once in the abdomen by her ex-boyfriend has revealed her inspiring recovery as she learns to walk and talk again. Alyssa Dudley, from St Petersburg, Florida, was left for dead by Carlos Crompton, 39, after he shot her in her apartment on July 16 - but she fought for her life. She remains in Bayfront Medical Center, where she undergoes daily physical therapy and has now walked her first steps for the first time since the shooting. 'She makes progress every day,' her mother Diana told the Tampa Bay Times. 'Every single day.' Fighter: Alyssa Dudley, 21, gives her father, Eddie Dudley, a tired thumbs up as she takes a break before another therapy session in hospital - six weeks after she was shot in the head by an ex-boyfriend . The progress continues weeks after her Crompton forced his way into her apartment just days after she broke off their three-year relationship. The couple had met through friends and although Crompton, who had been arrested years prior on drugs charges, was considerably older than Alyssa, her family accepted him. 'We knew she was mature, independent . and very responsible,' her mother said. 'We knew she was sick of the . games guys her age would play. We wanted to give her space.' But he was unable to find steady work and Alyssa supported both of them with her job at an assisted living home. She broke up with him in July, took back her apartment keys and changed her number. Determined: Alyssa, who wears a helmet to protect her head during physical therapy sessions, has now started to walk again and can say some words. Her mother said she makes progress daily . She was at her apartment with a friend and the friend's teenage daughter when he entered the apartment and shot her three times. He then drove to his family's house where he shot at responding police officers and they returned fire, killing him. Surgeons at Bayfront Health worked throughout the night to remove the bullet and shattered bone from Alyssa's brain. Three days later, she woke up - and could only open and blink her eyes. But slowly, she began to recognize her family and move the left side of her body. But when doctors removed a tube from her throat, she was unable to speak. 'Until one morning,' he mother Diana . Dudley told the Tampa Bay Times. 'I asked her how she was doing. I . almost cried when she said, ""Good. Good"".' Before the shooting: Alyssa worked at an assisted living home and lived in her own St Petersburg apartment . Shooter: She is pictured left with ex-boyfriend Carlos Crompton, 39, who shot her twice in the head and once in the abdomen. Crompton, also pictured right, was shot dead by police when he opened fire on them . She can now speak short words and sentences, but has not asked about her ex-boyfriend. Two weeks ago, she began working with speech pathologists and physical theapists and can now move the right side of her body. Before the shooting, she had moved into her own apartment, bought her own car, worked at an assisted living home and enjoyed making personalized t-shirts for her friends. But doctors remain uncertain about how much independence she can hope for in the future. Dr. Steven Scott, a trauma expert at the . James A. Haley VA Medical Center in Tampa, told the Tampa Bay Times that every brain injury is different. 'Victims . of brain trauma do much better when they're surrounded by the love of . family,' he said. 'I believe compassion and caring will do more than . what we can do with medicine.' The family is uncertain how they'll cover . the growing costs of the care; they have learned that Medicaid only . covers 45 days of in-patient hospital bills. Family: Her mother Diana spends much of the day with Alyssa, but is concerned about mounting bills . 'Why do we have to deal with this?' Diana asked. 'Why are we faced with this problem?' She referred to care received by Rep. Gabrielle Giffords, who was shot in the head in January 2011. 'I can guarantee you the services were falling at her feet,' Diana said. 'I can gurantee you she had everything she needed to help her get better. What makes my daughter less important than her?' She added that, despite having a weekly income of just $350: 'We're going to find a way. We have to be here. We want to give her a chance to live the best life possible.' The family has set up a personal bank account for donations: Diana Dudley for the benefit of Alyssa Dudley, Florida Traditions Bank, 4301 Barclay Ave., Spring Hill, FL 34609, (352) 683-9708.","Alyssa Dudley was shot twice in the head and once in the abdomen on July 16 by ex-boyfriend Carlos Crompton, 39, days after breaking up with him .
He was later shot dead by police while she fought for her life .
She can now speak short words and sentences and is learning to walk again - although doctors are unsure about her future .",eng,CNN,article,DialyNews
0561173c-af14-48b2-b96e-833b5c83f7f4,"(CNN) -- Stakes have been raised in the museum world with the reopening after 10 years of Amsterdam's Rijksmuseum. Enough old masters were dusted down and rehung during the renovation to get a room of Russian oligarchs panting. The chance to see Rembrandt's huge and glorious ""The Night Watch"" painting once more -- it has a whole room to itself in the refurbished gallery -- is reason enough to plan some serious museum crawling on your next European trip. But do you always want to follow the crowd to the obvious treasures? Your Mona Lisas, your Van Goghs? Sometimes those artistic icons are obligatory sights but experts reveal that -- from a two-million-year-old stone tool to a life-size Roman equestrian statue made entirely of bronze -- some of the most remarkable museum and gallery highlights take a little digging. What: The Olduvai stone chopping tool. Where: The British Museum, London (Great Russell Street, +44 (0)20 7323 8299). Jeremy Hill, research manager at the British Museum, says one piece he always takes people to is a two-million-year-old stone tool from the Olduvai Gorge in Tanzania. ""The lump of grey rock does not look much but it is one of the oldest humanly made objects in the world and the oldest thing in the British Museum's collection,"" he says. ""It's the starting point for who we all are today."" What: Rembrandt's ""The Night Watch."" Where: The Rijksmuseum, Amsterdam (Museumstraat 1; +31 20 6621 440). When the Rijksmuseum reopened this year after a decade-long refurbishment there was no question about the key exhibit. Wim Pijbes, the museum's director, told CNN that Rembrandt's ""The Night Watch"" ""is the altarpiece of the Rijksmuseum. The whole place is arranged around this beautiful masterpiece."" The 1642 painting of Amsterdam's local militias is the only artwork in the museum with a trapdoor underneath, allowing it to be removed to safety in the event of fire or other danger. What: The Marcus Aurelius statue. Where: The Capitoline Museum, Rome (Piazza del Campidoglio 1, +39 060 608). Rome's greatest treasures tend to be outdoors -- it's a giant open-air museum. But Agnes Crawford, art historian and owner of Understanding Rome tours, reckons the equestrian statue of Marcus Aurelius alone is worth the entrance fee to the Capitoline Museum. ""The giant, totally intact bronze is the most Roman of statues,"" she says. ""It's from the high period of empire so it's of the finest quality, and it's a heroic survivor of medieval 'recycling.'"" What: Filippo Lippi's Madonna and Child and the Two Angels. Where: The Uffizi Gallery, Florence (Piazzale degli Uffizi 6; +39 55 238 8651). The sheer size and grace of Michelangelo's ""David"" in the Galleria dell'Accademia makes it the most famous single piece in Florence. But Pier Carlo Testa, director of the Italian cultural walking tours company Artviva highlights Filippo Lippi's ""Madonna and Child and the Two Angels."" ""It's all in the way the artist has managed to depict the Madonna as modeled by his wife -- with every tenderly detailed feature, ever strand of hair, you can see he is in love with her,"" Testa says. What: The Pergamon Altar. Where: The Pergamon Museum, Berlin (Bodestrasse 3; +49 30 2 6642 4242). Few pieces are great enough to have an entire museum named after them. The Pergamon Museum in Berlin isn't exactly short of massive ancient monuments either -- but the Pergamon Altar trumps the rest. Transported from modern day Turkey, this monumental stone altar dating back to the 2nd century BC cows visitors with its size, then draws them in with astonishingly detailed friezes depicting the battles between gods and giants. What: Théodore Géricault's ""The Raft of the Medusa."" Where: The Louvre, Paris (4 Place du Louvre; +33 01 40 20 53 17). Courtney Obee Delaunay, art historian and docent for Context Travel, goes beyond the ""Mona Lisa"" to pick Géricault's monumental marriage of high art and journalistic sensationalism. ""The dramatic scene vividly depicts the makeshift raft holding the emaciated and even corpse-like survivors of French shipwreck The Medusa, abandoned by its politically appointed captain,"" she says. ""Géricault represents the figures in a very realistic, yet also heroically classical way. It creates the perfect bridge between earlier masterworks found in the Louvre and the early modern works on display at the Musée d'Orsay."" What: ""The Saliera."" Where: Kunsthistorisches Museum, Vienna (Burgring 5; +43 1 525 240). The Kunsthistorisches Museum is home to masterpieces by the likes of Vermeer, Rembrandt, Raphael and Caravaggio but Sabine Haag, the museum's director-general, points to Benvenuto's ""Saliera"" as the must-see. ""A unique work of goldsmith art, the complex pictorial program culminates in an allegory of the cosmos with the god of the sea and the goddess of the Earth, animals, the four winds and the four times of the day,"" says Haag of the piece returned to the museum this year after another decade-long renovation. ""'The Saliera' is a truly virtuoso piece -- we know from Cellini's autobiography that he hammered the figures from gold foil with every refinement he could imagine."" What: Picasso's ""Guernica."" Where: Museo Nacional Centro de Arte Reina Sofía, Madrid (Calle de Santa Isabel, 52; +34 917 74 10 00). Four of the 15 most expensive paintings ever sold are by Picasso, yet the work widely regarded as his greatest masterpiece would almost certainly smash all records if put up for auction. Guernica's size -- 3.5 meters by 7.8 meters -- makes it unusual, but it's the political commentary about Nazi bombing during the Spanish Civil War and the layers of symbolism piled within that make it arguably the most famous artwork of the 20th century. What: The Parthenon sculptures. Where: The Acropolis Museum, Athens (15 Dionysiou Areopagitou Street, +30 21 0900 0900) There's no greater symbol of Ancient Greek classicism than the Parthenon, and most of the treasures from Athens's hilltop temple are inside the Acropolis Museum. Dr Tom Flynn, author of ""The Universal Museum,"" says the Parthenon sculptures are the pinnacle of Greek high classical sculpture. ""Their location in the Parthenon Gallery of the New Acropolis Museums allows us to appreciate them in the context of the Parthenon itself. You can faithfully recreate their original disposition on the temple, which is visible from the gallery,"" he says. What: Mantegna's ""Dead Christ."" Where: Pinacoteca di Brera, Milan (Via Brera 28; 00 39 02 722 631). ""Leonardo da Vinci's 'Last Supper' is Milan's outstanding artwork, but it's on a convent wall, not in a museum,"" says Donald Strachan, co-author of Frommer's Italy. His favored alternative is Mantegna's ""Dead Christ,"" which was regarded as genuinely shocking when painted in the 1480s. ""It is brutal in its simplicity, unsentimental in its treatment of Jesus's pallid corpse on a slab and a masterclass in realistic foreshortening, which was a relatively recent innovation in art,"" Strachan says.","Competition in museum world heats up with reopening of Dutch treasure house .
Greatest treasures not always where crowds are .
British Museum cites its oldest object -- a chopping tool .
In Florence, a Madonna portrait modeled on artist's beloved wife is alternative must-see .",eng,CNN,article,DialyNews
afe2d160-5dbc-40d9-acbf-25fb0abb0317,"TheBengaluru policehave booked a police inspector and his associate for allegedly taking away Rs 72 lakh seized from a businessman. The accused have been identified as G K Shankar Naik, who has been suspended, and Lokanath Singh. Bharath S Reddy, the assistant commissioner of police (ACP) of the Byatarayanapura sub-division, filed a complaint against the officer. According to police sources, in September 2022, when Naik was an inspector at Byatarayanapura police station, Harish, a businessman, approached, stating that his driver, Santosh, had stolen Rs 75 lakh of cash from him, all currency notes of Rs 500 denominations. Naik allegedly sent Lokanath Singh to Harish demanding Rs 20 lakh to recover the money. “Though the incident took place outside Byatarayanapura police limits, Naik recovered Rs 72 lakh from Santosh. However, Naik did not deposit the money in the treasury or hand it over to his successor even when he was transferred in January this year. After several notices, on February 26, Naik brought the money in a bag and handed it over to the Byatarayanapura police station. But this time, the bag contained Rs 75 lakh with Rs 100, Rs 200, Rs 500 and Rs 2,000 denominations. Also, two bundles had a State Bank of India (SBI) seal dated January 9. This proved that Naik had used the seized currency for his personal use. Later, the court ordered that the seized money be handed over to the Income Tax Department and a team of I-T officials approached the Byatarayanapura police on April 19 to take the money. A case was registered under sections 201 (causing the disappearance of evidence and giving false information), 409 (criminal breach of trust by a public servant), 465 (forgery) and 110 (abetment if person abetted does act with different intention from that of abettor) of the Indian Penal Code (IPC) and Section 7 (Public servant taking gratification other than legal remuneration in respect of an official act) of the Prevention of Corruption Act. Naik has been absconding for two months after he came under the radar of the ACP investigation. His role surfaced during a Lokayukta raid when his counterpart at the Bidadi police station was booked for corruption.","The Bengaluru police have booked a police inspector and his associate for allegedly taking away Rs 72 lakh seized from a businessman. The accused have been identified as G K Shankar Naik, who has bee… [+2001 chars]",eng,The Indian Express,article,GlobalNews
c9bac0f1-3b3e-408e-9c38-9c0157633aec,"By . Sam Creighton . and Hayley Coyle . Kirstie Allsopp, pictured here with her children, has suggested girls should ditch university and focus on becoming a mother . When it comes to domestic matters, she has always been outspoken. But Kirstie Allsopp’s latest advice to girls to forget university and concentrate on having babies first has attracted howls of outrage. She said that rather than go to university, young women should focus on finding a man and having a family before their fertility ‘falls off a cliff’ at 35. The 42-year-old television presenter – who gave birth to her two sons at 35 and 37 – said if she had a daughter she would give her this advice: ‘I would say, “Darling, do you know what? Don’t go to university. Start work straight after school, stay at home, save up your deposit – I’ll help you, let’s get you into a flat. And then we can find you a nice boyfriend and you can have a baby by the time you’re 27.”’ The Location, Location, Location star, who has been in a relationship with property developer Ben Andersen for ten years, said it is time to speak ‘frankly’ about fertility. ‘At the moment, women have 15 years to go to university, get their career on track, try and buy a home and have a baby. ‘That is a hell of a lot to ask someone. As a passionate feminist, I feel we have not been honest enough with women about this issue. We have to readjust. Don’t go to university because it’s an “experience”. No, it’s where you’re supposed to learn something! Do it when you’re 50!’ However, her comments in a newspaper interview yesterday attracted fierce criticism. Jo Heywood, headmistress of the prestigious girls-only Heathfield School, said: ‘Her talk of boyfriends and babies is rather patronising for the generation I am preparing for university and beyond.’ Conservative MP Angela Bray described Miss Allsopp as a ‘bit 1950s’. And psychologist Dr Linda Papadopoulos said: ‘It seems quite an antiquated idea that because we have ovaries, we shouldn’t have a career. I think this is telling girls to not do what is the most important thing at that age, which is to invest in your education, become self-sufficient. ‘It’s certainly not advice I would give my daughter.’ Miss Allsopp – who did not go to university – divided opinion among her 348,000 followers on Twitter. Some called her ‘stuck in the past’ but others agreed with her. However, she stood by her comments, tweeting yesterday: ‘Still pleased I raised the issue of the fertility window. It is scary being out on a limb and some folk being vile but majority sensible.’","Presenter, 42, urged women to ensure they have children at a young age .
She said in a newspaper interview it was time to 'speak frankly' about fertility .
But her comments divided opinion among her 348,000 Twitter followers .
Tory MP Angela Bray said Allsopp was a 'bit 1950s' - but others agreed .",eng,CNN,article,DialyNews
902de0f6-4e11-4b5e-972a-200f3be3479c,"A 21-year-old woman has saved her mother’s life by giving her a kidney. Milissa Hutchinson, known as Millie, from Walsall, went under the knife on Valentine's Day to donate a kidney to her mother, Mandy. Mrs Hutchinson, 49, had been suffering from kidney failure for more than a year after her body's immune system began attacking her kidneys. Milissa Hutchinson, 21, has donated a kidney to save her mother Mandy's life. The operation took place on February 14 this year at University Hospital Coventry . Mrs Hutchinson (left) with Milissa (right) and sister Natalie (centre). The 49-year-old had been suffering from kidney failure for more than a year after her body's immune system began attacking her kidneys . Her daughter immediately volunteered to help after helplessly watching her become dependent upon dialysis. She said she wanted to repay her mother for giving her the gift of life. Ms Hutchinson said: ‘I nominated myself straight away - I hated seeing my mum so ill. ‘It was scary but all worthwhile when I woke up and realised I had saved someone’s life. Knowing it's my mum makes it feel even better. ‘Being wheeled down the theatre when there is technically nothing wrong with you was the strangest situation to be in, as normally you're going in to improve your own health.’ After just one week in University Hospital Coventry, Ms Hutchinson is now back at home and recovering. Mrs Hutchinson needed a kidney transplant because she became dependent on dialysis after developing kidney failure. The pair are pictured in hospital before having the surgery . Ms Hutchinson (centre) says she wanted to give her mother (left) a kidney to repay her for giving her the gift of life. The pair are pictured with Ms Hutchinson's sister, Natalie (right) Ms Hutchinson (pictured after the surgery) spent just one week in hospital before being allowed home . She said: ‘I'm recovering really well and my mum came home yesterday too. ‘My mum being ill has changed my life forever, I used to be a typical 21-year-old and went out all the time with friends but now I'd rather spend time with my mum.’ Ten months ago the family were told that a live donor was possible and that Ms Hutchinson was a match, but it took until this month for the operation to go ahead because doctors needed to check the pair were both healthy enough for the operation. Ms Hutchinson said: ‘When we were told it was possible for my mum to have a live donor, I didn't give it a second thought to give my kidney away. I don't need two of them anyway.’ Mrs Hutchinson (pictured after the operation) has a rare condition which occurs after pregnancy when some of the baby's cells remain in the mother's body and her body attacks them . Ms Hutchinson said: 'It was scary but all worthwhile when I woke up and realised I had saved someone's life. Knowing it's my mum makes it feel even better' Ms Hutchinson said: 'When we were told it was possible for my mum to have a live donor, I didn't give it a second thought to give my kidney away.' Image shows Mrs Hutchinson after her operation . Mrs Hutchinson, who works in Asda, suffers from a rare immune condition which is thought to occur after pregnancy. It develops when some cells from the baby remain inside the mother and her body starts to attack them. Ms Hutchinson, who is her mother's carer, has seen first-hand how kidney failure can affect someone's life and is now keen to raise awareness of live donations. She has set up a Facebook page - Our Transplant Journey Millie & Mandy - which has received nearly 3,000 likes. Ms Hutchinson (pictured with her mother) says she used to want to go out with her friends every night but that her mother's illness means she now prefers staying at home with her . Mrs Hutchinson has now also left hospital so mother and daughter are recovering at home together . Her father, Roy, said: ‘I'm just so proud of Millie, it's amazing what she's been able to do for her mum.’ Ms Hutchinson said: ‘It was a scary journey to go through but it was all worth it when I saw how much better she already looks. ‘When we first saw each other after the operation we both cried, it's such an emotional thing to go through but I'd do it all over again for my mum.’","Milissa Hutchinson gave a kidney to her mother, Mandy, on February 14 .
Mrs Hutchinson, 49, was dependent on dialysis due to kidney failure .
She has immune system disorder which means her body attacks her organs .",eng,CNN,article,DialyNews
d68b51dd-dd01-43d1-bb18-add76d5329ad,"We spend around a third of our lives asleep. Not only is the weekend lie in the stuff of your weekday dreams, but sleep, along with food, water and oxygen, is essential for human survival. And the amount of shut eye a person gets each night, provides a vital indicator of their overall health. But it seems some of us aren't getting enough time between the sheets. A new study, by experts at the National Sleep Foundation (NSF) in the US, has recommended children aged four months to 17 years old need more sleep than was previously advised. Scroll down for video . A new study by experts at the National Sleep Foundation in the US has recommended how much sleep a person needs at each stage in life, ranging from 14 to 17 hours as a newborn to seven to eight hours as an older adult, aged over 65, pictured . Past studies have found a lack of sleep can increase a person's risk of obesity, heart disease and diabetes, shortening life expectancy. In order to determine exactly how much sleep a person needs at each stage of their life, a team of 18 specialists from sleep, anatomy and physiology, as well as paediatrics, neurology, gerontology and gynaecology convened to form an expert panel. The scientists at the NSF in the US worked for two years to produce the most up-to-date guidance. And their findings revealed children  from the age of four months to 17 years old need more sleep than was previously thought. The report states: 'Importantly, the panel emphasised that some individuals might sleep longer or shorter than the recommended times with no adverse effects. 'However, individuals with sleep durations far outside the normal range may be engaging in volitional sleep restriction or have serious health problems. 'An individual who intentionally restricts sleep over a prolonged period may be comprising his or her health and well-being.' The panel recommend: . The NSF's report found children aged four months to 17 years old need more sleep than was previously recommended. Past studies have found a lack of sleep can increase a person's risk of obesity, heart disease and diabetes, shortening life expectancy . Charles Czeisler, chair of the board of the NSF and chief of sleep medicine at Brigham and Women's Hospital, said: 'This is the first time that any professional organisation has developed age-specific recommended sleep durations based on a rigorous, systematic review of the world scientific literature relating sleep duration to health, performance and safety. The expert panel said following simple yet effective advice it is possible to improve sleeping habits. They include: . * Sticking to a regular sleep schedule - even at the weekend . * Practising a relaxing bedtime ritual . * Exercising daily . * Switching off all technology some time before going to bed . 'The NSF is providing these scientifically grounded guidelines on the amount of sleep we need each night to improve the sleep health of the millions of individuals and parents who rely on us for this information. 'As the voice for sleep health it is the NSF's responsibility to make sure that our recommendations are supported by the most rigourous science. 'Individuals, particularly parents, rely on us for this information.' Max Hirshkowitz, chair of the NSF Scientific Advisory Council, added: 'The public can be confident that these recommendations represent the best guidance for sleep duration and health.' David Cloud, chief executive of the NSF, added: 'The NSF sleep duration recommendations will help individuals make sleep schedules that are within a healthy range. 'They also serve as a useful starting point for individuals to discuss their sleep with their health care providers.' The study was published in Sleep Health: The Official Journal of the National Sleep Foundation.","National Sleep Foundation has revised its recommendations for all ages .
Children from four months to 17 years old need more sleep than was previously thought, the new report states .
Lack of sleep has been found to increase a person's risk of obesity, heart disease and diabetes, shortening life expectancy .
Newborns (0-3 months): Sleep range narrowed to 14 to 17 hours a day - previously it was 12 to 18 .
Infants (4-11 months): Sleep range widened two hours to 12 to 15 hours - previously it was 14 to 15 .
Toddlers (1-2 years): Sleep range widened by one hour to 11 to 14 hours - previously it was 12 to 14 .
Preschoolers (3-5): Sleep range widened by one hour to 10 to 13 hours - previously it was 11 to 13 .
School-age children (6-13): Sleep range widened by one hour to 9 to 11 hours - previously it was 10 to 11 .
Teenagers (14-17): Sleep range widened by one hour to 8 to 10 hours - previously it was 8.5 to 9.5 .
Younger adults (18-25): Sleep range is 7 to 9 hours - new age category .
Adults (26-64): Sleep range did not change and remains 7 to 9 hours .
Older adults (65+): Sleep range is 7 to 8 hours - new age category .",eng,CNN,article,DialyNews
8d889205-7200-4da9-9f12-4375e932b50f,"Actress Lee Si Young recently shared a photo on her Instagram that shows her facing difficulties while hiking in the Himalayas mountains. The Himalayas, a vast mountain range spanning India, Nepal, China, and Bhutan, is home to Mount Everest, the world's highest peak. In the posted photo, Lee Si Young can be seen receiving medical attention after experiencing altitude sicknessduring her hike.In her caption, she opens up about the challenges of her journey, mentioning that the Himalayas are not as picturesque and easy as they may appear in photos. She acknowledges that these difficulties add meaning to the journey, teaching important life lessons. She wrote under her post, “It’s been a continuous wave of hardship. The Himalayas aren’t as beautiful and happy as they look in pictures. Of course, it is these hardships that make the journey’s end that much more rewarding. We are currently enduring and learning about life. Although three people from our team couldn’t continue due to oxygen levels dropping below 50, which made it impossible to breathe without an oxygen tank, you guys were in our hearts”.Fortunately, Lee Si Young appears to have recovered, as she later shared new photos from her journey, expressing happiness despite the challenges she faced. Lee Si Young is a well-known actress recognised for her roles in various projects like ‘Sweet Home’, ‘Risky Romance’, and ‘Liver Or Die’. She is also renowned for her dedication to maintaining good health and physical fitness. ","Baby names of Kourtney, Kim and Khloe Kardashian's kids",eng,The Times of India,article,GlobalNews
86684b77-eaff-473d-98f5-e95a9021c486,"Accused: San Francisco sheriff's deputy Michael Lewlling was charged with beating a hospital patient in an emergency room . A San Francisco sheriff's deputy allegedly choked and beat a hospital patient who walked with a cane - then lied on the police report to cover his tracks. Michael Lewelling, 33, was accused of approaching a sleeping man as he started to wake up, knocking away his walking cane, grabbing his neck, then arresting him. He then filed a police report claiming that the man started the fight by attacking him with the cane, according to authorities, who say surveillance video proves he was lying. Lewelling, who has reportedly been with the San Francisco Sheriff's Department for five years, was arrested Friday and charged with perjury, filing a false police report and battery. Prosecutors said footage from the November 3 attack shows the victim can be seen hunched over in a chair sleeping in the Emergency Room's waiting area, where he was scheduled to see a doctor later that day. The video shows Lewelling approaching the victim as he is starting to wake up.  When the man attempts to walk away, the deputy grabs the back of his collar, pulls him back into the seat and knocks his cane away. 'A few seconds later, he appears to grab the victim's throat and begins to choke him.  The battery continued, and the victim was then placed under arrest,' prosecutors said. 'The victim never raised his cane in a threatening manner,' they added. The case against the victim was presented by the Sheriff's Department to the San Francisco District Attorney's Office on November 4. Victim: Lewelling was filmed by surveillance cameras attacking the patient at San Francisco General Hospital, according to authorities . That same day the San Francisco District Attorney's Office declined to charge the case and submitted a request for video evidence of the incident, prosecutors said. After the charges were filed, Lewelling turned himself in and was given a bail of $138,000, according to ABC7 News. 'The fact that a Sheriff's Deputy allegedly battered a patient at San Francisco General Hospital is unnerving,' said District Attorney George Gascón. 'What's worse is that he's also alleged to have perjured himself on a police report, unforgivable conduct that led to the arrest of the innocent victim.' Sorry we are not currently accepting comments on this article.","Michael Lewelling allegedly attacked man in San Francisco General Hospital .
Deputy, 33, accused of knocking away man's walking cane then choking him .
Prosecutors say he then arrested the man and filed a lying police report .
DA charged Lewelling with assault and perjury after seeing video of attack .",eng,CNN,article,DialyNews
abaf3ecf-9324-46ba-9733-337d89a7d85c,"(CNN) -- Flamboyant and fearless, Roberto Cavalli is the peacock of the fashion world; with his body-hugging clothes, he woos women the world over. Fashion designer Roberto Cavalli . But his clients are no dainty damsels: Cavalli's women are Amazonian warriors and Grecian goddesses, whose armor is fashion and whose weapon is sex. His colorful creations are unabashed celebrations of the female form: dresses slashed to the hip or barely skimming the buttocks, necklines that plunge where no other designer dares. Cavalli's woman knows she looks fabulous, and isn't afraid to show it: to her, it's not just clothing, it's an announcement that she's arrived. Born in Florence in 1940, Cavalli was immersed in an intensely creative environment from childhood. That influence came from his father, a tailor, and his artist grandfather, Giuseppe Rossi, whose work is shown in the famous Uffizi Galleries. Following in his father's footsteps, Cavalli studied textile design at the local art institute. By the early 70s, he had developed an innovative technique for printing on lightweight leather, and his Florentine flair had led to commissions with Hermes and Pierre Cardin. In 1970, he presented his first namesake collection at the Salon for Prêt-à-Porter in Paris. His trademark work with unconventional fabrics like embellished denim and leather, mixed with wild animal prints and exotic patterns, was embraced by the jet set and Cavalli opened his first boutique in Saint Tropez in 1972. Cavalli married his wife, Eva Duringer, a former Miss Universe, in 1980; she is now his business partner and right-hand woman. His fondness for bright color, exotics, fur and bold prints -- which he designs in his factory on the outskirts of Florence -- have won him a name as the king of fashion excess. Beloved by A-listers and pop princesses, these are not clothes for the shy: this is old-school glamour, infused with power, wielded by women who have flounced and shimmied their way to the top.  See Cavalli's designs on the catwalk » . His main line is sold in over 50 countries worldwide, along with his diffusion lines RC Menswear and Just Cavalli, plus a children's line, knitwear, accessories, eyewear, watches, perfumes, underwear and beachwear. He's even ventured into Cavalli-branded vodka and wine. His collaboration with high-street fashion store H&M in November 2007 caused stampedes as his fans flocked to get their hands on his creations, desperate to capture some of that Cavalli magic at tiny prices. Some have asked whether his latest collections have taken a more gentle direction -- but the tiger's inner fire still burns bright. Spring/Summer 2008's bold flower prints and flirty feathered dresses were followed by Autumn/Winter 2008's flowered dresses that at first glance appear dewy and fresh -- but look closer, and the hip-hugging cut belies their innocence. Cavalli is adored by his celebrity clientele, who flaunt his show-stopping creations on red carpets from Los Angeles to Sydney. Fans of his work include Halle Berry, Sharon Stone, Madonna, Jennifer Lopez, Gwyneth Paltrow, Beyoncè Knowles, Charlize Theron and Victoria Beckham. If anyone sums up the glamour and glitz of show business, it's Cavalli: fashion as theatre, shameless decadence where the whole world is a stage. That's underlined by his eponymous 133'9"" long yacht, built 2004, and color-coordinated, naturally, with his helicopter and fleet of cars.","Florence-born fashion designer Roberto Cavalli is known for his bright, sexy clothes .
He is the grandson of Impressionist painter Giuseppe Rossi and the son of a tailor .
His clothes are adored by celebrities like Gwyneth Paltrow and Victoria Beckham .
Cavalli's extravagant lifestyle includes color-coordinated yacht, cars and helicopter .",eng,CNN,article,DialyNews
76ef32ec-1a5d-471a-915b-fe8887576c4c,"(CNN) -- Ghana captain Stephen Appiah says the west African side will be ready for ""war"" when they face Australia at the World Cup in Rustenburg on Saturday. Germany's shock defeat by Serbia on Friday means that another win for the Black Stars in group D would put them firmly on course for a place in the last 16, following their 1-0 win over Serbia in their opening match. Australia were beaten 4-0 by Germany in their first game but Appiah and teammate John Mensah said they would not be taking the Socceroos lightly. ""Every country has their own style of play and the Australians are physically and mentally strong,"" Appiah told CNN. ""It's going to be a war, it's not going to be a football game. It's going to be really tough, but we're ready -- it's no problem."" Defender Mensah said Australia were a better team than their heavy defeat by Germany suggested. ""Just because they lost to Germany, that doesn't mean they're not good,"" Mensah told CNN. ""We don't underrate this Australian team. We will have to fight hard to get the three points."" Appiah said Ghana had benefited from the support of the South African fans and said there was ""unity"" between all the African sides at the first World Cup to be held on the continent. ""We are all excited to be in Africa to participate in this World Cup and we all hope to support African teams who are still playing,"" said Mensah. Ghana are without their best player and regular captain Michael Essien but Appiah said the Chelsea star was in touch with the squad every day. And he said the team could still do well, citing Ghana's run -- without Essien -- to the final of the Africa Cup of Nations in Angola. ""He is one of our key players.... But it doesn't mean that if one guy is not there the team is finished,"" Appiah said. Appiah admitted that the official Jabulani tournament ball was proving difficult to get used to but he said it would be good for players, with goalkeepers being caught out by its unpredictable movement. ""This football is a little bit strange and it's difficult when you get a long pass ... it's kind of swerving, so you don't know where the ball is going,"" he said. ""A lot of goalkeepers are complaining about this ball."" Despite beating Serbia, Appiah said the Ghanaians would not be getting carried away. ""Let's enjoy this moment and we will see what happens in the future,"" he said. ""We proved to the world that we know how to play football.""","Ghana captain Appiah says team expecting tough match against Australia .
Ghana beat Serbia 1-0 in first game as they seek to win place in last 16 .
Appiah says there is ""unity"" between African sides at first African World Cup .
Appiah: ""Let's enjoy this moment and we will see what happens""",eng,CNN,article,DialyNews
