url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
https://www.eremnews.com/economy/markets/144103,https://www.eremnews.com/economy/markets/144103,بنك مسقط ينوي إصدار صكوك,,"دبي – قال مسؤول في بنك مسقط اليوم الأربعاء إن الوحدة الإسلامية لأكبر بنك عماني تنوي طرق سوق السندات الإسلامية في الربع الأول من العام القادم وذلك في أول طرح صكوك لبنك عماني.

وقال سليمان الحارثي المدير العام للمجموعة في وحدة ميثاق إن البنك نال الموافقة التنظيمية على الإصدار الذي سيساعد في تمويل توسعه.

وأبلغ رويترز خلال مؤتمر للقطاع في دبي أن حجم الإصدار لم يتحدد بعد لكنه سينضوي تحت برنامج صكوك قيمته 500 مليون ريـال (1.3 مليار دولار) وافق عليه مساهمو البنك في مارس آذار من العام الحالي.

وبنك مسقط واحد من عدة بنوك تقليدية عمانية تقدم الخدمات المالية الإسلامية من خلال وحدات متخصصة تعمل جنبا إلى جنب مع بنكين إسلاميين بالكامل دشنا نشاطهما العام الماضي هما بنك العز الإسلامي وبنك نزوى.",سليمان الحارثي المدير العام للمجموعة في وحدة ميثاق يقول إن البنك نال الموافقة التنظيمية على الإصدار الذي سيساعد في تمويل توسعه.,aze,eremnews,Erem News,fake news,c92d5bf4-ace2-4879-b437-b926d3fbdd29,article,MassiveSum
https://amharic.voanews.com/a/gondar-and-gojjam-business-shoutdown/3517286.html,https://amharic.voanews.com/a/gondar-and-gojjam-business-shoutdown/3517286.html,በጎንደርና በባሕር ዳር ስለተደረገው የቤት ውስጥ መቀመጥ አድማ ነዋሪዎች አነጋግረናል,,በአማራ ክልል በጎንደር እና በባህርዳር ከተማ ከትናንት ጀምሮ የቤት ውስጥ መቀመጥ አድማ እያደረጉ እንደሆን ፤ በባህርዳር ግን መንግሥት ባሰማራቸው ኃይሎች አማካኝነት የባጃጅ አሽከርካሪዎች ተገደው ዛሬ ሥራ እንደጀመሩ የአሜሪካ ድምጽ ያነጋገራቸው ነዋሪዎች ይናገራሉ።,በአማራ ክልል በጎንደር እና በባህርዳር ከተማ ከትናንት ጀምሮ የቤት ውስጥ መቀመጥ አድማ እያደረጉ እንደሆን ፤ በባህርዳር ግን መንግሥት ባሰማራቸው ኃይሎች አማካኝነት የባጃጅ አሽከርካሪዎች ተገደው ዛሬ ሥራ እንደጀመሩ የአሜሪካ ድምጽ ያነጋገራቸው ነዋሪዎች ይናገራሉ።,aze,voanews,VOA News,fake news,a3f9cd18-20dc-4012-bad1-fad1d16ddfe5,article,MassiveSum
https://amharic.voanews.com/a/direct-flights-end-between-russia-and-ukraine/3133625.html,https://amharic.voanews.com/a/direct-flights-end-between-russia-and-ukraine/3133625.html,ዩክሬይን የአየር ክልሏ ለሩስያ አሮፕላኖች የተከለከለ መሆኑን አስታወቀች,,"ዩክሬይን፣ የአየር ክልሏ ለሩስያ አሮፕላኖች የተከለከለ መሆኑንና፣ የተፈጥሮ ጋዝ ወደ ውጪ አገር የሚልከው ጋዝፕሮም (Gazprom) ተብሎ የሚጠራው የነዳጅ ካምፓኒ፣ ከእንግዲህ መላኩን እንደሚያቋርጥ በመግለጹ ዩክሬይንም ግዥውን እንደምታቆም አስታወቀች።

አፍቃሬ ምዕራባውያን የሆኑት ጠቅላይ የዩክሬይን ሚኒስትር አርሰኒ ያትሰንዩክ (Arseniy Yatsenyuk) ናቸው ይህን ዛሬ ይፋ ያደረጉት። ጠቅላይ ሚኒስትሩ ዛሬ ረቡዕ በተካሄደ ስብሰባ ላይ ሲናገሩ፣ እርምጃው የተወሰደው በብሔራዊ ደኅንነት ጉዳይ የተነሳ መሆኑንና ሩስያም ባላት የትንኮሳ ጠባይ ነው ብለዋል።

ባለፈው ወር ዩክሬይን፣ የሩስያ አውሮፕላኖች አገሯ ላይ እንዳያርፉ አግዳ የነበረ ሲሆን፣ ሩስያ ግን የዩክሬይን አሮፕላኖች በክልሏ እንዲበሩ መፍቀዷ አይዘነጋም።",የዩክሬይን ጠቅላይ ሚኒስትር አርሰኒ ያትሰንዩክ (Arseniy Yatsenyuk) ዛሬ ይፋ ባደረጉት መግለጫ፣ ሃገሪቷ የአየር ክልሏ ለሩስያ አሮፕላኖች የተከለከለ መሆኑንና የነዳጅ ካምፓኒ ግዥውን እንደምታቆም አስታወቀች።,aze,voanews,VOA News,fake news,9b515206-1e9d-49c4-a305-793460c688e2,article,MassiveSum
https://amharic.voanews.com/a/2172515.html,https://amharic.voanews.com/a/2172515.html,የሽግግር ካውንስሉ ኣመራሮች ውይይት ክፍል ሁለት,,"The Voice of America(VOA) is a Washington, D.C.-based news organization broadcasting accurate, reliable news and feature programs on radio, television and the Internet. VOA broadcasts over nine hours of radio programs weekly in Amharic, Tigrigna, and Afan Oromo to Ethiopia, Eritrea and other countries in the region","The Voice of America(VOA) is a Washington, D.C.-based news organization broadcasting accurate, reliable news and feature programs on radio, television and the Internet. VOA broadcasts over nine hours of radio programs weekly in Amharic, Tigrigna, and Afan Oromo to Ethiopia, Eritrea and other countries in the region",aze,voanews,VOA News,fake news,238dd37c-8d54-4e73-ac2a-05fdd2d13fdf,article,MassiveSum
https://amharic.voanews.com/a/3676796.html,https://amharic.voanews.com/a/3676796.html,ዕሁድ፡- ከምሽቱ ሦስት ሰዓት የአማርኛ ዜና,,ቪኦኤ በየዕለቱ ከምሽቱ 3 ሰዓት በኢትዮጵያ አቆጣጠር ጀምሮ በአማርኛ፣ በአጭር ሞገድ 22፣ 25 እና 31 ሜትር ባንድ የ60 ደቂቃ ሥርጭቱ ዜና፣ አበይት ዜናዎች ትንታኔና ሌሎችም ወቅታዊ መረጃዎችን የያዙ ፕሮግራሞች ያስተላልፋል። ዕሁድ፡- ራዲዮ መፅሔት፣ መስተዋት (የወጣቶች ፕሮግራም) - ሁለቱ ዝግጅቶች በየሣምንቱ ይፈራረቃሉ፡፡,"ቪኦኤ በየዕለቱ ከምሽቱ 3 ሰዓት በኢትዮጵያ አቆጣጠር ጀምሮ በአማርኛ፣ በአጭር ሞገድ 22፣ 25 እና 31 ሜትር ባንድ የ60 ደቂቃ ሥርጭቱ ዜና፣ አበይት ዜናዎች ትንታኔና ሌሎችም ወቅታዊ መረጃዎችን የያዙ ፕሮግራሞች ያስተላልፋል።
ዕሁድ፡- ራዲዮ መፅሔት፣ መስተዋት (የወጣቶች ፕሮግራም) - ሁለቱ ዝግጅቶች በየሣምንቱ ይፈራረቃሉ፡፡",aze,voanews,VOA News,fake news,8f0ae329-f905-465c-b802-3fb33f2ca69e,article,MassiveSum
https://www.amerikaninsesi.org/a/a-56-2006-02-14-voa5-88608777/702829.html,,Jurnalistəri Müdafiə Komitəsi özünün illik hesabatını açıqlayıb,,"Hesabatın Azərbaycanla bağlı hissəsində deyilir ki, aparıcı jurnalistin qətli, digər jurnliastlərin həbsi, polis zorakılığı və bürokratik maneələr noyabrın 6-ı parlament seçkilərindən öncə müstəqil informasiya çatışmazlığı ilə nəticələnmişdir. Komitənin bildirdiyinə görə, rəsmilər müstəqil və müxalifət jurnalistlərə xəyanətkar kimi baxır və prezidenti dətəkləməyən mediyada reklam yerləşdirməmək üçün özəl şirkətlərə təzyiq göstərir. Hökumət Qasid və Azərmətbuatyayımı kimi iki ən böyük dstribyutor şirkətini nəzarət altında saxlayır və hökumətə loyallığı ilə seçilməyən Qasid kimi özəl distribyuterlərin fəaliyyətinə mane yaradır. Hesabatda göstərilir ki, jurnalistlərə qarşı məhkəmə işləri qaldırılır. 2005-ci ildə ölkənin ən böyük müxalifət qəzeti olan “Yeni Müsavat” rəsmiləri təhqir etmək itithamı ilə Bakı şəhər məhkəməsində 160 min dollar məbləğində cərimə edildikdən sonra bir neçə ay nəşrini dayandırmalı olmuşdu. Bəzi jurnalistlər hökumətin yol verdiyi pozuntular barədə məlumat verdikləri üçün polis tərəfindən zorakılığa məruz qalmışlar. Mart ayında “Monitor” jurnalının təsisçisi və redaktoru Elmar Hüseynovun öz evinin blokunda qətlə yetirilməsi ölkədə qorxu hissləri və özünü senzuranın güclənməsinə səbəb olmuşdur. Jurnalisətləri Müdafiə Komitəsinin hesabatında deyilir ki, belə görünür, hücum yaxşı təşkil olunmuşdur; bunanın girəcəyində işıqlar keçmiş, güllə atılan zaman telefonlar qapanmışdır. Elmar Hüseynovun yaxınları ona hədə-qorxu gəlindiyini və jurnalistin öz təhkükəsizliyinə görə narahat olduğunu bildilrmişlər. Jurnalistin qətli Bakıda hökumət əleyhinə geniş etiraz nümayişlərinə səbəb olmuşdur. Prezident İlham Əliyev Elmar Hüseynovun qətlindən sonra martın 20-də 115 nəfər siyasi məhbusun azad edilməsi haqda qərar qəbul etmişdir. ”Yeni Müsavat” qəzetinin baş redaktoru Rauf Arifoğlu onların arasında olmuşdur. O, 2003-cü ildə həsb olunmuş və hökumət əleyhinə iğtişaşlar təşkil etmək itithamları ilə ona beş il həbs cəzası verilmişdir. Rauf Arifoğlu və onunla birgə altı müxalifət liderinin azad edilməsi ilə onların üzərindən çoxlarının siyasi motivlərə əsasənı irəli sürüldüyü deyilən cinayət ittihamlarının götürülməsi haqda qərbin tələbləri təmin edilmədi. Hesabata əsasən, jurnalistlərin böyük hissəsi komitəyə bildirib ki, Rauf Arifoğlu “Yeni Müsavat”ın prezident Əliyev və onun hökumətinə qarşı kəskin tənqidlərinə görə cəzalandırılmışdır. 2003-cü ildə saxtakarlıqlarla müşayət olmuş seçkilərin təkrar ola bilməsindən ehtiyat edən qərb ölkələri prezident Əliyevi noyabr seçkilərinin azad və ədalətli keçməsini təmin etmək üçün islahatlar aparmağa çağırmışlar. Beynəlxalq təzyiqlərlə qarşılaşan partlament son anda oktyabr ayında islahatları qəbul etdi. Lakin bu tədbirlər beynəlxalq ictmaiyyətin Mərkəzi Seçki Komissiyasının üzvlərinin hökumət tərəfdarı şəxslərdən ibarət olmamasını təmin etmək haqda əsas tələbini qarşılamadı. Hesabatda habelə deyilir ki, Azərbaycan hökuməti Avropa Şurası qarşısında AZT 1-in ictimai televiziyaya çevrilməsi haqda öz üzərinə götürdüyü öhdəliyə əməl etmədi. Milli Yayım Şurası hökumətin tam nəzarəti altında qalmağa davam edir. Jurnalistləri Müdafiə Komitəsi jurnalistlərə qarşı zorakılıqların davam etdiyini bildirir. Hesabatda göstərilir ki, oktyabr ayında polis sanksiyalaşdırılmamış mitinq zamanı 10 jurnalisti döymüşdür. “Zerkalo” qəzetinin müxbiri İdrak Abbasov huşunu itirənədək döyülmüş və Bakıda xəstəxanaya aparılmışdır. Polis onun otağının qarşısında gözətçi qoyaraq, jurnalistlərin ona baş çəkməsinə imkan verməmişdir. Hesabatda bununla yanaşı, Azərbaycanın müxtəfli rayonlarında jurnalistlərin yerli rəsmilərin təzyiqlərinə məruz qaldığı qeyd edilir.","Hesabatın Azərbaycanla bağlı hissəsində deyilir ki, aparıcı jurnalistin qətli, digər jurnliastlərin həbsi, polis zorakılığı və bürokratik maneələr noyabrın 6-ı parlament seçkilərindən öncə müstəqil informasiya çatışmazlığı ilə nəticələnmişdir. Komitənin bildirdiyinə görə, rəsmilər müstəqil və...",aze,amerikaninsesi,Amerikan Insesi,fake news,6afb5d10-df1d-4c5a-afa5-72645f7310c5,article,MassiveSum
https://axar.az/news/planet/318045.html,,Qonşuda prezident seçkilərində kim qalib gələcək?,,"Oktyabrın 28-də Gürcüstanda prezident seçkiləri keçiriləcək. Səsverməyə bir neçə gün qalmış ekspertlər 23 namizəddən kimin qalib gələcəyi barədə müxtəlif fikirlər irəli sürürlər.

Axar.az xəbər verir ki, ekspertlər əsas iki namizədin qələbə qazanacağına ümid edirlər.

Ekspertlərin fikrincə, seçkilərdə əsas mübarizə müstəqil namizəd, parlamentin deputatı, hakim “Gürcü arzusu - Demokratik Gürcüstan” partiyasının da dəstəklədiyi Salome Zurabişvili və sabiq xarici işlər naziri, əsas müxalifət partiyası “vahid Milli Hərəkat”ın namizədi Qriqol Vaşadze arasında olacaq. Hər iki namizəd seçki kampaniyasında öz platformalarını ortaya qoyub.

S.Zurabişvili seçicilərlə görüşdə hər bir vətəndaşın prezidenti olacağını, dövlət başçısı seçiləcəyi halda Prezident Administrasiyasının qapılarının vətəndaşlara açıq olacağını bildirib. O, əmək haqlarının, pensiyaların artırılacağı, vətəndaşların həyat səviyyəsinin yaxşılaşacağı barədə heç bir vəd verməyib.

Q.Vaşadze isə qalib gələcəyi halda pensiyaları 2 dəfə artıracağını, hüquq-mühafizə orqanları, hərbçilər, müəllimlər və həkimlərin əməkhaqlarını xeyli artıracağını vəd edib. O, həmçinin prezident seçildikdən sonra ölkədə növbədənkənar parlament seçkilərinin keçiriləcəyini bildirib.",Müxtəlif fikirlər səsləndirilir,aze,axar,Axar,fake news,e56419fc-6c23-4f12-8e14-e00b122822a4,article,MassiveSum
https://arabic.rt.com/news/639588-%D8%A8%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88_.._%D8%A7%D9%84%D8%A3%D9%87%D9%84%D8%A7%D9%88%D9%8A_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%84%D9%87_%D8%B3%D8%B9%D9%8A%D8%AF_%D9%8A%D9%87%D8%B2_%D8%B4%D8%A8%D8%A7%D9%83_%D8%B3%D9%85%D9%88%D8%AD%D8%A9_%D8%A8%D8%B9%D8%AF_%D8%AE%D8%B7%D8%A3_%D9%81%D8%A7%D8%AF%D8%AD_%D9%84%D9%84%D8%AD%D8%A7%D8%B1%D8%B3/,https://arabic.rt.com/news/639588-%D8%A8%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88_.._%D8%A7%D9%84%D8%A3%D9%87%D9%84%D8%A7%D9%88%D9%8A_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%84%D9%87_%D8%B3%D8%B9%D9%8A%D8%AF_%D9%8A%D9%87%D8%B2_%D8%B4%D8%A8%D8%A7%D9%83_%D8%B3%D9%85%D9%88%D8%AD%D8%A9_%D8%A8%D8%B9%D8%AF_%D8%AE%D8%B7%D8%A3_%D9%81%D8%A7%D8%AF%D8%AD_%D9%84%D9%84%D8%AD%D8%A7%D8%B1%D8%B3/,بالفيديو .. الأهلاوي عبد الله سعيد يهز شباك سموحة بعد خطأ فادح للحارس,,"تاريخ النشر:04.01.2014 | 17:15 GMT | الرياضة

فاز نادي الأهلي على مضيفه سموحة بهدفين نظيفين في المباراة التي جرت بينهما السبت 4 يناير/كانون الثاني، لممتاز لكرة القدموذلك في منافسات الاسبوع الثالث لمسابقة الدوري المصري.

فاز نادي الأهلي على مضيفه سموحة بهدفين نظيفين في المباراة التي جرت بينهما السبت 4 يناير/كانون الثاني، على ملعب الجيش بعجرود ، وذلك في منافسات الاسبوع الثالث لمسابقة الدوري المصري الممتاز لكرة القدم.

ويعود الفضل في فوز الأهلي للاعبه عبد الله السعيد الذي سجل هدفي اللقاء، الأول مبكراً في الدقيقة الـ 14 من ضربة حرة مباشرة من الجهة اليسرى في الزاوية البعيدة اليمنى، أخطأ أحمد يحيى حارس سموحة في التعامل معه، والهدف الثاني سجله السعيد في الدقيقة الـ 54 بتسديدة من مسافة قصيرة في الزاوية اليمنى القريبة بعد متابعة لكرة ملعوبة من ضربة حرة.

وحقق الأهلي بذلك فوزه الثاني على التوالي، ويتصدر قائمة المجموعة الأولى برصيد 6 نقاط حتى الآن من مباراتين. بينما توقف رصيد سموحة عند 3 نقاط، ويحتل المركز السادس حتى الآن.

إنبي – غزل المحلية (3-1)",,aze,rt,RT,fake news,06c93d14-96b4-4645-9740-cf47e8e8b912,article,MassiveSum
https://www.eremnews.com/news/arab-world/saudi-arabia/988405,https://www.eremnews.com/news/arab-world/saudi-arabia/988405,"ضمن ""الخلية الاستخبارية"" بالسعودية.. الداعية يوسف الأحمد صاحب سوابق في ""التأليب على ولي الأمر""",,"تاريخ التحديث: 13 سبتمبر 2017 6:13 GMT

تاريخ النشر: 13 سبتمبر 2017 6:13 GMT

يواجه الداعية السعودي المعروف، يوسف الأحمد، عقوبات مشددة بعد أن تم القبض عليه وأشخاص آخرين بتهمة ”القيام بنشاط استخباري لصالح جهات خارجية ضد أمن المملكة“، ليخضع مجدداً لمحاكمة ستعيد للأذهان ما واجهه في العام 2011 من تهم.

وورد اسم الداعية الأحمد في قائمة ضمت عدداً من دعاة ورجال دين سعوديين آخرين تم إلقاء القبض عليهم خلال الأيام الثلاثة الماضية، قبل أن يتم الإعلان رسمياً عن أن السلطات الأمنية المختصة قبضت على عدد من الأشخاص بعد ”رصد أنشطة استخباراتية لصالح جهات خارجية ضد أمن المملكة ومصالحها ومنهجها ومقدراتها وسلمها الاجتماعي“.

ومن المبكر الحديث عن العقوبات التي سيواجهها الأحمد ودعاة ورجال دين آخرون قبض عليهم بشكل متزامن، وبينهم سلمان العودة وعوض القرني، لاسيما وأن حملة الاعتقالات قد تطال المزيد من الأشخاص، وهو ما لمح له بيان رسمي صادر عن جهاز أمن الدولة السعودي.

وقال البيان الذي صدر فجر الثلاثاء ”إن رئاسة أمن الدولة في السعودية تمكنت خلال الفترة الماضية من رصد أنشطة استخباراتية لمجموعة من الأشخاص لصالح جهات خارجية ضد أمن المملكة ومصالحها ومنهجها ومقدراتها وسلمها الاجتماعي بهدف إثارة الفتنة والمساس باللحمة الوطنية“.

وأضاف ”تم بفضل الله تحييد خطرهم والقبض عليهم بشكل متزامن، وهم مجموعة من السعوديين والأجانب، وجاري التحقيق معهم للوقوف على كامل الحقائق عن أنشطتهم والمرتبطين معهم في ذلك، وسوف يعلن ما يستجد بهذا الخصوص في حينه“.

وتعيد التهم التي يواجهها الداعية الأحمد حالياً، إلى الأذهان، ما واجهه قبل سنوات عندما صدر بحقه حكم قضائي بالسجن والغرامة والمنع من السفر بتهم بينها ”التأليب على ولي الأمر“ قبل أن يخرج بعد أقل من عام بعفو من العاهل السعودي الراحل الملك عبدالله بن عبدالعزيز.

وكانت المحكمة الجزائية المتخصصة في الرياض أصدرت في أبريل/نيسان 2011، أحكامها الابتدائية على الأحمد وأربعة سعوديين واثنين من الجنسية المصرية، والتي تضمنت سجنه لمدة خمس سنوات، ومنعه من السفر لمدة مماثلة تبدأ فور خروجه من السجن، وتغريمه مبلغ مئة ألف ريال.

وأدانت المحكمة حينها الأحمد ومن معه بـ ”التأليب على ولي الأمر، وإثارة الفتنة، والإضرار باللحمة الوطنية، وإنتاج ما من شأنه المساس بالنظام العام وتخزينه ونشره عبر شبكة الإنترنت“، وهو ما نتج عنه إثارة الفتنة ومساعدة وتأييد معتنقي فكر ومنهج تنظيم القاعدة الإرهابي واعتقاد صحة وسلامة منهج هذا التنظيم القائم على التكفير“، وفق ما جاء في حكم المحكمة.

ومن غير الواضح ما هي القوانين التي ستخضع لها محاكمة الداعية الأحمد بعد انتهاء التحقيقات معه، لكن التهم التي يواجهها حالياً بحسب بيان رئاسة أمن الدولة، أكبر فيما يبدو من التهم التي واجهها في العام 2011، لاسيما ما يتعلق منها بالعمل الاستخباراتي.

ولم يكشف بيان أمن الدولة السعودي عن أسماء المعتقلين ولا الاتهامات الدقيقة التي تسببت باعتقالهم، لكن وسائل إعلام سعودية شبه رسمية ومدونين مقربين من دائرة صنع القرار قالوا إن الاعتقالات على صلة بولاء وانتماء المعتقلين لجماعة الإخوان المسلمين المصنفة إرهابية في السعودية، وانحيازهم لقطر في الأزمة الخليجية الحالية.

ونقلت صحيفة عكاظ السعودية عن القانوني عبدالله الكبيسي، قوله إن الدولة حذرت بشكل كبير جميع المحرضين والمتعاطفين وكل من تسول له نفسه المساس بأمن ومصالح البلاد، وأعلنت أن هناك عقوبات محددة تنتظر المتجاوزين لهذه الأنظمة.

واعتبر أن المقبوض عليهم يحاولون ”كسب تعاطف الرأي العام من خلال مواقع التواصل الاجتماعي“.

وقال الكبيسي إن ”النظام يطبق على الكل حتى لو كان شيخًا أو داعية أو كاتبًا يعمل على الإضرار بأمن البلاد، فما يطبق على المجتمع يطبق عليهم، والدولة حريصة على التقيد بالنظام، وليس هناك مجال للمجاملة“.",المحكمة الجزائية في الرياض أصدرت في أبريل/نيسان 2011، أحكامها الابتدائية على الأحمد وأربعة سعوديين واثنين من الجنسية المصرية.,aze,eremnews,Erem News,fake news,2217fa34-3b87-4498-a4f8-263634dc8cae,article,MassiveSum
https://axar.az/news/siyaset/466023.html,,Bakının qərarı: NATO ilə əməkdaşlıq davam edəcək,,"Azərbaycan NATO ilə əməkdaşlığı davam etdirməkdə qərarlıdır.

Axar.az xəbər verir ki, bu barədə Azərbaycan Xarici İşlər Nazirliyinin (XİN) Tvitter səhifəsində bildirilib.

“1994-cü ilin bu günündə Azərbaycan NATO-nun “Sülh naminə Tərəfdaşlıq” proqramına qoşulub və İttifaqla möhkəm və qarşılıqlı faydalı tərəfdaşlıq qurub. Azərbaycan Avro-Atlantik bölgədə və onun hüdudlarından kənarda sülh və təhlükəsizliyi qorumaq üçün NATO ilə əməkdaşlığı davam etdirməkdə qərarlıdır"", - paylaşımda qeyd olunub.",XİN,aze,axar,Axar,fake news,2a866d37-2650-46c6-9154-d1e82da758b7,article,MassiveSum
