url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
https://www.15min.lt/naujiena/pokeris/pokeris-uzsienyje/treciajame-full-tilt-poker-net-pro-battle-epizode-pasirodys-pirmasis-lietuvos-atstovas-437-406934,,Trečiajame „Full Tilt Poker.net Pro Battle“ epizode pasirodys pirmasis Lietuvos atstovas,,"Šioje svetainėje naudojame slapukus (angl. „cookies“). Jie padeda atpažinti prisijungusius vartotojus, matuoti auditorijos dydį ir naršymo įpročius; taip mes galime keisti svetainę, kad ji būtų jums patogesnė. Plačiau apie tai:",15min.lt pokerio skiltis kviečia visus pokerio mylėtojus stebėti naują televizijos pokerio šou „Full Tilt Poker.net Pro Battle“. Praėjusią savaitę pristatėme jums du pirmus laidos...,lit,15min,15Min,fake news,da75f5fb-f6de-4ab0-9c29-75a657eeca26,article,MassiveSum
https://www.vz.lt/rinkodara/2017/03/05/prasmingiausi-lietuviski-prekes-zenklai-svarbus-aspektai,,Prasmingiausi lietuviški prekės ženklai: svarbūs aspektai,,"Prasmingiausio prekės ženklo laurai ir pasaulyje, ir Lietuvoje naujausiame tyrime teko „Google“. Vladimiro Ivanovo (VŽ) nuotr.

Žmonėms nerūpėtų, jei trys prekės ženklai iš keturių išnyktų, rodo tarptautinė Prasmingų prekės ženklų studija. Savo ruožtu, kuo prasmingesnis prekės ženklas, tuo daugiau žmonių sutiktų už jį mokėti daugiau.

Prasmingiausi lietuviški prekės ženklai: „Camelia“, LNK ir „Senukai“. Pasaulinę prasmingų ženklų indekso (angl. Meaningful Brands index) studiją „Havas Media Group“ atlieka aštuntus metus, ir tai yra vienas didžiausių tokio pobūdžio pasaulinių tyrimų ...

Prisijungti Prenumeruoti Dabar iki 40% pigiau","Žmonėms nerūpėtų, jei trys prekės ženklai iš keturių išnyktų, rodo tarptautinė Prasmingų prekės ženklų studija. Savo ruožtu, kuo prasmingesnis prekės ženklas, tuo daugiau žmonių sutiktų už jį mokėti daugiau.",lit,vz,Vz,fake news,ec2ea657-15b5-4be9-af21-64c54ed5b2b6,article,MassiveSum
https://www.dengeamerika.com/a/agirbest_kolombiya/4015460.html,https://www.dengeamerika.com/a/agirbest_kolombiya/4015460.html,Hikûmeta Kolombîya û ELN Agirbestê Îmza Dikin,,"Hikûmeta Kolombîya û Artêşa Rizgarîya Neteweyî (ELN) ser agirbesteke demkî li hev kirin. Hikûmet û rêxistina çekdarî ji 50 sal zêdetir e şer dikin û cara yekê ye agirbestekê îmza dikin.

Serokê Kolombîya Juan Manuel Santos dîyar kir ku agirbest di 1’ê Cotmehê de destpê dike û dê heta 12’ê Rêbendanê bidome. Santos da zanîn ku dibe ku dema agirbestê dirêjtir jî bibe.

ELN jî bi tweetekê got ku ‘’Erê, me kir! Spas bo herkesê kir ku em bigihêjin agirbesta dualî’’

Hikûmet, bi Hêzên Çekdar yên Şoreşger yên Kolombîya (FARC) re, piştî danûsitandinên 4 sal agirbest îmza kiribû. Rêxistina çekdar, çekên xwe hemî radest kirin û dest bi siyasetê kir.

Danûsitandinên hikûmet û ELN’ê, di meha Sibatê de, li Quito ya paytaxta Ekvatorê destpê kiribû. Hikûmeta Kolombîya, ser agirbesta bi ELN’ê re, dê şertên pêşengên wê yên di girtîgehê de baştir bike. Li gor îstixbarata Kolombîya bi qasî 1500 çekdarên ELN’ê hene.","Danûsitandinên hikûmet û ELN'ê, di meha Sibatê de, li Quito ya paytaxta Ekvatorê destpê kiribû",lit,dengeamerika,Denge Amerika,fake news,1faeba02-3a43-4d32-a5da-fbe30adc8a2e,article,MassiveSum
https://www.15min.lt/en/article/business/lithuania-s-city-service-eyes-further-acquisitions-in-russia-527-210157,,Lithuania's City Service eyes further acquisitions in Russia,,Published: 11 april 2012 10:32,"Icor-controlled City Service, the Baltics' leading property maintenance and administration services group, continues to explore market opportunities in Russia.",lit,15min,15Min,fake news,a81944c4-9e98-4760-9105-2894efaf0d01,article,MassiveSum
https://lao.voanews.com/a/saudi-led-airstrikes-in-yemen-kill-over-30-mostly-civilians/3211556.html,https://lao.voanews.com/a/saudi-led-airstrikes-in-yemen-kill-over-30-mostly-civilians/3211556.html,ການໂຈມຕີທາງອາກາດ ໄດ້ເອົາຊີວິດຜູ້ຄົນໄປຫຼາຍກວ່າ 30 ຄົນໃນປະເທດ ເຢເມນ,,"ການໂຈມຕີທາງອາກາດ ໂດຍພັນທະມິດ ອາຣັບ ນຳໜ້າໂດຍປະ ເທດ ຊາອູດີອາເຣເບຍ ຕໍ່ສູ້ກັບກອງກຳລັງ Shi’ite ເຊິ່ງເປັນພັນ ທະມິດກັບ ອີຣ່ານ ໃນປະເທດ ເຢເມນ ໄດ້ເຮັດໃຫ້ມີຜູ້ເສຍຊີິວິດ ຢ່າງໜ້ອຍ 30 ຄົນໃນວັນເສົາວານນີ້ ທີ່ຕະຫຼາດບ່ອນທີ່ນິຍົມກັນ ຫຼາຍແຫ່ງໜຶ່ງໃນພາກຕາເວັນອອກສຽງເໜືອຂອງນະຄອນຫຼວງ Sana’a ທີ່ຖືກພວກກະບົດຍຶດເອົາ, ອີງຕາມການກ່າວຂອງເຈົ້າ ໜ້າທີ່ຮັກສາຄວາມປອດໄພ ເຢເມນ ແລະ ຜູ້ຢູ່ອາໄສຫຼາຍຄົນ.

ການໂຈມຕີໃນເມືອງ Nihm ໄດ້ສັງຫານຄົນສ່ວນໃຫຍ່ເຊິ່ງເປັນ ພົນລະເຮືອນ ແລະ ໄດ້ເຮັດໃຫ້ສົບຂອງຄົນຕາຍທີ່ຖືກເຜົາໄໝ້ນັ້ນ ກະຈາຍໄປທົ່ວພື້ນທີ່. ບັນດາເຈົ້າໜ້າທີ່ໄດ້ກ່າວໂດຍບໍ່ຂໍອອກຊື່ ເພາະວ່າພວກເຂົາເຈົ້າບໍ່ໄດ້ຖືກອະນຸຍາດໃຫ້ລາຍງານຕໍ່ນັກຂ່າວ.

ພັນທະມິດທີ່ນຳໜ້າໂດຍ ຊາອູດີ ອາເຣເບຍ ແມ່ນກຳລັງຕໍ່ສູ້ກັບພວກກະບົດ Houthi ແລະ ກອງກຳລັງທີ່ຈົງຮັກພັກດີຕໍ່ອະດີດປະທານາທິບໍດີ Ali Abdullah Saleh ໃນຄວາມພະຍາ ຍາມທີ່ຈະກອບກູ້ລັດຖະບານຂອງປະທານາທິບໍດີ Abd-Rabbu Mansour Hadi ທີ່ຖືກຮັບ ຮູ້ໂດຍສາກົນໃຫ້ກັບຄືນມາ.

ກຸ່ມຊ່ວຍເຫຼືອ ແລະ ສິດທິມະນຸດ ອີກຄັ້ງໜຶ່ງໃນວັນສຸກທີ່ຜ່ານມານີ້ໄດ້ຮຽກຮ້ອງໃຫ້ບັນດາ ປະເທດຕາເວັນຕົກຢຸດການຂາຍອາວຸດໃຫ້ກັບປະເທດ ຊາອູດີອາເຣເບຍ. ໃນຕົ້ນເດືອນນີ້, ອົງການສິ້ງຊອມສິດທິມະນຸດ ໄດ້ກ່າວຫາພັນທະມິດດັ່ງກ່າວໃນການໃຊ້ລະເບີດບົມບີທີ່ໄດ້ ສະໜອງໃຫ້ໂດຍ ສະຫະລັດ.

ຄະນະຂອງຜູ້ຊ່ຽວຊານ ອົງການສະຫະປະຊາຊາດ ກ່າວວ່າ ພັນທະມິດດັ່ງກ່າວໄດ້ທຳການ ໂຈມຕີ 119 ຄັ້ງ ເຊິ່ງໄດ້ລະເມີດກົດໝາຍມະນຸດສະທຳ ແລະ ໄດ້ຮຽກຮ້ອງໃຫ້ມີການກວດ ສອບໂດຍສາກົນ.

ອົງການ ສະຫະປະຊາຊາດ ກ່າວວ່າ ການຕໍ່ສູ້ໃນປະເທດ ເຢເມນ ໄດ້ເຮັດໃຫ້ມີຄົນເສຍຊີ ວິດຢ່າງໜ້ອຍ 6,000 ຄົນນັບຕັ້ງແຕ່ເດືອນມີນາ 2015 ເປັນຕົ້ນມາ.",\,lit,voanews,VOA News,fake news,963bbb1b-d99b-4f5a-95ea-4a92fccc02d2,article,MassiveSum
https://www.vz.lt/archive/news.php/id=340224,,citata - Verslo žinios,,Registracijos data: Paskutinis apsilankymas: Statusas: Komentarų:,"Seimo pirmininko VYTAUTO LANDSBERGIO rūpestis dėl kai kurių asmenų triukšmavimo, nederamo elgesio:",lit,vz,Vz,fake news,359da045-f4a3-4135-933f-0d27851a710b,article,MassiveSum
https://lao.voanews.com/a/children-at-sanamsay-flooded-areas-are-suffering-from-severe-malnutrition/4549002.html,https://lao.voanews.com/a/children-at-sanamsay-flooded-areas-are-suffering-from-severe-malnutrition/4549002.html,ມີເດັກນ້ອຍລາວ ຫຼາຍຮ້ອຍຄົນ ຢູ່ເຂດນ້ຳຖ້ວມ ຂາດສານອາຫານ ຢ່າງຮຸນແຮງ,,"ນັກໂພຊະນາການຂອງອົງການສະຫະປະຊາຊາດ ຢືນຢັນວ່າ ມີເດັກນ້ອຍລາວ ອາຍຸ ລະຫວ່າງ 6 ເດືອນ ຫາ 1 ປີ ຫຼາຍຮ້ອຍຄົນ ຢູ່ເຂດນ້ຳຖ້ວມທີ່ ເມືອງສະໜາມໄຊ ກຳລັງ ປະເຊີນກັບການຂາດສານອາຫານ ຢ່າງຮຸນແຮງ.

ທ່ານນາງ ຄູນເພັດ ມົງຄົນຄຳ ນັກໂພຊະນາການສຳລັບເດັກຂອງອົງການສະຫະປະຊາ ຊາດ ປະຈຳລາວ ຢືນຢັນວ່າ ບັນຫາສຸຂະພາບອະນາໄມ ຂອງເດັກທີ່ກວດພົບຫຼາຍທີ່ສຸດ ຢູ່ສູນພັກອາໄສຊົ່ວຄາວເທດສະບານເມືອງສະໜາມໄຊ ແຂວງອັດຕະປື ຊຶ່ງໄດ້ຮັບຜົນ ກະທົບ ຈາກໄພນ້ຳຖ້ວມຄັ້ງໃຫຍ່ ທີ່ເກີດຈາກເຂື່ອນເຊປຽນ-ເຊນ້ຳນ້ອຍແຕກ ນັບແຕ່ ວັນທີ 23 ກໍລະກົດ 2018 ເປັນຕົ້ນມາ ກໍຄືບັນຫາການຂາດສານອາຫານ ຢ່າງຮຸນແຮງ ຂອງເດັກອາຍຸ ລະຫວ່າງ 6 ເດືອນ ຫາ 1 ປີ ໂດຍຈາກການກວດສຸຂະພາບຂອງເດັກ ສະເພາະຢູ່ທີ່ສູນພັກອາໄສຊົ່ວຄາວ ເທດສະບານເມືອງໜາມໄຊ ພົບວ່າ ມີເດັກໃນຊ່ວງ ອາຍຸ ດັ່ງກ່າວ ເຖິງ 275 ຄົນ ທີ່ຂາດສານອາຫານຢ່າງຮຸນແຮງ.

ທ່ານນາງ ຄູນເພັດ ຢືນຢັນວ່າ ຍັງມີເດັກໃນໄວດຽວກັນນີ້ ອີກຈຳນວນບໍ່ໜ້ອຍ ທີ່ກຳລັງ ປະເຊີນບັນຫາດຽວກັນນີ້ ເພາະວ່າ ຍັງບໍ່ທັນໄດ້ດຳເນີນການກວດສຸຂະພາບອະນາໄມ ຂອງເດັກ ທີ່ຢູ່ໃນສູນທີ່ພັກອາໄສຊົ່ວຄາວອື່ນໆ ຊຶ່ງຈະດຳເນີນການໃຫ້ເປັນປະຈຳ ໃນ ແຕ່ລະສັບປະດາ ດັ່ງທີ່ ທ່ານນາງ ຄູນເພັດ ຢືນຢັນວ່າ:

“ການກັ່ນຕອງເດັກຂາດສານອາຫານຂອງພວກເຮົານີ້ ແມ່ນຈະເຮັດທຸກອາທິດ ອາທິດນຶ່ງ ເທື່ອນຶ່ງ ແລ້ວເຮົາຈະໄປໝົດທຸກ ແຄັ້ມ (Camp) ເລີຍ ເຮົາແລ້ວແຄັ້ມນີ້ ເຮົາກໍຈະຍ້າຍໄປແຄັ້ມໜ້າຕະຫຼອດ ພາຍໃນອາທິດນີ້ ແມ່ນໄດ້ເຮັດການກັ່ນຕອງ ຢູ່ໃນແຄັ້ມທີ່ພວກເຮົາເຂົ້າເຖິງແຄ້ມ ທີ່ພວກເຮົາບໍ່ທັນໄດ້ໄປ ກໍຄືແຄັ້ມຕອມຍອດ ແລະປີນດົງເນາະ ສະນັ້ນ ບໍ່ທັນໄດ້ໄປຮອດເທື່ອ ເພາະວ່າ ອາທິດແລ້ວ ໄດ້ເຮັດ ແລ້ວ ແຕ່ພາຍໃນອາທິດນີ້ ບໍ່ທັນໄດ້ໄປຮອດ ສະນັ້ນໃນແຄັ້ມທີ່ວ່າ ເຮົາເຂົ້າເຖິງນີ້ ໄດ້ເຮັດມາຕັ້ງແຕ່ມື້ວັນອາທິດ.”

ນອກຈາກບັນຫາການຂາດສານອາຫານ ຂອງເດັກດັ່ງກ່າວແລ້ວ ກໍຍັງກວດພົບບັນຫາ ພະຍາດກ່ຽວກັບ ລະບົບການຫາຍໃຈ ແລະພະຍາດຖອກທ້ອງ ທັງໃນເດັກ ແລະຜູ້ໃຫຍ່ ໂດຍສະເພາະການກວດສຸຂະພາບອະນາໄມ ຂອງຜູ້ໃຫຍ່ ຈຳນວນ 700 ກວ່າຄົນນັ້ນ ພົບວ່າ ມີເຖິງ 79 ຄົນ ທີ່ເປັນພະຍາດວັນນະໂຣກ ທີ່ບໍ່ແມ່ນຜົນກະທົບຈາກໄພນ້ຳຖ້ວມ ຄັ້ງນີ້ ຫາກແຕ່ເປັນບັນຫາສຸຂະພາບຂອງປະຊາຊົນ ທີ່ມີມາກ່ອນໜ້ານີ້ແລ້ວ.

ທາງດ້ານ ທ່ານ ບັນດິດ ເດືອນວິໄລ ຜູ້ຊ່ຽວຊານດ້ານນ້ຳສະອາດຂອງອົງການ UNICEF ປະຈຳລາວ ຢືນຢັນວ່າ ການຂາດນ້ຳດື່ມ ແລະນ້ຳໃຊ້ທີ່ສະອາດນັ້ນ ຖືເປັນບັນຫາທີ່ສຳຄັນ ທີ່ຈະຕ້ອງດຳເນີນການແກ້ໄຂ ດ້ວຍການຈັດຫາແຫລ່ງນ້ຳສະອາດ ເພື່ອຕອບສະໜອງ ໃຫ້ກັບປະຊາຊົນ ທີ່ປະສົບໄພຢ່າງຮີບດ່ວນທີ່ສຸດ ຊຶ່ງຮວມເຖິງການສ້າງວິດຖ່າຍ ແລະ ການປ້ອງກັນພະຍາດຕ່າງໆດ້ວຍ ດັ່ງທີ່ ທ່ານບັນດິດ ໃຫ້ການຢືນຢັນວ່າ:

“ພວກເຮົາກະໄດ້ຮ່ວມກັບທາງເບື້ອງນ້ຳສະອາດ ແຂວງອັດຕະປື-ສາລະວັນ ລົງມາ ຊ່ອຍຕອບໂຕ້ໄພພິບັດນີ້ ໂດຍສະເພາະແມ່ນເນັ້ນໃສ່ວຽງຈັດຫານ້ຳສະອາດ ຢູ່ໃນ ແຄັ້ມ ແລ້ວກະວຽກອະນາໄມ ທຽບໃສ່ຜ່ານມານີ້ ເຂົາເຈົ້າໃຊ້ນ້ຳຢູ່ຄອງຊົນລະປະທານ ຊຶ່ງວ່າ ມັນເປັນນ້ຳທີ່ບໍ່ສະອາດ ຫລັງຈາກນັ້ນ ພວກເຮົາກະໄດ້ຊ່ອຍເຫຼືອ ໃນການສ້າງ ວິດຖ່າຍ ໃຫ້ແຕ່ລະຈຸດ ຊຶ່ງວ່າອັນນີ້ ເປັນອັນນຶ່ງທີ່ບໍ່ໃຫ້ປະຊາຊົນ ໄປແລ່ນເຂົ້າປ່າ ຫຼືວ່າ ໄປຖ່າຍຊະຊາຍ ຕໍ່ໄປນີ້ພວກເຮົາກະສິໄດ້ຊ່ອຍເຫຼືອ ໃນການຕອບໂຕ້ ໃນຂັ້ນກາງ.”

ທາງດ້ານ ທ່ານອຸ່ນຫລ້າ ໄຊຍະສິດ ຮອງເຈົ້າແຂວງອັດຕະປື ລາຍງານວ່າ ເມືອງ ສະໜາມໄຊ ທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພນ້ຳຖ້ວມ ທີ່ເກີດຈາກກໍລະນີ ເຂື່ອນເຊປຽນ- ເຊນ້ຳນ້ອຍແຕກ ໃນຄັ້ງນີ້ ເປັນເມືອງນຶ່ງທີ່ທຸກຍາກ ທີ່ມີ 40 ບ້ານ 6,771 ຄອບຄົວ ມີພົນລະເມືອງ 36,000 ກວ່າຄົນ ໃນນີ້ມີບ້ານທີ່ຖືກກະທົບ ຈາກໄພນ້ຳຖ້ວມ 13 ບ້ານ ມີ 2,717 ຄອບຄົວ ຫຼື 13,067 ຄົນ ໂດຍທີ່ໄດ້ຮັບຜົນກະທົບ ທັງ 100 ເປີເຊັນ ນັ້ນ ມີ 6 ບ້ານ ຄືບ້ານຫີນລາດ ບ້ານສະໜອງໃຕ້ ບ້ານທ່າຫີນ ບ້ານໃໝ່ ບ້ານທ່າແສງຈັນ ແລະ ບ້ານໃຫຍ່ແທ ທີ່ມີປະຊາກອນລວມກັນ 1,611 ຄອບຄົວ ຫຼື 7,095 ຄົນ ໄດ້ຍົກຍ້າຍມາ ຢູ່ເຂດ ທີ່ປອດໄພ 6 ຈຸດ ຄື ເທດສະບານ ເມືອງສະໜາມໄຊ ບ້ານຕອມຍອດ ບ້ານດອນບົກ ບ້ານປີນດົງ ບ້ານດອນທົດ ແລະ ໂຮງຮຽນມັດທະຍົມສົມບູນຈັນທາ.

ສ່ວນກ່ຽວກັບການກໍ່ສ້າງທີ່ພັກອາໄສຊົ່ວຄາວ ແລະການຈັດສັນທີ່ຢູ່ອາໄສຖາວອນ ໃຫ້ ຜູ້ປະສົບໄພນັ້ນ ທາງການແຂວງອັດຕະປື ໄດ້ເລືອກເອົາບ້ານໜອງບົກ ບ້ານຕອມຍອດ ແລະ ບ້ານດົງບາກ ເປັນເຂດປຸກສ້າງທີ່ພັກອາໄສຊົ່ວຄາວໃນເນື້ອທີ່ 20.6 ເຮັກຕາ ຊຶ່ງ ການດຳເນີນງານໄດ້ຄືບໜ້າແລ້ວ ເກີນກວ່າ 60 ເປີເຊັນ ສ່ວນການປຸກສ້າງທີ່ຢູ່ອາໄສ ຖາວອນໃສ່ເນື້ອທີ່ 135 ເຮັກຕານັ້ນ ກໍຈະຈັດສັນ ແລະສ້າງເຮືອນ ທີ່ມີຂະໜາດກວ້າງ 20 ແມັດ ຍາວ 40 ແມັດ ໃຫ້ແຕ່ລະຄອບຄົວທີ່ປະສົບໄພດັ່ງກ່າວ ຊຶ່ງຖືເປັນຄວາມຮັບ ຜິດຊອບຂອງກຸ່ມບໍລິສັດ ທີ່ຮ່ວມລົງທຶນໃນໂຄງການເຂື່ອນໄຟຟ້າເຊປຽນ-ເຊນ້ຳນ້ອຍ ເປັນສຳຄັນ.",ນອກຈາກບັນຫາ ການຂາດສານອາຫານ ຂອງເດັກດັ່ງກ່າວແລ້ວ ກໍຍັງກວດພົບບັນຫາພະຍາດ ກ່ຽວກັບ ລະບົບການຫາຍໃຈ ແລະພະຍາດຖອກທ້ອງ ທັງໃນເດັກ ແລະຜູ້ໃຫຍ່.,lit,voanews,VOA News,fake news,b40d6815-0452-4ab8-a08f-115d86bfa4b7,article,MassiveSum
https://nra.lv/latvija/riga/290023-rigas-pasvaldibas-policija-atkartoti-centisies-izsolit-nolietotas-automasinas.htm,https://nra.lv/latvija/riga/290023-rigas-pasvaldibas-policija-atkartoti-centisies-izsolit-nolietotas-automasinas.htm,Rīgas pašvaldības policija atkārtoti centīsies izsolīt nolietotās automašīnas,,"Ņemot vērā, ka iepriekš rīkotajā izsolē, kurā tika tirgoti 17 transportlīdzekļi, visus neizdevās pārdot, Rīgas pašvaldības policija rīko jaunu izsoli, kurā tirgos atlikušos deviņus transportlīdzekļus.

Automašīnas savu laiku jau ir nokalpojušas un vairs nav policijas vajadzībām atbilstošas. Izsole tiks rīkota šā gada 30.augustā pulksten 10.00 Rīgas pašvaldības policijas telpās Rīgā, Lomonosova ielā 12a. Izsole būs ar augšupejošu soli.

Pirms izsoles automašīnas var apskatīt RPP Ziemeļu pārvaldes pagalmā Viestura prospektā 17, Rīgā, iepriekš saskaņojot laiku, zvanot pa tālruni darba dienās 67037850 vai 22112261.

Automašīnu pircējs varēs paturēt automašīnas numura zīmi, taču speciālais aprīkojums kā bākugunis un rācijas transportlīdzekļiem nebūs.

Detalizētā informācija un sākuma cenas pieejamas te: https://rpp.riga.lv/izsole/pazinojums-par-9-transportlidzeklu-izsoli/","Ņemot vērā, ka iepriekš rīkotajā izsolē, kurā tika tirgoti 17 transportlīdzekļi, visus neizdevās pārdot, Rīgas pašvaldības policija rīko jaunu izsoli, kurā tirgos atlikušos deviņus transportlīdzekļus.",lit,nra,NRA,fake news,3f92fc0a-3e05-4b76-bdb2-c65a605b7978,article,MassiveSum
https://www.15min.lt/naujiena/aktualu/lietuva/pagridniniu-keliu-dangos-sausos-56-126462,https://www.15min.lt/naujiena/aktualu/lietuva/pagridniniu-keliu-dangos-sausos-56-126462,Pagrindinių kelių dangos - sausos,,"Pagrindinių kelių dangos daugiausia sausos.

Tuo tarpu rajoninių kelių būklė – permaininga: yra ir sausų, ir apledėjusių, kai kur ir provėžotų ruožų.","Daugelyje rajonų silpnai snyguriuoja, vietomis pusto pažeme, praneša Lietuvos automobilių kelių dirkecija.",lit,15min,15Min,fake news,8002f8b7-e081-4f09-9c99-218240dfd259,article,MassiveSum
https://lao.voanews.com/a/china-justifies-attack-on-vietnamese-fishing-boat/1629478.html,https://lao.voanews.com/a/china-justifies-attack-on-vietnamese-fishing-boat/1629478.html,ຈີນວ່າ ຕົນຍິງເຮືອ ຫວຽດນາມ ຍ້ອນຫາປາ ຜິດກົດໝາຍ (ວີດີໂອ),,"ລຳ​ນຶ່ງ ຢູ່​ໃນ​ເຂດ​ ທີ່​ຍັງ​ມີ​ການຖົກ​ຖຽງ​ກັນ ​ໃນທ​ະ​ເລ​ຈີນ​ໃຕ້ ຫລັງ

​ໂຄສົກ​ລັດຖະບານ​ຈີນ ທ່ານ Hong Lei ກ່າວ​ວ່າ ຈີນໄດ້ “​ ເອົາ

ມາດ​ຕະການ ທີ່​ເໝາະ​ສົມ ແລະ​ມີ​ເຫດຜົນ” ຕໍ່​ເຮື​ອຫວຽດນາມ ທີ່​

ຫາ​ປາ​ຢ່າງຜິດ​ກົດໝາຍ​ ໃນ​ນ່ານ​ນໍ້າຂອງ​ຈີນ. ທ່ານ Hong ກ່າວ​ວ່າ ​

“ການ​ຮັບ​ມື ຂອງພະ​ແນ​ກການ​ກ່ຽວຂ້ອງ​ຂອງຈີນ ຕໍ່​ເຮືອ​ຫາ​ປາທີ່​ຜິດ​ກົດໝາຍຂອງ​ຫວຽດນາມ​ນັ້ນ ແມ່ນ​ເໝາະ​ສົມ ​ແລະມີ​ເຫດຜົນ​ດີ. ພະ ​ແນ​ກການ​ກ່ຽວຂ້ອງ​ຂອງຈີນ ຢືນຢັນ​ວ່າ​ ເຮືອ​ຫາ​ປາຫວຽດນາມ ບໍ່​ໄດ້​ຮັບ​ຄວາມ​ເສຍ​ຫາຍ​ ຫລື​ຕົກ​ຢູ່ອັນ​ຕະລາຍ​ໃດໆ ​ໃນ​ເວລາ​ນັ້ນ. ພວກ​ເຮົາ​ຫວັງ​ວ່າ ຝ່າຍ​ຫວຽດນາມ ຈະ​ເອົາ​ບາດ​ກ້າວ​ທີ່​ສຳຄັນ ​ເພື່ອ​ປັບ​ປຸ​ງ ການ​ສຶກສາ ​ແລະ​ການ​ຄຸ້ມ​ຄອງ​ຊາວ​ປະມົງ ​ໃຫ້​ຍຸຕິ​ກິດຈະກຳ​ທີ່​ຜິດ​ກົດ ໝາຍ​ແບບ​ນີ້.”

ໃນ​ວັນ​ຈັນ​ຜ່ານ​ມາ ຫວຽດນາມກ່າວ​ວ່າ ​ເຮືອ​ຈີນລຳ​ນຶ່ງ ​ໄດ້ຍິງ​ປືນໃສ່​ເຮືອ​ຫວຽດນາມ ຢູ່​ໃກ້​ໝູ່​ເກ​າະ Paracel ທີ່​ມີ​ການ​ຂັດ​ແຍ້​ງກັນ ​ແລະໄດ້​ຈູດ​ຫ້ອງ​ຄົນ​ຂັບ. ກະຊວງ​ການ​ຕ່າງປະ​ເທດຫວຽດນາມ ຮ້ອງ​ການ​ໂຈມ​ຕີນີ້​ວ່າ “ຮ້າຍ​ແຮງ” ​ແລະ​ກ່າວ​ວ່າ ມັນ​ເປັນ​ການ​ລ່ວງ​ລະ​ເມີດ​ຕໍ່ອະ ທິປະ​ໄຕ​ຂອງ​ຫວຽດນາມ.

ຫວຽດນາມ ຮຽກຮ້ອງ​ໃຫ້​ຈີນ ທໍາ​ການ​ສືບສວນ​ເຫດການ​ດັ່ງກ່າວ ​ແລະ​ໃຊ້​ຄ່າ​ເສຍ​ຫາຍ​ໃຫ້​ແກ່​ເຮືອຂອງຊາວ​ປະມົງ.ໝູ່​ເກາະ Parcel ​ແມ່ນຄວບ​ຄຸມ​ໂດຍ​ຈີນແຕ່​ອ້າງ​ກຳມະສິດ​ໂດຍຫວຽດ ນາມ.

ສົມ​ບຸນ​ໄປ​ດ້ວຍ​ນໍ້າມັນ ​ແລະແກັສທຳ​ມະ​ຊາດ. ຟິລິບ​ປິນ ໄຕ້​ຫວັນ ມາ​ເລ​ເຊຍ ​ແລະ​ບຣູ​ໄນ ຕ່າງ​ກໍ​ອ້າງເອົາ​ບາງສ່ວນ​ຂອງ​ທະ​ເລດັ່ງກ່າວເຊັ່ນດຽວກັນ.​",ຈີນກ່າວ​ວ່າ ຕົນ​ມີ​ເຫດຜົນ​ພຽງພໍ ​ທີ່​ໄດ້ຍິງ​ເຮືອ​ຫາ​ປາຫວຽດນາມລຳ​ນຶ່ງ ຢູ່​ໃນ​ເຂດ​ທີ່​ຍັງ​ມີ​ການຖົກ​ຖຽງ​ກັນ ​ໃນທ​ະ​ເລ​ຈີນ​ໃຕ້,lit,voanews,VOA News,fake news,d042a83c-83d5-4dd7-8890-25ab7b837ee7,article,MassiveSum
