url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
https://www.voaafaanoromoo.com/a/4854797.html,https://www.voaafaanoromoo.com/a/4854797.html,Waggaa 1ffaa Bulchiinsa Dr. Abiyyi Ilaalchisee Yaada Namoota Ogummaa Hojii Garaa Garaa Keessa Jiranii,,"Waggaa tokkoffaa Muummichi Ministira Itoophiyaa Doktor Abiyyi Ahmad gara Aangootti dhufan ilaalichisee namootni ogummaa hojii gara gara keessa jiran Raadiyoo Sagalee Ameerikaaf yaada kennaniiru.

Namonni kunneen akka jedhanitti gama Siiyasattiin hojiiwwan Dr.Abiyyi hojjatan milkaa'inaa qaba garuu gama Diinagdee, Nageenya fi tasgabi biyyatti irratti caalmaatti hojjechuttu barbachisadha jedhan.","Waggaa tokkoffaa Muummichi Ministira Itoophiyaa Doktor Abiyyi Ahmad gara Aangootti dhufan ilaalichisee namootni ogummaa hojii gara gara keessa jiran Raadiyoo Sagalee Ameerikaaf yaada kennaniiru.
Namonni kunneen akka jedhanitti gama Siiyasattiin hojiiwwan Dr.Abiyyi hojjatan milkaa'inaa...",pus,voaafaanoromoo,VOA Afan Oromo,fake news,9b44e493-df03-46df-b615-862650745d9f,article,MassiveSum
https://www.voaportugues.com/a/3852094.html,https://www.voaportugues.com/a/3852094.html,Ministério Público moçambicano evoca segredo de justiça para não revelar agora o relatório da auditoria,,"Copy and paste the embed code below.

The code has been copied to your clipboard.","VOA Português é a página da rádio Voz da América. Muitas notícias da África Lusófona, Estados Unidos e Mundo. Visite-nos também em m.voaportugues,com. Voz da America - Portugues apresenta as últimas notícias de África, internacionais, regionais e locais, além do desporto, economia, ciência, arte e cultura.",pus,voaportugues,VOA Portugues,fake news,797d36fa-4295-4b18-95d8-724922592185,article,MassiveSum
https://www.punjabijagran.com/technology/general-pubg-mobile-0-16-5-update-rolling-out-come-brings-new-map-vehicle-and-royale-pass-season11-8739483.html,https://www.punjabijagran.com/technology/general-pubg-mobile-0-16-5-update-rolling-out-come-brings-new-map-vehicle-and-royale-pass-season11-8739483.html,pubg mobile 0 16 5 update rolling out come brings new map vehicle and royale pass season11,,"ਟੈਕ ਡੈਸਕ, ਨਵੀਂ ਦਿੱਲੀ : PUBG Mobile ਨੇ ਆਪਣਾ ਨਵਾਂ ਅਪਡੇਟ 0.16.5 ਰੋਲ ਆਊਟ ਕਰਨਾ ਸ਼ੁਰੂ ਕਰ ਦਿੱਤਾ ਹੈ। ਇਸ ਨਵੇਂ ਵਿਚ ਡੋਮੀਨੇਸ਼ਨ ਗੇਮ ਮੋਡ, ਨਵਾਂ ਅਰੀਨਾ ਮੈਪ, ਇਕ ਨਵਾਂ ਵਹੀਕਲ, Royale Pass Season 11 ਸਣੇ ਕਈ ਹੋਰ ਨਵੇਂ ਫੀਚਰ ਮੁਹੱਈਆ ਕਰਵਾਏ ਜਾਣਗੇ। ਨਵੇਂ ਅਪਡੇਟ ਨੂੰ Apple App Store ਅਤੇ Google Play ਸਟੋਰ ਤੋਂ ਇੰਸਟਾਲ ਕੀਤਾ ਜਾ ਸਕੇਗਾ। ਇਸ ਗੱਲ ਨੂੰ ਲੈ ਕੇ ਕੰਪਨੀ ਨੇ ਆਪਣੇ ਅਧਿਕਾਰਿਤ ਟਵਿੱਟਰ ਅਕਾਉਂਟ 'ਤੇ ਇਕ ਟਵੀਟ ਵੀ ਕੀਤਾ ਹੈ।

ਕੰਪਨੀ ਨੇ ਟਵੀਟ ਕਰਕੇ ਦੱਸਿਆ ਹੈ ਕਿ ਪਬਜੀ ਮੋਬਾਈਲ ਦਾ ਨਵਾਂ ਅਪਡੇਟ 9 ਜਨਵਰੀ ਨੂੰ ਰੋਲ ਆਊੁਟ ਕੀਤਾ ਜਾਵੇਗਾ। ਇਸ ਵਿਚ Royale Pass Season 11 ਵੀ ਮੁਹੱਈਆ ਕਰਾਇਆ ਜਾਵੇਗਾ। ਇਸ ਲਈ ਡਾਊਨਟਾਈਮ ਨਹੀਂ ਹੈ। ਐਂਡਰਾਈਡ ਵਿਚ ਇਹ ਅਪਡੇਟ 0.14 ਜੀਬੀ ਦਾ ਹੈ ਅਤੇ ਆਈਓਐੱਸ ਵਿਚ 0.17 ਜੀਬੀ ਦਾ ਹੈ।

PUBG MOBILE will be pushing out an Update starting from January 9th to prepare for Royale Pass Season 11 Operation Tomorrow, there will be no downtime. This update requires approximately 0.14 GB of storage space on Android and 0.17 GB on iOS. See you tomorrow!

ਪਬਜੀ ਮੋਬਾਈਲ ਵਿਚ ਲੈਟੇਸਟ ਅਪਡੇਟ ਵਿਚ ਮਿਲਣਗੇ ਇਹ ਫੀਚਰਜ਼

ਨਵੇਂ ਡੋਮੀਨੇਸ਼ਨ ਮੋਡ ਜ਼ਰੀਏ ਪਲੇਅਰਜ਼ ਅਰੀਨਾ ਮੈਪ ਵਿਚ ਜਾ ਸਕਣਗੇ। ਇਥੇ 4v4 ਬੈਟਲ ਲਈ ਉਨ੍ਹਾਂ ਨੂੰ ਜਾਂ ਤਾਂ ਬਲੂ ਜਾਂ ਰੇਡ ਟੀਮ ਵਿਚ ਅਸਾਈਨ ਕੀਤਾ ਜਾਵੇਗਾ। ਸ਼ੁਰੂਆਤ ਵਿਚ ਇਕ ਰੈਂਡਮ ਬੇਸ ਨੂੰ ਐਕਟੀਵੇਟ ਕੀਤਾ ਜਾਵੇਗਾ। ਜਦੋਂ ਗੇਮ ਐਕਟੀਵੇਟ ਹੋ ਜਾਵੇ ਅਤੇ ਕੋਈ ਟੀਮ ਪਹਿਲਾਂ ਬੇਸ ਤਾਂ ਖ਼ਤਮ ਕਰ ਲਵੇਗੀ। ਤਾਂ ਵੱਖਰਾ ਬੇਸ ਐਕਟੀਵੇਟ ਕੀਤਾ ਜਾਵੇਗਾ।

ਪਬਜੀ ਮੋਬਾਈਲ ਟੀਮ ਨੇ ਦੱਸਿਆ ਕਿ ਇਸ ਵਿਚ ਕੁਲ ਮਿਲਾ ਕੇ 3 ਬੇਸ ਮੌਜੂਦ ਹਨ। ਇਨ੍ਹਾਂ ਵਿਚੋਂ ਜੋ ਵੀ ਟੀਮ 2 ਬੇਸ ਪਹਿਲਾਂ ਕੈਪਚਰ ਕਰ ਲਵੇਗੀ ਉਹ ਜਿੱਤ ਜਾਵੇਗੀ। ਇਸ ਦੇ ਨਾਲ ਹੀ Super Weapon Crates ਵੀ ਮੁਹੱਈਆ ਕਰਵੇ ਜਾਣਗੇ ਜੋ ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਖ਼ਤਮ ਕਰਨ ਵਿਚ ਮਦਦ ਕਰਨਗੇ। ਨਵੇਂ ਅਪਡੇਟ ਵਿਚ ਨਵਾਂ ਗੇਮਪਲੇਅ ਮੋਡ ਅਤੇ ਨਵਾਂ ਮੈਪ ਦਿਤਾ ਜਾਣਾ ਹੈ। ਇਸ ਵਿਚ Royale Pass Season 11 ਵੀ ਮੁਹੱਈਆ ਕਰਵਾਇਆ ਜਾਵੇਗਾ।","PUBG Mobile ਨੇ ਆਪਣਾ ਨਵਾਂ ਅਪਡੇਟ 0.16.5 ਰੋਲ ਆਊਟ ਕਰਨਾ ਸ਼ੁਰੂ ਕਰ ਦਿੱਤਾ ਹੈ। ਇਸ ਨਵੇਂ ਵਿਚ ਡੋਮੀਨੇਸ਼ਨ ਗੇਮ ਮੋਡ, ਨਵਾਂ ਅਰੀਨਾ ਮੈਪ, ਇਕ ਨਵਾਂ ਵਹੀਕਲ, Royale Pass Season 11 ਸਣੇ ਕਈ ਹੋਰ ਨਵੇਂ ਫੀਚਰ ਮੁਹੱਈਆ ਕਰਵਾਏ ਜਾਣਗੇ।",pus,punjabijagran,Punjab Jagran,fake news,22905592-aa62-402b-ab99-a697c32cd2ff,article,MassiveSum
https://sambad.in/india-and-beyond/indias-recovery-rate-is-high-577904/,https://sambad.in/india-and-beyond/indias-recovery-rate-is-high-577904/,"କରୋନା ମହାମାରୀ ଭିତରେ ଆଶ୍ୱସ୍ତିର ଖବର: ବିଶ୍ୱରେ ସୁସ୍ଥତା ସଂଖ୍ୟାରେ ଶୀର୍ଷରେ ଭାରତ, ୯୦% ଆକ୍ରାନ୍ତ ସୁସ୍ଥ; ଆମେରିକାରେ ସୁସ୍ଥତା ହାର ମାତ୍ର ୬୫%",,"ନୂଆଦିଲ୍ଲୀ: ବିଶ୍ୱରେ କରୋନା ଆକ୍ରାନ୍ତଙ୍କ ସୁସ୍ଥତା ହାରରେ ଭାରତ ଏନ ନୂଆ ରେକର୍ଡ କରିଛି । ଭାରତରେ କରୋନା ସୁସ୍ଥତା ହାର ୯୦ ପ୍ରତିଶତରେ ପହଞ୍ଚିଛି । ବର୍ତ୍ତମାନ ସୁଦ୍ଧା ଦେଶରେ କରୋନା ସଂକ୍ରମିତ ହୋଇଥିବା ମୋଟ ରୋଗୀଙ୍କ ମଧ୍ୟରୁ ୯୦ ପ୍ରତିଶତ ଅର୍ଥାତ ୭୦ ଲକ୍ଷ ୭୮ ହଜାର ୧୨୩ ଜଣ ସୁସ୍ଥ ହୋଇଛନ୍ତି । ଅନ୍ୟପଟେ ଏବେ ସମୁଦାୟ ସଂକ୍ରମିତଙ୍କ ମଧ୍ୟରୁ ୮.୫୦ ପ୍ରତିଶତ ଅର୍ଥାତ ୬ ଲକ୍ଷ ୬୮ ହଜାର ୧୫୪ ଜଣ ସକ୍ରିୟ ଅଛନ୍ତି । ତେବେ ମହାମାରୀ କରୋନା ଯୋଗୁଁ ଦେଶରେ ମୋଟ ଆକ୍ରାନ୍ତଙ୍କ ମଧ୍ୟରୁ ମାତ୍ର ୧.୫୧ ପ୍ରତିଶତ ବା ୧ଲକ୍ଷ ୧୮ ହଜାର ୫୩୪ ଜଣଙ୍କର ମୃତ୍ୟୁ ହୋଇଛି ।

ତେବେ ୱାର୍ଲ୍ଡୋମିଟରର ତଥ୍ୟ ଅନୁସାରେ ବ୍ରାଜିଲରେ ସୁସ୍ଥତା ହାର ୮୯.୫ ପ୍ରତିଶତ ଥିବା ବେଳେ ଋଷିଆରେ ୭୫.୫ ପ୍ରତିଶତ ରହିଛି । କିନ୍ତୁ ଆକ୍ରାନ୍ତ ସଂଖ୍ୟାର ଶୀର୍ଷରେ ଥିବା ଆମେରିକା କ୍ଷେତ୍ରରେ ସୁସ୍ଥତା ହାର ବେଶ୍ କମ୍ ରହିଛି । ଆମେରିକାରେ ସୁସ୍ଥତା ହାର ମାତ୍ର ୬୫ ପ୍ରତିଶତ । ବର୍ତ୍ତମାନ ଭାରତରେ ସୁସ୍ଥତା ହାର ବିଶ୍ୱରେ ସର୍ବାଧିକ ରହିଛି ।

ଅନ୍ୟପଟେ ସ୍ବାସ୍ଥ୍ୟ ମନ୍ତ୍ରାଳୟର ସୂଚନା ଅନୁଯାୟୀ, ଆଜି ଦେଶରେ କରୋନାରେ ମାତ୍ର ୫୭୮ ଜଣଙ୍କର କରୋନାରେ ମୃତ୍ୟୁ ହୋଇଛି ଏବଂ ୫୦ ହଜାର ୧୨୯ ଜଣ ନୂଆ ଆକ୍ରାନ୍ତ ଚିହ୍ନଟ ହୋଇଛନ୍ତି ।",ନୂଆଦିଲ୍ଲୀ: ବିଶ୍ୱରେ କରୋନା ଆକ୍ରାନ୍ତଙ୍କ ସୁସ୍ଥତା ହାରରେ ଭାରତ ଏନ ନୂଆ ରେକର୍ଡ କରିଛି । ଭାରତରେ କରୋନା ସୁସ୍ଥତା ହାର ୯୦ ପ୍ରତିଶତରେ ପହଞ୍ଚିଛି । ବର୍ତ୍ତମାନ ସୁଦ୍ଧା ଦେଶରେ କରୋନା ସଂକ୍ରମିତ ହୋଇଥିବା ମୋଟ ରୋଗୀଙ୍କ ମଧ୍ୟରୁ ୯୦ ପ୍ରତି,pus,sambad,Sambad,fake news,8c9ba6c6-4b04-49b9-aa79-4836f725f046,article,MassiveSum
https://pa.azadiradio.com/a/29835860.html,,ناټو: دوه امریکايي سرتیري په افغانستان کې وژل شوي,,چهارشنبه ۱۵ غویی ۱۴۰۰ کابل ۰۳:۲۰,"په افغانستان کې د ناټو د قاطع ملاتړ ماموریت وايي، دوه امریکايي سرتیري یې د جمعې په ورځ د عملیاتو پر مهال وژل شوي دي.
نن سهار د ناټو د قاطع ملاتړ ماموریت له‌خوا په خپره شوې خبرپاڼه کې په‌دې اړه نور جزئیات نه‌دي ورکړل شوي او د وژل شویو سرتېرو د نومونو یادونه هم نه‌ده شوې.
سره له دې چې افغان...",pus,azadiradio,Azadi Radio,fake news,f7c90676-828e-4f5e-9eb1-0b0d3e0cbe08,article,MassiveSum
https://pa.azadiradio.com/a/24759384.html,,هيګ: د افغان ځواکونو له ليکو څخه د بريدونو د مخنيوي اقدامات شوي,,د بريتانيا د بهرنيو چارو وزير وايي، د افغان ځواکونو له منځ څخه پر بهرنيو سرتېرو د بريدونو د مخنيوي لپاره اضافي اقدامات شوي دي. د جرمني د خبري اژانس په حواله، ويليم هيګ چې د افغانستان په باب يې د خپل هېواد پارلمان ته معلومات ورکول، وويل، بريتانيا له افغان او ائتلافي ځواکونو سره ګډ کار ته ادامه ورکوي، چې د افغان ځواکونو له ليکو څخه پر بهرنيو همکارانو د بريدونو مخنيوى وشي. هيګ ويلي، چې له افغاني کلتور سره د بهرنيو ځواکونو بلدتيا، ورسره پر افغان ځواکونو څار او تفتيش هم زيات شوى دى. د بريتانيا د بهرنيو چارو د وزير په خبره، د نويو سرتېرو د استخدام پر بهير څارنه جدي شوې او استخباراتي هڅې هم زياتې شوې دي. د ده په وينا، افغان ځواکونه ورځ په ورځ د سخت دريځو وسلوالو په وړاندې د جګړې په اولو خطونو کې حضور پيدا کوي او دوى هم د ورته بريدونو له خطر سره مخامخ دي. خو ويليم هيګ ټينګار وکړ، چې دغه ډول بريدونه به په افغانستان کې د بريتانيا او نورو همکارو هېوادونو پوځي ستراتيژي منحرفه نه کړي. زيات بريتانوي سرتېري په هلمند کې دېره دي. دا په داسې حال کې ده چې راپورونه وايي، پرون څلور افغان پوليس د هلمند په ګريشک ولسوالۍ کې د خپلو همکارانو له خوا ووژل شول. د راپورونو له مخې، څو ورځې مخکې دوه بريتانوي سرتېري د يوه کس له خوا چې د پوليسو درېشي يې کړې وه، په هلمند کې ووژل شول. د روان ميلادي کال له پيله د افغان ځواکونو له منځ څخه په بريدونو کې ٥٥ بهرني سرتېري وژل شوي، چې چارواکي وايي ١١ تنه يې بريتانويان وو.,"د بريتانيا د بهرنيو چارو وزير وايي، د افغان ځواکونو له منځ څخه پر بهرنيو سرتېرو د بريدونو د مخنيوي لپاره اضافي اقدامات شوي دي.
د جرمني د خبري اژانس په حواله، ويليم هيګ چې د افغانستان په باب يې د خپل هېواد پارلمان ته معلومات ورکول، وويل، بريتانيا له ...",pus,azadiradio,Azadi Radio,fake news,1dcb8733-cb70-4766-864a-dbb4ef1f1d51,article,MassiveSum
https://www.pashtovoa.com/a/3645855.html,https://www.pashtovoa.com/a/3645855.html,دویمه سهارنۍ خبري خپرونه,,په دې نیم ساعته خپرونه کې د افغانستان او نړۍ تازه خبرونه، مهم رپوټونه، مطبوعاتو ته کتنه او مرکې شاملې دي.,په دې نیم ساعته خپرونه کې د افغانستان او نړۍ تازه خبرونه، مهم رپوټونه، مطبوعاتو ته کتنه او مرکې شاملې دي.,pus,pashtovoa,Pashto VOA,fake news,2e7c11d4-240d-488c-a126-110de91071a3,article,MassiveSum
https://www.punjabijagran.com/business/general-icici-bank-launches-great-loan-explosion-offers-great-offer-on-all-loans-8720205.html,https://www.punjabijagran.com/business/general-icici-bank-launches-great-loan-explosion-offers-great-offer-on-all-loans-8720205.html,ICICI Bank launches Great Loan Explosion Offers Great Offer on All Loans,,"ਬਿਜਨੈਸ ਡੈਸਕ, ਨਵੀਂ ਦਿੱਲੀ : ਆਈਸੀਆਈਸੀਆਈ ਬੈਂਕ ਨੇ ਸ਼ੁੱਕਰਵਾਰ ਨੂੰ ਮਹਾ ਲੋਨ ਧਮਾਕਾ ਦੀ ਸ਼ੁਰੂਆਤ ਕੀਤੀ ਹੈ। ਇਸ ਤਰ੍ਹਾਂ ਅਰਧ ਸ਼ਹਿਰੀ ਅਤੇ ਪੇਂਡੂ ਇਲਾਕਿਆਂ ਅਤੇ ਵੱਡੇ ਕਾਰਪੋਰੇਟ ਕੈਂਪਸਾਂ ਵਿਚ ਆਨ-ਦ-ਸਪਾਟ ਲੋਨ ਮਨਜ਼ੂਰ ਕੀਤਾ ਜਾਵੇਗਾ ਅਤੇ ਹੰਡੂਈ ਮੋਟਰਜ਼ ਲਿਮਟਿਡ ਸਹਿਤ ਹੋਰ ਕੰਪਨੀਆਂ ਵੱਲੋਂ ਕਰਜ਼ ਸਬੰਧੀ ਆਫ਼ਰ ਦਿੱਤਾ ਜਾਵੇਗਾ। ਇਹ ਆਫਰਾਂ ਉਨਾਂ੍ਹ ਲੋਕਾਂ ਲਈ ਹੋਣਗੀਆਂ ਜੋ ਬੈਂਕ ਦੇ ਗਾਹਕ ਨਹੀਂ ਹੈ। ਬੈਂਕ ਮਾਰਚ 2020 ਦੇ ਅੰਤ ਤਕ ਦੇਸ਼ ਭਰ ਵਿਚ ਅਜਿਹਾ 2000 ਮਹਾ ਕਰਜ਼ ਕੈਂਪ ਲਗਵਾਏ ਜਾਣਗੇ। ਹਰ ਕੈਂਪ ਦੋ ਦਿਨ ਦਾ ਹੋਵੇਗਾ, ਜਿਥੇ ਲੋਕ ਲੋੜ ਮੁਤਾਬਕ ਦਸਤਾਵੇਜ਼ਾਂ ਦੇ ਨਾਲ ਜਾ ਕੇ ਆਪਣੇ ਉਤਪਾਦਾਂ ਨੂੰ ਖ਼ਰੀਦਣ ਲਈ ਮੌਕੇ 'ਤੇ ਹੀ ਅਪਰੂਵਲ ਪਾ ਸਕਦੇ ਹਨ। ਬੈਂਕ ਨੇ ਗੁਜਰਾਤ ਦੇ ਬਨਾਸਕਾਂਠਾ ਤੋਂ ਅੱਜ ਮਹਾ ਲੋਨ ਧਮਾਕਾ ਲਾਂਚ ਕੀਤਾ।

ਬੈਂਕ ਮਹਾ ਲੋਨ ਧਮਾਕਾ ਤਹਿਤ ਦੋ ਅਤੇ ਚਾਰ ਪਹੀਆ ਵਾਹਨਾਂ ਟਰੱਕਾਂ, ਖੇਤੀ ਸੰਦਾਂ ਅਤੇ ਨਿੱਜੀ ਕਰਜ਼, ਗੋਲਡ ਲੋਨ ਅਤੇ ਕਿਸਾਨ ਕ੍ਰੈਡਿਟ 'ਤੇ ਆਫਰਾਂ ਅਤੇ ਵਿਸ਼ੇਸ਼ ਪੈਕੇਜ ਦੀ ਇਕ ਵਿਸਤ੍ਰਿਤ ਸੀਰੀਜ਼ ਦੇ ਰਿਹਾ ਹੈ। ਆਲੇ ਦੁਆਲੇ ਦੇ ਸ਼ਹਿਰਾਂ ਅਤੇ ਪਿੰਡਾਂ ਦੇ ਲੋਕ ਮਹਾ ਲੋਨ ਕੈਂਪ ਵਿਚ ਇਕ ਹੀ ਥਾਂ 'ਤੇ ਬੈਂਕ ਦੇ ਸਾਰੇ ਪ੍ਰੋਡਕਟਾਂ ਅਤੇ ਸੇਵਾਵਾਂ ਦੀ ਪੂਰੀ ਸੀਰੀਜ਼ ਬਾਰੇ ਵੀ ਜਾÎਣਕਾਰੀ ਹਾਸਲ ਕਰ ਸਕਣਗੇ। ਵੱਡੇ ਕਾਰਪੋਰੇਟ ਸੈਕਟਰਾਂ ਵਿਚ ਲਗਾਏ ਗਏ ਅਜਿਹੇ ਕੈਂਪਾਂ ਵਿਚ ਬੈਂਕ ਹੋਮ ਲੋਨ, ਨਿੱਜੀ ਲੋਨ, ਵਹੀਕਲ ਲੋਨ ਅਤੇ ਕ੍ਰੈਡਿਟ ਕਾਰਡ ਲਈ ਤਤਕਾਲ ਮਨਜ਼ੂਰੀ ਦੇਵੇਗਾ।

ਮਹਾ ਲੋਨ ਧਮਾਕਾ ਦੀ ਮੁੱਖ ਗੱਲਾਂ

ਦੋਪਹੀਆ ਵਾਹਨ ਦੀ ਆਨ ਰੋਡ ਕੀਮਤ 'ਤੇ 100 ਫੀਸਦ ਤਕ ਲੋਨ, ਟਰੱਕ ਦੀ ਕੀਮਤ 'ਤੇ 95 ਫੀਸਦ ਤਕ ਲੋਨ।

ਦੋ ਲੱਖ ਰੁਪਏ ਤੋਂ ਉਪਰ ਦੇ ਗੋਲਡ ਲੋਨ ਲਈ ਪ੍ਰੋਸੈਸਿੰਗ ਫੀਸ ਵਿਚ 50 ਫੀਸਦ ਦੀ ਕਮੀ।

ਹੰਡੂਈ ਮੋਟਰਜ਼ ਇੰਡੀਆ ਲਿਮਟਿਡ ਸਮੇਤ ਵਾਹਨ ਨਿਰਮਾਤਾ ਵੱਲੋਂ ਚੋਣਵੇਂ ਚਾਰ ਪਹੀਆ ਮਾਡਲ 'ਤੇ ਖਾਸ ਆਫਰ

ਗਾਨਾ ਡਾਟ ਕਾਮ ਅਤੇ ਸੋਨੀ ਲਾਈਵ ਦੀ ਇਕ ਸਾਲ ਦੀ ਮੈਂਬਰਸ਼ਿਪ

ਪ੍ਰੋਸੈਸਿੰਗ ਫੀਸ ਵਿਚ 50 ਕਮੀ ਅਤੇ ਤਕਨੀਕੀ ਅਤੇ ਕਾਨੂੰਨੀ ਕਾਰਵਾਈ 'ਤੇ ਕੋਈ ਫੀਸ ਨਹੀਂ।

ਪੰਜ ਸਾਲਾਂ ਲਈ ਕੇਸੀਸੀ ਓਵਰਡ੍ਰਾਫਟ ਸਹੂਲਤ, ਸਲਾਨਾ ਸਮੀਖਿਆ ਅਧੀਨ।",ਆਈਸੀਆਈਸੀਆਈ ਬੈਂਕ ਨੇ ਸ਼ੁੱਕਰਵਾਰ ਨੂੰ ਮਹਾ ਲੋਨ ਧਮਾਕਾ ਦੀ ਸ਼ੁਰੂਆਤ ਕੀਤੀ ਹੈ। ਇਸ ਤਰ੍ਹਾਂ ਅਰਧ ਸ਼ਹਿਰੀ ਅਤੇ ਪੇਂਡੂ ਇਲਾਕਿਆਂ ਅਤੇ ਵੱਡੇ ਕਾਰਪੋਰੇਟ ਕੈਂਪਸਾਂ ਵਿਚ ਆਨ-ਦ-ਸਪਾਟ ਲੋਨ ਮਨਜ਼ੂਰ ਕੀਤਾ ਜਾਵੇਗਾ ਅਤੇ ਹੰਡੂਈ ਮੋਟਰਜ਼ ਲਿਮਟਿਡ ਸਹਿਤ ਹੋਰ ਕੰਪਨੀਆਂ ਵੱਲੋਂ ਕਰਜ਼ ਸਬੰਧੀ ਆਫ਼ਰ ਦਿੱਤਾ ਜਾਵੇਗਾ।,pus,punjabijagran,Punjab Jagran,fake news,ec34cc2f-b0d8-4bcf-8723-f7830c427b10,article,MassiveSum
https://www.pashtovoa.com/a/afghanistan-attacker/1573290.html,,په ارزګان کې یو پولیس خپل څلور همکاران وژلي,,د داخلي بريدونو په يوه وروستۍ پېښه کې په اروزګان کې يوه پوليس دوسله والوطالبانوپه مرسته پرخپلو۶ ملګرو حمله کړې او۶ تنو ته يې پکښي مرګ ژوبله اړولې ده . دارزوګان پوليس مقامات وايي چي تيره شپه دولايت په يوه مرکزي برخه کې د پوليسو يوه سرتيري دخپل ماموريت پرمهال دوسله والوطالبانو په ملتيا پرخپلو۶ بيده ملګروپوليسو حمله کړې ۴ تنه وژلي او۲ نوريې ټپي کړي دي . ترپيښي وروسته بريدکونکی پوليس له وسله والوطالبانوسره يوځای له سيمي وتلی . داروزګان دپوليسو وياند فريدعايل وايي چي پدې اړه تحقيقات پیل شوي خو د لمړنيومعلوماتوله مخې دوي ته څرګنده شوې چې بريدکونکی پوليس له وړاندیې لا له وسله والوطالبانوسره په اړيکه کې وو . تردې يوه اونۍ مخکې دکندهارپه سپین بولدک والسوالۍ کې ۳ سرحدي پوليسوخپل ۴ ملګري ووژل او۳ تنه نوريې ټپیان کړل چي دچارواکوپه وينا۳ واړه بريدکونکي تربريدوروسته د ډیورنډ پولي پوري خواته واوښتل. په عین حال کې د کندهاردامنيت امرسمونوال رحمت الله اطرافي په يوه خبري ناسته کې خبر ورکړچي په تيره يوه اونۍ کې يې د دولت ۲۱تنه وسله وال مخالفين ژوندي نيولي . نوموړی چي دپوليسو دتيري يوې اونۍ دلاس ته راوړنوپه باب رسنيوته وویل چي دپوليسوپه ليکوکې دشکمنوکسانو دپيژندنې لپاره دپخواپه تناسب توجه زياته شوې اوبیلابيلي څارونکې ادارې پدې کاربوختي دي.،، ،،موږپه هرماموريت ،هره حوزه اوهره قطعه کې خپل څارونکي مامورين لرو چي دملي امنيت ،جنايي ،تروريزم اوځينواداروکارکونکې پکښي شامل دي ، موږدې ته سخت متوجه يوچي خدای مکړه که کوم څوک ددښمن تراغيزلاندي راځي اویاهم له بلي لاري ددښمن سره همکاري کوي پروخت وپیژندل شي اودازموږلپاره په داخل کې ترټولومهمه دنده ده ،، . دارزوګان دغه تازه پېښه لمړنی نده اود ډیرو کتونکوپه باور شايد نه هم وروستۍ وي ،خوپه ټوله کې دامنيتي بنستنو په دننه کې دغه ډول بريدونو ګڼي اندېښنې له ځان سره پیداکړې . په پوځي قطعاتوکې دسالم مديريت دنشتون په ګډون ځیني رواني اواقتصادي ستونزي هم ددغه ډول بريدونوديوه عامل په توګه ياديږي خو، ډیری نظامي کتونکې پدې باوردي چي په لمړي سرکې دسرتيرو په جلب اوجذب کې له بيړي څخه کاراخيستل شوی او ممکن ددولت دوسله والومخالفينوپه ګډون جينايي ډلوهم پکښي ځانونه ځای کړي وي ،چي پيژندنه يې ډیرکاراودقيقه پاملرنه غواړي . عزیزالله پوپل- کندهار,دارزوګان پوليس مقامات وايي چي تيره شپه دولايت په يوه مرکزي برخه کې د پوليسو يوه سرتيري دخپل ماموريت پرمهال دوسله والوطالبانو په ملتيا پرخپلو۶ بيده ملګروپوليسو حمله کړې ۴ تنه وژلي او۲ نوريې ټپي کړي دي .,pus,pashtovoa,Pashto VOA,fake news,cae5b6ae-5599-424a-8900-5eb46a8b6b99,article,MassiveSum
https://www.darivoa.com/a/a-48-2008-04-08-voa4-94150789/1432539.html,https://www.darivoa.com/a/a-48-2008-04-08-voa4-94150789/1432539.html,خواست برغوتی، رهبر فلسطينی، در مورد صلح با اسرائيل,,"مروان برغوتي رهبر ارشد زنداني فلسطيني ميگويد، فلسطيني ها براي انجام مذاکرات صلح با اسرائيل آماده اند و از هردو جانب تقاضا کرد تا بزود ترين فرصت ممکنه بيک موافقۀ آتش بس نايل شوند.

برغوتي درخواستش مبني بر راه حل دو کشور را امروز پیشکش نمود. آن نامه امروز طی سي امين سالروز «جنبش صلح نو» توسط اعضاي آن، قرائت خواهد شد.

اين گروه، حامي صلح با فلسطينيان و مخالف اشغال اراضي فلسطيني ها توسط اسرائيل، ميباشد.

برغوتي بخاطر شموليت در حملات مرگبار بر اسرائيلي ها در جريان قيام سال ۲۰۰۰ فلسطيني ها، به پنج بار حبس ابد محکوم شده و زنداني ميباشد.

ايهود اولمرت صدر اعظم اسرائيل و محمود عباس رئيس اداره امور فلسطيني ها اخيراً مذاکرات صلح شان را سر گرفتند، مذاکراتی که هدف آن نيل بيک موافقۀ صلح تا ختم سال جاري ميباشد.",مروان برغوتی رهبر ارشد زندانی فلسطينی ميگويد، فلسطينی ها برای انجام مذاکرات صلح با اسرائيل آماده اند و از هر دو جانب تقاضا کرد تا بزود,pus,darivoa,Dari VOA,fake news,93e7e63b-1393-4a5c-b974-b93bb8e5bdc3,article,MassiveSum
