url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
https://www.voashona.com/a/3214829.html,https://www.voashona.com/a/3214829.html,Hurukuro NaVa Bernard Manyenyeni,,"Tiudzei Zvamunofunga! Isu veStudio7 tinoda kunzwa kuvateereri vedu - kwete kunzwa chete maererano nezvirongwa zvedu, asi kuti kunzwawo pfungwa dzenyu panhau dzatinotepfenyura. Nokudaro tiudzei zvamunofunga nhasi!","Tiudzei Zvamunofunga! Isu veStudio7 tinoda kunzwa kuvateereri vedu - kwete kunzwa chete maererano nezvirongwa zvedu, asi kuti kunzwawo pfungwa dzenyu panhau dzatinotepfenyura. Nokudaro tiudzei zvamunofunga nhasi!",sna,voashona,VOA Shona,fake news,0bec8e89-2a23-49a4-8ef6-81581ff60152,article,MassiveSum
https://www.voashona.com/a/zimbabwe-politicians-job-sikhala-and-fadzai-mahere-and-journalists-chinono-remain-under-arrest/5734626.html,https://www.voashona.com/a/zimbabwe-politicians-job-sikhala-and-fadzai-mahere-and-journalists-chinono-remain-under-arrest/5734626.html,"VaSikhala, Muzvare Mahere naChin'ono Voramba Vari Mutirongo",,"Dare ramejasitiriti remuHarare rarasa chikumbiro chemumiriri weZengeza West muparamende uye vari mutevedzeri wasachigaro weMDC Alliance, VaJob Sikhala, chekuti nyaya yavari kupomerwa yekuburitsa manyepo nekukurudzira veruzhinji kuti vapandukire hurumende, iraswe.

Ukuwo mutori wenhau, Hopewell Chin’ono, pamwe nemutauriri weMDC Alliance, Muzvare Fadzai Mahere, vanzi mitongo pazvikumbiro ichaziviswawo svondo rino.

Mutongi wedare, VaNgoni Nduna, varasa chikumbiro chaVaSikhala chekuti nyaya yavari kupomerwa iraswe sezvo vachiti chikamu chemutemo chavari kunzi vakatyora chakabviswa mumagwaro emitemo yenyika nedare repamusorosoro munyika reConstitutional Court.

Asi VaNduna vati chikamu 31 chemutemo weCriminal Law Codification and Reform Act chakavandudzwa neAmendment 3 yakaitwa muna 2016 saka nokudaro zvinotaurwa nechikamu ichi zvichiri pamutemo.

VaNduna vati VaSikhala vanofanira kuiswa muhusungwa kuitira kuti vagozotongwa nemhosva yavari kupomera.

Rimwe remagweta aVaSikhala, VaPaidamoyo Saurombe, vatenda kuti izvi ndizvo zvaturwa nedare.

Zvichitevera mutongo uyu, VaSikhala vari kutarisirwa kudzoka kudare mangwana, Chitatu, pavakatarisirwa kusvitsa chikumbiro chekuti vatongwe vachibva kumba kwavo.

Mune imwe nyaya yakafanana neVaSikhala, mutauriri weMDC Alliance, Muzvare Fadzai Mahere, avo vakasungwa neMuvhuro, vamiswa zvakare pamberi pedare vachipomerwa mhosva yakafanana neya VaSikhala.

Magweta aMuzvare Mahere asvitsawo kudare nyaya imwecheteyo yekuti mutemo uri kushandiswa nehurumende wakabviswa mumagwaro emitemo yenyika pamwe nekusabatwa zvakanaka kwavanoti kwakaitwa Muzvare Mahere vari muhusungwa kunosanganisira kusanganiswa nevamwe vasungwa pasingatevedzerwi zviga zvakatarwa nesangano reWorld Health Organization kuti zvitevedzerwe senzira yekuderedza mukana wekutapuriranwa kwechirwere cheCovid 19.

Mutongi wedare panyaya iyi, VaTranos Utahwashe, vati vachatura mutongo wavo panyaya iyi neChishanu izvo zvatsinhirwa nerimwe remagweta aMuzvare Mahere, VaTinashe Chinopukutwa.

Zvichakadai, mutori wenhau Hopewell Chin’ono, uyo asvitsawo zvikonzero zvakafanana nezvaVaSikhala naMuzvare Mahere, akatarisirwawo kupihwa mutongo wake mangwana, Chitatu panyaya yaari kupomerwa yekuburitsa manyepo.

Rimwe remagweta ake, VaHarrison Nkomo, vaudza mutongi wedare panyaya iyi, VaLanzini Ncube, kuti vanochengeta vasungwa vaunza Chin’ono kudare aine vamwe vasungwa makumi maviri kunyange hazvo dare rakati Chin’ono asasanganiswe nevamwe vasungwa agare pake ega sezvo achiti pane mukana wekuti anogona kunge akabatira chirwere cheCovid 19 mushure mekumbosangana nevanhu vaviri kuSouth Africa avo vakazowanikwa vaine chirwere ichi mushure mekuongororwa iye adzoka kuZimbabwe.

Vatatu ava vari kupomerwa mhosva yekuti vakaburitsa mashoko pamadandemutande avo eFacebook neTwitter vachiti pane mwana ane mwedzi mipfumbamwe akarohwa nemboma nemumwe mupurisa muHarare akafa mushure mevhidhiyo yakatenderedzwa nevanhu vakawanda paindaneti.

Asi mutauriri wemapurisa, VaPaul Nyathi, vakazoburitsa mashoko ekuti mwana uyu haana kufa, haana kurohwa uye haana kukuvara zvakazoita kuti vatatu ava vasungwe.

Vatatu ava vanoti vari kushungurudzwa zvine chekuita nezvematongerwo enyika.","Dare ramejasitiriti remuHarare rarasa chikumbiro chemumiriri weZengeza West muparamende uye vari mutevedzeri wasachigaro weMDC Alliance, VaJob Sikhala, chekuti nyaya yavari kupomerwa yekuburitsa manyepo nekukurudzira veruzhinji kuti vapandukire hurumende, iraswe.",sna,voashona,VOA Shona,fake news,3325451b-3924-48a1-876e-c1865d3ece7c,article,MassiveSum
https://www.voashona.com/a/2173148.html,https://www.voashona.com/a/2173148.html,Hurukuro naVaLovemore Madhuku,,"Tiudzei Zvamunofunga! Isu veStudio7 tinoda kunzwa kuvateereri vedu - kwete kunzwa chete maererano nezvirongwa zvedu, asi kuti kunzwawo pfungwa dzenyu panhau dzatinotepfenyura. Nokudaro tiudzei zvamunofunga nhasi!","Tiudzei Zvamunofunga! Isu veStudio7 tinoda kunzwa kuvateereri vedu - kwete kunzwa chete maererano nezvirongwa zvedu, asi kuti kunzwawo pfungwa dzenyu panhau dzatinotepfenyura. Nokudaro tiudzei zvamunofunga nhasi!",sna,voashona,VOA Shona,fake news,f0c4d163-d2c6-473b-b4e6-0d4a71f4583a,article,MassiveSum
https://www.voashona.com/a/3804345.html,https://www.voashona.com/a/3804345.html,Hurukuro naDoctor Pedzisai Ruhanya,,"Tiudzei Zvamunofunga! Isu veStudio7 tinoda kunzwa kuvateereri vedu - kwete kunzwa chete maererano nezvirongwa zvedu, asi kuti kunzwawo pfungwa dzenyu panhau dzatinotepfenyura. Nokudaro tiudzei zvamunofunga nhasi!","Tiudzei Zvamunofunga! Isu veStudio7 tinoda kunzwa kuvateereri vedu - kwete kunzwa chete maererano nezvirongwa zvedu, asi kuti kunzwawo pfungwa dzenyu panhau dzatinotepfenyura. Nokudaro tiudzei zvamunofunga nhasi!",sna,voashona,VOA Shona,fake news,144a5bf6-2484-49e8-8fd6-e70f4ff1925c,article,MassiveSum
https://www.voashona.com/a/zimbabwe-president-mnangagwa-blames-protests-and-industrial-strikes-saying-this-kills-the-economy/5205163.html,,VaMnangagwa Vanovhura Musangano weZanu PF Vachishora Kuratidzira neKuramwa Mabasa Kuri Munyika,,"Mutungamiri weZanu PF uye vari mutungamiri wenyika, VaEmmerson Mnangagwa, vavhura zviri pamutemo musangano wepagore webato ravo uri kuitirwa kuGoromonzi vachishora kuratidzira nekuramwa mabasa kwakaitwanevashandi mukati megore rino.

Vari kupinda musangano uyu vaudzwawo kuti ruzhinji rweZimbabwe rwuri kutambura zvakanyaanya nekuda kwekusamira zvakanaka kwehupfumi hwenyika.

Vachivhura musangano wechigumi nesere wepagore webato ravo, VaMnangagwa vashora kuratidzira kwakaitwa munyika muna Ndira uko kwakasiya vamwe vanhu vafa uye vamwe vakuvara.

VaMnangagwa vatora mukana uyu kukurudzira mapato asiri munhaurirano dzezvematongerwo enyika dziri kuitwa pasi pechorongwa chavari kudaidza kuti Political Actors Dialogue, kana kuti Polad, kuti vapinde munhaurirano idzi vachiti havasi kuzoshaya hope nekusapinda kwemamwe mapato munhauriro idzi.

Izvi zvatsinhirwa nemutevedzeri wavo, VaConstantino Chiwenga.

Hatina kukwanisa kutaura nemutauriri weMDC, VaDaniel Molokele, kuti tinzwe divi rebato ravo panyaya idzi.

Asi mutungamiri weMDC, VaNelson Chamisa, vanoti vanoda kuti nhaurirano idzi dzinge dzichitungamirwa nemuyananisi anobva kunze kwenyika uye anove kana akambove mutungamiri weimwe nyika izvo zvatsinhirwa nemutauriri weboka revechidiki muMDC, VaStephen Chuma, avo vati nhaurirano dziri kuitwa naVaMnangagwa nemamwe mapato dzisina MDC mukati, idambe.

Imwe nyanzvi munyaya dzezvematongerwo enyika uye vachishanda vakazvimirira, VaArnold Gumbo, vati hapana chinotadzisa mapato ari muPolad aya kuenderera mberi nenhaurirano kana MDC yaVaChamisa isina kupinda munhaurirano idzi.

Zvichakadai, VaMnangagwa vati chirongwa chekugovera vanhu vatema minda hachisi kuzodzoserwa shure chero nani zvake vachiti vaimbova varimi vechichena vanofanira kujaira kugarisana nevarimi vatsva.

Mashoko aVaMnangagwa aya atsinhirwa neimwe nhengo yeZanu PF iri kupinda musangano uyu, VaEmmson Mapiye.

Sachigaro weZanu PF, Amai Oppah Muchinguri Kashiri, vaudza VaMnangagwa pamusangano uyu kuti ruzhinji rweZimbabwe rwuri kunhonga svosve nemuromo kubudikidza nekusamaira zvakanaka kwakaita hupfumi hwenyika.

Asi VaMnangagwa vati zvinhu zvichanaka chete kana veruzhinji vakashanda nesimba vachiti mutambirwi gwinyawo.

VaMnangagwa vatorawo mukana uyu kushora nyaya yehuori munyika vakatiwo zvakare nyika haisi kuzodzokera pakushandisa mari yedzimwe nyika.

Vatiwo hurumende yavo iri kushanda zvakasimba kugadzirisa nyaya dzehupfumi vakakurudzirawo nhengo dzebato ravo kuti dzishande zvakasimba kuitira kuti bato ravo rigokunda musarudzo dzemuna 2023.

Vakurudzirawo kuti zvichazeyewa pamusangano uyu zvive zvinhu zvinogadzirisa raramo yeveruzhinji.

Panyaya yekusabatana kunonzi kuri mubato ravo, VaMnangagwa vati vavengi vavo vari kuedza kutsvaga vamwe pakati pavo kuti vashande navo asi izvi hazvisi kuzobudirira.

Zvinonzi pane kusawirirana pakati paVaMnangagwa naVaChiwenga asi nhasi vanga vachitaura nezwi rimwe chete pamusangano uyu.

Musangano wegore rino, uyo uri kupindwa nevanhu vanodarika zviuru zvishanu, uri kuitwa pasi pedingindira rinoti: Modernize, merchanize and grow the economy towards Vision 2030.","Vachivhura musangano wechigumi nesere wepagore webato ravo, VaMnangagwa vashora kuratidzira kwakaitwa munyika muna Ndira uko kwakasiya vamwe vanhu vafa uye vamwe vakuvara.",sna,voashona,VOA Shona,fake news,12c74cf4-504f-48c6-87b3-f472e1625c8c,article,MassiveSum
https://www.voashona.com/a/harare-council-chideme/3198622.html,,Kanzuru Yoitira Hurongwa Hwakanaka Kune Vanotengesera muMbare,,"Kanzuru yeguta reHarare inoti ine hurongwa hwekuti vose vari kutengesera munzvimbo dzisingabvumidzwi mumusha weMbare, vange vachiiswa panzvimbo yakaonekwa seyakakodzera kuti vashandire.

Nzvimbo iyi iri pa Shawasha grounds.

Mutauriri wekanzuru, VaMichael Chideme, vanoti nekuona kuti kanzuru inogona kutowana mari kubva muvanhu ava, kuburikidza nekubhadhara kwavo mitero, vaona zvakakodzera kuti vanhu ava vaendeswe panzvimbo iyi.

Svondo rapera kanzuru yakanga yapa vanhu ava maawa makumi mana nemasere ekuti vange vabva munzvimbo dzavari kushandira idzi, kukundikana kwavo vaizobviswa nechisimba.

VaChideme vanoti kanzuru yakaona zvakakosha kuti vanhu ava vasatengesere mumigwagwa mavanga vave kupinda, asi kuti vaende panzvimbo iyoyo.

Vanhu vangada kusvika chiuru nemazana mashanu vanotarisirwa kuti vachabatsirwa nehurongwa uhwu, uhwo hwuchaita kuti vatengesere panzvimbo dzine mvura nezvimbuzi, panguva iyo kanzuru inenge ichigadzirisa nzvimbo yekuti vazoshandira zvachose.","Kanzuru yeguta reHarare inoti ine hurongwa hwekuti vose vari kutengesera munzvimbo dzisingabvumidzwi mumusha weMbare, vange vachiiswa panzvimbo yakaonekwa seyakakodzera kuti vashandire.",sna,voashona,VOA Shona,fake news,08338131-ea01-4ed1-bdc2-647adc20c0fc,article,MassiveSum
https://www.voashona.com/a/zanu-pf-officials-says-us-should-remove-sanctions/4813686.html,,Zanu PF Inoti Zvirango zveAmerica Ngazvibviswe,,"Mutungamiriri weAmerica, VaDonald Trump, vakawedzera neMuvhuro rimwe gore pazvirango zvakatemerwa vakuru vakuru muhurumende yeZanu PF, pamwe nemakambani anodyidzana nehurumende yaVa Emmerson Mangagwa.

VaTrump vakati maitiro evanhu vari pazvirango izvi anokanganisa kutonga kwejekerere. Vakatiwo kodzero dzevanhu vemuZimbabwe dziri kuramba dzichityorwa nehurumende yaVa Mnangagwa.

VaTrump vakati sarudzo dzakaitwa munyikaa gore rapera dzaifanirwa kunge dzakapa mukana wekuti Zimbabwe ipinde munzira itsva, ichipa America mukana wekuti itange zvekare kudyidzana nayo, asi izvi hazvina kuitika.

Studio7 haina kukwanisa kubata mutauriri waVa Mnangagwa, Va George Charamba, kuti tinzwe divi ravo. Hatina wo kukwanisa kubata munyori mubazi rezvekuburitswa kwemashoko, VaNick Mangagwa.

Asi imwe nhengo yeZanu PF, uye vaimbove mumiriri weMpopoma Pelandaba mudare reNational Assembly, VaJoseph Tshuma, vanoti VaTrump havasi kuziva zvavari kutaura nekuti zvinhu zvinonetsa muZimbabwe hazvigone kugadziriswa nenguva pfupi.

America yakatemera zvirango zvehupfumi nekufamba vakuru vakuru muhurumende yavaive yaVaRobert Mugabe muna 2003 zvicitevera kutyorwa kwekodzero dzevanhu muZimbabwe.","Mutungamiriri weAmerica, VaDonald Trump, vakawedzera neMuvhuro rimwe gore pazvirango zvakatemerwa vakuru vakuru muhurumende yeZanu PF, pamwe nemakambani anodyidzana nehurumende yaVa Emmerson Mangagwa.",sna,voashona,VOA Shona,fake news,5783a4e6-4298-4cbd-84a4-c44a399a9ef9,article,MassiveSum
https://www.voashona.com/a/3236099.html,https://www.voashona.com/a/3236099.html,Hurukuro NaAmai Nyasha Chikwinya,,"Tiudzei Zvamunofunga! Isu veStudio7 tinoda kunzwa kuvateereri vedu - kwete kunzwa chete maererano nezvirongwa zvedu, asi kuti kunzwawo pfungwa dzenyu panhau dzatinotepfenyura. Nokudaro tiudzei zvamunofunga nhasi!","Tiudzei Zvamunofunga! Isu veStudio7 tinoda kunzwa kuvateereri vedu - kwete kunzwa chete maererano nezvirongwa zvedu, asi kuti kunzwawo pfungwa dzenyu panhau dzatinotepfenyura. Nokudaro tiudzei zvamunofunga nhasi!",sna,voashona,VOA Shona,fake news,b281ddc9-5264-45d0-9760-5649e84962a7,article,MassiveSum
https://www.voashona.com/a/americana-trump-drives-outside-hospital-to-please-supporters/5610432.html,,Kumboduba kwaVaTrump Muchipatara Kumhoresa Vatsigiri Vavo,,"Dare reSenate remuAmerica rakavhota neMuvhuro manheru kuti Amai Janet Yellen vave gurukota rinoona nezvemari, kana kuti Treasury Secretary.

Amai Yellen ndivo mumhukadzi wekutanga kubata chinzvimbo ichi mu America.

Kubva muna 2014 kusvika muna 2018, Amai Yellen vakange vari sachigaro veFederal Reserve. Vakambotungamirawo kanzuru yezvipangamazano munyaya dzezvehupfumi, kana kuti Council of Economic Advisers, mazuva VaBill Clinton vari mutungamiri weAmerica.

NeMuvhuro wekare, mutungamiri we America, VaJoe Biden, vakasaina gwaro rinodzika mitemo yakasimba mukutengwa kwe zvinhu zvinoshandiswa nehurumende, vachiti hurumende yavo inofanirwa kungotenga zvinhu zvainoshandisa zviri zvakagadzirwa muAmerica.

VaBiden vanoti vanoda kubatsira mukusimbaradza makambani nemabhizimisi emu America anogadzira zvinhu zvakasiyanasiyana.

Vakuru vezvehutano mudunhu reAmerica re Minnesota vakazivisa kuti vakawana munhu ane hutachiwana hwe ‘coronavirus’ yemhando yeku Brazil.

Uyu ndiye munhu wekutanga mu America awanikwa aine mhando iyi yeCovid-19.

Izvi zvinouya musi wataurwawo nekambani inogadzira mushonga wenhomba yeCovid-19, yeModerna, ichiti mushonga wayo wenhomba unokwanisa kudzikisa simba remhando inowanikwa ku Britain neyeku South Africa.

Nyanzvi mune zvehutano, Dr Simbiso Ranga, vaudza Studio7 kuti mashoko abva ku Moderna mashoko anokosha zvikuru, vachiti izvi zvichabatsira mukutsvakwa kwemushonga wakasimba unogona kurapa chirwere cheCovid-19.

Dr Ranga vanoti aya mashoko anopa tarisiro yakanaka kunyika dzose.","Mutungamiri weAmerica, VaDonald Trump, avo vari kurapiwa pachipatara che Walter Reed National Military Medical Center, muguta re Bethesda padyo neWashington D.C, nhasi vambobuda muchipatara vari mumotikari vachimhoresa vatsigiri vavo avo vakaungana pagedhe rechipatara ichi.",sna,voashona,VOA Shona,fake news,d1434ece-2016-4e03-987e-c495fb951327,article,MassiveSum
https://www.voashona.com/a/zimbabwe-gmb-silos-explosion-lions-den/4548606.html,,Vashandi veGMB Votyirwa Kuti Vakafira muMoto Wakapisa Matura kuLions Den,,"Vanhu vatanhatu vari kufungidzirwa kuti vakatsva vakafira mumatura eGrain Marketing Board, GMB, kuLions Den neChipiri manheru.

Vari kufungidzirwa kuti vakatsvira mumoto vashandi veGMB vanonzi vaitsvaira matura aya.

Gurukota rezvekurima, VaPerence Shiri, vakaramba kutaura nezvehuwandu hwevanhu vakafa vachiti vachazivisa veruzhinji kana vapedza kutsvaga vanhu mumatura ose.

VaShiri vakati pari zvino havazive chakakonzeresa kuputika kwakaitika kunyange vamwe vachiti zvakakonzerwa nekusafamba zvakanaka kwemagetsi.

Mumwe anga ari pedyo nematura paakaputika, ndiVaTimothy Tinarwo vanogara muLions Den.

VaTinarwo vanoti vaona mitumbi mitatu uye mumwe anonzi afa achienda kuchipatara chemuChinhoyi.

Vanhu vatatu vakaburitswa vari vapenyu vakaendeswa kuchipatara chemuChinhoyi asi mumwe wavo ayinge akanyanya kutsva akaendeswa kuchipara cheParirenyatwa.

Matura ekuLions Den ndiwo makuru kune matura ose eGMB ari munyika yose.",Vari kufungidzirwa kuti vakatsvira mumoto vashandi veGMB vanonzi vaitsvaira matura aya.,sna,voashona,VOA Shona,fake news,24de4865-4f8a-4808-aada-688d117088b6,article,MassiveSum
