url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
https://www.zeriamerikes.com/a/a-30-2010-03-06-voa-franca-86878997/442857.html,https://www.zeriamerikes.com/a/a-30-2010-03-06-voa-franca-86878997/442857.html,Presidenti francez premton ndihmë ekonomike për Greqinë,,"Presidenti i Francës, Nicolas Sarkozi tha se qeveria e tij do ta mbështesë Greqinë në përpjekjet për të reduktuar deficitin gjigand buxhetor.

Presidenti Sarkozi shprehu sot në Paris mbështetje për Greqinë gjatë një fjalimi që mbajti për fermerët francezë. Ai do të takohet nesër me kryeministrin grek, George Papandreou për të diskutuar mbi këtë çështje.

Udhëheqësi francez tha se Bashkimi Evropian e krijoi monedhën Euro dhe nuk duhet të lejojë që një vend që e përdor atë të dështojë. Greqia është një prej 16 vendeve të BE-së që përdor Euron.

Zoti Papandreou mori mbështetje morale nga zyrtarët gjermanë dje në Berlin. Ai po viziton Francën dhe Gjermaninë në përpjekje për të rikthyer besueshmërinë e Greqisë në zonën ku përdoret Euroja.

Greqia përballet me një deficit të madh buxhetor, duke dëmtuar euron, si dhe ka shkaktuar shqetësime në Bashkimin Evropian dhe më tej. //mm//",Presidenti Sarkozi shprehu sot në Paris mbështetje për Greqinë gjatë një fjalimi që mbajti për fermerët francezë,srp,zeriamerikes,Zeri Amerikes,fake news,d753129a-de59-42d0-bd4b-ace0206ef943,article,MassiveSum
https://www.dnevnik.si/1042703335/zdravje/bolezen-in-bolecina/gripa-se-ni-dosegla-vrhunca,https://www.dnevnik.si/1042703335/zdravje/bolezen-in-bolecina/gripa-se-ni-dosegla-vrhunca,Gripa še ni dosegla vrhunca,,"Na Nacionalnem inštitutu za varovanje zdravja ocenjujejo, da sezona gripe še ni dosegla vrhunca. Cepljenje proti gripi še priporočajo, še predvsem starejšim od 65 let in bolnikom s kroničnimi boleznimi. Na NIJZ še ugotavljajo, da je obolevnost za akutnimi okužbami dihal letos – glede na lansko leto – večja. K temu naj bi po njihovem prispevala večja pojavnost mikoplazemskih okužb. Število bolnikov se je začelo povečevati decembra, sredi novembra pa se je začela tudi sezona respiratornega sincicijskega virusa (RSV), ki povzroča akutni bronhitis pri majhnih otrocih. Delež potrjenih okužb z RSV še narašča. ep

15. januar 2015 00:00 15. januar 2015 0:00

Predviden čas branja: 1 min

Predviden čas branja: 1 min","Na Nacionalnem inštitutu za varovanje zdravja ocenjujejo, da sezona gripe še ni dosegla vrhunca. Cepljenje proti gripi še priporočajo, še  predvsem starejšim od 65 let in bolnikom s kroničnimi boleznimi. Na NIJZ še ugotavljajo, da je obolevnost za akutnimi okužbami dihal letos – glede na lansko leto – večja. K temu naj bi po njihovem prispevala večja pojavnost mikoplazemskih okužb. Število bolnikov se je začelo povečevati decembra, sredi novembra pa se je začela tudi sezona respiratornega sincicijskega virusa (RSV), ki povzroča akutni bronhitis pri majhnih otrocih. Delež potrjenih okužb z RSV še narašča. ep",srp,dnevnik,Dnevnik,fake news,37bec75c-0ba0-41b6-b471-9b535b24625f,article,MassiveSum
https://www.zeriamerikes.com/a/cyprus-qipro-ekonomi-kirza-be-eu-/1627266.html,https://www.zeriamerikes.com/a/cyprus-qipro-ekonomi-kirza-be-eu-/1627266.html,"Kriza në Qipro, shqetësim për BE",,"Udhëheqësit politikë në Qipro duket se i kanë braktisur planet për një taksë mbi depozitat bankare, në shkëmbim të një pakete ndihmash nga Bashkimi Evropian. Lidhjet me Greqinë dhe problemet e borxhit në këtë vend e kanë çuar Qipron në prag të falimentimit. Ky ishull bregdetar ka qenë prej kohësh një vend tërheqës për investitorë të huaj, në veçanti për rusët – një fakt që ka zgjuar një debat të ndezur në Evropë: Bankat në Qipro janë ende të mbyllura. Radhët tek bankomatet vazhdojnë të zgjaten, jo vetëm me qipriotë, por edhe me shtetas të huaj. Norma prej 10 për qind për taksimin e korporatave e ka bërë Qipron tërheqëse për investitorë të huaj. Por ky vend ka edhe tipare të tjera tërheqëse, thotë Kate Phylaktis, e cila jep leksione mbi Financat Ndërkombëtare në Shkollën Cass të Biznesit në Londër dhe ka punuar më parë si konsulente e qeverisë qipriote. “Nuk është vetëm taksa. Në ishull flitet anglishtja, flitet shumë mirë. Sistemi ligjor bazohet në sistemin britanik. Pra ky vend ka institucione shumë të mira që i kupton kushdo. Ky fakt tërheq investitorët e huaj”. Agjencia Moody’s që analizon mbarëvajtjen e tregjeve financiare përllogarit se në bankat qipriote ka 31 miliardë dollarë të depozituara nga rusët. Zonja Phylaktis thotë se lidhjet mes dy vendeve u forcuan pas shpërbërjes së Bashkimit Sovjetik: “Në Qipro banojnë rreth 20 mijë familje ruse. Këto familje kanë prona, kanë depozita bankare, biznese – të gjitha sjellin të ardhura për Qipron”. Gjatë javëve të fundit, media gjermane ka publikuar raporte të zbulimit sipas të cilave Qiproja përdoret nga rusë të korruptuar për pastrim parash. Kate Phylaktis thotë se këto dyshime e kanë bërë Bashkimin Evropian të kërkojë masa të forta në shkëmbim për paketën e ndihmave. “Në një kohë kur afrojnë zgjedhjet, udhëheqësit gjermanë po tregohen shumë energjikë pasi nuk u mbetet shumë kohë që të bindin votuesit se nuk do të lejojnë financimin e oligarkëve rusë”. Këto akuza ndaj Qipros janë të ekzagjeruara, thotë James Ker-Lindsay, ekspert për Evropën jug-lindore në Shkollën Ekonomike të Londrës, i cili ka jetuar më parë në Qipro: “Nuk diskutohet se rusët e kanë përdorur Qipron për pastrim parash. Por ne po ashtu e dimë se rusët kanë përdorur edhe vende të tjera për pastrim parash”. Zoti Ker-Lindsay thotë se shumë shtetas të huaj e kanë konsideruar Qipron si strehë të sigurtë: “Për shembull në të gjithë Lindjen e Mesme, në Afrikën e Veriut, në Evropën Lindore, në Britani – Qiproja shihej si një strehë e sigurtë në kulmin e luftës civile libaneze. Kishte gjithmonë njerëz që vinin dhe fillonin një jetë të re në Qipro. Po ashtu nga Evropa juglindore dhe Ballkani gjatë luftrave të viteve 1990”. Britania, e cila ka një bazë ushtarake në Qipro, ka dërguar një avion me një milion euro në ishull, në rast se ushtarët e saj kanë probleme me tërheqjen e parave nga bankat. Analistët thonë se kjo tregon se sa shqetësuese është për partnerët evropianë kriza në Qipro.",Pikëpyetjet kryesore lidhen me investimet ruse në këtë ishull,srp,zeriamerikes,Zeri Amerikes,fake news,953e6ed7-738c-4d28-9911-1d561a3f07c3,article,MassiveSum
https://www.dnevnik.si/1042816963/sport/ostali-sporti/borilni-sporti/dragic-in-wade-zgresila-met-za-zmago,https://www.dnevnik.si/1042816963/sport/ostali-sporti/borilni-sporti/dragic-in-wade-zgresila-met-za-zmago,Dragić in Wade zgrešila met za zmago,,"Slovenski reprezentant Goran Dragić je zgrešil zadnji met rednega dela, njegov soigralec Dwyane Wade pa zadnji met podaljška.

Ljubljančan je na igrišču preživel 38 minut, z 18 točkami je bil skupaj z Jamesom Johnsonom najboljši strelec svoje ekipe. Zadel je tudi dve trojki, strelskemu izkupičku pa je dodal osem skokov in dve podaji ter tudi štiri izgubljene žoge.

Edini, ki Miamiju še lahko prepreči pot v končnico je Detroit, ki je tokrat zabeležil četrto zaporedno zmago, 115:109 je v gosteh premagal New York.

Washington Wizards - Charlotte Hornets 107:93

New York Knicks - Detroit Pistons 109:115

Boston Celtics - Toronto Raptors 110:99

Miami Heat - Brooklyn Nets 109:110 po podaljšku

(Goran Dragič 18 točk, 8 skokov, dve podaji v 38 minutah za Miami)

Sacramento Kings - Golden State Warriors 96:112","Košarkarji Miamija bi lahko danes potrdili uvrstitev v končnico severno ameriške profesionalne lige NBA, a jim  ni uspelo. Na domačem igrišču so po podaljšku s 109:110 izgubili proti Brooklynu.",srp,dnevnik,Dnevnik,fake news,09339c8e-5693-4a10-ac0c-cb316239287b,article,MassiveSum
https://www.dnevnik.si/1042583507/posel/zaposl/festival-inovativnih-tehnologij-fit-2013-,https://www.dnevnik.si/1042583507/posel/zaposl/festival-inovativnih-tehnologij-fit-2013-,Festival inovativnih tehnologij - FIT 2013,,"Festival inovativnih tehnologij – FIT je ena največjih promocijskih prireditev na področju približevanja znanstvenih in raziskovalnih dosežkov informacijsko-komunikacijske tehnologije (IKT) v Sloveniji mladim generacijam, s čimer v ZOTKS želijo na eni strani prispevati k zapolnjevanju pomanjkanja računalniških in tehniških strokovnjakov, na drugi strani pa čim večje število mladih spodbuditi in usposobiti za kakovostno in učinkovito predstavljanje svojega znanja in idej s pomočjo inovativnih tehnologij in orodij.

V sklopu FIT potekajo številna državna tekmovanja s področja inovativnih tehnologij, zlasti računalništva in elektrotehnike ter uporabe različnih informacijskih in komunikacijskih tehnologij (IKT) ter multimedije. S pomočjo različnih programskih jezikov in orodij vključujejo v tekmovanja mlade od vrtcev pa vse do konca srednje šole.

Na FIT bo potekala različna tekmovanja (tekmovanje v programiranju za osnovne in srednje šole, tekmovanje v znanju telekomunikacij, tekmovanje v znanju multimedije, tekmovanje spletnih strani, tekmovanje v oblikovanju oziroma pripravi sporočil in predstavitev, tekmovanje v digitalni fotografiji, tekmovanje iz robotike za osnovne šole, tekmovanje v poznavanju operacijskega sistema Unix), na katerih se bodo pomerili osnovno- in srednješolci iz vse Slovenije.","V soboto od 9. ure dalje se bo na Fakulteti za računalništvo in informatiko (FRI) in Fakulteti za elektrotehniko (FE) odvijal Festival inovativnih tehnologij, ki ga Zveza za tehnično kulturo Slovenije (ZOTKS) organizira že 19 let. V sklopu dogodka se bo odvila tudi okrogla miza z naslovom Kako prenoviti pouk računalništva in informatike v Sloveniji?",srp,dnevnik,Dnevnik,fake news,dde02cf9-58cf-4fc4-bbd9-0a1fea8832c3,article,MassiveSum
https://www.glasamerike.net/a/a-34-2006-12-21-voa5-87029602/760045.html,,Osvrt na desetogodišnji mandat Kofija Anana na poziciji generalnog sekretara UN,,"Kofi Anan, rodom iz Gane, krajem ovog meseca napušta položaj generalnog sekretara Ujedinjenih nacija. On je 1. januara 1997. postao sedmi generalni sekretar svetske organizacije, zamenivši na tom položaju Butrosa Butrosa Galija. Anan je prvi službenik Ujedinjenih nacija koji je izabran na taj rukovodeći položaj, da bi 2002.godine stekao jednoglasnu podršku za drugi petogodišnji mandat. Ministar inostranih poslova Južne Koreje Ban Ki Mun izabran je za njegovog naslednika.

Mnogi stručnjaci kažu da Anan za sobom ostavlja mešoviti legat. S jedne strane, skromno dostojanstvo ga je učinilo snažnim zagovornikom prava pojedinaca, siromašnih i razvoja u svetu. Neki su ga čak zvali savešću međunarodne zajednice. Ujedinjene nacije i Kofi Anan su 2001. bili dobitnici Nobelove nagrade za mir. S druge strane, gospodin Anan nije uspeo da uveri zemlje članice da prihvate njegov plan za sprovodjenje sveobuhvatnih reformi, a njegova reputacija je okaljana skandalom u vezi sa iračkim programom ""Nafta za hranu"". Oni koji proučavaju rad Ujedinjenih nacija kažu da je jedan od najvećih trijumfa Kofija Anana bio pristanak zemalja članica da prihvate princip poznat kao ""odgovornost da se pruži zaštita"". Bivši zamenik američkog predstavnika u Savetu bezbednosti UN-a, Karl Inderfurt, kaže da se taj princip odnosi na genocid i etničko čišćenje:

""Postavlja se pitanje šta činiti kad vlada ne štiti sopstveni narod? Kad nema vladavine zakona, kao što je slučaj u Somaliji. Šta učiniti u slučajevima genocida poput onog u Ruandi u cilju zaštite onih kojima je ona potrebna u okvirima sopstvene zemlje"".

Doktrina Kofija Anana da zemlje sveta imaju ""odgovornost da pruže zaštitu"" onima koji su nemoćni u svetlu sile ili tragedije, sada je prihvaćena u Ujedinjenim nacijama. Inderfurt međutim ističe da je veliki izazov primena te doktrine. Kofi Anan je takodje izdejstvovao odobrenje UN-a za osnivanje Novog saveta za ljudska prava.

S druge strane, mračni aspekt Ananovog mandata bio je korupcijski skandal u vezi sa sprovođenjem iračkog programa ""Nafta za hranu"". Mada je imao za cilj da ublaži tegobe iračkih civila izazvane sankcijama svetske organizacije, ogromna zarada stečena prodajom nafte ipak je dospela u ruke Sadama i njegovih saveznika. Nezavisna komisija je otkrila rasprostranjenu korupciju u okviru Ujedinjenih nacija. Stručnjak za Ujedinjene nacije u Centru za globalni razvoj, Stjuart Patrik, kaže da je taj skandal naneo ogromnu štetu Ananovoj reputaciji, a izveštaj nezavisne komisije navodi da Kofi Anan nije dovoljno kontrolisao program. Preporučene su unutrašnje reforme širokog spektra, a generalni sekretar je preuzeo ličnu odgovornost za propuste u menadžmentu. Kofi Anan se na kraju svog mandata osvrnuo stečene pouke:

""Prvo, svi smo odgovorni za našu međusobnu bezbednost. Drugo, možemo i moramo da pružimo svima šansu da imaju koristi od globalnog prosperiteta. Treće, i bezbednost i prospretitet zavise od ljudskih prava i vladavine zakona. Četvrto, države moraju u svom medjunarodnom delovanju biti odgovorne jedna drugoj i širokom spektru igrača van okvira njihove države. Konačno, sve to možemo postići samo zajedničkim radom, preko multilateralnih sistema i jedinstvenog instrumenta - Ujedinjenih nacija"".

Pred novim generalnim sekretarom Ban Ki Munom je izazov da nastavi reforme koje je započeo Kofi Anan.","Kofi Anan, rodom iz Gane, krajem ovog meseca napušta položaj generalnog sekretara Ujedinjenih nacija. On je 1. januara 1997. postao sed",srp,glasamerike,Glas Amerike,fake news,efb9e7e9-3ef0-47d8-af9e-6e8e06883049,article,MassiveSum
https://www.glasamerike.net/a/january-6-2016-day-in-photos/3133311.html,,Fotografije dana,,A look at the best news photos from around the world.,A look at the best news photos from around the world.,srp,glasamerike,Glas Amerike,fake news,e272e3a4-a89d-4a3c-9683-cedb2b35ed3c,article,MassiveSum
https://www.dw.com/sr/nema%C4%8Dka-i-trajni-mir/a-2653851,,Nemačka i ″Trajni mir″,,"Vojska ima smisla za simboliku: tako da dosadašnju prljavu oružanu borbu protiv medjunarodnog terorizma vodi pod nedužnim naslovom Operacija trajni mir. I pet godina nakon početka snažne vojne akcije njen uspeh uopšte nije vidljiv.

Primer Avganistan: Tamo je sloboda ugrožana od Talibana koji su ponovo ojačali, ali uprkos tome snage «Trajnog mira» su borbu protiv ekstremista delimično prenele na zaštitne trupe ISAF, čija misija je prema prvobitnoj zamisli trebalo da obezbedjuje obnovu zemlje.

Bundesver od početka učestvuje u «Trajnom miru»; u Avganistanu sa specijalnim jedinicama, a na Rogu Afrike nemačka fregata kontroliše morske puteve. O uspehu na Rogu Afrike ne zna se mnogo, uglavnom toliko da nije po sredi misija koja treba da nanese odlučni udarac medjunarodnom terorizmu, već je pretežno simboličnog značaja.

Uprkos ovih ograničenja Bundestag se potrudio da nemačko učešće u multinacionalnim snagama produži, zbog solidanosti, koja je tako važna kada je reč o savezništvu. Istovremeno su parlamentarci propustili da se pobrinu oko bilansa vojnog reagovanja na 11. septembar. Šta vojnici mogu da učine u borbi protiv terorizma a šta ne? Nakon pet godina morao bi da usledi prvi odgovor.

To što je do sada izostala ovakva debata povezano je ukupnom nemačkom nekompetencijom. Uprkos javnih kritika na račun promašene američke politike, nemačke trupe su takodje deo antiterorističkog rata, u kojem kao žrtve ne padaju samo Talibani već i nedužni civili. To doduše nije tajna, ali političari ne žele narodu to da kažu, niti stanovništvo to tačno želi da zna. Mnogo radije se drže slike o nasmejanim pomoćnicima koji u uniformama pomažu proces obnove zemlje.

Upravo slučaj Murata Kurnaca traži razjašnjenje. Turčin iz Bremena tvrdi da je zlostavljan od nemačkih elitnih vojnika, komandosa specijalnih jedinica KSK prilikom saslušanja u Avganistanu. Za opoziciju je to bio povod da oštro kritikuje nemačkog ministra odbrane jer su Franc Jozef Jung, kao i njegov predhodnik do sada samo neodredjeno informisali poslanike parlamenta o zbivanjima u Avganistanu. O ranjenima i gubitcima poslanici su morali da špekulišu, navodno da se ne bi ugrozile tajne antiterorističke operacije. To ubuduće mora da se promeni, rekao je ministar odbrane.

Do sada su to bile samo reči koje prijatno zvuče, sada je već krajnje vreme da se sprovede korektura kursa. Specijalne snage u budućnosti će na svojim ledjima nositi najveći teret u borbi protiv terorizma. Tajni poslovi elitnih jedinica moraju biti kontrolisani od strane parlamenta, i tek tada će i parlamentarci moći da presude o tome koliko je zaista uspešno nemačko učešće u anrtiterorističkoj borbi.",Poslanici Bundestaga su danas većinom glasova podržali produžetak mandata vojnicima Bundesvera u Avganistanu. Poslanici zelenih i levice nisu podržali produžetak mandata Bundesverovim vojnicima. Povodom odluke Bundestaga - komentar,srp,dw,DW,fake news,28fec0c9-6bc1-4af3-a2b0-0b96cc3a3352,article,MassiveSum
https://www.dnevnik.si/1042611736/kultura/splosno/kud-france-preseren-z-zaprtimi-vrati-in-nejasno-prihodnostjo,https://www.dnevnik.si/1042611736/kultura/splosno/kud-france-preseren-z-zaprtimi-vrati-in-nejasno-prihodnostjo,KUD France Prešeren z zaprtimi vrati in nejasno prihodnostjo,,"Dolgovi KUD France Prešeren po grobi Rožejevi oceni znašajo 400.000 evrov. Geodetska uprava je stavbo s pripadajočim zemljiščem ocenila na približno 890.000 evrov.

Dolg se je začel nabirati že v začetku 90. let, ko od tedanjega ljubljanskega župana Jožeta Strgarja pol leta niso prejeli nobenih javnih sredstev za delovanje, je spomnil Rožej.

KUD France Prešeren je lastnik objekta na Korunovi, kar je za kulturna društva redkost, so bili pa zato primorani sami kriti stroške za vzdrževanje zgradbe, kar je letno znašalo okoli 120.000 evrov. Preko javnih razpisov so se tako lahko potegovali zgolj za sredstva za program.

Lastništvo nepremičnine jim je omogočalo, da so se pri dobaviteljih lahko zadolžili, a ker so od države in občine letos prejeli bistveno manj denarja, jim upnikov ni uspelo poplačati. Od MOL so prejeli 20.000 evrov, kar je 130.000 manj kot minula leta, od države pa 53.000 evrov.

Na vprašanje, koliko so, v luči samokritike, tudi sami krivi za potop KUD France Prešeren, je Rožej odgovoril: ""Že pred leti bi se lahko odločili za bolj komercialen program oz. za manj programa ali za ceno (dela) avtonomije z mestom ustanovili skupen zavod, katerega morebitno izgubo bi, ali pa ne, krila oba ustanovitelja.""

Zaenkrat še ni znano, ali si bo društvo našlo novo lokacijo za delovanje, vse je odvisno od višine kupnine. Po Rožejevem mnenju bi lahko še vedno imeli založniško dejavnost, za literarne dogodke bi lahko najemali druge prostore. Poslovili se bodo od razstavnega, glasbenega in gledališkega programa. Vitalnejši projekti, kot je improliga, so že našli nove lokacije in pravne osebe. Improliga, ki jo je marsikdo kar enačil s ""Kudom"", je našla domicil v Španskih borcih.

In kaj bo s Trnfestom? ""Trnfest bi morda lahko, odvisno od volje novega lastnika nepremičnine, še naprej na isti lokaciji, lahko pa bi se odvijal drugje,"" je še povedal Rožej.","KUD France Prešeren, med večino Ljubljančanov znan predvsem po nekoč tam burni improligi in avgustovskem Trnfestu, je s kurilno sezono zaprl vrata. Dolgovi so ""kudovce"" prisilili v prodajo stavbe na Karunovi 14. Kot je za STA dejal predsednik društva KUD France Prešeren Vito Rožej, še ni znano, kdo bo kupec in ali bo ohranil kulturni program.",srp,dnevnik,Dnevnik,fake news,5ebfeccb-6bd9-4386-987f-85f812035b2d,article,MassiveSum
https://www.dnevnik.si/1042798183/sport/skoki/petra-prevca-na-oberstdorf-spomni-brazgotina,https://www.dnevnik.si/1042798183/sport/skoki/petra-prevca-na-oberstdorf-spomni-brazgotina,Petra Prevca na Oberstdorf spomni brazgotina,,"Izkušeni dvojec Peter Prevc in Jernej Damjan ter kar štirje debitanti Domen Prevc, Anže Semenič, Tilen Bartol in Žiga Jelar je šesterica slovenskih smučarjev skakalcev, ki bo skušala osvojiti kolajno na svetovnem prvenstvu v poletih od četrtka do nedelje v Oberstdorfu v Nemčiji. Zasedba selektorja Gorana Janusa optimizem in samozavest črpa iz dobre predstave na poletih na Kulmu ter dejstva, da so Slovenci rojeni letalci. »Smo konkurenčni. S formo sem zadovoljen. Upam, da nam bo naklonjeno vreme in bo tudi sreča na naši strani,« je izpostavil Goran Janus, ki bo v četrtek po dveh poletih za trening izločil najslabšega tekmovalca. Ker je Peter Prevc svetovni prvak, ima Slovenija pravico, da v kvalifikacijah nastopi s petimi tekmovalci.

Peter Prevc ne govori na glas o ubranitvi naslova svetovnega prvaka izpred dveh let s Kulma. »Ko prideš na Kulm, se spomini vrnejo, a še ni pravi čas za njihovo obujanje. Treba je gledati naprej, da bo nastalo še več spominov, ki jih bomo lahko obujali,« je izstrelil 25-letni Peter Prevc, ki ima tudi bron iz Harrachova 2014. Za komplet odličij s poletov mu tako manjka še srebrna kolajna. »Le redko katera stvar mi je podarjena, vse si moram izboriti. Vse bodo razkrile tekme. Naj govorijo poleti,« je v napovedi previden Peter, ki bo danes v Planici testiral nove smuči. Doslej njegova tehnika še ni bila na tako visoki ravni, da bi lahko preizkušal trše smuči.

Kot največje favorite je izpostavil Norvežane, a zaupa tudi v moč slovenske ekipe. Šest Slovencev je bilo v finalu na zadnjih dveh tekmah na klasični skakalnici (Bischofshofen) in letalnici (Kulm). Glede na trenutno formo ima Slovenija več možnosti za načrtovano kolajno na moštveni tekmi kot med posamezniki. »Nikomur ni nič vnaprej zagotovljenega. Če je osem kandidatov za tri stvari, jih velika večina ostane praznih rok,« je ena izmed modrosti, ki jo je povedal najstarejši izmed bratov Prevc pred drugim vrhuncem sezone, potem ko je bil prvi novoletna turneja, tretji pa bodo olimpijske igre. »Zame ni le enega vrhunca, ampak cela sezona. Vse skupaj jemljem kot veliko doživetje, kako se med sezono spreminjam jaz in okolica,« je še povedal Peter Prevc.

Pravi, da bo znova povsem nasmejan, ko bo za njim daljše obdobje vrhunskih rezultatov. Na Oberstdorf ima neprijetne spomine, saj je polete leta 2012 po padcu končal s poškodovano ključnico v bolnišnici. »To je že del zgodovine. Spomin se vrne le, ko se pogledam v ogledalo in vidim veliko brazgotino, ki je ostala po operaciji,« je končal Peter, ki bo nastopil na tretjem svetovnem prvenstvu.

Jernej Damjan, ki ga je na včerajšnjem druženju z mediji spremljala hčerka Niki, gre na svoje šesto svetovno prvenstvo v poletih s popotnico diskvalifikacije na Kulmu. »Prepričan sem bil, da je vse po pravilih. Največja uganka je, da je bil isti dres na merjenju v Engelbergu po pravilih in sem z njim nato nastopil na vseh tekmah. Običajno se material obrabi in raztegne, ne pa da postane boljši, torej manj prepusten za zrak. Morda sta vplivala vlaga v zraku in znoj. Ne bom ga vrgel v smeti, ampak ga je možno s posebno napravo prepihati in znova raztegniti. To napravo bomo odslej jemali s seboj tudi na tekme,« je pojasnil Jernej Damjan. Po poletih si bo vzel premor in izpustil tekmi svetovnega pokala v Zakopanah. Za uvrstitev v ekipo za olimpijske igre se ne upoštevajo dosežki na poletih, zato je z eno nogo na letalu za Pjongčang naslednja peterica Damjan, Peter Prevc, Semenič, Bartol in Zajc.","Osvojitev kolajne je cilj šestčlanske reprezentance  Slovenije na 25. svetovnem prvenstvu v smučarskih poletih, ki bo od četrtka do nedelje v Oberstdorfu v Nemčiji.",srp,dnevnik,Dnevnik,fake news,6d85e721-c3cd-4a2c-a2d5-9e476567b46e,article,MassiveSum
