url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
https://www.voathai.com/a/2044994.html,https://www.voathai.com/a/2044994.html,Pakistan-download mp3,,วีโอเอไทย ข่าวสดสายตรงจากอเมริกา,วีโอเอไทย ข่าวสดสายตรงจากอเมริกา,tur,voathai,VOA Thai,fake news,82ae6b3a-d168-423f-8b67-30d0dfd109bf,article,MassiveSum
https://www.ensonhaber.com/magazin/engin-altan-duzyatan-guclu-kadinlar-sayesinde,https://www.ensonhaber.com/magazin/engin-altan-duzyatan-guclu-kadinlar-sayesinde,Engin Altan Düzyatan: Güçlü kadınlar sayesinde,,"Brand Week Istanbul kapsamında konuşma yapan Engin Altan Düzyatan samimi açıklamalarda bulundu

Oyuncu Engin Altan Düzyatan Brand Week Istanbul kapsamında konuşma yaptı. Kariyer basamaklarında zirveye çıkma sürecinden bahseden Düzyatan, önemli dönüm noktalarına değindi.

Başarılı oyuncu Engin Altan Düzyatan, oyuncu olma süresinde ailesindeki güçlü kadınların etkisinin bulunduğuna dikkat çekti. Düzyatan ""Ailemdeki güçlü kadınlar sayesinde oyuncu oldum. Normal şartlarda doktor ya da pilot olmalıydım"" dedi.",Brand Week Istanbul kapsamında konuşma yapan Engin Altan Düzyatan samimi açıklamalarda bulundu,tur,ensonhaber,En Son Haber,fake news,cba37430-2116-4fa0-a053-7b3c6ce4337b,article,MassiveSum
https://www.voathai.com/a/december-6-2017-day-in-photos/4152880.html,https://www.voathai.com/a/december-6-2017-day-in-photos/4152880.html,ภาพข่าวประจำวันที่ 6 ธันวาคม 2560,,A look at the best news photos from around the world.,A look at the best news photos from around the world.,tur,voathai,VOA Thai,fake news,e305f711-a5bc-49d5-a457-e7229149e2e2,article,MassiveSum
https://www.amerikaninsesi.com/a/a-17-2007-12-14-voa10-88085782/859938.html,,14 Aralık Amerikan Basınından Özetler,,"New York Times Başkan Bush’un küresel teröre karşı savaşı ele alış biçiminin Amerikan istihbaratına büyük zarar verdiğini savunuyor. İstihbarat kurumlarının yasaları çiğnediğini ve işkence iddialarının ortaya çıktığını öne süren gazete, Kongreyi de bu konuda gerekeni yapmamakla suçluyor:İran’ın nükleer silah programını 2003 yılında durdurduğu yönündeki istihbarat raporu Amerikalılar’ı şaşkına çevirdi. Asıl önemli olan ise, Başkan Bush’un İran nükleer silah sahibi olursa, üçüncü dünya savaşı çıkar” derken bu gerçeği bilip bilmediği sorusuydu. Yaşanan bu olay, Bush’un Irak’ın aslında olmayan nükleer silah programını gerekçe göstererek ülkeyi savaşa sürüklemesini hatırlattı. Bush’un Irak ve İran’ın silah programları hakkında neyi ne kadar zamandır bildiği kamuoyuna açıklanmalıdır. Christian Science Monitor Rusya devlet başkanı Vladimir Putin’in kendi yerine aday gösterdiği başbakan birinci yardımcısı Dimitri Medvedev’i kolaylıkla kontrol edebileceğini yazıyor: Putin’in, bundan sonra etkisini nasıl sürdüreceği tam olarak bilinmiyor. Medvedev’in önerdiği gibi başbakanlık görevini üstlenebilir. Medvedev’in bu hafta yaptığı açıklamalar da Rusya’nın Putin politikalarından uzaklaşmayacağını tam tersine bu politikaları sürdüreceğini gösteriyor. Washington Post Bolivya’da devlet başkanı Eva Morales’in anayasayı değiştirme çabasını ülkeyi bölecek bir girişim olarak değerlendiriyor. Gazete, kendi yetkilerini artırmayı amaçlayan Morales’in Venezuela devlet başkanı Hugo Chavez’den esinlendiğini öne sürüyor:Bolivya’nın altı bölgesinin dördünün yönetimini elinde tutan muhalefet valileri, anayasa değişikliği planına karşı özerklik ilan etme tehdidinde bulundu. Muhalefeti oldu bittiye getirmek isteyen Morales ise özerklik ilanının anayasaya aykırı ve ayrılıkçı bir girişim olacağını açıkladı. Morales, Chavez’in başına gelenlerden gerekli dersi çıkartmalı ve Latin Amerikalıların kendi özgürlüklerinden vazgeçmeyeceğini anlamalıdır. Anayasa değişikliği referandumundan vazgeçmeli, bölücü önerilerini askıya almalıdır. Los Angeles Times başkanlık seçimleri öncesinde, başkan adaylarının Amerika’nın temel sorunlarına yaklaşımını değerlendiriyor. Bugünkü sayısında özgürlükleri ele alan gazete, teröre karşı savaşın Amerika’yı Amerika yapan değerlere verdiği zarara dikkat çekiyor:Amerika bir polis devleti değildir. Ancak yönetimin aşırı güç kazanması, Kongrenin fazlasıyla itaatkar olması ve kamuoyunun anlaşılır bir biçimde terörden kaygı duyması Amerika’daki özgürlüklerin azalması sonucunu doğurdu. Yeni seçilecek başkan, Amerika’nın özgürlükler ülkesi olduğunu çok iyi bilen biri olmalıdır. Teröre karşı savaşın bedeli kişisel özgürlüklerin kaybedilmesi olmamalıdır. Eğer ortaya böyle bir sonuç çıkarsa, terörle savaşı kaybetmiş oluruz.",Amerikan basınında bugün İran konusunda yayınlanan Amerikan istihbarat raporu ağırlıklı olarak tartışılıyor,tur,amerikaninsesi,Amerikan Insesi,fake news,a75c670d-4ac5-4ccf-b09e-96a1cb717235,article,MassiveSum
https://www.voaswahili.com/a/5595565.html,https://www.voaswahili.com/a/5595565.html,VOA Express,,VOA Express ni matangazo mapya yenye mwendo wa kasi yakiangalia habari mpya za mchana na maelezo ya maswala yanayohusu vijana na wanawake. Matangazo haya yanafuatilia habari zilizojitokeza nyakati za mchana na ripoti za kina za habari ambazo hazisikiki sana katika matangazo mengineyo. VOA Express pia inafuatilia kwa karibu sana maswala yanayovuma katika mitandao ya kijamii kama sehemu moja muhimu ya upashanaji habari siku hizi.,VOA Express ni matangazo mapya yenye mwendo wa kasi yakiangalia habari mpya za mchana na maelezo ya maswala yanayohusu vijana na wanawake. Matangazo haya yanafuatilia habari zilizojitokeza nyakati za mchana na ripoti za kina za habari ambazo hazisikiki sana katika matangazo mengineyo. VOA Express pia inafuatilia kwa karibu sana maswala yanayovuma katika mitandao ya kijamii kama sehemu moja muhimu ya upashanaji habari siku hizi.,tur,voaswahili,VOA Swahili,fake news,0304f513-5821-4dc6-af18-66b264e8c8d9,article,MassiveSum
https://tigrigna.voanews.com/a/east-africa-horn-draought-dadab-camp-dolo-abo-unhcr-125832918/1383608.html,https://tigrigna.voanews.com/a/east-africa-horn-draought-dadab-camp-dolo-abo-unhcr-125832918/1383608.html,ትካል ስዱዳት ሕ/ሃ ብደርቂን ጥሜትን ኣብ ሶማልያ ስንባድኡ ይገልፅ,,4 ሽህ ሶማልያዊያን ዕለታዊ ናብ ኬንያን ኢትዮጵያን ይሰግሩ ኣለው,4 ሽህ ሶማልያዊያን ዕለታዊ ናብ ኬንያን ኢትዮጵያን ይሰግሩ ኣለው,tur,voanews,VOA News,fake news,ca3b0ef9-c12f-44a2-a579-45cd4f379ca4,article,MassiveSum
https://www.ensonhaber.com/dunya/1-francis-ile-cizvitlerin-2-asirlik-intikami-2013-03-18,,1. Francis ile Cizvitler'in 2 asırlık intikamı,,"Tarihi papa seçiminin dünya kamuoyuna yansımayan bir yönü var.

16'ncı Benediktus'un ""Papa""lıktan istifa etmesinin ardından seçilen ve halka yakınlığıyla bilinen yeni Papa Francis, diğerlerinden oldukça farklı. Daha önce papalık tarafından dışlanan Cizvit Cemaati'ne mensup olan Francis'in seçilmesi aynı zamanda Katolik Kilisesi'nde 5 yıldır süren gizli mücadelenin yeni bir aşamaya girdiğinin göstergesi.

Mücadelenin özeti ise şu: İsa'nın askerleri sıfatıyla 3 kıtada savaştılar. Güçlenince Vatikan'ın gazabına uğrayıp sürüldüler. İki asır sonra papalığa çıkarak rövanş aldılar..

1.Francis tabi olduğu Cizvit Cemaati'nin (İsa cemaati) seçilmiş ilk papası oldu. Kilise'nin aradan geçen 5 asırda birkaç kez kökünü kazımak istediği, istifa eden Papa 6.Benediktus haklarında raporlar yazarak Vatikan'dan silmek istediği Cizvitler artık iktidarda. Kilise'deki kokuşma şatafat ve yozlaşmaya karşı içten içe gizlice diş bileyen bu cemaatten öndeki kardinallerini icranın başına taşıyarak büyük bir hamle yapmış oldu.

115 seçici kardinal içinde 7-8 Cizvit kardinal tek başına yapmadı bunu haliyle. Vatidakan'da Cizvit kardinal Bergoglio'yu göreve getirip Kilise'de bir içe dönüş hareketi başladı. 1534 yılında Paris'te teoloji öğrencisi İgnatius Loyola'lanın 7 arkadaşıyla birlikte kurduğu Cizvit hareketi özünde 4 yemine dayanıyor: ""Dünya'da mal edinmeme, evlenmeme, Filistin'e hicret ve Papa'ya mutlak itaat""

Kurulduğu dönemde Avrupa'daki bölünmüş papalıktan etkilenen Cizvitler Vatikan'da seçilen Papa ile iktidarını ölmek pahasına savundular. Ancak aynı vefayı Papalar'dan görmediler. Vatikan'nın içinde gizlice örgütlenmeleri sorun oldu. Dışlandılar ve sürüldüler. Hatta hapse konuldular. 18.yy'da bastırıldılar, ama yeniden canlandılar.

Son genel kongresini 1983'te yapan hareket yeraltına çekildi. Hz. İsa'yı misyonerlik yoluyla anlatmaktan geri durmadılar. Dünya çapında yaklaşık 19 bin üyeye ulaştılar. Dolayısıyla Bergoglio'nun Papalığı Cizvitlerin iktidara dönüşü anlamına geliyor. Bir bakıma 2 asır sonra alınan rövanş..

Son sayısında bu konuya değinen Aksiyon dergisi, doktorasını Vatikan üzerine University of London'da tamamlayan Doç. Dr. Ali Murat Yel'e sordu: ""Papaların sadık askerleri Cizvitler neden 5 asırlık geleneklerini çiğneyip papalığa talim oldu?""

Yel, son seçimle kilise içinde büyük bir kırılmanın yaşandığını, Vatikan'ın Papa 1. Francis üzerinden öze dönüş yolu aradığını anlatıyor: ""Kilise durumun farkında; cinsel istismalar, şatafat ve yolsuzluklar... Şimdi böyle samimi bir Cizvit Papa ile temizlenmeye çalışılacak. Cizvitler diğer kültür ve dinlere daha saygılı. Bu açıdan Müslüman dünya ile aradaki buzları da eritecekler. Bu dönemde Cizvit cemaatiyle fikirlere sahip çıkmayı savunan kurtuluş teolojisi yeniden dirilecek. Bence Papa 1. Francis dönemi hem katolik kilisesi hem de diğer dinler açısından pozitif olacak""",Tarihi papa seçiminin dünya kamuoyuna yansımayan bir yönü var.,tur,ensonhaber,En Son Haber,fake news,ddc0e754-d02e-4ab5-a40b-de02b703655e,article,MassiveSum
https://www.ensonhaber.com/kitap/genc-yazar-merthan-demirin-altin-kurallar-kitabi,,Genç yazar Merthan Demir'in Altın Kurallar Kitabı,,"Genç yazarlardan olan Merthan Demir'in Altın Kurallar Kitabı 1 ve 2 serisi genç okurların gözdelerinden.

Altın Kurallar Kitabı 1. ve Altın Kurallar Kitabı 2. kitaplarıyla iyi bir çıkış yakalayan Demir'in, ilk kitapları olmasına rağmen başarılı bir iş çıkarttığını söyleyebilirim. Hayatımızı belli kurallar çerçevesinde yaşayarak davranış biçimlerimizi de belirleriz. Merthan Demir bütün bu altın kuralları iki kitap altında toplayarak okurlarına kılavuzluk ediyor.

Yayımlandığında büyük bir okur kitlesine ulaşan Merthan Demir'e bu uzun soluklu yolculukta başarılar dileriz.

Birinci kitapta toplam 300 altın kuralın yer aldığı kitaptan birkaç önemli kuralı paylaşalım;

KURAL: 1 Cana yakın ol ama canı yakan olma

KURAL: 2 Tespih koptuktan sonra ipte kalan tanelerin ne kadar önemi yoksa; yıpranmış bir aşktan geride kalan duygularında o denli önemi yoktur. Tespih taneleri yeni bir ipe dizilmeli, kalbindeki duygularda yeni bir sayfaya yazılmalıdır. Öyleyse yeni bir sayfa aç ve yazmaya başla.

KURAL: 3 Kahrını çekmeyecek adamlarla mutluluğunu paylaşma!

KURAL: 4 Cehennemin olduğuna şükret ve intikamı öbür tarfa bırak! Bu dünya sana yapılanların karşılığını ödetecek kadar adil değil!

KURAL : 5 Farkındalık oluşturmak için farklı değil, farkında olmak gerekir. Gözlerini aç, çevreni izle ve fark et!

Merthan Demir ikinci kitabında ise 200 altın kuralı okurlarına sunuyor.

KURAL: 1 İçinde doğuştan gelen bir ışık var; içinde bulunduğun sistemin, çevrendikilerin ya da herhangi birinin içindeki ışığı söndürmesine müsaade etme. Seni parlamaktan mahrum bırakmak isteyecek insanlar olsa da, parla!

KURAL: 2 Kendin olduğundan farklı gösterip gösteriş ulsulü yaşarsan, seni olduğun gibi değil de gösterdiğin gibi kabul edecek insanlar bulursun. seni olduğun gibi kabul edecek insanla ol, yani kendin ol!

KURAL: 3 Senden alınanların karşılığını ödetecek kadar adil bir dünyada yaşamadığının farkına varıp hesabını ahrete bırak! Kanuni Sultan Süleyman'a kalmayan bu dünya kimseye kalmadı, kalmaz unutma!

KURAL: 4 Mum gibi doğrularla kavak gibi doğruları ayırt etmek lazım. Mum ışık vermek için erir. kavak gölge vermemek için uzar.

KURAL: 5 Sadakat, sadece erkek ile kadın arasındaki şeylerle ölçülemez. Sadakat, insan yaşamının her döneminde tüm canlılar ve olaylar için olmazsa olmazdır. sahibi tarafından büyütülüp yetiştirilen bir hayvanın sahibine olan sadakati, tüm insanlığa hayatın her noktasında örnek teşkil eder.

Hayatınıza yön verecek, sizi düşünmeye sevk edecek Altın Kurallar Kitabı 1 ve 2 size farklı bir hayatın mümkün olabileceğini gösteriyor.

Kitap sayfası için iletişim: ergul.tosun@ensonhaber.com",Genç yazarlardan olan Merthan Demir'in Altın Kurallar Kitabı 1 ve 2 serisi genç okurların gözdelerinden.,tur,ensonhaber,En Son Haber,fake news,8953eb93-d6c0-4a39-a819-2bdba02283f5,article,MassiveSum
https://www.amerikaninsesi.com/a/a-17-2007-08-16-voa20-88062317/855684.html,,Iraklı Şii ve Kürt Liderlerden Yeni Siyasi İttifak,,"Iraklı Şii ve Kürt liderler, Sünnilerin katılmadığı yeni bir siyasi ittifak kurdu.Yeni ittifakı, Başbakan Nuri el-Maliki ve Devlet Başkanı Celal Talabani bugün Bağdat’ta düzenledikleri basın toplantısında açıkladı.Talabani, Sünni yardımcısı Tarık el-Haşimi’nin ittifaka katılmayı reddettiğini ancak kendisine kapının açık olduğunu söyledi. Haşimi’nin lideri olduğu Irak Uyum Cephesi aybaşında Maliki’nin ulusal birlik hükümetinden çekilmişti.Yeni ittifakta Maliki’nin Dava Partisi, Şii Başkan yardımcısı Adil Abdül –Mehdi’nin Irak İslam Yüksek Konseyi, Celal Talabani’nin Yurtsever Kürdistan Birliği ve Mesut Barzani’nin Kürdistan Demokratik Partisi yer alıyor.","Iraklı Şii ve Kürt liderler, Sünnilerin katılmadığı yeni bir siyasi ittifak kurdu",tur,amerikaninsesi,Amerikan Insesi,fake news,d77c09ec-0338-492b-a62d-a264fff2432b,article,MassiveSum
https://www.voathai.com/a/2401355.html,https://www.voathai.com/a/2401355.html,ข่าวสดสายตรงจากวีโอเอ ภาคภาษาไทย 8:30-9:00 น.,,(8:30 – 9:00 น. จันทร์-ศุกร์) ประมวลข่าวสำคัญล่าสุดของวัน รายงานธุรกิจ บทวิเคราะห์ทางการเมือง รายงานวิทยาศาสตร์และเทคโนโลยีการแพทย์ เรื่องของสตรี การศึกษาและสังคม รายงานการบันเทิงและวัฒนธรรมอเมริกัน รวมทั้งชีวิตคนไทยในอเมริกา,(8:30 – 9:00 น. จันทร์-ศุกร์) ประมวลข่าวสำคัญล่าสุดของวัน รายงานธุรกิจ บทวิเคราะห์ทางการเมือง รายงานวิทยาศาสตร์และเทคโนโลยีการแพทย์ เรื่องของสตรี การศึกษาและสังคม รายงานการบันเทิงและวัฒนธรรมอเมริกัน รวมทั้งชีวิตคนไทยในอเมริกา,tur,voathai,VOA Thai,fake news,4631be50-b466-4f79-a320-5ddee6888fb5,article,MassiveSum
