uuid,content,summary,language,organization,content_type,dataset
77e6f13d-9dcb-4916-be1b-864a255ff23c,"(CNN) -- Sony Corp. lost a record $5.7 billion in the fiscal year ending in March, the company announced today -- lower than beleaguered electronics giant's previous estimates of finishing the year $6.4 billion in the red. Still, it was the fourth straight year the company finished the year with a loss. Sony is not the only Japanese electronics giant struggling: On Friday, Panasonic Corp. is expected to announce nearly $10 billion in annual losses, according to estimates released by the company earlier this year. Both companies have struggled with ailing television manufacturing divisions, which have lost to lower cost rivals like Samsung and LG, and are hampered by a rising yen which has cut repatriated profits from overseas sales. Sony's television division has lost money for the past eight years. The search for Sony's soul . Earlier this week, shares of Sony stock slipped to its lowest level in 25 years. Both Sony and Panasonic have announced restructuring plans and have new leaders running the company. New CEO Kazuo Hirai took the helm on April 1 and promised last month to cut 10,000 jobs -- about 6% of its workforce -- in the next year. The company predicts a 30 billion yen ($376.5 million) net profit in the current fiscal year. Kazuhiro Tsuga was appointed new CEO of Panasonic earlier this year. Both Tsuga and Hirai have announced plans to cut the volume of televisions the companies produce. The Japanese economic newspaper Nikkei reported Wednesday Panasonic may swing to a $626 million profit this fiscal year, causing the company's share price to rise nearly 5%. The company wouldn't comment on the report, saying in a statement it would release figures on Friday.","Sony lost a record $5.7 billion in the fiscal year ending in March .
Japanese electronics giant finishes its fourth straight year with a loss .
The company predicts a $376.5 million net profit this current fiscal year .",eng,CNN,article,DialyNews
552607fb-3cb7-49c3-83fa-b7e3c265205b,"A police officer was paid £9,000 for tripping over a pothole in his station's car park thanks to a compensation culture which campaigners say will 'make people's blood boil'. The unnamed female officer settled out-of-court after hurting her ankle when she fell over in Eastbourne, East Sussex, three years ago. Another officer was given £500 by Sussex Police because he was bitten on the behind by his police dog. Compensation culture: The claims were revealed under Freedom of Information laws . A policeman who hurt his tooth after using a riot shield upside-down, another who was singed during firearms training and a third who opened a window only for it to fall on him also feature in a catalogue of claims brought by officers against their own police force. Other cases which the force are still disputing could end up costing far more - with some pending claims already expected to exceed £100,000. Bitten: One policeman was handed £500 after his rear was bitten by a police dog . Figures obtained under Freedom of Information laws show that an officer claimed after slipping on a wet floor in the custody suite of Crawley, East Sussex, in March 2011. He twisted his knee despite warnings that the floor was slippery, and is now pursuing his force for a payout. The TaxPayers' Alliance today claimed the cases will 'make people's blood boil' and infuriate other officers who do not make such claims. The officer with the hurt tooth, who is left-handed, sought damages after being given a right-handed shield, which he said led to injury as he had to use it 'the wrong way up'. However, in this case, in Midhurst in February 2011, the force did not accept liability. Meanwhile, another officer received money after a window fell on him as he opened it. He received £1,588 in March 2013 following the incident in Worthing because he suffered an injury to his left hand. An officer received £500 after being injured during firearms training at Gatwick in January 2013. On this occasion the police officer suffered 'significant burns to the neck' from a shell casing which was ejected from a gun. In total Sussex Police paid out £21,088 in out-of-court settlements between January 2011 and December 2013. July 2011: Hastings, claimant walked through a door and shutter fell and hit him, paid £2,000 out-of-court . July 2011: Lewes HQ, a colleague used too much force and bent an officer's thumb back towards his wrist paid £6,000 out-of-court . May 2012: Brighton, claimant bitten by dog. Received £500 out-of-court . February 2011: Eastbourne claimant slips on pothole, paid £9,000 out-of-court . August 2012: Hassocks, claimant bitten by dog, paid £1,200 out-of-court . January 2013: Gatwick, shell casing from gun ejected and injured claimant, paid £500 out-of-court . March 2013: Worthing, claimant opened window which then fell on him, paid £1,588 out-of-court . September 2012: Seaford, claimant bitten by dog, paid £500 out-of-court. Cases which are still open: . December 2011: Sussex House, Brighton, claimant slipped on ice in car park . No date: Brighton, bullying and harassment . June 2012: Brighton, bitten by police dog . November 2011: Hove, Claimant trapped between moving police vehicle and crowd at riot . November 1998: force-wide, claimant suffers PTSD from undercover work. A number of cases are still open although 'reserve values' - how much has been set aside to potentially payout - have been agreed. Three of these values are set at £100,000. One involves an incident in December 2011 in Brighton, after a police officer slipped on ice in a police station car park at Sussex House. A second £100,000 pounds value has been set for an incident in Brighton in June 2012 when a police officer, acting as a 'stooge' in dog training was bitten. The third dates from 1998 and relates to an officer carrying out undercover work who reportedly suffered post-traumatic stress disorder. A Sussex Police statement said: 'Our Civil Claims Unit looks to make sure that any claims are dealt with fairly, professionally and in accordance with the Civil Procedure Rules and Protocols. 'The nature of police work means it is unpredictable and officers and staff can, unfortunately, occasionally get injured during operations, daily duty or training exercises. 'All the claims are assessed on the severity of the injuries, the circumstances in which they were received and the question of liability is always fully investigated objectively. 'Where liability exists, compensation is paid to minimise the impact of the injury and feedback is given to ensure that any lessons that can be learnt.' Jonathan Isaby, chief executive of the Taxpayers' Alliance, said: 'These claims will make people's blood boil, and wind up officers on the front line who don't make such ludicrous claims. 'The police do a difficult job and those hurt in the line of duty deserve support, but clearly some of these cases and the amounts involved are spurious to the extreme. 'Its time police chiefs stamped out the compensation culture that has crept into parts of the police station.'","Officer tripped in Eastbourne and claimed the payout against Sussex Police .
Another received £500 after a police dog bit him on the behind .
Part of a catalogue of payouts revealed under Freedom of Information laws .
Other pending claims have had as much as £100,000 set aside for them .
Campaigners say the compensation culture is a cause of outrage .",eng,CNN,article,DialyNews
0ea48f45-325e-44a2-9caf-7edef7b040a8,"US president will only visit Israel as Jordan says summit will be held at time when parties could agree to end the ‘war and massacres against Palestinians’. Jordan has cancelled a summit it was scheduled to host in Amman on Wednesday with United States President Joe Biden and the Egyptian and Palestinian leaders to discuss Gaza, Foreign Minister Ayman Safadi has said. Safadi said the meeting would be held at a time when the parties could agree to end the “war and the massacres against Palestinians”, blaming Israel with its military campaign for pushing the region to “the brink of the abyss”. Biden was expected to make a whirlwind trip to Israel where he would later head to Jordan and, according to Jordanian officials, meet Egyptian President Abdel Fattah el Sisi and Palestinian President Mahmoud Abbas. The US president now will visit only Israel and postpone his travel to Jordan, a White House official said as Biden departed on Tuesday. Jordan’s King Abdullah would have hosted the four-way summit, which would have on its agenda the need to get humanitarian assistance to Gaza to prevent a humanitarian catastrophe and tamper the conflict with Israel.      Abdullah has blamed Israel for ablast at a Gaza hospitalthat killed about 500 Palestinians on Tuesday, saying it was a “shame on humanity” and called on Israel to immediately end its military assault on Gaza. Palestinian officials say the explosion was caused by an Israeli air raid. Israeli officials have said the blast was caused when a rocket launched by a Palestinian armed group misfired. Al Jazeera was unable to independently verify the claims. King Abdullah warned that Israel’s response following a deadly cross-border attack by Hamas on October 7 that killed and injured more than 1,000 Israelis went beyond the right of self-defence to collective punishment of Palestinian civilians. The cancellation reflects an increasingly volatile situation that will test the limits of US influence in the region as Biden visits Israel on Wednesday.      Failure to meet with Abbas or any Palestinian official, while meeting Israelis on their soil, could undermine Biden’s diplomatic message and draw criticism at home and abroad. After the hospital blast, Biden’s efforts in the Israel-Hamas war were criticised by US Representative Rashida Tlaib, the only Palestinian American in Congress. Tlaib, a Democrat who had previously been muted in her criticism of Biden’s policy, said in a post on social media platform X, “This is what happens when you refuse to facilitate a ceasefire & help de-escalate. Your war and destruction only approach has opened my eyes and many Palestinian Americans and Muslims Americans like me.” More than 70 religious and activist groups, led by the Council on American-Islamic Relations, the largest US Muslim civil rights group, called on Biden to demand a ceasefire in Gaza during his visit.          Follow Al Jazeera English:","Jordan has cancelled a summit it was scheduled to host in Amman on Wednesday with United States President Joe Biden and the Egyptian and Palestinian leaders to discuss Gaza, Foreign Minister Ayman Sa… [+2600 chars]",eng,Al Jazeera English,article,GlobalNews
7568b7f4-05c5-4ae6-9dc4-210d9256d280,"By . Emma Innes . A 32-year-old who spent £7,000 on sunbed sessions has been told he is dying of cancer because of his tanning addiction. Damien Platt was so keen to look tanned he used sunbeds up to 200 times a year - four times more than the EU recommended safe usage. Mr Platt would spend nine minutes in the tanning booths up to four times a week and continued this routine for eight years. Scroll down for video . Damien Platt, 32, was diagnosed with terminal melanoma after eight years of frequent sunbed use . He says he used the sunbeds to make himself 'feel good'. But his addiction has come at a huge price. Doctors diagnosed him with melanoma, the deadliest type of skin cancer, in 2010 after he spotted a mole on his thigh. Then, last March, they gave him just 10 months to live after discovering the cancer was not curable. Treatment has prolonged Mr Platt’s life but he now deeply regrets his years of sunbed use. The ex-tradesman, from Little Hulton, Greater Manchester, said: 'I loved the confidence having a tan gave me and everyone would say how healthy I looked. Mr Platt was diagnosed with the cancer after finding a suspicious mole . on his thigh. Image (left) shows the scar from surgery to remove the cancerous . mole and (right) shows him when he was using sunbeds . Mr Platt (pictured when he was using sunbeds) went for a tanning session up to four times a week . 'I couldn't go anywhere unless I had been on the sunbeds first. 'Pretty much everyone in my life at that time used the sunbeds, so I thought I would give them a go. 'I just didn't feel normal without a tan and my confidence in the way I would look would go right down without them. Symptoms that may indicate skin cancer include any mole, spot, lump or area of skin that: . Source: Bupa . 'To find out I had melanoma was the worst feeling in the world. 'I felt completely numb and found it very hard to function properly for days, people would try talking to me but nothing would register. 'Now I'm just trying to be as happy as possible with the time I've got left. 'Doctors told me I had six to ten months to live last March but at the time they didn't have much feedback on the drugs I was taking. 'Thankfully the drugs have worked longer then they originally thought. 'However I'm still in the same position, the drugs will always stop working in every case - it is just a question of when.' Mr Platt now wants to raise awareness of skin cancer and raise funds for Cancer Research UK. He has support from Coronation Street star Simon Gregson, who plays landlord Steve McDonald, and he met soap star Michelle Keegan as a surprise treat from a friend. The actor has invited him to Simon Gregson's Charity Ball at the Palace Hotel in Manchester on July 5 to warn people about the dangers of indoor and outdoor tanning. He said: 'It's been horrific at times because I know how much it hurts my family to see me like this.'People are quite literally dying for a tan and it really isn't worth it.’ Mr Platt is now trying to raise awareness of the dangers of sunbeds as well as raising money for charity . Yinka Ebo, senior health information officer at Cancer Research UK, said: 'Far from improving your looks, the UV radiation given off by sunbeds can make skin look wrinkled, leathery and old before it's time, and it also damages the DNA in your skin cells. 'Over time this damage can build up and may lead to skin cancer. If you're really desperate for a tan it's better to fake it. 'See your doctor if you notice any changes in the size, shape or colour of a mole or normal patch of skin.' Mr Platt is using his Twitter @mymelanomafight and JustGiving page to reach a target of £10,000 and has so far raised more than £2,000. You can help his Cancer Research UK fundraising here: www.justgiving.com/damien-platt or text QPCD63 and an amount to 70070.","Damien Platt used sunbeds up to four times a week for nine mins at a time .
In 2010 he was diagnosed with melanoma after noticing a mole on his leg .
In March last year he was told it was terminal and was given months to live .
Fortunately, treatment has managed to keep the cancer at bay for now .
Is speaking out now to raise awareness of the dangers sunbeds .",eng,CNN,article,DialyNews
1c5cbc4d-f99e-4db4-ade8-23cfa403af5f,"After years of planning, Santiago Puértolas is saving nearly all of his low-six-figure income. Puértolas, 26, started outlining how to maximize his savings rate over seven years ago during college. His plan involved maximizing his income from work, achieving multiple streams of passive income, and minimizing his expenses. According to documents reviewed by Insider, in recent months he's been able to meet his goal of saving about 95% of his income from working in corporate strategy at a tech company. Puértolas is one of many people wholive below their means, meaning theyspend only a small percentageof their income on life expenses. For Puértolas, this means saving a lot now and making some compromises for a more-comfortable life later, though he feels this hasn't come at the expense of his well-being. His self-described minimalist life philosophy ""really falls under minimizing my expenditure and living as simply as possible,"" he said, adding: ""Happiness does not depend on that."" This has led him to coach young professionals and businesses about achieving their financial and professional goals. He knew he'd need tobuy a hometo do this, and he found one in a small, relatively inexpensive town on the Canary Islands, negotiating to get it below market rate. The town's low cost of living, proximity to his passions for nature, and real estate investment opportunities stuck out to him. He and his partner paid it off in full from their savings, according to documents viewed by Insider, and he's now splitting up his house into three parts: one for him and his partner, another forAirbnb rentals, and a third for long-term rentals. Puértolas is also focusing on building his investment portfolio to increase his passive income. He's cooking about 80% of his meals at home on a monthly foodbudget of about 200 euros, or about $210 — which he said went a long way in his small Spanish town — and he eats out only twice a week at affordable spots. He also limits his travel to cheap flights to see family and friends, which he said was about 150 euros a month. And he rarely spends on new clothing; he only owns enough clothes to fit in a suitcase. ""There's no one size fits all, so not all people will be comfortable living the way I live,"" Puértolas said. Most of his purchases, he said, are things that make his life easier and make him happy. He finds this in nature and travel, instead of expensive purchases. ""Buy a fancy laptop if you're going to use it for work, but don't buy a fancy iPhone if it's not for making money,"" he said. He said his frugality came from his grandparents, who lived in a small village and worked lower-wage positions but saved up to live a comfortable, rather minimalist life. His parents were raised knowing they had to earn everything from money to respect, and Puértolas has carried that mindset with him. After the 2008 financial crisis, he said his family was even more on top of reducing spending. Puértolas got his first paid role at 16, which he said was uncommon for people that age in Spain, and during college, he started some businesses to help pay for his tuition. These included a POS system for restaurants, ecommerce websites, and consulting jobs. While in college, he made a financial plan outlining how much he'd need to spend to save 1 million euros, deciding on the lowest possible amount he could spend without jeopardizing his life goals. He ultimately moved away from a city — where, he said, ""once you step out the door, you're already spending $20 for breathing"" — and traveled globally to discover forms of happiness that did not involve money. He said hewas also driven to live minimally after taking a trip to Myanmar and spending time with a Buddhist monk, who explained the idea of living happily without luxuries. He also adopted some stoic principles, including learning to be comfortable in uncomfortable situations and living simply. That philosophy led him to develop a mindset of investing only in things that could bring a return. ""I buy a car because it makes my life easier, but I buy the cheapest car because the incremental of having a nicer car does not actually have an impact on my quality of life,"" Puértolas said, adding he learned how to repair his car himself. ""It saves me time commuting and makes life easier, but having a nicer car, having that awareness that people see me as someone richer, does not help."" His goal is to have the option to formally retire at 40, while relying on passive income. He hopes to take on mentorship positions to help companies and people be successful. He added that recent layoffs in his industry and at his past companies led him to accelerate his savings rate to be comfortable earlier. ""My idea is to just find peace and comfort, be at a point that I do not have to be depending on a salary from an external company,"" Puértolas said. Are you living under your means? What's pushing you to do so? Reach out to this reporter atnsheidlower@insider.com.","Santiago Puértolas saves 95% of his monthly income, but it took him over seven years to plan how to do so.Santiago Puértolas
<ul><li>Santiago Puértolas achieved a 95% savings rate on his monthly inc… [+5283 chars]",eng,Business Insider,article,GlobalNews
68a65cb4-7673-4f7b-a2e3-874fc62860c4,"“Want to try a smart ring?” I asked my friend during one of our fairly frequent conversations about how we should be exercising more, and generally improving our health through activity. “Sure,” he replied, his voice a mix of tones ranging from sad resignation about the current state of affairs to cautious optimism about the future. So the next week, I handed over anUltrahuman Ring Air. Six weeks later, I sat down to talk about his experience with it. How would a normal person find life with a smart ring, and would it help push him to do more? Health and fitness products are often bought by regular people who want (or know) they should be a little fitter and more active. They’re not only looking to quantify any changes they make to their lifestyle but also to hopefully gain some motivation to do it in the first place. The ideal product is some kind of wearable, whether it’sa Fitbit,a smartwatch, or a smart ring. What’s different about a normal person wearing one and not me, a tech journalist? It’s my job to assess how well this kind of device works, and while I obviously report on whether it pushes me and provides actionable, helpful data, I’m aware it’s also something that Ihaveto do. My motivations are a little different. Even if I can’t really be bothered to go for a walk or workout, I do it because I’m testing the product, not just because I’mspecifically trying to get fitter. What happened during our conversation after those six weeks wearing the Ultrahuman Ring Air was fascinating, as it gave a very real insight into how life is with a fitness wearable from the perspective of someone whose only motivation was to improve and learn more about their body. Let me introduce you to Normal Matt, who doesn’t cycle 50 miles a week and has never entered a tough mudder event; he is a moderately active person who wants to be healthier. Let’s see whether wearing a smart ring has put him firmly on the road to greater fitness. “I was interested to learn about my movement and see where I could improve,” Matt told me. He described himself as “stubbornly lazy” when it came to going beyond basic exercise, so the Ultrahuman Ring Air had its work cut out from the start, but he said he was keen to understand where he could change — and how much of an impact it would make when he did. It was clear the motivational tools and clarity of data were going to be most important to him. The Ultrahuman Ring Air sent him notifications when he was close to his daily goal, and he often found them motivational enough to do something extra. These came through at the end of the day, after work, but the movement alerts during the day were nothing but an annoyance. When he knew he was going to be active, he was always keen to see the data in the app afterward, showing the ring’s ability to motivate came mostly through data and well-timed notifications rather than regular interruptions. However, the Ultrahuman Ring Air’s app didn’t always present the data well. “I’m not sure I understand much,” Matt said, commenting on the wide range of numbers and data points presented in the app. While he understood the numbers, obviously, it was the explanations of why he should care, what he could do to change them, and why he should bother that was the problem. I lost interest quickly because the data wasn’t clear, and the advice was too obvious. “It gets bogged down with too much information, which isn’t clearly explained,” he said. “It needs refining because it doesn’t clearly tell me why I should care about all the data.” This problem also affected sleep tracking. “I lost interest quickly because the data wasn’t clear, and the advice was too obvious, such as ‘turn the lights off,’ ‘be in a cool room,’ ‘don’t drink coffee too late,’ and ‘have a comfortable mattress.’ It is not that helpful.” The more we talked, the clearer it became that the Ultrahuman Ring Air’s app wasn’t very good at telling Matt what he wanted to know in a language and format he could understand. This mirroredmy own experience with the smart ring, so it didn’t come as a shock. Matt also wanted to see a simple page with an overview of his performance and then dig deeper if he wanted. For example, he would have found information about the importance of raising his heart rate during a workout useful, along with an immediately obvious step count or daily goal target on an at-a-glance page. He had the idea this data was in the app somewhere but didn’t want to go on an expedition to find it. Having to make an effort to find data that was helpful to him without questioning what it meant — heart rate variability (HRV) is a great example, as he needed to look elsewhere for guidance on whether it was important or not — is not motivational at all. Instead, it’s frustrating, and this is when fitness wearables are in danger of being abandoned. He also found the complexity of language used a barrier to being motivated by the Ring Air, and mentioned it did take quite a time to learn the app’s layout and functionality too. It’s not a good position to be in. Granted, Matt would have done his own research prior to any purchase to make sure a device was suitable for his needs, but what he wants is pretty basic. He’s not crying out for more; he’s actually asking forless, which indicates the Ultrahuman Ring Air is too technically complex and has lost sight of providing simple, actionable information everyone needs and understands. While the Ultrahuman Ring Air isn’t fully providing the motivation and data Matt may have wanted, he did tell me he’d miss wearing it mostly for those times when he is close to reaching his goal and needs a short burst of activity to make it. It’s impossible to know this without some form of tracker. But there’s one thing stopping him from fully committing to it long-term: comfort. “I swap it around different fingers because it’s sharp,” he told me. Again, this is something I found when wearing the Ultrahuman Ring Air. He liked the color, though, and commented a lot of people had noticed the ring and reacted positively. He also liked the relative exclusivity of wearing a smart ring. He never found battery life to be an issue and simply put in the charger when he was in the shower. But the overall comfort level kept coming up as an issue. I asked if he would have been pleased with the Ring Air if he had paid the $350 asking price. He said no and cited the poor comfort, complexity of the app, and lack of easily interpreted, quickly accessed basic data as reasons. I am pretty sure theOura Ringwould bea better choicefor him, as it’s more comfortable, data is more accessible and better presented in the app, and it’s nowhere near as complicated as the Ultrahuman Ring Air tries to be. When I explained more, though, he was immediately put off by theOura Ring’s monthly subscription fee. We are probably all guilty of buying something fitness-related in the hopes of it changing our lives and then finding it doesn’t. Whether it’s an exercise bike that’s now a clothes horse, a set of dumbbells hidden at the back of a cupboard, or a wearable fitness device, we learn the hard way our own motivation is equally as important if they’re going to work. But Matt’s experience with the Ultrahuman Ring Air also shows that wearable device makers need to put more effort into tailoring the app experience to more people, making the data truly accessible and understandable, and providing simple customizations to help people get the most from it. There’s no reason he should have found the app so unfathomable when his requirements are so simple, and all the sensors are grabbing the data he wants to see anyway. It’s not like I gave him a highly focused device like theGarmin Epix Pro (Gen 2)and told him to train for a marathon. There’s so much choice in the world of health and fitness wearables, and even though they all use similar sensors to collect essentially the same data, the presentation of it, the way it’s used, and the app you see every day is perhapsmoreimportant than the hardware if you’re hoping it’ll give you some personal motivation to get healthier. What about the future for Normal Matt and the Ultrahuman Ring Air? I’ve not said anything about continuing to wear it for further research (he was aware I was going to write this story when we started out), so I have no idea if he’ll continue to wear it on his own or if it’ll get stuffed in a drawer and forgotten about. If it does, it won’t be the first time a health and fitness wearable has suffered this fate, and after chatting to him about it, it won’t be a surprise.","Nothing says “normal” like a person wearing a smart ring and holding a mug of teaAndy Boxall / Digital Trends
“Want to try a smart ring?” I asked my friend during one of our fairly frequent conversa… [+8911 chars]",eng,Digital Trends,article,GlobalNews
ea983de4-73a2-4624-b2c1-0cfdf3e176ef,"By . Chris Brooke . PUBLISHED: . 07:31 EST, 30 January 2013 . | . UPDATED: . 02:26 EST, 31 January 2013 . Judge Tim Devas claimed the Government should change rules surrounding the compulsory victim surcharge that was introduced in 2007 (file picture) A judge ordered a serial thief to pay £1 compensation for his ‘very mean’ crime – and then fished in his pocket and handed over the cash himself. District Judge Tim Devas  passed the £1 coin to a surprised court clerk to clear the penniless defendant’s debt. Then, after condemning rules that require courts to impose compensation orders on criminals irrespective of their financial circumstances, he joked: ‘My chances of getting a knighthood are pretty slim anyway.’ Judge Devas was presiding over the case of a homeless thief who stole two letters from the Christmas post in a hunt for cash. Daniel Northridge, 20, was of ‘limited means’ and had no meaningful family support, the court heard. ‘The sooner the Government changes it [the compensation rule] the better,’ he said, handing over the £1 coin at Mansfield Magistrates’ Court. The judge, who has a history of making outspoken comments in court, then asked: ‘There’s no one here from the Press is there?’ It was when he learned there was a reporter from the local paper in court that he joked about a knighthood. Yesterday he was criticised by a crime victims’ organisation for ordering such a low and ‘insensitive’ sum. Northridge, of Mansfield, Nottinghamshire, admitted two counts of theft in what should have been a routine case. Daniel Northridge stole the cards from a communal mailbox in his block of flats and was ordered to pay compensation of £1 (file picture) Prosecutor Robert Carr told the court . he stole two letters on December 19 from a shared mailbox in his block . of flats. He was spotted on CCTV. He had previous convictions for theft . and burglary and was automatically recalled to custody for 28 days. Having served this time, he reappeared in court to be sentenced for the mailbox thefts. He is believed to have been staying in emergency accommodation for the homeless. Judge Devas handed him a six-month community order and ordered him to pay the £1. The judge told the court: ‘Particularly at that time of year, this was a very mean offence.’ A spokesman for the Ministry of . Justice said the district judge’s comments referred to Victim Surcharge . payments which courts must now impose on defendants given specific . sentences. Usually, one who has received a community sentence will pay . £60. After the hearing, Javed Khan of the . charity Victim Support, said: ‘A £1 compensation order is simply . insensitive. Regardless of the amount, offenders should be held . personally accountable for paying compensation orders.’","Thief Daniel Northridge ordered to pay £1 after stealing two Christmas cards .
Judge Tim Devas paid the fine to the clerk at Mansfield Magistrates' Court .
Judge told court: 'The sooner the Government changes it the better'",eng,CNN,article,DialyNews
f10e8f70-2223-4d4b-ba04-49f4e95a6a02,"Dan Lydiate has completed his dual contract move from Racing Metro to the Ospreys that will 'send a message' about Welsh rugby's new bargaining power. The British and Irish Lions flanker joins Sam Warburton on a National Dual Contract, as Welsh bosses aim to reverse the exodus of top talent to England and France. The 26-year-old has been released by Racing Metro for an immediate return to Wales, and will start training with the Ospreys later this week. Ospreys Dan Lydiate has signed a dual contract with the region and the Welsh Rugby Union . Lydiate was given dispensation to join the Ospreys rather than return to first club Newport Gwent Dragons, with his wife keen to be close to her family in west Wales. 'I am extremely pleased we have been able to bring a player of Dan's undoubted calibre back home,' said WRU chairman Gareth Davies. 'His decision will send a message out to Welsh qualified players that staying in Wales under the protection of a National Dual Contract offers a great opportunity.' Lydiate left the Dragons for Racing Metro last summer after seven years at the club but failed to settle in the French Top 14. His quickfire return to the Welsh set-up follows months of politicking that led to the Rugby Services Agreement between union bosses and regional chiefs. Head coach Warren Gatland will now turn attention to completing the remaining 10 dual deals he has lined up. 'I am delighted to have secured a National Dual Contract and I am looking forward to doing my best for the Ospreys while I aim to win selection for Wales,' said Lydiate. Lydiate tackles Jean de Villiers of South Africa during the Castle Lager Outgoing Tour match in November . 'Having a National Dual Contract gives me the certainty I need for my future and I will now be able to concentrate one hundred per cent on my rugby. 'I enjoyed my time with Racing Metro but this is the right move for me as I want to achieve my full potential as a player based here in Wales.' Chief executive Roger Lewis said Lydiate's deal represents the fruit of almost three years of pressing for dual contracts from the WRU. 'This is a landmark day for Welsh rugby and I am grateful to all involved for the level of cooperation this signifies,' said Lewis. 'National Dual Contracts will help us keep international class talent here in Wales available for Regional rugby and for international selection. 'The WRU has been actively attempting to introduce National Dual Contracts for some two-and-a-half years, so securing Dan as a National Dual Contract player is a significant step forward. British and Irish Lions flanker joins Sam Warburton (above) on a National Dual Contract . 'Dan Lydiate suddenly became available while Warren was preparing his list of National Dual Contract candidates which offered us the opportunity to bring a key international player back to Wales. 'All the players on National Dual Contracts will get the best coaching and conditioning while having their careers managed in ways which will ensure they achieve and maintain their full potential with the Regions and Wales. 'The aim of the contracts is to stem the flow of our best talent abroad and to ensure the players staying in Wales will have the very best care to prolong their careers at the highest level.' Wales boss Gatland expects the dual contract system to boost Test results in the long-run. 'This is an important step forward for Welsh rugby and will reap rewards in playing standards over the long term,' said Gatland. 'We can now focus on ensuring all our best young players realise the best way for them to realise their talent in full is to stay in Wales under the new structure we have created.'","Dan Lydiate has been released by Racing Metro .
Lydiate will start training with the Ospreys this week .
Flanker joins Sam Warburton on a National Dual Contract .",eng,CNN,article,DialyNews
467a256e-8438-4c23-b7a4-3708c2bacf65,"Grand Slams: Wimbledon . ATP Tour: Paris, Beijing, Rome, Indian Wells, Miami, ATP Finals (London) Novak Djokovic and Serena Williams have been named 2014 world champions by the International Tennis Federation (ITF). The annual award takes in performances on the regular Tour and grand slams. Wimbledon champion Djokovic takes the men's prize for the fourth time having won seven titles this season and the year-end top ranking for the third time in four years. Wimbledon champions Novak Djokovic was named ITF World Champion for 2014 . Djokovic won the season ending ATP World Tour Finals in London and clinched the world No 1 ranking . Grand Slams: US Open . WTA Tour:Cincinnati, Stanford, Rome, Miami, Brisbane, WTA Finals (Singapore) Williams wins the award for the fifth time in a career which has brought her 18 grand slam singles titles -- the most recent at this year's U.S. Open. 'I'm so honored to be named ITF World Champion for the fifth time. This was a year of challenges and triumphs, so to win another Grand Slam and retain my year-end No. 1 ranking is an accomplishment I'm very proud of,' she said. 'I'm grateful to have the support of the tennis community in every way possible. I can't wait for 2015.' Americans Bob and Mike Bryan were named ITF men's doubles champions while Sara Errani and Roberta Vinci of Italy won the women's honour. Serena Williams won her sixth US Open title at Flushing Meadows in New York in September . Williams won the season ending WTA Finals in Singapore and has been named ITF world champion .","Both men's world No 1 and women's world No 1 crowned ITF champions .
Novak Djokovic won his second Wimbledon title in the summer .
Serena Williams won the US Open in New York in September .",eng,CNN,article,DialyNews
4cabdba6-6ee2-4953-b5e9-510288f4c97b,"A stunning cosmic jet from a super-massive black hole which shredded then swallowed a star has been observed by astronomers for the first time. The extremely rare phenomenon caused by stellar debris being consumed by the hole has never been observed before. Known as 'relativistic jets', they can reach hundreds of thousands of light years in length. Stunning: This illustration shows plasma shooting out of the black hole after it devours a star. Such an event took place four billion light years from Earth . Swift's Ultraviolet/Optical (white, purple) and X-ray telescopes (yellow and red) showing the bursts . Most galaxies have super-massive black holes - regions of space that suck in everything nearby with their strong gravitation pull - at their core, with masses of millions or even billions of suns. Scientists were first alerted to the . phenomenon in March after Nasa's Swift telescope detected several bursts . of X-rays from a quiet patch of sky. Teams from both Pennsylvania State University and  the Harvard-Smithsonian Center for Astrophysics in . Cambridge, Massachusetts, said the bursts could be the remnants of a star pulled apart when it came too close to a black hole located 3.9billion light years away. As a star falls toward a black hole, it is ripped apart by intense . tides. The gas is corralled into an accretion disk that swirls around . the black hole and becomes rapidly heated to temperatures of millions of . degrees. The innermost gas in the disk spirals toward the black hole, . where rapid motion and magnetism create dual, oppositely directed 'funnels' through which some particles may escape. Jets driving matter . at velocities greater than 90 percent the speed of light form along the . black hole's spin axis. In the case of Swift J1644+57, one of these jets . happened to point straight at Earth. Dr David Burrows, from Pennsylvania State University which controls Swift, said chemical analysis of the bright flash's ultraviolet light show it comes from material being sucked into a black hole the size of a million suns. Writing in Nature, they concluded that the Swift satellite just happened to be in the path of the jet of star remains that were shot out at 99.5 per cent the speed of light. Dr Burrows said: 'Incredibly, this source is still producing X-rays and may remain bright . enough for the Swift satellite to observe into next year. It behaves . unlike anything we've seen before.' The swallowing of a star by a black hole only happens once every one hundred million years in a galaxy. The black hole is now believed to be even more powerful because of the additional mass from the swallowed star. The absorption of large mass such as stars or even other black holes is what gives black holes growth and spawn the existence of super-massive black holes.Super-massive black holes could contain up to billions of solar masses. By comparison, the sun is just one solar mass and the Earth is 1/332,950th of a solar mass.","Astronomers watch as Nasa telescope captures rare event .
Phenomenon only occurs once every 100million years .",eng,CNN,article,DialyNews
